Capability,Existing?,Module,Class/function,Path,Language,Reusable?,Tested?,Notes
Atom model,FULL,gaia,Atom,software/modules/gaia/src/main/java/totah/lab/gaia/structure/Atom.java,Java,Yes,Yes (AtomTest),"immutable; pdbSerial/name/amberType/autoDockType/Point3D/charge/occupancy/bFactor/Element/altloc"
Bond model,FULL,gaia,Bond + ChemicalBond + BondOrder,software/modules/gaia/src/main/java/totah/lab/gaia/{structure/Bond.java,chemistry/ChemicalBond.java,chemistry/BondOrder.java},Java,Yes,Partial,"SINGLE/DOUBLE/TRIPLE/AROMATIC/UNKNOWN; ChemicalBond/BondOrder untested directly"
Residue/Chain/Structure,FULL,gaia,Residue/Chain/Structure,software/modules/gaia/src/main/java/totah/lab/gaia/structure/,Java,Yes,Yes (ResidueTest/ChainTest/StructureIdentityAndBondTest),"Structure carries List<Bond> + ConnectivityMetadata/Provenance"
Ligand/Protein model,FULL,gaia,molecule.Ligand/Protein/Molecule,software/modules/gaia/src/main/java/totah/lab/gaia/molecule/,Java,Yes,No (untested-unreferenced),"Ligand carries SMILES/InChIKey/FormalCharge/Structure"
Element table,FULL,gaia,chemistry.Element,software/modules/gaia/src/main/java/totah/lab/gaia/chemistry/Element.java,Java,Yes,No (indirect),"vdW + covalent radii; isHalogen()/isMetal()"
Formal charge,FULL,gaia,chemistry.FormalCharge,software/modules/gaia/src/main/java/totah/lab/gaia/chemistry/FormalCharge.java,Java,Yes,Yes (FormalCharfgeTest - sic typo),value record
Element resolution,FULL,gaia,chemistry.ElementResolver,software/modules/gaia/src/main/java/totah/lab/gaia/chemistry/ElementResolver.java,Java,Yes,No,"PDB atom-name -> element with CA/calcium guard"
Residue typing,FULL,gaia,classification.ResidueCategories,software/modules/gaia/src/main/java/totah/lab/gaia/classification/ResidueCategories.java,Java,Yes,Yes,"name-based HYDROPHOBIC/POLAR/POSITIVE/NEGATIVE/AROMATIC sets"
Residue chemistry classes,FULL,athena,pocket.compare.residue.ResidueChemistryClassifier,software/modules/athena/src/main/java/totah/lab/athena/pocket/compare/residue/ResidueChemistryClassifier.java,Java,Yes,Yes,"8-class chemistry for correspondence"
PocketMatch residue groups,FULL,athena,pocket.pocketmatch.PocketMatchResidueGroup,software/modules/athena/src/main/java/totah/lab/athena/pocket/pocketmatch/PocketMatchResidueGroup.java,Java,Yes,Yes,"5-group classification per Yeturu & Chandra 2008"
AD4 atom typing (receptor),FULL,hephaestus,typing.AD4AtomTyper,software/modules/hephaestus/src/main/java/totah/lab/hephaestus/typing/AD4AtomTyper.java,Java,Yes,Yes,"legal types C/A/N/NA/O/OA/S/SA/P/HD/H/F/Cl/Br/I/metals; aromatic C by name template"
AD4 atom typing (ligand),FULL,hephaestus,ligand.operation.LigandAD4AtomTypingOperation,software/modules/hephaestus/src/main/java/totah/lab/hephaestus/ligand/operation/LigandAD4AtomTypingOperation.java,Java,Yes,Yes,"Meeko ad4_types.json rules; HD iff H on N/O/S/F/P"
Aromaticity perception (ligand),PARTIAL,hephaestus,ligand.topology.KekuleAromaticity,software/modules/hephaestus/src/main/java/totah/lab/hephaestus/ligand/topology/KekuleAromaticity.java,Java,Internal,Indirect,"Huckel over 5/6-cycles only; no rings >6, no exocyclic; prep-internal"
H-bond donor/acceptor perception,PARTIAL,hephaestus+athena,AD4 types HD/NA/OA/SA consumed by DefaultLigandInteractionAnalyzer,software/modules/athena/src/main/java/totah/lab/athena/ligand/interaction/DefaultLigandInteractionAnalyzer.java:25-33,Java,Yes,Yes,"requires prepared PDBQT typing; no SMARTS-level perception"
Hydrophobic atom perception,MISSING,-,-,-,-,-,-,"PLIP rule (C neighbors subset of {C,H}) not implemented in Java; Python residue-set heuristics only"
Charged-group perception,MISSING,-,-,-,-,-,-,"no carboxylate/guanidinium/amine group detection; only whole-residue charge sums"
Halogen-donor perception,MISSING,-,-,-,-,-,-,"PLIP halocarbon rule absent"
Metal-binding perception,PARTIAL,hephaestus,receptor.cleanup.MetalIonPolicy + HydrogenationContext.isNearMetal,software/modules/hephaestus/src/main/java/totah/lab/hephaestus/receptor/cleanup/MetalIonPolicy.java,Java,Prep-internal,Indirect,"fixed metal charges; 4.0 A protonation guard; not a binding-site perception"
Protonation state assignment,FULL,hephaestus,receptor.protonation.ProtonationConfig + ResidueStateAssignmentOperation,software/modules/hephaestus/src/main/java/totah/lab/hephaestus/receptor/protonation/ProtonationConfig.java,Java,Yes,Yes,"pKa ASP3.9/GLU4.3/CYS8.3/TYR10.1/LYS10.5, pH 7.4, His HID/HIE/HIP"
Partial charges,FULL,hephaestus,ligand.charge.{GasteigerModel,QEqModel,AmberChargeAssigner},software/modules/hephaestus/src/main/java/totah/lab/hephaestus/ligand/charge/,Java,Yes,Yes,"hand-rolled Open Babel equivalents; Amber = source of truth per AGENTS.md"
Rotatable-bond perception,FULL,hephaestus,ligand.flexibility.LigandFlexibilityModelBuilder,software/modules/hephaestus/src/main/java/totah/lab/hephaestus/ligand/flexibility/LigandFlexibilityModelBuilder.java,Java,Yes,Yes,"single/non-aromatic/non-ring/non-amide rules"
Distance,FULL,gaia+athena,Point3D.distance; PocketGeometry; ResidueGeometry.minimumAtomDistance,software/modules/gaia/src/main/java/totah/lab/gaia/geometry/Point3D.java,Java,Yes,Yes,"min heavy-atom residue/ligand distances; contactingAtomPairCount"
