state,compound_id,best_affinity_kcal_mol,best_pose_class,best_pose_sam_min_A,best_pose_burial,target_site_pose_count,sam_compatible_pose_count,sam_contacting_pose_count,sam_conflict_pose_count
7A_APO,23CL2BA,-6.279,SAM_COMPATIBLE,,1.0,11,11,0,0
7A_APO,24DCMB_R,-6.31,SAM_COMPATIBLE,,1.0,12,12,0,0
7A_APO,24DCMB_S,-6.23,SAM_COMPATIBLE,,1.0,11,11,0,0
7A_APO,25DCMB_R,-6.9,SAM_COMPATIBLE,,1.0,12,12,0,0
7A_APO,25DCMB_S,-6.731,SAM_COMPATIBLE,,1.0,12,12,0,0
7A_APO,26DCMB_R,-6.53,SAM_COMPATIBLE,,1.0,12,12,0,0
7A_APO,26DCMB_S,-6.568,SAM_COMPATIBLE,,1.0,10,10,0,0
7A_APO,2CLBA,-6.045,SAM_COMPATIBLE,,1.0,12,12,0,0
7A_APO,34DCMB_R,-6.842,SAM_COMPATIBLE,,1.0,12,12,0,0
7A_APO,34DCMB_S,-6.605,SAM_COMPATIBLE,,1.0,12,12,0,0
7A_APO,3CLBA,-5.886,SAM_COMPATIBLE,,1.0,12,12,0,0
7A_APO,4CLBA,-5.765,SAM_COMPATIBLE,,1.0,11,11,0,0
7A_APO,AMBA_R,-6.117,SAM_COMPATIBLE,,1.0,11,11,0,0
7A_APO,AMBA_S,-6.148,SAM_COMPATIBLE,,1.0,12,12,0,0
7A_APO,BA,-5.873,SAM_COMPATIBLE,,1.0,10,10,0,0
7A_APO,DCMB_R,-6.671,SAM_COMPATIBLE,,1.0,11,11,0,0
7A_APO,DCMB_S,-6.966,SAM_COMPATIBLE,,1.0,12,12,0,0
7A_APO,SKF64139,-7.202,SAM_COMPATIBLE,,1.0,12,12,0,0
7A_SAM,23CL2BA,-6.436,SAM_CONTACTING,3.589650261515737,1.0,8,0,8,0
7A_SAM,24DCMB_R,-6.633,SAM_CONTACTING,3.5923180538476824,1.0,5,0,5,0
7A_SAM,24DCMB_S,-6.446,SAM_CONTACTING,3.487771924882704,1.0,4,0,4,0
