compound_id,parent_compound_id,name,canonical_smiles,inchi_key,experimental_target,experimental_metric,experimental_value,experimental_units,literature_source,notes,prepared_smiles,stereochemistry,formal_charge,rotatable_bonds,molecular_weight,source_structure
BA,BA,benzylamine,NCc1ccccc1,WGQKYBSKWIADBV-UHFFFAOYSA-N,rabbit adrenal PNMT,reported inhibition,,,"Fuller et al., J Med Chem 1973, DOI:10.1021/jm00260a002",historical series; exact table value not recovered,[NH3+]Cc1ccccc1,achiral,1,2,108.164,NCc1ccccc1
AMBA_S,AMBA,alpha-methylbenzylamine,CC(N)c1ccccc1,RQEUFEKYXDPUSK-UHFFFAOYSA-N,rabbit adrenal PNMT,reported inhibition,,,"Fuller et al., J Med Chem 1973, DOI:10.1021/jm00260a002",stereochemistry unspecified/racemic; exact table value not recovered,C[C@H]([NH3+])c1ccccc1,S,1,2,122.191,CC(N)c1ccccc1
AMBA_R,AMBA,alpha-methylbenzylamine,CC(N)c1ccccc1,RQEUFEKYXDPUSK-UHFFFAOYSA-N,rabbit adrenal PNMT,reported inhibition,,,"Fuller et al., J Med Chem 1973, DOI:10.1021/jm00260a002",stereochemistry unspecified/racemic; exact table value not recovered,C[C@@H]([NH3+])c1ccccc1,R,1,2,122.191,CC(N)c1ccccc1
2CLBA,2CLBA,2-chlorobenzylamine,NCc1ccccc1Cl,KDDNKZCVYQDGKE-UHFFFAOYSA-N,rabbit adrenal PNMT,reported inhibition,,,"Fuller et al., J Med Chem 1973, DOI:10.1021/jm00260a002",exact table value not recovered,[NH3+]Cc1ccccc1Cl,achiral,1,2,142.609,NCc1ccccc1Cl
3CLBA,3CLBA,3-chlorobenzylamine,NCc1cccc(Cl)c1,BJFPYGGTDAYECS-UHFFFAOYSA-N,rabbit adrenal PNMT,reported inhibition,,,"Fuller et al., J Med Chem 1973, DOI:10.1021/jm00260a002",exact table value not recovered,[NH3+]Cc1cccc(Cl)c1,achiral,1,2,142.609,NCc1cccc(Cl)c1
4CLBA,4CLBA,4-chlorobenzylamine,NCc1ccc(Cl)cc1,YMVFJGSXZNNUDW-UHFFFAOYSA-N,rabbit adrenal PNMT,reported inhibition,,,"Fuller et al., J Med Chem 1973, DOI:10.1021/jm00260a002",positional comparator; exact table value not recovered,[NH3+]Cc1ccc(Cl)cc1,achiral,1,2,142.609,NCc1ccc(Cl)cc1
23CL2BA,23CL2BA,"2,3-dichlorobenzylamine",NCc1cccc(Cl)c1Cl,JHBVZGONNIVXFJ-UHFFFAOYSA-N,rabbit adrenal PNMT,reported inhibition,,,"Fuller et al., J Med Chem 1973, DOI:10.1021/jm00260a002",reported among most active ring substitutions; exact table value not recovered,[NH3+]Cc1cccc(Cl)c1Cl,achiral,1,2,177.054,NCc1cccc(Cl)c1Cl
DCMB_S,DCMB,"2,3-dichloro-alpha-methylbenzylamine",CC(N)c1cccc(Cl)c1Cl,CZJMQTZQSNUDNV-UHFFFAOYSA-N,human recombinant METTL7A,IC50,1.17,uM,"Russell et al., Drug Metab Dispos 2023, DOI:10.1124/dmd.122.001100","historical material stereochemistry unspecified/racemic; METTL7B not inhibited at tested high concentrations, no numeric IC50 reported",C[C@H]([NH3+])c1cccc(Cl)c1Cl,S,1,2,191.081,CC(N)c1cccc(Cl)c1Cl
DCMB_R,DCMB,"2,3-dichloro-alpha-methylbenzylamine",CC(N)c1cccc(Cl)c1Cl,CZJMQTZQSNUDNV-UHFFFAOYSA-N,human recombinant METTL7A,IC50,1.17,uM,"Russell et al., Drug Metab Dispos 2023, DOI:10.1124/dmd.122.001100","historical material stereochemistry unspecified/racemic; METTL7B not inhibited at tested high concentrations, no numeric IC50 reported",C[C@@H]([NH3+])c1cccc(Cl)c1Cl,R,1,2,191.081,CC(N)c1cccc(Cl)c1Cl
24DCMB_S,24DCMB,"2,4-dichloro-alpha-methylbenzylamine",CC(N)c1ccc(Cl)cc1Cl,OUVZHZAOWDHBOU-UHFFFAOYSA-N,rabbit adrenal PNMT,reported inhibition,,,"Fuller et al., J Med Chem 1973, DOI:10.1021/jm00260a002",positional isomer; stereochemistry unspecified/racemic; exact value not recovered,C[C@H]([NH3+])c1ccc(Cl)cc1Cl,S,1,2,191.081,CC(N)c1ccc(Cl)cc1Cl
