compound_id,smiles,status,failure_category,failure_detail,our_heavy,meeko_heavy,matched_heavy,atoms_match,our_total_charge,meeko_total_charge,total_charge_delta,charge_mad,type_agreement,torsdof_ours,torsdof_meeko,torsdof_delta,max_coord_delta
0047cd74-9bce-43e1-91f0-0e04f7c46cef,O=S(=O)(c1ccc(C(F)(F)F)cc1)c1ccc(O)c2ncccc12,OK,,,24,24,24,true,-0.0001,0.0010,0.0011,0.0341,0.3750,3,4,1,0.0010
007862c0-3ea2-4c25-8c58-e0eb961f777d,C=C(C#N)C(=O)NCCc1cccc2c1NC(=O)C21OCC2(COC3(OC2)C(=O)Nc2ccccc23)CO1,OK,,,38,38,38,true,0.0003,-0.0010,0.0013,0.0433,0.6842,5,5,0,0.0014
007862c0-3ea2-4c25-8c58-e0eb961f777d,C=C(C#N)C(=O)NCCc1cccc2c1NC(=O)C21OCC2(COC3(OC2)C(=O)Nc2ccccc23)CO1,OK,,,38,38,38,true,0.0003,-0.0010,0.0013,0.0433,0.6842,5,5,0,0.0014
007862c0-3ea2-4c25-8c58-e0eb961f777d,C=C(C#N)C(=O)NCCc1cccc2c1NC(=O)C21OCC2(COC3(OC2)C(=O)Nc2ccccc23)CO1,OK,,,38,38,38,true,0.0003,-0.0010,0.0013,0.0433,0.6842,5,5,0,0.0014
007862c0-3ea2-4c25-8c58-e0eb961f777d,C=C(C#N)C(=O)NCCc1cccc2c1NC(=O)C21OCC2(COC3(OC2)C(=O)Nc2ccccc23)CO1,OK,,,38,38,38,true,0.0003,-0.0010,0.0013,0.0433,0.6842,5,5,0,0.0014
00b29c3c-5d7a-4761-9e17-b45a14f22e9e,C=C(C(=O)c1ccc(Cl)cc1)n1cnc2ccccc21,OK,,,20,20,20,true,-0.0001,0.0020,0.0021,0.0454,0.3000,3,3,0,0.0010
00bd6492-0a15-4ab7-aa1b-c678de9f0ad6,CCN1CCN(C(=O)C2=COCCC2)C[C@@H]1c1ncc[nH]1,OK,,,21,21,21,true,0.0003,0.0020,0.0017,0.0772,0.8095,3,4,1,0.0010
00ea4837-45d2-4d1e-910c-be3e18d258aa,CCC(C)(C)n1nnnc1C(c1cc2ccc(OC)cc2[nH]c1=O)N1CCN(C2CCCCC2)CC1,OK,,,36,36,36,true,-0.0005,0.0000,0.0005,0.0576,0.6944,7,7,0,0.0010
00ea4837-45d2-4d1e-910c-be3e18d258aa,CCC(C)(C)n1nnnc1C(c1cc2ccc(OC)cc2[nH]c1=O)N1CCN(C2CCCCC2)CC1,OK,,,36,36,36,true,-0.0005,0.0000,0.0005,0.0576,0.6944,7,7,0,0.0010
00ea4837-45d2-4d1e-910c-be3e18d258aa,CCC(C)(C)n1nnnc1C(c1cc2ccc(OC)cc2[nH]c1=O)N1CCN(C2CCCCC2)CC1,OK,,,36,36,36,true,-0.0005,0.0000,0.0005,0.0576,0.6944,7,7,0,0.0010
00ea4837-45d2-4d1e-910c-be3e18d258aa,CCC(C)(C)n1nnnc1C(c1cc2ccc(OC)cc2[nH]c1=O)N1CCN(C2CCCCC2)CC1,OK,,,36,36,36,true,-0.0005,0.0000,0.0005,0.0576,0.6944,7,7,0,0.0010
00ea4837-45d2-4d1e-910c-be3e18d258aa,CCC(C)(C)n1nnnc1C(c1cc2ccc(OC)cc2[nH]c1=O)N1CCN(C2CCCCC2)CC1,OK,,,36,36,36,true,-0.0005,0.0000,0.0005,0.0576,0.6944,7,7,0,0.0010
00ea4837-45d2-4d1e-910c-be3e18d258aa,CCC(C)(C)n1nnnc1C(c1cc2ccc(OC)cc2[nH]c1=O)N1CCN(C2CCCCC2)CC1,OK,,,36,36,36,true,-0.0005,0.0000,0.0005,0.0576,0.6944,7,7,0,0.0010
00ea4837-45d2-4d1e-910c-be3e18d258aa,CCC(C)(C)n1nnnc1C(c1cc2ccc(OC)cc2[nH]c1=O)N1CCN(C2CCCCC2)CC1,OK,,,36,36,36,true,-0.0005,0.0000,0.0005,0.0576,0.6944,7,7,0,0.0010
00fd6c8f-20b2-49ed-b224-a96e086a2422,CC(C)(C)OC(=O)N1CC[C@H](NC(=O)C(F)(F)F)C1,FAILED,missing-hydrogens,Unsupported ligand 603 [UNUSABLE_HYDROGEN_REFERENCE_GEOMETRY]: CCD-free hydrogen addition is not supported; supply an SDF with explicit hydrogens.,,,,,,,,,,,,,
00ffec67-d01a-4717-83dd-a04c121e4251,C=CC(=O)NCCC(=O)N1CCC[C@]2(CCCC[C@H]2O)C1,OK,,,21,21,21,true,-0.0005,-0.0010,0.0005,0.0598,1.0000,4,6,2,0.0010
00ffec67-d01a-4717-83dd-a04c121e4251,C=CC(=O)NCCC(=O)N1CCC[C@]2(CCCC[C@H]2O)C1,OK,,,21,21,21,true,-0.0005,-0.0010,0.0005,0.0598,1.0000,4,6,2,0.0010
00ffec67-d01a-4717-83dd-a04c121e4251,C=CC(=O)NCCC(=O)N1CCC[C@]2(CCCC[C@H]2O)C1,OK,,,21,21,21,true,-0.0005,-0.0010,0.0005,0.0598,1.0000,4,6,2,0.0010
00ffec67-d01a-4717-83dd-a04c121e4251,C=CC(=O)NCCC(=O)N1CCC[C@]2(CCCC[C@H]2O)C1,OK,,,21,21,21,true,-0.0005,-0.0010,0.0005,0.0598,1.0000,4,6,2,0.0010
014005a9-11c7-4389-a4ba-b41b1d5e69a3,COCc1nnc2n1CCN(C(=O)C1=CCCCC1)[C@@H]2C,OK,,,21,21,21,true,0.0003,0.0010,0.0007,0.0606,0.8571,3,4,1,0.0014
019f02a9-a9d3-4cce-9942-53128ea6462b,CNCCN(C)Cc1n[nH]cc1-c1ccc(Oc2cccc(C(=O)N(C)C)c2)cc1,OK,,,30,30,30,true,-0.0003,0.0030,0.0033,0.0661,0.4667,9,9,0,0.0010
01e1c34a-ca3f-4ce9-b322-f9e2a1c02931,COc1cccc(NCCC2(c3ccc(F)cc3)CCOC(C)(C)C2)c1,OK,,,26,26,26,true,-0.0003,-0.0010,0.0007,0.0641,0.5000,6,6,0,0.0010
02584296-e359-47b0-9193-5519998be28a,O=C([C@@H]1CCCSC1)N1CCC[C@H](Cc2nn[nH]n2)C1,OK,,,20,20,20,true,-0.0002,-0.0000,0.0002,0.0518,0.9000,3,4,1,0.0010
035171a9-e929-4b4b-a059-108342e2e8a4,CCOCN(C)C(=O)N1C[C@H]2CN(c3ccncc3F)C[C@H]2[C@@H]1c1ccc(OC)cc1,OK,,,31,31,31,true,-0.0000,0.0020,0.0020,0.0759,0.6129,6,8,2,0.0014
035171a9-e929-4b4b-a059-108342e2e8a4,CCOCN(C)C(=O)N1C[C@H]2CN(c3ccncc3F)C[C@H]2[C@@H]1c1ccc(OC)cc1,OK,,,31,31,31,true,0.0000,0.0020,0.0020,0.0759,0.6129,6,8,2,0.0014
0387dd50-9159-44fc-aeef-a4e8f3fbc261,N#CC1(c2ccccn2)CCN(Cc2cc(C(=O)O)c(=O)n3ccccc23)CC1,OK,,,29,29,29,true,-0.0005,0.0010,0.0015,0.0486,0.5172,5,6,1,0.0010
0387dd50-9159-44fc-aeef-a4e8f3fbc261,N#CC1(c2ccccn2)CCN(Cc2cc(C(=O)O)c(=O)n3ccccc23)CC1,OK,,,29,29,29,true,-0.0005,0.0010,0.0015,0.0486,0.5172,5,6,1,0.0010
0387dd50-9159-44fc-aeef-a4e8f3fbc261,N#CC1(c2ccccn2)CCN(Cc2cc(C(=O)O)c(=O)n3ccccc23)CC1,OK,,,29,29,29,true,-0.0005,0.0010,0.0015,0.0486,0.5172,5,6,1,0.0010
03b6e0fc-f0ce-42ca-b0a9-cd04ad4921db,C=C(C#N)C(=O)NCCc1cc(-c2nn3c(N4CCC(O)CC4)nccc3c2-c2ccc3c(c2)CC(=O)N3)ccc1C(F)(F)F,OK,,,45,45,45,true,0.0005,-0.0010,0.0015,0.0427,0.5556,9,10,1,0.0010
03b6e0fc-f0ce-42ca-b0a9-cd04ad4921db,C=C(C#N)C(=O)NCCc1cc(-c2nn3c(N4CCC(O)CC4)nccc3c2-c2ccc3c(c2)CC(=O)N3)ccc1C(F)(F)F,OK,,,45,45,45,true,0.0005,-0.0010,0.0015,0.0427,0.5556,9,10,1,0.0010
03b6e0fc-f0ce-42ca-b0a9-cd04ad4921db,C=C(C#N)C(=O)NCCc1cc(-c2nn3c(N4CCC(O)CC4)nccc3c2-c2ccc3c(c2)CC(=O)N3)ccc1C(F)(F)F,OK,,,45,45,45,true,0.0005,-0.0010,0.0015,0.0427,0.5556,9,10,1,0.0010
03b6e0fc-f0ce-42ca-b0a9-cd04ad4921db,C=C(C#N)C(=O)NCCc1cc(-c2nn3c(N4CCC(O)CC4)nccc3c2-c2ccc3c(c2)CC(=O)N3)ccc1C(F)(F)F,OK,,,45,45,45,true,0.0005,-0.0010,0.0015,0.0427,0.5556,9,10,1,0.0010
03de46d0-345a-4db5-8411-51e33c63cb7a,CC(c1ccc2c(c1)OCO2)n1c(=O)c2oc3ccccc3c2n(CC(=O)Nc2ccccc2C(F)(F)F)c1=O,OK,,,40,40,40,true,0.0004,0.0020,0.0016,0.0621,0.4500,6,6,0,0.0010
03de46d0-345a-4db5-8411-51e33c63cb7a,CC(c1ccc2c(c1)OCO2)n1c(=O)c2oc3ccccc3c2n(CC(=O)Nc2ccccc2C(F)(F)F)c1=O,OK,,,40,40,40,true,0.0004,0.0020,0.0016,0.0621,0.4500,6,6,0,0.0010
03dec65e-0af6-4682-88a3-d6ad360ccce4,Cc1cc(C[C@@H]2CN(c3ccncc3F)C[C@@H]2O)n[nH]1,OK,,,20,20,20,true,0.0002,-0.0010,0.0012,0.0541,0.5000,3,4,1,0.0010
03dec65e-0af6-4682-88a3-d6ad360ccce4,Cc1cc(C[C@@H]2CN(c3ccncc3F)C[C@@H]2O)n[nH]1,OK,,,20,20,20,true,0.0002,-0.0010,0.0012,0.0541,0.5000,3,4,1,0.0010
03dec65e-0af6-4682-88a3-d6ad360ccce4,Cc1cc(C[C@@H]2CN(c3ccncc3F)C[C@@H]2O)n[nH]1,OK,,,20,20,20,true,0.0002,-0.0010,0.0012,0.0541,0.5000,3,4,1,0.0010
03dec65e-0af6-4682-88a3-d6ad360ccce4,Cc1cc(C[C@@H]2CN(c3ccncc3F)C[C@@H]2O)n[nH]1,OK,,,20,20,20,true,0.0002,-0.0010,0.0012,0.0541,0.5000,3,4,1,0.0010
0404902a-34be-4cfe-b594-c78ee4008346,C=C(C#N)C(=O)NCCCc1ccccc1[C@H]1[C@H](NC(=O)c2ccc(F)cc2)[C@](C)(O)CCN1S(C)(=O)=O,OK,,,38,38,38,true,0.0003,0.0020,0.0017,0.0424,0.6842,10,11,1,0.0010
0404902a-34be-4cfe-b594-c78ee4008346,C=C(C#N)C(=O)NCCCc1ccccc1[C@H]1[C@H](NC(=O)c2ccc(F)cc2)[C@](C)(O)CCN1S(C)(=O)=O,OK,,,38,38,38,true,0.0003,0.0020,0.0017,0.0424,0.6842,10,11,1,0.0010
0404902a-34be-4cfe-b594-c78ee4008346,C=C(C#N)C(=O)NCCCc1ccccc1[C@H]1[C@H](NC(=O)c2ccc(F)cc2)[C@](C)(O)CCN1S(C)(=O)=O,OK,,,38,38,38,true,0.0003,0.0020,0.0017,0.0424,0.6842,10,11,1,0.0010
0404902a-34be-4cfe-b594-c78ee4008346,C=C(C#N)C(=O)NCCCc1ccccc1[C@H]1[C@H](NC(=O)c2ccc(F)cc2)[C@](C)(O)CCN1S(C)(=O)=O,OK,,,38,38,38,true,0.0003,0.0020,0.0017,0.0424,0.6842,10,11,1,0.0010
041a152b-424f-4904-998f-c86ad446df79,Cc1nc(C)n([C@H]2CCCN(C(=O)C3=COCC3)C2)n1,OK,,,20,20,20,true,-0.0001,0.0020,0.0021,0.0739,0.8500,2,3,1,0.0000
041a152b-424f-4904-998f-c86ad446df79,Cc1nc(C)n([C@H]2CCCN(C(=O)C3=COCC3)C2)n1,OK,,,20,20,20,true,-0.0001,0.0020,0.0021,0.0739,0.8500,2,3,1,0.0000
041a152b-424f-4904-998f-c86ad446df79,Cc1nc(C)n([C@H]2CCCN(C(=O)C3=COCC3)C2)n1,OK,,,20,20,20,true,-0.0001,0.0020,0.0021,0.0739,0.8500,2,3,1,0.0000
041a152b-424f-4904-998f-c86ad446df79,Cc1nc(C)n([C@H]2CCCN(C(=O)C3=COCC3)C2)n1,OK,,,20,20,20,true,-0.0001,0.0020,0.0021,0.0739,0.8500,2,3,1,0.0000
041f086c-972a-43b1-bad5-6e3067b76907,O=C([C@@H]1CCCN(c2ccc(F)cc2)C1)N1CCOCC1,OK,,,21,21,21,true,0.0004,-0.0010,0.0014,0.0660,0.6667,2,2,0,0.0010
041f086c-972a-43b1-bad5-6e3067b76907,O=C([C@@H]1CCCN(c2ccc(F)cc2)C1)N1CCOCC1,OK,,,21,21,21,true,0.0004,-0.0010,0.0014,0.0660,0.6667,2,2,0,0.0010
041f086c-972a-43b1-bad5-6e3067b76907,O=C([C@@H]1CCCN(c2ccc(F)cc2)C1)N1CCOCC1,OK,,,21,21,21,true,0.0004,-0.0010,0.0014,0.0660,0.6667,2,2,0,0.0010
042765e9-81b3-48b3-adb8-38364e7f8467,O=C(C=C(C1CC1)C1CC1)N1CCC(c2nn[nH]n2)CC1,OK,,,21,21,21,true,-0.0010,-0.0040,0.0030,0.0487,0.9048,4,4,0,0.0010
04409cd7-f480-4de7-a3b3-01d56d76a650,COc1cc(C#N)ccc1S(=O)(=O)Nc1ccc2c(c1)cc(C)c(=O)n2C,OK,,,27,27,27,true,0.0004,0.0010,0.0006,0.0543,0.4074,5,5,0,0.0010
04409cd7-f480-4de7-a3b3-01d56d76a650,COc1cc(C#N)ccc1S(=O)(=O)Nc1ccc2c(c1)cc(C)c(=O)n2C,OK,,,27,27,27,true,0.0004,0.0010,0.0006,0.0543,0.4074,5,5,0,0.0010
04409cd7-f480-4de7-a3b3-01d56d76a650,COc1cc(C#N)ccc1S(=O)(=O)Nc1ccc2c(c1)cc(C)c(=O)n2C,OK,,,27,27,27,true,0.0004,0.0010,0.0006,0.0543,0.4074,5,5,0,0.0010
047351c7-6a69-421e-945c-0a7f903527ef,O=C(O)[C@H](Cc1c[nH]c2ccccc12)N1C(=O)C=CC1=O,OK,,,21,21,21,true,-0.0001,-0.0010,0.0009,0.0553,0.5714,4,5,1,0.0010
04742d55-e821-4e98-8275-aaf7ec3d2c47,CN1CCC(Cc2noc([C@](C)(O)C(F)(F)F)n2)CC1,OK,,,20,20,20,true,0.0000,0.0010,0.0010,0.0434,0.9000,4,5,1,0.0010
0496f3c6-a864-4ba4-8530-6180fbee7729,CCN(c1cc(Cl)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)[C@H]1CC[C@H](C(=O)N2CCCC2)CC1,OK,,,37,37,37,true,-0.0001,-0.0030,0.0029,0.0542,0.6757,7,7,0,0.0010
04b1766e-6892-463e-a444-3fd0b46b28c9,CN(C)C[C@@H]1COCCN(Cc2cc(C(C)(C)C)[nH]n2)C1,OK,,,21,23,21,false,-0.0004,-0.0010,0.0006,0.0587,0.7143,5,5,0,0.0000
04bc64a4-4eec-44fe-884b-e269b934ad6a,CCc1nnc(CN2CCOC[C@@H]2[C@@H]2CCCC[C@H]2O)o1,OK,,,21,21,21,true,-0.0003,-0.0010,0.0007,0.0583,0.9048,4,5,1,0.0010
04d8fe5c-f67d-4611-b89f-0f1431ecd879,C[C@]1(O)CCOC2(CCN(c3ccc(F)cc3)CC2)[C@@H]1O,OK,,,21,21,21,true,-0.0001,0.0020,0.0021,0.0513,0.6667,1,3,2,0.0010
04d8fe5c-f67d-4611-b89f-0f1431ecd879,C[C@]1(O)CCOC2(CCN(c3ccc(F)cc3)CC2)[C@@H]1O,OK,,,21,21,21,true,-0.0001,0.0020,0.0021,0.0513,0.6667,1,3,2,0.0010
04d8fe5c-f67d-4611-b89f-0f1431ecd879,C[C@]1(O)CCOC2(CCN(c3ccc(F)cc3)CC2)[C@@H]1O,OK,,,21,21,21,true,-0.0001,0.0020,0.0021,0.0513,0.6667,1,3,2,0.0010
04f979b5-53f6-4101-947a-7140f8b0f08d,COc1ccccc1C(=O)Nc1cc2c(cc1N1CCCC1)n(C)c(=O)n2C,OK,,,28,28,28,true,-0.0000,-0.0020,0.0020,0.0745,0.5000,4,4,0,0.0010
04f979b5-53f6-4101-947a-7140f8b0f08d,COc1ccccc1C(=O)Nc1cc2c(cc1N1CCCC1)n(C)c(=O)n2C,OK,,,28,28,28,true,-0.0000,-0.0020,0.0020,0.0745,0.5000,4,4,0,0.0010
04f979b5-53f6-4101-947a-7140f8b0f08d,COc1ccccc1C(=O)Nc1cc2c(cc1N1CCCC1)n(C)c(=O)n2C,OK,,,28,28,28,true,-0.0000,-0.0020,0.0020,0.0745,0.5000,4,4,0,0.0010
05291619-3a2f-45f6-b578-248608ada24b,C=CC(=O)N(C)[C@H]1CCN(c2cc(OC)cc(OC)c2)C1,OK,,,21,21,21,true,-0.0003,-0.0010,0.0007,0.0988,0.6667,5,6,1,0.0010
05291619-3a2f-45f6-b578-248608ada24b,C=CC(=O)N(C)[C@H]1CCN(c2cc(OC)cc(OC)c2)C1,OK,,,21,21,21,true,-0.0003,-0.0010,0.0007,0.0988,0.6667,5,6,1,0.0010
05291619-3a2f-45f6-b578-248608ada24b,C=CC(=O)N(C)[C@H]1CCN(c2cc(OC)cc(OC)c2)C1,OK,,,21,21,21,true,-0.0003,-0.0010,0.0007,0.0988,0.6667,5,6,1,0.0010
05291619-3a2f-45f6-b578-248608ada24b,C=CC(=O)N(C)[C@H]1CCN(c2cc(OC)cc(OC)c2)C1,OK,,,21,21,21,true,-0.0003,-0.0010,0.0007,0.0988,0.6667,5,6,1,0.0010
053c6973-993d-466d-9376-addff1dae614,CC1(C)CC(NC(=O)c2ccc(Oc3ccccc3C#N)c(Cl)c2)CC(C)(C)N1CCO,OK,,,32,32,32,true,-0.0005,0.0030,0.0035,0.0493,0.6250,7,8,1,0.0010
055d3889-dd78-4e15-bc88-1f4021d97270,CNCCN1CCC(OCc2cccc(C(F)(F)F)c2)CC1,OK,,,22,22,22,true,-0.0005,0.0010,0.0015,0.0465,0.7273,7,7,0,0.0010
056cc035-8043-4e24-8837-62539be1e854,O=C([C@H]1CCCN(c2ccc(F)cc2)C1)N1CCOCC1,OK,,,21,21,21,true,0.0004,-0.0010,0.0014,0.0660,0.6667,2,2,0,0.0010
056cc035-8043-4e24-8837-62539be1e854,O=C([C@H]1CCCN(c2ccc(F)cc2)C1)N1CCOCC1,OK,,,21,21,21,true,0.0004,-0.0010,0.0014,0.0660,0.6667,2,2,0,0.0010
056cc035-8043-4e24-8837-62539be1e854,O=C([C@H]1CCCN(c2ccc(F)cc2)C1)N1CCOCC1,OK,,,21,21,21,true,0.0004,-0.0010,0.0014,0.0660,0.6667,2,2,0,0.0010
058b5b40-9757-4808-9dd9-9d5b2e7ef628,COc1cc(CO)c(-c2cn3ccc(N4CCCN(S(C)(=O)=O)CC4)cc3n2)cc1Cl,OK,,,31,33,31,false,0.0000,-0.0010,0.0010,0.0595,0.4516,5,6,1,0.0014
061d9df6-6757-4092-9ebc-a95c3eb43b50,CCN(c1cc(Br)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)C1CCOCC1,OK,,,30,30,30,true,-0.0001,-0.0010,0.0009,0.0538,0.6000,6,6,0,0.0010
067943da-5c79-4b64-9ea4-0d48ff7fca49,COc1cc(OC)c(-c2cn3ccc(N4CCC(O)CC4)cc3n2)cc1Cl,OK,,,27,27,27,true,0.0004,0.0010,0.0006,0.0767,0.4444,4,5,1,0.0010
067e4ac1-179e-4821-909e-ba47439b6364,C[C@H]1C[C@@H](NC(=O)c2cc(C3CC3)on2)CCN1S(=O)(=O)CCCNCc1ccc(C(F)(F)F)cc1,OK,,,36,36,36,true,-0.0005,0.0010,0.0015,0.0451,0.7500,11,11,0,0.0010
06cb05d7-0ba3-4064-bd2e-04c3a4071b55,CC(C)n1ncc2cc(NC(=O)C3=COCCO3)cnc21,OK,,,21,21,21,true,-0.0003,-0.0020,0.0017,0.0806,0.6667,3,3,0,0.0010
06de8bde-20b5-4121-9111-61d7ba6983fe,CCC(=O)NS(=O)(=O)c1ccc(-c2c(-c3ccccc3)noc2C)cc1,OK,,,26,26,26,true,-0.0001,-0.0000,0.0001,0.0478,0.4231,5,5,0,0.0010
06de8bde-20b5-4121-9111-61d7ba6983fe,CCC(=O)NS(=O)(=O)c1ccc(-c2c(-c3ccccc3)noc2C)cc1,OK,,,26,26,26,true,-0.0001,-0.0000,0.0001,0.0478,0.4231,5,5,0,0.0010
06de8bde-20b5-4121-9111-61d7ba6983fe,CCC(=O)NS(=O)(=O)c1ccc(-c2c(-c3ccccc3)noc2C)cc1,OK,,,26,26,26,true,-0.0001,-0.0000,0.0001,0.0478,0.4231,5,5,0,0.0010
0728703e-0e74-4a3d-92ce-9cea9904bf05,CNCCN(C)Cc1nn2c(c1C1CCCCC1)CCC2,OK,,,21,21,21,true,-0.0001,0.0010,0.0011,0.0579,0.8095,6,6,0,0.0010
