compound_id,smiles,status,failure_category,failure_detail,our_heavy,meeko_heavy,matched_heavy,atoms_match,our_total_charge,meeko_total_charge,total_charge_delta,charge_mad,type_agreement,torsdof_ours,torsdof_meeko,torsdof_delta,rotors_ours,rotors_meeko,rotors_matched,max_coord_delta
0047cd74-9bce-43e1-91f0-0e04f7c46cef,O=S(=O)(c1ccc(C(F)(F)F)cc1)c1ccc(O)c2ncccc12,OK,,,24,24,24,true,-0.0003,0.0010,0.0013,0.0252,1.0000,3,4,1,3,4,2,0.0010
007862c0-3ea2-4c25-8c58-e0eb961f777d,C=C(C#N)C(=O)NCCc1cccc2c1NC(=O)C21OCC2(COC3(OC2)C(=O)Nc2ccccc23)CO1,OK,,,38,38,38,true,0.0005,-0.0010,0.0015,0.0316,1.0000,5,5,0,5,5,3,0.0010
007862c0-3ea2-4c25-8c58-e0eb961f777d,C=C(C#N)C(=O)NCCc1cccc2c1NC(=O)C21OCC2(COC3(OC2)C(=O)Nc2ccccc23)CO1,OK,,,38,38,38,true,0.0005,-0.0010,0.0015,0.0316,1.0000,5,5,0,5,5,3,0.0010
007862c0-3ea2-4c25-8c58-e0eb961f777d,C=C(C#N)C(=O)NCCc1cccc2c1NC(=O)C21OCC2(COC3(OC2)C(=O)Nc2ccccc23)CO1,OK,,,38,38,38,true,0.0005,-0.0010,0.0015,0.0316,1.0000,5,5,0,5,5,3,0.0010
007862c0-3ea2-4c25-8c58-e0eb961f777d,C=C(C#N)C(=O)NCCc1cccc2c1NC(=O)C21OCC2(COC3(OC2)C(=O)Nc2ccccc23)CO1,OK,,,38,38,38,true,0.0005,-0.0010,0.0015,0.0316,1.0000,5,5,0,5,5,3,0.0010
00b29c3c-5d7a-4761-9e17-b45a14f22e9e,C=C(C(=O)c1ccc(Cl)cc1)n1cnc2ccccc21,OK,,,20,20,20,true,-0.0003,0.0020,0.0023,0.0364,1.0000,3,3,0,3,3,2,0.0010
00bd6492-0a15-4ab7-aa1b-c678de9f0ad6,CCN1CCN(C(=O)C2=COCCC2)C[C@@H]1c1ncc[nH]1,OK,,,21,21,21,true,0.0002,0.0020,0.0018,0.0503,1.0000,3,4,1,3,4,2,0.0010
00ea4837-45d2-4d1e-910c-be3e18d258aa,CCC(C)(C)n1nnnc1C(c1cc2ccc(OC)cc2[nH]c1=O)N1CCN(C2CCCCC2)CC1,OK,,,36,36,36,true,0.0000,0.0000,0.0000,0.0413,1.0000,7,7,0,7,7,5,0.0010
00ea4837-45d2-4d1e-910c-be3e18d258aa,CCC(C)(C)n1nnnc1C(c1cc2ccc(OC)cc2[nH]c1=O)N1CCN(C2CCCCC2)CC1,OK,,,36,36,36,true,0.0000,0.0000,0.0000,0.0413,1.0000,7,7,0,7,7,5,0.0010
00ea4837-45d2-4d1e-910c-be3e18d258aa,CCC(C)(C)n1nnnc1C(c1cc2ccc(OC)cc2[nH]c1=O)N1CCN(C2CCCCC2)CC1,OK,,,36,36,36,true,0.0000,0.0000,0.0000,0.0413,1.0000,7,7,0,7,7,5,0.0010
00ea4837-45d2-4d1e-910c-be3e18d258aa,CCC(C)(C)n1nnnc1C(c1cc2ccc(OC)cc2[nH]c1=O)N1CCN(C2CCCCC2)CC1,OK,,,36,36,36,true,0.0000,0.0000,0.0000,0.0413,1.0000,7,7,0,7,7,5,0.0010
00ea4837-45d2-4d1e-910c-be3e18d258aa,CCC(C)(C)n1nnnc1C(c1cc2ccc(OC)cc2[nH]c1=O)N1CCN(C2CCCCC2)CC1,OK,,,36,36,36,true,0.0000,0.0000,0.0000,0.0413,1.0000,7,7,0,7,7,5,0.0010
00ea4837-45d2-4d1e-910c-be3e18d258aa,CCC(C)(C)n1nnnc1C(c1cc2ccc(OC)cc2[nH]c1=O)N1CCN(C2CCCCC2)CC1,OK,,,36,36,36,true,0.0000,0.0000,0.0000,0.0413,1.0000,7,7,0,7,7,5,0.0010
00ea4837-45d2-4d1e-910c-be3e18d258aa,CCC(C)(C)n1nnnc1C(c1cc2ccc(OC)cc2[nH]c1=O)N1CCN(C2CCCCC2)CC1,OK,,,36,36,36,true,0.0000,0.0000,0.0000,0.0413,1.0000,7,7,0,7,7,5,0.0010
00fd6c8f-20b2-49ed-b224-a96e086a2422,CC(C)(C)OC(=O)N1CC[C@H](NC(=O)C(F)(F)F)C1,FAILED,missing-hydrogens,Unsupported ligand 603 [UNUSABLE_HYDROGEN_REFERENCE_GEOMETRY]: CCD-free hydrogen addition is not supported; supply an SDF with explicit hydrogens.,,,,,,,,,,,,,,,,
00ffec67-d01a-4717-83dd-a04c121e4251,C=CC(=O)NCCC(=O)N1CCC[C@]2(CCCC[C@H]2O)C1,OK,,,21,21,21,true,-0.0002,-0.0010,0.0008,0.0451,1.0000,4,6,2,4,6,3,0.0010
