id,name,status,failure_category,failure_detail,our_heavy,meeko_heavy,matched_heavy,atoms_match,our_total_charge,meeko_total_charge,total_charge_delta,charge_mad,type_agreement,torsdof_ours,torsdof_meeko,torsdof_delta,rotors_ours,rotors_meeko,rotors_matched,max_coord_delta
Conformer3D-COMPOUND-CID-439155,439155,OK,,,26,26,26,true,-0.0001,-0.0000,0.0001,0.0299,1.0000,7,12,5,7,12,7,0.0010
SAM-ideal,SAM,OK,,,27,27,27,true,-0.0004,0.0040,0.0044,0.0661,1.0000,7,11,4,7,11,7,0.0000
dcmb-DCMB-3D,1215,OK,,,11,11,11,true,0.0002,0.0010,0.0008,0.0287,1.0000,1,2,1,1,2,1,0.0010
dcmb-diffdock-7a-rank1-confidence-0-49686935544013977,1215_rank1,OK,,,11,11,11,true,0.0002,0.0010,0.0008,0.0287,1.0000,1,2,1,1,2,1,0.0010
dcmb-diffdock-7a-rank10-confidence-1-0103718042373657,1215_rank10,OK,,,11,11,11,true,0.0002,0.0010,0.0008,0.0287,1.0000,1,2,1,1,2,1,0.0010
dcmb-diffdock-7a-rank11-confidence-1-0700891017913818,1215_rank11,OK,,,11,11,11,true,0.0002,0.0010,0.0008,0.0287,1.0000,1,2,1,1,2,1,0.0010
dcmb-diffdock-7a-rank12-confidence-1-0745357275009155,1215_rank12,OK,,,11,11,11,true,0.0002,0.0010,0.0008,0.0287,1.0000,1,2,1,1,2,0,0.0010
dcmb-diffdock-7a-rank13-confidence-1-5667519569396973,1215_rank13,OK,,,11,11,11,true,0.0002,0.0010,0.0008,0.0287,1.0000,1,2,1,1,2,1,0.0010
dcmb-diffdock-7a-rank14-confidence-1-6445738077163696,1215_rank14,OK,,,11,11,11,true,0.0002,0.0010,0.0008,0.0287,1.0000,1,2,1,1,2,0,0.0010
dcmb-diffdock-7a-rank15-confidence-1-6825169324874878,1215_rank15,OK,,,11,11,11,true,0.0002,0.0010,0.0008,0.0287,1.0000,1,2,1,1,2,1,0.0010
dcmb-diffdock-7a-rank16-confidence-1-6894375085830688,1215_rank16,OK,,,11,11,11,true,0.0002,0.0010,0.0008,0.0287,1.0000,1,2,1,1,2,1,0.0010
dcmb-diffdock-7a-rank17-confidence-1-6925227642059326,1215_rank17,OK,,,11,11,11,true,0.0002,0.0010,0.0008,0.0287,1.0000,1,2,1,1,2,1,0.0010
dcmb-diffdock-7a-rank18-confidence-1-9126712083816528,1215_rank18,OK,,,11,11,11,true,0.0002,0.0010,0.0008,0.0287,1.0000,1,2,1,1,2,0,0.0010
dcmb-diffdock-7a-rank19-confidence-2-0488317012786865,1215_rank19,OK,,,11,11,11,true,0.0002,0.0010,0.0008,0.0287,1.0000,1,2,1,1,2,1,0.0010
dcmb-diffdock-7a-rank2-confidence-0-6450223922729492,1215_rank2,OK,,,11,11,11,true,0.0002,0.0010,0.0008,0.0287,1.0000,1,2,1,1,2,1,0.0010
dcmb-diffdock-7a-rank20-confidence-5-883161544799805,1215_rank20,OK,,,11,11,11,true,0.0002,0.0010,0.0008,0.0287,1.0000,1,2,1,1,2,1,0.0010
dcmb-diffdock-7a-rank3-confidence-0-6759176850318909,1215_rank3,OK,,,11,11,11,true,0.0002,0.0010,0.0008,0.0287,1.0000,1,2,1,1,2,1,0.0010
dcmb-diffdock-7a-rank4-confidence-0-7123895287513733,1215_rank4,OK,,,11,11,11,true,0.0002,0.0010,0.0008,0.0287,1.0000,1,2,1,1,2,1,0.0010
dcmb-diffdock-7a-rank5-confidence-0-7165101766586304,1215_rank5,OK,,,11,11,11,true,0.0002,0.0010,0.0008,0.0287,1.0000,1,2,1,1,2,1,0.0010
dcmb-diffdock-7a-rank6-confidence-0-7730787992477417,1215_rank6,OK,,,11,11,11,true,0.0002,0.0010,0.0008,0.0287,1.0000,1,2,1,1,2,1,0.0010
dcmb-diffdock-7a-rank7-confidence-0-8561436533927917,1215_rank7,OK,,,11,11,11,true,0.0002,0.0010,0.0008,0.0287,1.0000,1,2,1,1,2,0,0.0010
dcmb-diffdock-7a-rank8-confidence-0-8862040042877197,1215_rank8,OK,,,11,11,11,true,0.0002,0.0010,0.0008,0.0287,1.0000,1,2,1,1,2,1,0.0000
dcmb-diffdock-7a-rank9-confidence-0-9689660668373108,1215_rank9,OK,,,11,11,11,true,0.0002,0.0010,0.0008,0.0287,1.0000,1,2,1,1,2,1,0.0010
dcmb-diffdock-7b-rank1-confidence-0-8127425312995911,1215_rank1,OK,,,11,11,11,true,0.0002,0.0010,0.0008,0.0287,1.0000,1,2,1,1,2,1,0.0010
dcmb-diffdock-7b-rank10-confidence-2-0180702209472656,1215_rank10,OK,,,11,11,11,true,0.0002,0.0010,0.0008,0.0287,1.0000,1,2,1,1,2,1,0.0010
dcmb-diffdock-7b-rank11-confidence-2-0987160205841064,1215_rank11,OK,,,11,11,11,true,0.0002,0.0010,0.0008,0.0287,1.0000,1,2,1,1,2,1,0.0010
dcmb-diffdock-7b-rank12-confidence-2-29799222946167,1215_rank12,OK,,,11,11,11,true,0.0002,0.0010,0.0008,0.0287,1.0000,1,2,1,1,2,1,0.0010
dcmb-diffdock-7b-rank13-confidence-2-339716672897339,1215_rank13,OK,,,11,11,11,true,0.0002,0.0010,0.0008,0.0287,1.0000,1,2,1,1,2,0,0.0010
dcmb-diffdock-7b-rank14-confidence-2-8463947772979736,1215_rank14,OK,,,11,11,11,true,0.0002,0.0010,0.0008,0.0287,1.0000,1,2,1,1,2,0,0.0010
dcmb-diffdock-7b-rank15-confidence-3-1965653896331787,1215_rank15,OK,,,11,11,11,true,0.0002,0.0010,0.0008,0.0287,1.0000,1,2,1,1,2,1,0.0010
dcmb-diffdock-7b-rank16-confidence-3-5190718173980713,1215_rank16,OK,,,11,11,11,true,0.0002,0.0010,0.0008,0.0287,1.0000,1,2,1,1,2,1,0.0010
dcmb-diffdock-7b-rank17-confidence-4-262777805328369,1215_rank17,OK,,,11,11,11,true,0.0002,0.0010,0.0008,0.0287,1.0000,1,2,1,1,2,1,0.0000
dcmb-diffdock-7b-rank18-confidence-4-508920669555664,1215_rank18,OK,,,11,11,11,true,0.0002,0.0010,0.0008,0.0287,1.0000,1,2,1,1,2,1,0.0010
dcmb-diffdock-7b-rank19-confidence-4-629354476928711,1215_rank19,OK,,,11,11,11,true,0.0002,0.0010,0.0008,0.0287,1.0000,1,2,1,1,2,1,0.0000
dcmb-diffdock-7b-rank2-confidence-0-8770012855529785,1215_rank2,OK,,,11,11,11,true,0.0002,0.0010,0.0008,0.0287,1.0000,1,2,1,1,2,1,0.0010
dcmb-diffdock-7b-rank20-confidence-5-647283554077148,1215_rank20,OK,,,11,11,11,true,0.0002,0.0010,0.0008,0.0287,1.0000,1,2,1,1,2,1,0.0010
dcmb-diffdock-7b-rank3-confidence-1-4285701513290405,1215_rank3,OK,,,11,11,11,true,0.0002,0.0010,0.0008,0.0287,1.0000,1,2,1,1,2,1,0.0010
dcmb-diffdock-7b-rank4-confidence-1-4479358196258545,1215_rank4,OK,,,11,11,11,true,0.0002,0.0010,0.0008,0.0287,1.0000,1,2,1,1,2,1,0.0010
