arm,residue,interaction_type,recurrent_basins_with_edge,persistent_recurrent_basins,total_recurrent_basins,member_poses_with_edge,independent_seeds
AR_13503_DEESTERIFIED_A,151,HYDROPHOBIC_CONTACT,17,16,19,39,3
AR_13503_DEESTERIFIED_A,151,PI_CATION,9,9,19,21,3
AR_13503_DEESTERIFIED_A,196,PI_CATION,1,0,19,1,1
AR_13503_DEESTERIFIED_A,196,PI_STACK_T_SHAPED,5,5,19,12,3
AR_13503_DEESTERIFIED_B,151,HYDROGEN_BOND,2,1,17,3,2
AR_13503_DEESTERIFIED_B,151,HYDROPHOBIC_CONTACT,6,4,17,12,3
AR_13503_DEESTERIFIED_B,196,HYDROGEN_BOND,1,1,17,3,3
AR_13503_DEESTERIFIED_B,196,HYDROPHOBIC_CONTACT,5,5,17,13,3
AR_13503_DEESTERIFIED_B,206,HYDROPHOBIC_CONTACT,7,6,17,16,3
AR_13503_DEESTERIFIED_B,206,PI_CATION,3,1,17,6,3
BRANCH_POINT_ENANTIOMER_A,151,HYDROPHOBIC_CONTACT,7,6,7,18,3
BRANCH_POINT_ENANTIOMER_A,151,PI_CATION,3,2,7,6,3
BRANCH_POINT_ENANTIOMER_A,196,PI_STACK_T_SHAPED,4,4,7,11,3
BRANCH_POINT_ENANTIOMER_B,151,HYDROGEN_BOND,1,1,14,3,3
BRANCH_POINT_ENANTIOMER_B,151,HYDROPHOBIC_CONTACT,10,9,14,22,3
BRANCH_POINT_ENANTIOMER_B,196,HYDROPHOBIC_CONTACT,9,7,14,19,3
BRANCH_POINT_ENANTIOMER_B,196,PI_CATION,1,1,14,2,2
BRANCH_POINT_ENANTIOMER_B,206,HYDROPHOBIC_CONTACT,12,9,14,27,3
BRANCH_POINT_ENANTIOMER_B,206,PI_CATION,7,7,14,15,3
DES_ORTHO_METHYL_A,151,HYDROGEN_BOND,1,1,13,2,2
DES_ORTHO_METHYL_A,151,HYDROPHOBIC_CONTACT,13,13,13,33,3
DES_ORTHO_METHYL_A,151,PI_CATION,7,5,13,16,3
DES_ORTHO_METHYL_A,196,PI_STACK_T_SHAPED,6,6,13,15,3
DES_ORTHO_METHYL_B,151,HYDROPHOBIC_CONTACT,4,3,13,8,3
DES_ORTHO_METHYL_B,196,HYDROPHOBIC_CONTACT,8,7,13,19,3
DES_ORTHO_METHYL_B,206,HYDROPHOBIC_CONTACT,11,11,13,23,3
DES_ORTHO_METHYL_B,206,PI_CATION,4,3,13,10,3
DES_PARA_METHYL_A,151,HYDROPHOBIC_CONTACT,12,11,12,28,3
DES_PARA_METHYL_A,151,PI_CATION,6,5,12,13,3
DES_PARA_METHYL_A,196,PI_CATION,1,0,12,1,1
DES_PARA_METHYL_A,196,PI_STACK_T_SHAPED,4,4,12,10,3
DES_PARA_METHYL_B,151,HYDROGEN_BOND,1,1,13,3,3
DES_PARA_METHYL_B,151,HYDROPHOBIC_CONTACT,8,5,13,15,3
DES_PARA_METHYL_B,196,HYDROGEN_BOND,1,1,13,3,3
DES_PARA_METHYL_B,196,HYDROPHOBIC_CONTACT,8,7,13,20,3
DES_PARA_METHYL_B,196,PI_CATION,2,1,13,4,3
DES_PARA_METHYL_B,206,HYDROPHOBIC_CONTACT,12,10,13,29,3
DES_PARA_METHYL_B,206,PI_CATION,6,5,13,13,3
N_ACETYL_AMINE_A,151,HYDROPHOBIC_CONTACT,11,11,12,26,3
N_ACETYL_AMINE_A,151,PI_CATION,7,7,12,15,3
N_ACETYL_AMINE_A,196,PI_STACK_T_SHAPED,4,4,12,10,3
N_ACETYL_AMINE_B,151,HYDROPHOBIC_CONTACT,11,9,15,23,3
N_ACETYL_AMINE_B,196,HYDROPHOBIC_CONTACT,9,8,15,22,3
N_ACETYL_AMINE_B,196,PI_CATION,1,1,15,3,3
N_ACETYL_AMINE_B,206,HYDROPHOBIC_CONTACT,10,7,15,24,3
N_ACETYL_AMINE_B,206,PI_CATION,6,6,15,12,3
QUINOLINE_REGIOISOMER_A,151,HYDROPHOBIC_CONTACT,11,11,11,29,3
QUINOLINE_REGIOISOMER_A,151,PI_CATION,4,3,11,10,3
QUINOLINE_REGIOISOMER_A,196,PI_STACK_T_SHAPED,3,3,11,9,3
QUINOLINE_REGIOISOMER_A,206,HYDROGEN_BOND,1,1,11,2,2
QUINOLINE_REGIOISOMER_B,151,HYDROGEN_BOND,2,2,13,5,3
QUINOLINE_REGIOISOMER_B,151,HYDROPHOBIC_CONTACT,7,5,13,14,3
QUINOLINE_REGIOISOMER_B,196,HYDROGEN_BOND,1,1,13,3,3
QUINOLINE_REGIOISOMER_B,196,HYDROPHOBIC_CONTACT,6,5,13,16,3
QUINOLINE_REGIOISOMER_B,196,PI_CATION,1,1,13,3,3
QUINOLINE_REGIOISOMER_B,206,HYDROPHOBIC_CONTACT,9,8,13,24,3
QUINOLINE_REGIOISOMER_B,206,PI_CATION,4,4,13,11,3
