arm,old_basins,old_recurrent,hardened_basins,hardened_recurrent,changed
AR_13503_DEESTERIFIED_A,33,19,33,19,False
AR_13503_DEESTERIFIED_B,34,17,34,17,False
BRANCH_POINT_ENANTIOMER_A,49,7,49,7,False
BRANCH_POINT_ENANTIOMER_B,39,14,39,14,False
DES_ORTHO_METHYL_A,39,13,39,13,False
DES_ORTHO_METHYL_B,43,13,43,13,False
DES_PARA_METHYL_A,42,12,42,12,False
DES_PARA_METHYL_B,40,13,40,13,False
N_ACETYL_AMINE_A,43,12,43,12,False
N_ACETYL_AMINE_B,40,15,40,15,False
QUINOLINE_REGIOISOMER_A,40,11,40,11,False
QUINOLINE_REGIOISOMER_B,39,13,39,13,False
