arm,residue,interaction_type,old_RECURRENT_BASIN_PRESENCE,old_PERSISTENT_WITHIN_BASIN,old_total_recurrent_basins,hardened_RECURRENT_BASIN_PRESENCE,hardened_PERSISTENT_WITHIN_BASIN,hardened_total_recurrent_basins,changed
AR_13503_DEESTERIFIED_A,126,HYDROPHOBIC_CONTACT,15,11,19,15,11,19,False
AR_13503_DEESTERIFIED_A,128,HYDROGEN_BOND,1,1,19,1,1,19,False
AR_13503_DEESTERIFIED_A,128,HYDROPHOBIC_CONTACT,3,3,19,3,3,19,False
AR_13503_DEESTERIFIED_A,149,HYDROGEN_BOND,3,2,19,3,2,19,False
AR_13503_DEESTERIFIED_A,151,HYDROPHOBIC_CONTACT,17,16,19,17,16,19,False
AR_13503_DEESTERIFIED_A,151,PI_CATION,9,9,19,9,9,19,False
AR_13503_DEESTERIFIED_A,152,HYDROPHOBIC_CONTACT,1,1,19,1,1,19,False
AR_13503_DEESTERIFIED_A,196,PI_CATION,1,0,19,1,0,19,False
AR_13503_DEESTERIFIED_A,196,PI_STACK_T_SHAPED,5,5,19,5,5,19,False
AR_13503_DEESTERIFIED_A,200,HYDROGEN_BOND,2,2,19,2,2,19,False
AR_13503_DEESTERIFIED_A,33,HYDROGEN_BOND,2,1,19,2,1,19,False
AR_13503_DEESTERIFIED_A,33,PI_CATION,3,2,19,3,2,19,False
AR_13503_DEESTERIFIED_A,99,HYDROGEN_BOND,1,0,19,1,0,19,False
AR_13503_DEESTERIFIED_A,99,HYDROPHOBIC_CONTACT,7,5,19,7,5,19,False
AR_13503_DEESTERIFIED_B,126,HYDROPHOBIC_CONTACT,4,4,17,4,4,17,False
AR_13503_DEESTERIFIED_B,149,HYDROGEN_BOND,1,1,17,1,1,17,False
AR_13503_DEESTERIFIED_B,151,HYDROGEN_BOND,2,1,17,2,1,17,False
AR_13503_DEESTERIFIED_B,151,HYDROPHOBIC_CONTACT,6,4,17,6,4,17,False
AR_13503_DEESTERIFIED_B,153,HYDROPHOBIC_CONTACT,2,2,17,2,2,17,False
AR_13503_DEESTERIFIED_B,180,HYDROGEN_BOND,1,1,17,1,1,17,False
AR_13503_DEESTERIFIED_B,185,HYDROPHOBIC_CONTACT,3,2,17,3,2,17,False
AR_13503_DEESTERIFIED_B,189,HYDROPHOBIC_CONTACT,1,1,17,1,1,17,False
AR_13503_DEESTERIFIED_B,196,HYDROGEN_BOND,1,1,17,1,1,17,False
AR_13503_DEESTERIFIED_B,196,HYDROPHOBIC_CONTACT,5,5,17,5,5,17,False
AR_13503_DEESTERIFIED_B,205,HYDROGEN_BOND,3,3,17,3,3,17,False
AR_13503_DEESTERIFIED_B,205,HYDROPHOBIC_CONTACT,1,1,17,1,1,17,False
AR_13503_DEESTERIFIED_B,206,HYDROPHOBIC_CONTACT,7,6,17,7,6,17,False
AR_13503_DEESTERIFIED_B,206,PI_CATION,3,1,17,3,1,17,False
AR_13503_DEESTERIFIED_B,207,HYDROGEN_BOND,5,5,17,5,5,17,False
AR_13503_DEESTERIFIED_B,207,HYDROPHOBIC_CONTACT,4,4,17,4,4,17,False
AR_13503_DEESTERIFIED_B,29,HYDROGEN_BOND,3,2,17,3,2,17,False
AR_13503_DEESTERIFIED_B,33,HYDROGEN_BOND,3,3,17,3,3,17,False
AR_13503_DEESTERIFIED_B,99,HYDROPHOBIC_CONTACT,1,1,17,1,1,17,False
BRANCH_POINT_ENANTIOMER_A,126,HYDROPHOBIC_CONTACT,6,5,7,6,5,7,False
BRANCH_POINT_ENANTIOMER_A,128,HYDROPHOBIC_CONTACT,4,3,7,4,3,7,False
BRANCH_POINT_ENANTIOMER_A,129,HYDROPHOBIC_CONTACT,2,2,7,2,2,7,False
BRANCH_POINT_ENANTIOMER_A,149,HYDROGEN_BOND,1,1,7,1,1,7,False
BRANCH_POINT_ENANTIOMER_A,151,HYDROPHOBIC_CONTACT,7,6,7,7,6,7,False
BRANCH_POINT_ENANTIOMER_A,151,PI_CATION,3,2,7,3,2,7,False
BRANCH_POINT_ENANTIOMER_A,196,PI_STACK_T_SHAPED,4,4,7,4,4,7,False
BRANCH_POINT_ENANTIOMER_A,29,HYDROGEN_BOND,1,1,7,1,1,7,False
BRANCH_POINT_ENANTIOMER_A,33,HYDROGEN_BOND,1,0,7,1,0,7,False
BRANCH_POINT_ENANTIOMER_A,33,PI_CATION,5,5,7,5,5,7,False
BRANCH_POINT_ENANTIOMER_A,99,HYDROGEN_BOND,1,0,7,1,0,7,False
BRANCH_POINT_ENANTIOMER_A,99,HYDROPHOBIC_CONTACT,4,3,7,4,3,7,False
