arm,pose_1,pose_2,field,old,hardened,classification
DES_PARA_METHYL_A,DES_PARA_METHYL_A:172904:model-7,DES_PARA_METHYL_A:483271:model-2,fixed_frame_heavy_rmsd_A,9.934723957977,9.934723957978,LAST_PRINTED_DECIMAL_ONLY
N_ACETYL_AMINE_A,N_ACETYL_AMINE_A:483271:model-14,N_ACETYL_AMINE_A:806519:model-13,fixed_frame_heavy_rmsd_A,8.440304511286,8.440304511287,LAST_PRINTED_DECIMAL_ONLY
QUINOLINE_REGIOISOMER_A,QUINOLINE_REGIOISOMER_A:172904:model-1,QUINOLINE_REGIOISOMER_A:806519:model-2,fixed_frame_heavy_rmsd_A,2.011015649163,2.011015649162,LAST_PRINTED_DECIMAL_ONLY
QUINOLINE_REGIOISOMER_A,QUINOLINE_REGIOISOMER_A:172904:model-18,QUINOLINE_REGIOISOMER_A:806519:model-12,fixed_frame_heavy_rmsd_A,4.193665240224,4.193665240223,LAST_PRINTED_DECIMAL_ONLY
QUINOLINE_REGIOISOMER_A,QUINOLINE_REGIOISOMER_A:172904:model-19,QUINOLINE_REGIOISOMER_A:806519:model-18,fixed_frame_heavy_rmsd_A,8.336185492108,8.336185492107,LAST_PRINTED_DECIMAL_ONLY
QUINOLINE_REGIOISOMER_A,QUINOLINE_REGIOISOMER_A:483271:model-7,QUINOLINE_REGIOISOMER_A:483271:model-8,fixed_frame_heavy_rmsd_A,4.860987693149,4.860987693148,LAST_PRINTED_DECIMAL_ONLY
AR_13503_DEESTERIFIED_B,AR_13503_DEESTERIFIED_B:172904:model-17,AR_13503_DEESTERIFIED_B:483271:model-3,fixed_frame_heavy_rmsd_A,11.161146334494,11.161146334495,LAST_PRINTED_DECIMAL_ONLY
AR_13503_DEESTERIFIED_B,AR_13503_DEESTERIFIED_B:483271:model-18,AR_13503_DEESTERIFIED_B:806519:model-14,fixed_frame_heavy_rmsd_A,14.351638913379,14.351638913378,LAST_PRINTED_DECIMAL_ONLY
BRANCH_POINT_ENANTIOMER_B,BRANCH_POINT_ENANTIOMER_B:172904:model-11,BRANCH_POINT_ENANTIOMER_B:172904:model-13,fixed_frame_heavy_rmsd_A,2.219979815754,2.219979815753,LAST_PRINTED_DECIMAL_ONLY
BRANCH_POINT_ENANTIOMER_B,BRANCH_POINT_ENANTIOMER_B:172904:model-18,BRANCH_POINT_ENANTIOMER_B:483271:model-5,fixed_frame_heavy_rmsd_A,11.337081636357,11.337081636356,LAST_PRINTED_DECIMAL_ONLY
BRANCH_POINT_ENANTIOMER_B,BRANCH_POINT_ENANTIOMER_B:483271:model-15,BRANCH_POINT_ENANTIOMER_B:806519:model-10,fixed_frame_heavy_rmsd_A,12.289920925414,12.289920925415,LAST_PRINTED_DECIMAL_ONLY
DES_ORTHO_METHYL_B,DES_ORTHO_METHYL_B:172904:model-12,DES_ORTHO_METHYL_B:172904:model-19,fixed_frame_heavy_rmsd_A,9.075605020320,9.075605020319,LAST_PRINTED_DECIMAL_ONLY
DES_ORTHO_METHYL_B,DES_ORTHO_METHYL_B:172904:model-14,DES_ORTHO_METHYL_B:806519:model-11,fixed_frame_heavy_rmsd_A,10.589457795088,10.589457795087,LAST_PRINTED_DECIMAL_ONLY
DES_PARA_METHYL_B,DES_PARA_METHYL_B:172904:model-16,DES_PARA_METHYL_B:806519:model-7,fixed_frame_heavy_rmsd_A,11.281988086407,11.281988086406,LAST_PRINTED_DECIMAL_ONLY
QUINOLINE_REGIOISOMER_B,QUINOLINE_REGIOISOMER_B:483271:model-17,QUINOLINE_REGIOISOMER_B:806519:model-10,fixed_frame_heavy_rmsd_A,7.971021563432,7.971021563433,LAST_PRINTED_DECIMAL_ONLY
