"pose_id","arm","seed","model","source","source_sha256","outcome","reason","mapped_atoms","sdf_atoms","interaction_count","perception_degraded","feature_receipt","recognition_observation"
"AR_13503_DEESTERIFIED_A:172904:model-1","AR_13503_DEESTERIFIED_A","172904","1","/Users/yazan/totah-lab/research/mettl7-netarsudil-sam-mechanism/phase2-matched-sar/raw/7A_ar_13503_deesterified_seed172904.pdbqt","2c2287456384eb78a18e1bf4875dbd3451f30f070637d714dbb35643a9c14d36","ADMITTED_ADEQUATE","ADMITTED","43","43","7","false","25c2494a2efc4fad619766685efeea11f8c19cf5d4b3a5ddb0e570ccc08c7fe2","AR_13503_DEESTERIFIED_A:172904:model-1"
"AR_13503_DEESTERIFIED_A:172904:model-10","AR_13503_DEESTERIFIED_A","172904","10","/Users/yazan/totah-lab/research/mettl7-netarsudil-sam-mechanism/phase2-matched-sar/raw/7A_ar_13503_deesterified_seed172904.pdbqt","2c2287456384eb78a18e1bf4875dbd3451f30f070637d714dbb35643a9c14d36","ADMITTED_ADEQUATE","ADMITTED","43","43","3","false","f26da568bfacdfca846ae50b5ce13a73295f836b5d510761236fe87d9456b634","AR_13503_DEESTERIFIED_A:172904:model-10"
"AR_13503_DEESTERIFIED_A:172904:model-11","AR_13503_DEESTERIFIED_A","172904","11","/Users/yazan/totah-lab/research/mettl7-netarsudil-sam-mechanism/phase2-matched-sar/raw/7A_ar_13503_deesterified_seed172904.pdbqt","2c2287456384eb78a18e1bf4875dbd3451f30f070637d714dbb35643a9c14d36","ADMITTED_ADEQUATE","ADMITTED","43","43","3","false","883aa5189c82d02787dd7fcbbb6731f3fdca2219476b4832b4fc669e804ec5af","AR_13503_DEESTERIFIED_A:172904:model-11"
"AR_13503_DEESTERIFIED_A:172904:model-12","AR_13503_DEESTERIFIED_A","172904","12","/Users/yazan/totah-lab/research/mettl7-netarsudil-sam-mechanism/phase2-matched-sar/raw/7A_ar_13503_deesterified_seed172904.pdbqt","2c2287456384eb78a18e1bf4875dbd3451f30f070637d714dbb35643a9c14d36","ADMITTED_ADEQUATE","ADMITTED","43","43","3","false","14976d567bb2b4e2c12818df061f04f83b492b10615d34e1b8a57b87530b6b57","AR_13503_DEESTERIFIED_A:172904:model-12"
"AR_13503_DEESTERIFIED_A:172904:model-13","AR_13503_DEESTERIFIED_A","172904","13","/Users/yazan/totah-lab/research/mettl7-netarsudil-sam-mechanism/phase2-matched-sar/raw/7A_ar_13503_deesterified_seed172904.pdbqt","2c2287456384eb78a18e1bf4875dbd3451f30f070637d714dbb35643a9c14d36","ADMITTED_ADEQUATE","ADMITTED","43","43","3","false","d89194b64adf9e59efb0837f41cae1daf269ffe8488f1eb3da6b6b37e261375c","AR_13503_DEESTERIFIED_A:172904:model-13"
"AR_13503_DEESTERIFIED_A:172904:model-14","AR_13503_DEESTERIFIED_A","172904","14","/Users/yazan/totah-lab/research/mettl7-netarsudil-sam-mechanism/phase2-matched-sar/raw/7A_ar_13503_deesterified_seed172904.pdbqt","2c2287456384eb78a18e1bf4875dbd3451f30f070637d714dbb35643a9c14d36","ADMITTED_ADEQUATE","ADMITTED","43","43","5","false","cf7b99063a6153d3377c4b9c0dcf107cb7de3f1acb5ad99ec3ad76a68d922fff","AR_13503_DEESTERIFIED_A:172904:model-14"
"AR_13503_DEESTERIFIED_A:172904:model-15","AR_13503_DEESTERIFIED_A","172904","15","/Users/yazan/totah-lab/research/mettl7-netarsudil-sam-mechanism/phase2-matched-sar/raw/7A_ar_13503_deesterified_seed172904.pdbqt","2c2287456384eb78a18e1bf4875dbd3451f30f070637d714dbb35643a9c14d36","ADMITTED_ADEQUATE","ADMITTED","43","43","7","false","80b59580d584a110db7bd5d02fe94005ce5a506040748ee308fceb44f22f832a","AR_13503_DEESTERIFIED_A:172904:model-15"
"AR_13503_DEESTERIFIED_A:172904:model-16","AR_13503_DEESTERIFIED_A","172904","16","/Users/yazan/totah-lab/research/mettl7-netarsudil-sam-mechanism/phase2-matched-sar/raw/7A_ar_13503_deesterified_seed172904.pdbqt","2c2287456384eb78a18e1bf4875dbd3451f30f070637d714dbb35643a9c14d36","ADMITTED_ADEQUATE","ADMITTED","43","43","4","false","be9da2c98c3993fc634aaa395107820af4c1641cc87747f5c6c00a9c66fd5aee","AR_13503_DEESTERIFIED_A:172904:model-16"
"AR_13503_DEESTERIFIED_A:172904:model-17","AR_13503_DEESTERIFIED_A","172904","17","/Users/yazan/totah-lab/research/mettl7-netarsudil-sam-mechanism/phase2-matched-sar/raw/7A_ar_13503_deesterified_seed172904.pdbqt","2c2287456384eb78a18e1bf4875dbd3451f30f070637d714dbb35643a9c14d36","ADMITTED_ADEQUATE","ADMITTED","43","43","5","false","1e71e86f562642d1ee8f3a42a7b366ec7f351e3a1f9cc9cdef2e1d77e98a6352","AR_13503_DEESTERIFIED_A:172904:model-17"
"AR_13503_DEESTERIFIED_A:172904:model-18","AR_13503_DEESTERIFIED_A","172904","18","/Users/yazan/totah-lab/research/mettl7-netarsudil-sam-mechanism/phase2-matched-sar/raw/7A_ar_13503_deesterified_seed172904.pdbqt","2c2287456384eb78a18e1bf4875dbd3451f30f070637d714dbb35643a9c14d36","ADMITTED_ADEQUATE","ADMITTED","43","43","3","false","f06a09e4eee74a3591e64ca80b62034c778b2f2c6f1bb0a311238f29bfd87fcd","AR_13503_DEESTERIFIED_A:172904:model-18"
"AR_13503_DEESTERIFIED_A:172904:model-19","AR_13503_DEESTERIFIED_A","172904","19","/Users/yazan/totah-lab/research/mettl7-netarsudil-sam-mechanism/phase2-matched-sar/raw/7A_ar_13503_deesterified_seed172904.pdbqt","2c2287456384eb78a18e1bf4875dbd3451f30f070637d714dbb35643a9c14d36","ADMITTED_ADEQUATE","ADMITTED","43","43","4","false","9b7afb8e71c9953b3337d81a36e9f4243559a97e5fe3bd4c50063b91ba76158d","AR_13503_DEESTERIFIED_A:172904:model-19"
"AR_13503_DEESTERIFIED_A:172904:model-2","AR_13503_DEESTERIFIED_A","172904","2","/Users/yazan/totah-lab/research/mettl7-netarsudil-sam-mechanism/phase2-matched-sar/raw/7A_ar_13503_deesterified_seed172904.pdbqt","2c2287456384eb78a18e1bf4875dbd3451f30f070637d714dbb35643a9c14d36","ADMITTED_ADEQUATE","ADMITTED","43","43","5","false","b229eb8b5aacfc1e1027ad0e3b4171cd5829628bca60fbd492ab490fed1cbff0","AR_13503_DEESTERIFIED_A:172904:model-2"
"AR_13503_DEESTERIFIED_A:172904:model-20","AR_13503_DEESTERIFIED_A","172904","20","/Users/yazan/totah-lab/research/mettl7-netarsudil-sam-mechanism/phase2-matched-sar/raw/7A_ar_13503_deesterified_seed172904.pdbqt","2c2287456384eb78a18e1bf4875dbd3451f30f070637d714dbb35643a9c14d36","ADMITTED_ADEQUATE","ADMITTED","43","43","5","false","3b45a7b8d76cfcc4516a8c1167a832070613db44ff93526c626bd7419b91efcf","AR_13503_DEESTERIFIED_A:172904:model-20"
"AR_13503_DEESTERIFIED_A:172904:model-3","AR_13503_DEESTERIFIED_A","172904","3","/Users/yazan/totah-lab/research/mettl7-netarsudil-sam-mechanism/phase2-matched-sar/raw/7A_ar_13503_deesterified_seed172904.pdbqt","2c2287456384eb78a18e1bf4875dbd3451f30f070637d714dbb35643a9c14d36","ADMITTED_ADEQUATE","ADMITTED","43","43","3","false","a93eb724cad49f397eced454f1319a39be6151ae2425c3c80c0122931597e00a","AR_13503_DEESTERIFIED_A:172904:model-3"
