condition,enantiomer,family,population,status,representative_source,representative_model,representative_source_sha256,superpocket_atom_fraction,sam_compatibility,sam_min_distance_A,engine_score_min,engine_score_mean,engine_score_max,scientific_score_interpretation
7A_WT_SAM_BOUND,R,1,3,ACCEPTED_ON_SITE_SAM_BOUND,analysis/dcmb/controlled_campaign/raw/7A_WT_SAM_BOUND_R_s42.pdbqt,1,da43b9d5714cff6d35ed08f355fdcf6b4654160461b5ec08c24277dd7096bba9,1.0,compatible,3.374229097142042,-5.986,-5.982666666666667,-5.979,NONE
7A_WT_SAM_BOUND,R,2,3,ACCEPTED_ON_SITE_SAM_BOUND,analysis/dcmb/controlled_campaign/raw/7A_WT_SAM_BOUND_R_s7.pdbqt,2,3a2171a3e30d72074972b38f7911710c12188407e438dd893c8d11bc794180e8,1.0,compatible,3.5565159918099623,-5.703,-5.696333333333333,-5.69,NONE
7A_WT_SAM_BOUND,R,3,3,ACCEPTED_ON_SITE_SAM_BOUND,analysis/dcmb/controlled_campaign/raw/7A_WT_SAM_BOUND_R_s1.pdbqt,3,087599bc6fd0f1fdbd8bf6e0984f28f0488b93ea0b2e47a2e537d1c3d844752f,1.0,compatible,3.163130885689051,-5.516,-5.5,-5.492,NONE
7A_WT_SAM_BOUND,R,4,3,ACCEPTED_ON_SITE_SAM_BOUND,analysis/dcmb/controlled_campaign/raw/7A_WT_SAM_BOUND_R_s7.pdbqt,4,3a2171a3e30d72074972b38f7911710c12188407e438dd893c8d11bc794180e8,1.0,compatible,3.1995205890883094,-5.487,-5.476333333333334,-5.466,NONE
7A_WT_SAM_BOUND,R,5,2,ACCEPTED_ON_SITE_SAM_BOUND,analysis/dcmb/controlled_campaign/raw/7A_WT_SAM_BOUND_R_s7.pdbqt,6,3a2171a3e30d72074972b38f7911710c12188407e438dd893c8d11bc794180e8,1.0,compatible,3.161792213286635,-4.932,-4.9275,-4.923,NONE
7A_WT_SAM_BOUND,S,1,3,ACCEPTED_ON_SITE_SAM_BOUND,analysis/dcmb/controlled_campaign/raw/7A_WT_SAM_BOUND_S_s42.pdbqt,1,26d4e9f9be0180508a82ee9f164bcdbe1796fec78326f39d1970561e41bcde09,1.0,compatible,3.426334922333192,-5.986,-5.9799999999999995,-5.973,NONE
7A_WT_SAM_BOUND,S,2,3,ACCEPTED_ON_SITE_SAM_BOUND,analysis/dcmb/controlled_campaign/raw/7A_WT_SAM_BOUND_S_s42.pdbqt,2,26d4e9f9be0180508a82ee9f164bcdbe1796fec78326f39d1970561e41bcde09,1.0,compatible,3.1562466633645725,-5.745,-5.729,-5.715,NONE
7A_WT_SAM_BOUND,S,3,3,ACCEPTED_ON_SITE_SAM_BOUND,analysis/dcmb/controlled_campaign/raw/7A_WT_SAM_BOUND_S_s1.pdbqt,3,85e491c5b26d3006a309471429f5947840e0bc94a4dc4209e1ad6ff35309d22a,1.0,compatible,3.42715479662066,-5.41,-5.401,-5.387,NONE
7A_WT_SAM_BOUND,S,4,3,ACCEPTED_ON_SITE_SAM_BOUND,analysis/dcmb/controlled_campaign/raw/7A_WT_SAM_BOUND_S_s42.pdbqt,3,26d4e9f9be0180508a82ee9f164bcdbe1796fec78326f39d1970561e41bcde09,1.0,compatible,3.188214233705132,-5.398,-5.368333333333333,-5.349,NONE
7A_WT_SAM_BOUND,S,5,2,ACCEPTED_ON_SITE_SAM_BOUND,analysis/dcmb/controlled_campaign/raw/7A_WT_SAM_BOUND_S_s1.pdbqt,5,85e491c5b26d3006a309471429f5947840e0bc94a4dc4209e1ad6ff35309d22a,1.0,compatible,3.122584506462555,-5.111,-5.1065000000000005,-5.102,NONE
7A_WT_SAM_BOUND,S,6,2,ACCEPTED_ON_SITE_SAM_BOUND,analysis/dcmb/controlled_campaign/raw/7A_WT_SAM_BOUND_S_s1.pdbqt,6,85e491c5b26d3006a309471429f5947840e0bc94a4dc4209e1ad6ff35309d22a,1.0,compatible,3.1953885522734162,-5.086,-5.082000000000001,-5.078,NONE
7B_WT_SAM_BOUND,R,1,4,ACCEPTED_ON_SITE_SAM_BOUND,analysis/dcmb/controlled_campaign/raw/7B_WT_SAM_BOUND_R_s7.pdbqt,4,c9cbe527df815e8a50dab21e0f3eecbf63f6ea949a7113dbab0043b130b8e253,1.0,compatible,2.9060724354358407,-4.56,-4.4670000000000005,-4.266,NONE
7B_WT_SAM_BOUND,R,2,3,ACCEPTED_ON_SITE_SAM_BOUND,analysis/dcmb/controlled_campaign/raw/7B_WT_SAM_BOUND_R_s7.pdbqt,1,c9cbe527df815e8a50dab21e0f3eecbf63f6ea949a7113dbab0043b130b8e253,1.0,compatible,3.984647537737811,-5.136,-5.089333333333333,-5.033,NONE
7B_WT_SAM_BOUND,R,3,3,ACCEPTED_ON_SITE_SAM_BOUND,analysis/dcmb/controlled_campaign/raw/7B_WT_SAM_BOUND_R_s1.pdbqt,2,c6355ed6c5688dcb0e3e55b7721a325af7a7a229c754a1005f9aca2f89bfb49a,1.0,compatible,3.909166279400251,-4.993,-4.96,-4.932,NONE
7B_WT_SAM_BOUND,R,4,3,ACCEPTED_ON_SITE_SAM_BOUND,analysis/dcmb/controlled_campaign/raw/7B_WT_SAM_BOUND_R_s42.pdbqt,3,212bd04f11b67a17ed78678e7c0d3be2eefb387142fc705cccc55a4fb6fac415,1.0,compatible,4.031878594402366,-4.666,-4.652333333333334,-4.639,NONE
