condition,enantiomer,seed,model,status,family,source,source_sha256,sam_compatibility,sam_min_distance_A,engine_score,scientific_score_interpretation
7A_WT_SAM_BOUND,R,1,1,ACCEPTED_ON_SITE,1,analysis/dcmb/controlled_campaign/raw/7A_WT_SAM_BOUND_R_s1.pdbqt,087599bc6fd0f1fdbd8bf6e0984f28f0488b93ea0b2e47a2e537d1c3d844752f,compatible,3.342066576236925,-5.983,NONE
7A_WT_SAM_BOUND,R,1,2,ACCEPTED_ON_SITE,2,analysis/dcmb/controlled_campaign/raw/7A_WT_SAM_BOUND_R_s1.pdbqt,087599bc6fd0f1fdbd8bf6e0984f28f0488b93ea0b2e47a2e537d1c3d844752f,compatible,3.514191514416936,-5.696,NONE
7A_WT_SAM_BOUND,R,1,3,ACCEPTED_ON_SITE,3,analysis/dcmb/controlled_campaign/raw/7A_WT_SAM_BOUND_R_s1.pdbqt,087599bc6fd0f1fdbd8bf6e0984f28f0488b93ea0b2e47a2e537d1c3d844752f,compatible,3.163130885689051,-5.516,NONE
7A_WT_SAM_BOUND,R,1,4,ACCEPTED_ON_SITE,4,analysis/dcmb/controlled_campaign/raw/7A_WT_SAM_BOUND_R_s1.pdbqt,087599bc6fd0f1fdbd8bf6e0984f28f0488b93ea0b2e47a2e537d1c3d844752f,compatible,3.1686961040781423,-5.466,NONE
7A_WT_SAM_BOUND,R,1,5,REJECTED_OUTSIDE_CANONICAL_SITE,,analysis/dcmb/controlled_campaign/raw/7A_WT_SAM_BOUND_R_s1.pdbqt,087599bc6fd0f1fdbd8bf6e0984f28f0488b93ea0b2e47a2e537d1c3d844752f,compatible,9.462932420766831,-4.949,NONE
7A_WT_SAM_BOUND,R,1,6,ACCEPTED_ON_SITE,5,analysis/dcmb/controlled_campaign/raw/7A_WT_SAM_BOUND_R_s1.pdbqt,087599bc6fd0f1fdbd8bf6e0984f28f0488b93ea0b2e47a2e537d1c3d844752f,compatible,3.1596275096916093,-4.923,NONE
7A_WT_SAM_BOUND,R,1,7,REJECTED_OUTSIDE_CANONICAL_SITE,,analysis/dcmb/controlled_campaign/raw/7A_WT_SAM_BOUND_R_s1.pdbqt,087599bc6fd0f1fdbd8bf6e0984f28f0488b93ea0b2e47a2e537d1c3d844752f,compatible,9.853049883158006,-4.894,NONE
7A_WT_SAM_BOUND,R,1,8,REJECTED_OUTSIDE_CANONICAL_SITE,,analysis/dcmb/controlled_campaign/raw/7A_WT_SAM_BOUND_R_s1.pdbqt,087599bc6fd0f1fdbd8bf6e0984f28f0488b93ea0b2e47a2e537d1c3d844752f,compatible,10.338559570849316,-4.779,NONE
7A_WT_SAM_BOUND,R,1,9,REJECTED_OUTSIDE_CANONICAL_SITE,,analysis/dcmb/controlled_campaign/raw/7A_WT_SAM_BOUND_R_s1.pdbqt,087599bc6fd0f1fdbd8bf6e0984f28f0488b93ea0b2e47a2e537d1c3d844752f,compatible,9.92334908183724,-4.733,NONE
7A_WT_SAM_BOUND,R,7,1,ACCEPTED_ON_SITE,1,analysis/dcmb/controlled_campaign/raw/7A_WT_SAM_BOUND_R_s7.pdbqt,3a2171a3e30d72074972b38f7911710c12188407e438dd893c8d11bc794180e8,compatible,3.3521151531533047,-5.979,NONE
7A_WT_SAM_BOUND,R,7,2,ACCEPTED_ON_SITE,2,analysis/dcmb/controlled_campaign/raw/7A_WT_SAM_BOUND_R_s7.pdbqt,3a2171a3e30d72074972b38f7911710c12188407e438dd893c8d11bc794180e8,compatible,3.5565159918099623,-5.703,NONE
7A_WT_SAM_BOUND,R,7,3,ACCEPTED_ON_SITE,3,analysis/dcmb/controlled_campaign/raw/7A_WT_SAM_BOUND_R_s7.pdbqt,3a2171a3e30d72074972b38f7911710c12188407e438dd893c8d11bc794180e8,compatible,3.2116344748429886,-5.492,NONE
7A_WT_SAM_BOUND,R,7,4,ACCEPTED_ON_SITE,4,analysis/dcmb/controlled_campaign/raw/7A_WT_SAM_BOUND_R_s7.pdbqt,3a2171a3e30d72074972b38f7911710c12188407e438dd893c8d11bc794180e8,compatible,3.1995205890883094,-5.487,NONE
7A_WT_SAM_BOUND,R,7,5,REJECTED_OUTSIDE_CANONICAL_SITE,,analysis/dcmb/controlled_campaign/raw/7A_WT_SAM_BOUND_R_s7.pdbqt,3a2171a3e30d72074972b38f7911710c12188407e438dd893c8d11bc794180e8,compatible,9.475681400300456,-4.947,NONE
7A_WT_SAM_BOUND,R,7,6,ACCEPTED_ON_SITE,5,analysis/dcmb/controlled_campaign/raw/7A_WT_SAM_BOUND_R_s7.pdbqt,3a2171a3e30d72074972b38f7911710c12188407e438dd893c8d11bc794180e8,compatible,3.161792213286635,-4.932,NONE
7A_WT_SAM_BOUND,R,7,7,REJECTED_OUTSIDE_CANONICAL_SITE,,analysis/dcmb/controlled_campaign/raw/7A_WT_SAM_BOUND_R_s7.pdbqt,3a2171a3e30d72074972b38f7911710c12188407e438dd893c8d11bc794180e8,compatible,9.836855645987695,-4.897,NONE
7A_WT_SAM_BOUND,R,7,8,REJECTED_OUTSIDE_CANONICAL_SITE,,analysis/dcmb/controlled_campaign/raw/7A_WT_SAM_BOUND_R_s7.pdbqt,3a2171a3e30d72074972b38f7911710c12188407e438dd893c8d11bc794180e8,compatible,10.302250822029135,-4.799,NONE
7A_WT_SAM_BOUND,R,7,9,REJECTED_OUTSIDE_CANONICAL_SITE,,analysis/dcmb/controlled_campaign/raw/7A_WT_SAM_BOUND_R_s7.pdbqt,3a2171a3e30d72074972b38f7911710c12188407e438dd893c8d11bc794180e8,compatible,9.876980763370959,-4.74,NONE
7A_WT_SAM_BOUND,R,42,1,ACCEPTED_ON_SITE,1,analysis/dcmb/controlled_campaign/raw/7A_WT_SAM_BOUND_R_s42.pdbqt,da43b9d5714cff6d35ed08f355fdcf6b4654160461b5ec08c24277dd7096bba9,compatible,3.374229097142042,-5.986,NONE
7A_WT_SAM_BOUND,R,42,2,ACCEPTED_ON_SITE,2,analysis/dcmb/controlled_campaign/raw/7A_WT_SAM_BOUND_R_s42.pdbqt,da43b9d5714cff6d35ed08f355fdcf6b4654160461b5ec08c24277dd7096bba9,compatible,3.5275638902789557,-5.69,NONE
7A_WT_SAM_BOUND,R,42,3,ACCEPTED_ON_SITE,3,analysis/dcmb/controlled_campaign/raw/7A_WT_SAM_BOUND_R_s42.pdbqt,da43b9d5714cff6d35ed08f355fdcf6b4654160461b5ec08c24277dd7096bba9,compatible,3.2051795581527096,-5.492,NONE
7A_WT_SAM_BOUND,R,42,4,ACCEPTED_ON_SITE,4,analysis/dcmb/controlled_campaign/raw/7A_WT_SAM_BOUND_R_s42.pdbqt,da43b9d5714cff6d35ed08f355fdcf6b4654160461b5ec08c24277dd7096bba9,compatible,3.1871396266872276,-5.476,NONE
7A_WT_SAM_BOUND,R,42,5,REJECTED_OUTSIDE_CANONICAL_SITE,,analysis/dcmb/controlled_campaign/raw/7A_WT_SAM_BOUND_R_s42.pdbqt,da43b9d5714cff6d35ed08f355fdcf6b4654160461b5ec08c24277dd7096bba9,compatible,9.517130082120344,-4.943,NONE
7A_WT_SAM_BOUND,R,42,6,REJECTED_OUTSIDE_CANONICAL_SITE,,analysis/dcmb/controlled_campaign/raw/7A_WT_SAM_BOUND_R_s42.pdbqt,da43b9d5714cff6d35ed08f355fdcf6b4654160461b5ec08c24277dd7096bba9,compatible,9.788465150369591,-4.904,NONE
7A_WT_SAM_BOUND,R,42,7,REJECTED_OUTSIDE_CANONICAL_SITE,,analysis/dcmb/controlled_campaign/raw/7A_WT_SAM_BOUND_R_s42.pdbqt,da43b9d5714cff6d35ed08f355fdcf6b4654160461b5ec08c24277dd7096bba9,compatible,10.328915770786399,-4.796,NONE
7A_WT_SAM_BOUND,R,42,8,REJECTED_OUTSIDE_CANONICAL_SITE,,analysis/dcmb/controlled_campaign/raw/7A_WT_SAM_BOUND_R_s42.pdbqt,da43b9d5714cff6d35ed08f355fdcf6b4654160461b5ec08c24277dd7096bba9,compatible,9.737829634985404,-4.708,NONE
7A_WT_SAM_BOUND,R,42,9,REJECTED_OUTSIDE_CANONICAL_SITE,,analysis/dcmb/controlled_campaign/raw/7A_WT_SAM_BOUND_R_s42.pdbqt,da43b9d5714cff6d35ed08f355fdcf6b4654160461b5ec08c24277dd7096bba9,compatible,10.624589356770452,-4.681,NONE
7A_WT_SAM_BOUND,S,1,1,ACCEPTED_ON_SITE,1,analysis/dcmb/controlled_campaign/raw/7A_WT_SAM_BOUND_S_s1.pdbqt,85e491c5b26d3006a309471429f5947840e0bc94a4dc4209e1ad6ff35309d22a,compatible,3.4297113581174727,-5.973,NONE
7A_WT_SAM_BOUND,S,1,2,ACCEPTED_ON_SITE,2,analysis/dcmb/controlled_campaign/raw/7A_WT_SAM_BOUND_S_s1.pdbqt,85e491c5b26d3006a309471429f5947840e0bc94a4dc4209e1ad6ff35309d22a,compatible,3.12711256593043,-5.727,NONE
7A_WT_SAM_BOUND,S,1,3,ACCEPTED_ON_SITE,3,analysis/dcmb/controlled_campaign/raw/7A_WT_SAM_BOUND_S_s1.pdbqt,85e491c5b26d3006a309471429f5947840e0bc94a4dc4209e1ad6ff35309d22a,compatible,3.42715479662066,-5.41,NONE
7A_WT_SAM_BOUND,S,1,4,ACCEPTED_ON_SITE,4,analysis/dcmb/controlled_campaign/raw/7A_WT_SAM_BOUND_S_s1.pdbqt,85e491c5b26d3006a309471429f5947840e0bc94a4dc4209e1ad6ff35309d22a,compatible,3.0734400921443057,-5.349,NONE
7A_WT_SAM_BOUND,S,1,5,ACCEPTED_ON_SITE,5,analysis/dcmb/controlled_campaign/raw/7A_WT_SAM_BOUND_S_s1.pdbqt,85e491c5b26d3006a309471429f5947840e0bc94a4dc4209e1ad6ff35309d22a,compatible,3.122584506462555,-5.111,NONE
7A_WT_SAM_BOUND,S,1,6,ACCEPTED_ON_SITE,6,analysis/dcmb/controlled_campaign/raw/7A_WT_SAM_BOUND_S_s1.pdbqt,85e491c5b26d3006a309471429f5947840e0bc94a4dc4209e1ad6ff35309d22a,compatible,3.1953885522734162,-5.086,NONE
7A_WT_SAM_BOUND,S,1,7,REJECTED_OUTSIDE_CANONICAL_SITE,,analysis/dcmb/controlled_campaign/raw/7A_WT_SAM_BOUND_S_s1.pdbqt,85e491c5b26d3006a309471429f5947840e0bc94a4dc4209e1ad6ff35309d22a,compatible,10.002344575148369,-4.908,NONE
7A_WT_SAM_BOUND,S,1,8,REJECTED_OUTSIDE_CANONICAL_SITE,,analysis/dcmb/controlled_campaign/raw/7A_WT_SAM_BOUND_S_s1.pdbqt,85e491c5b26d3006a309471429f5947840e0bc94a4dc4209e1ad6ff35309d22a,compatible,9.94448726682276,-4.903,NONE
7A_WT_SAM_BOUND,S,1,9,REJECTED_OUTSIDE_CANONICAL_SITE,,analysis/dcmb/controlled_campaign/raw/7A_WT_SAM_BOUND_S_s1.pdbqt,85e491c5b26d3006a309471429f5947840e0bc94a4dc4209e1ad6ff35309d22a,compatible,9.864822654259934,-4.766,NONE
