F43_chi1,F43_chi2,L229_offset,steric_score,minimum_distance_A,clashes_below_2A
-60,-60,-120,6.708774717795191,1.803582801143351,3
-60,-60,-60,8.141646107007118,1.6289849738313518,4
-60,-60,0,6.366818984148429,1.803582801143351,3
-60,-60,60,6.366818984148429,1.803582801143351,3
-60,-60,120,7.101380348455969,1.803582801143351,4
-60,-60,180,9.05853285406579,1.4242023996414501,4
-60,0,-120,15.351696660359424,1.139680675380649,8
-60,0,-60,16.78456804957135,1.139680675380649,9
-60,0,0,15.009740926712663,1.139680675380649,8
-60,0,60,15.009740926712663,1.139680675380649,8
-60,0,120,15.744302291020203,1.139680675380649,9
-60,0,180,17.701454796630024,1.139680675380649,9
-60,60,-120,17.6583608843024,0.6982790752352162,10
-60,60,-60,19.091232273514326,0.6982790752352162,11
-60,60,0,17.316405150655637,0.6982790752352162,10
-60,60,60,17.316405150655637,0.6982790752352162,10
-60,60,120,18.05096651496318,0.6982790752352162,11
-60,60,180,20.008119020572998,0.6982790752352162,11
60,-60,-120,0.5055859303726689,2.399038234854347,0
60,-60,-60,1.9384573195845962,1.6289849738313518,1
60,-60,0,0.16363019672590678,2.467977827650674,0
60,-60,60,0.16363019672590678,2.467977827650674,0
60,-60,120,0.898191561033447,1.9429344457350182,1
60,-60,180,2.855344066643268,1.4242023996414501,1
60,0,-120,0.3639320106719492,2.399038234854347,0
60,0,-60,1.7968033998838764,1.6289849738313518,1
60,0,0,0.02197627702518707,2.651756021959787,0
60,0,60,0.02197627702518707,2.651756021959787,0
60,0,120,0.7565376413327274,1.9429344457350182,1
60,0,180,2.7136901469425485,1.4242023996414501,1
60,60,-120,0.3639320106719492,2.399038234854347,0
60,60,-60,1.7968033998838764,1.6289849738313518,1
60,60,0,0.02197627702518707,2.651756021959787,0
60,60,60,0.02197627702518707,2.651756021959787,0
60,60,120,0.7565376413327274,1.9429344457350182,1
60,60,180,2.7136901469425485,1.4242023996414501,1
180,-60,-120,0.6590193093705694,2.2576551259222124,0
180,-60,-60,3.441470511097563,1.6289849738313518,2
180,-60,0,4.7454043540886826,1.4581565591348027,2
180,-60,60,0.5649270324118582,2.2576551259222124,0
180,-60,120,1.0516249400313475,1.9429344457350182,1
180,-60,180,3.0087774456411687,1.4242023996414501,1
180,0,-120,0.3639320106719492,2.399038234854347,0
180,0,-60,2.5587376134547113,1.6289849738313518,1
180,0,0,3.5071273893343315,1.528341468124725,2
180,0,60,0.07991446086840029,2.6213788074826363,0
180,0,120,0.7565376413327274,1.9429344457350182,1
180,0,180,2.7136901469425485,1.4242023996414501,1
180,60,-120,0.36515255261881296,2.399038234854347,0
180,60,-60,3.7444323612073425,1.6289849738313518,2
180,60,0,3.4292019826974354,1.528021490393264,2
180,60,60,0.04815836013500825,2.651756021959787,0
180,60,120,0.7565376413327274,1.9429344457350182,1
180,60,180,2.7136901469425485,1.4242023996414501,1
