system,enantiomer,seed,mode,engine_score,superpocket_atom_fraction,site_status,family
7A_WT,R,1,1,-5.983,1.0,ACCEPTED_CANONICAL_SITE,1
7A_WT,R,1,2,-5.696,1.0,ACCEPTED_CANONICAL_SITE,2
7A_WT,R,1,3,-5.516,1.0,ACCEPTED_CANONICAL_SITE,3
7A_WT,R,1,4,-5.466,1.0,ACCEPTED_CANONICAL_SITE,4
7A_WT,R,1,5,-4.949,0.36363636363636365,REJECTED_OUTSIDE_CANONICAL_SITE,
7A_WT,R,1,6,-4.923,1.0,ACCEPTED_CANONICAL_SITE,5
7A_WT,R,1,7,-4.894,0.45454545454545453,REJECTED_OUTSIDE_CANONICAL_SITE,
7A_WT,R,1,8,-4.779,0.0,REJECTED_OUTSIDE_CANONICAL_SITE,
7A_WT,R,1,9,-4.733,0.2727272727272727,REJECTED_OUTSIDE_CANONICAL_SITE,
7A_WT,R,7,1,-5.979,1.0,ACCEPTED_CANONICAL_SITE,1
7A_WT,R,7,2,-5.703,1.0,ACCEPTED_CANONICAL_SITE,2
7A_WT,R,7,3,-5.492,1.0,ACCEPTED_CANONICAL_SITE,3
7A_WT,R,7,4,-5.487,1.0,ACCEPTED_CANONICAL_SITE,4
7A_WT,R,7,5,-4.947,0.36363636363636365,REJECTED_OUTSIDE_CANONICAL_SITE,
7A_WT,R,7,6,-4.932,1.0,ACCEPTED_CANONICAL_SITE,5
7A_WT,R,7,7,-4.897,0.45454545454545453,REJECTED_OUTSIDE_CANONICAL_SITE,
7A_WT,R,7,8,-4.799,0.0,REJECTED_OUTSIDE_CANONICAL_SITE,
7A_WT,R,7,9,-4.74,0.2727272727272727,REJECTED_OUTSIDE_CANONICAL_SITE,
7A_WT,R,42,1,-5.986,1.0,ACCEPTED_CANONICAL_SITE,1
7A_WT,R,42,2,-5.69,1.0,ACCEPTED_CANONICAL_SITE,2
7A_WT,R,42,3,-5.492,1.0,ACCEPTED_CANONICAL_SITE,3
7A_WT,R,42,4,-5.476,1.0,ACCEPTED_CANONICAL_SITE,4
7A_WT,R,42,5,-4.943,0.36363636363636365,REJECTED_OUTSIDE_CANONICAL_SITE,
7A_WT,R,42,6,-4.904,0.45454545454545453,REJECTED_OUTSIDE_CANONICAL_SITE,
7A_WT,R,42,7,-4.796,0.0,REJECTED_OUTSIDE_CANONICAL_SITE,
7A_WT,R,42,8,-4.708,0.2727272727272727,REJECTED_OUTSIDE_CANONICAL_SITE,
7A_WT,R,42,9,-4.681,0.0,REJECTED_OUTSIDE_CANONICAL_SITE,
7A_WT,S,1,1,-5.973,1.0,ACCEPTED_CANONICAL_SITE,1
7A_WT,S,1,2,-5.727,1.0,ACCEPTED_CANONICAL_SITE,2
7A_WT,S,1,3,-5.41,1.0,ACCEPTED_CANONICAL_SITE,3
7A_WT,S,1,4,-5.349,1.0,ACCEPTED_CANONICAL_SITE,4
7A_WT,S,1,5,-5.111,1.0,ACCEPTED_CANONICAL_SITE,5
7A_WT,S,1,6,-5.086,1.0,ACCEPTED_CANONICAL_SITE,6
7A_WT,S,1,7,-4.908,0.2727272727272727,REJECTED_OUTSIDE_CANONICAL_SITE,
7A_WT,S,1,8,-4.903,0.45454545454545453,REJECTED_OUTSIDE_CANONICAL_SITE,
7A_WT,S,1,9,-4.766,0.2727272727272727,REJECTED_OUTSIDE_CANONICAL_SITE,
7A_WT,S,7,1,-5.981,1.0,ACCEPTED_CANONICAL_SITE,1
7A_WT,S,7,2,-5.715,1.0,ACCEPTED_CANONICAL_SITE,2
7A_WT,S,7,3,-5.406,1.0,ACCEPTED_CANONICAL_SITE,3
7A_WT,S,7,4,-5.358,1.0,ACCEPTED_CANONICAL_SITE,4
7A_WT,S,7,5,-4.936,0.2727272727272727,REJECTED_OUTSIDE_CANONICAL_SITE,
7A_WT,S,7,6,-4.914,0.45454545454545453,REJECTED_OUTSIDE_CANONICAL_SITE,
7A_WT,S,7,7,-4.878,0.0,REJECTED_OUTSIDE_CANONICAL_SITE,
7A_WT,S,7,8,-4.832,0.45454545454545453,REJECTED_OUTSIDE_CANONICAL_SITE,
7A_WT,S,7,9,-4.788,0.2727272727272727,REJECTED_OUTSIDE_CANONICAL_SITE,
