alternative_rank,immutable_ligand_identity_sha256,historical_database_compound_id_provenance_only,external_id,name,smiles,inchi_key,historical_engine_output_7b,historical_engine_output_7a,historical_delta_7a_minus_7b,historical_216_member
1,8306ee6348908a2fb3538044a9a93525546786813ad4ca378d544ef3d122eb3c,5f067bdc-ebe7-42b4-a6ed-fb3c6e766a0b,WH-0340,WH-0340,O=C(CCl)NCCc1cc2c(-c3ccc4c(c3)CC(=O)N4)c(-c3ccc(C(F)(F)F)cc3)nn2c(N2CCC(O)CC2)n1,KKPJRUHLSPANNU-UHFFFAOYSA-N,-7.79,-1.671,6.119,t
2,8745bd73cbcde03faf0d30c5cc8fcbe0a925da0c23b91bb4fc23b8aa574ec4c1,ede4991a-af8a-4a66-ab4a-84feadc08c2a,WH-0370,WH-0370,COc1ccc(-c2nn3c(N4CCC(O)CC4)nc(CCNC(=O)CCl)cc3c2-c2ccc3c(c2)CC(=O)N3)cc1,JUIDWJTWALTIET-UHFFFAOYSA-N,-8.954,-4.046,4.908,t
3,9e505bdd8990144b1f7f18eafb93178297002f9b5a9048049f9da3cacade27a2,aeee2b96-4335-4d95-8db2-8d12935d93a4,WH-0368,WH-0368,C=C(C#N)C(=O)NCCc1cc2c(-c3ccc4c(c3)CC(=O)N4)c(-c3ccc(OC)cc3)nn2c(N2CCC(O)CC2)n1,OGHXFMSEFUKMOE-UHFFFAOYSA-N,-8.567,-3.858,4.709,t
4,f5b88861e7f27c43ed1aa069b1ab86a5d4db19bc26a338746b0652e60e14bd3a,602a8836-4f04-485f-81f9-035c915345b0,WH-0369,WH-0369,C=C(C#N)C(=O)NCCCc1cc2c(-c3ccc4c(c3)CC(=O)N4)c(-c3ccc(OC)cc3)nn2c(N2CCC(O)CC2)n1,RUQQSLOCFOJANT-UHFFFAOYSA-N,-9.704,-5.29,4.414000000000001,t
5,9dd1f46ed37561e648d8e34f5fe33ac0e466e4346c81708deda9b95d16c7e4ba,5cc75dc5-6573-471a-9e19-256b0e067b01,WH-0383,WH-0383,C=C(C#N)C(=O)NCCc1cc(-c2c(-c3ccc(OC)cc3)nn3c(N4CCC(O)CC4)nccc23)cc2c1NC(=O)C2,ZKPAMWCNQDTKNQ-UHFFFAOYSA-N,-11.092,-7.237,3.8550000000000004,t
6,3a7848418b37e05f1f1a96278ca2b4134c15901b37589378f64567091007cada,15ff4156-1af6-448e-9343-44a41485c47d,WH-0366,WH-0366,C=CC(=O)NCCc1cc2c(-c3ccc4c(c3)CC(=O)N4)c(-c3ccc(OC)cc3)nn2c(N2CCC(O)CC2)n1,UHTGFRLXUGEKNF-UHFFFAOYSA-N,-7.227,-3.447,3.7800000000000002,f
7,28c96d3082290892f77f8422fba9b5a9da7e886ebbd0a71f542daea48fabaad7,3b40ffb3-b63b-4b74-8302-1cfeb7243c51,WH-0392,WH-0392,C=CC(=O)NCCCc1cc2c(-c3ccc4c(c3)CC(=O)N4)c(-c3ccc(F)cc3)nn2c(N2CCC(N)CC2)n1,IXTMUJIWHBNAMQ-UHFFFAOYSA-N,-8.901,-5.236,3.665,t
8,c4e1b874cd7add4baf52a2b9b5bb25e41cd335aae41182c9f4220663cbd9265b,ddfe6a27-3a15-4424-9dd2-6b29b940f46a,WH-0393,WH-0393,C=C(C#N)C(=O)NCCc1cc2c(-c3ccc4c(c3)CC(=O)N4)c(-c3ccc(F)cc3)nn2c(N2CCC(N)CC2)n1,JIJBVGHTEVGRSI-UHFFFAOYSA-N,-9.029,-5.526,3.503,t
9,5a7e83250758f930ceb9906e0d6db9ba5ef62d454e6c0713ce526221b6505980,364e7e46-9aee-48e3-991f-fcf5638e9862,WH-0400,WH-0400,NC1CCN(c2ncc(CCNC(=O)CCl)c3c(-c4ccc5c(c4)CC(=O)N5)c(-c4ccc(F)cc4)nn23)CC1,CWYUOOKNNJFLBR-UHFFFAOYSA-N,-8.417,-5.168,3.2489999999999997,t
10,6e6f5ebd052a544396789a32fda2cf1b6289625dc11b5c38df926b64ea9ebf5e,074b76f2-f7df-46be-ad79-e9c8b66187dc,WH-0142,WH-0142,C=CC(=O)NCCCc1ccc([C@H]2[C@H](NC(=O)c3ccc(F)cc3)[C@](C)(O)CCN2S(C)(=O)=O)cc1,XIRHDEYPCPRYIK-KYPHJKQUSA-N,-9.566,-6.454,3.112000000000001,t
11,90c8ed85158ee008612e272ef7ce48aa3f4fa49a819118fc0e0c4d48c8ce5971,ade696ea-8ab4-4a39-ae57-cf87c3cd89c8,MCULE-3294307948,MCULE-3294307948,COC(=O)Nc1cc(C(F)(F)F)c(-c2nc(N3CCOCC3)c3cc(CN4CCN(S(C)(=O)=O)CC4)cn3n2)cn1,KTLQDDGRBDLKMN-UHFFFAOYSA-N,-11.575,-8.481,3.0939999999999994,t
12,3af26a97ec9bf27f5f498da0fcb9ded27f255ae39f7cafdb82af6e1ce711e827,b031a4ad-98d4-44df-a257-b05f0ee0f478,WH-0225,WH-0225,C[C@H]([C@H](O)CCC(C)(C)O)[C@H]1CC[C@]2(O)C3=CC(=O)[C@@H]4C[C@@H](O)[C@@H](OCCNC(=O)CCl)C[C@]4(C)[C@H]3CC[C@]12C,LIHWWLBHKRQAJC-WARINFCQSA-N,-7.676,-4.7,2.976,t
13,c65806daff93288f24cff4a624a61cd33cbc203716333f1546da2c7003b073c5,a1ba39f0-bee8-4105-b147-5ff62c97099a,MCULE-8779851442,MCULE-8779851442,Cc1cc(C(=O)N2CCC3(CCCCOCCNC(=O)c4ccccc4OC3)CC2)nn1C,VIWTUPTVMLKNIY-UHFFFAOYSA-N,-7.788,-4.88,2.9080000000000004,t
14,5cc350415fa4793bf0a31a84541dc53de91e26cef31145f17fcc5b4c5fc830eb,e10237f5-3102-4a46-91db-16b94e8f4736,WH-0029,WH-0029,C=C(C#N)C(=O)NCCCc1cc2c(-c3ccc4c(c3)CC(=O)N4)c(-c3ccc(F)cc3)nn2c(N2CCC(O)CC2)n1,FTNBYCIGKWIYPU-UHFFFAOYSA-N,-10.295,-7.459,2.8360000000000003,t
15,28f99dc18841ff388d6cec5e392d7a4ada63cecf8673b5831898d92c76abdf88,132b1b7f-a4b2-4edf-912a-181710634341,WH-0396,WH-0396,C=CC(=O)NCCc1cnc(N2CCC(N)CC2)n2nc(-c3ccc(F)cc3)c(-c3ccc4c(c3)CC(=O)N4)c12,ZLWCAUYSOFVACK-UHFFFAOYSA-N,-8.813,-5.987,2.8260000000000005,t
16,3fb432856a5232c2d3968e4bd7c2ac73eb475709dde113b1b3bec86aaa1a6f82,0dacd889-491a-490a-b936-efff671d0954,WH-0030,WH-0030,O=C(CCl)NCCc1cc2c(-c3ccc4c(c3)CC(=O)N4)c(-c3ccc(F)cc3)nn2c(N2CCC(O)CC2)n1,IPICGEHINNCGHN-UHFFFAOYSA-N,-9.191,-6.412,2.779000000000001,t
17,c73169bd501b13223282cc6aab91e80eddcc8748ffa5872a0f933726fe77f8c9,5669743a-4c2a-493c-93cd-d5b9818d3c85,WH-0384,WH-0384,C=C(C#N)C(=O)NCCCc1cc(-c2c(-c3ccc(OC)cc3)nn3c(N4CCC(O)CC4)nccc23)cc2c1NC(=O)C2,WQTFBBFWTMTWNY-UHFFFAOYSA-N,-9.061,-6.326,2.7350000000000003,t
18,8e72abd6b14a1e7be85da9db51a81db88d39c06268819dec022bbfdb0ea96e86,0871d30d-3837-4cfd-9986-567d9b7439a7,WH-0315,WH-0315,O=C(CCl)NCCc1cnc(N2CCOCC2)n2nc(-c3ccc(F)cc3)c(-c3ccc4c(c3)CC(=O)N4)c12,KBEVECVINGNXQP-UHFFFAOYSA-N,-9.005,-6.298,2.7070000000000007,t
19,19b546aa966bc7f8d2118c7b583f07662bc6a993dc66c2827f8c5c2ddb2452e3,8e1be147-fc92-4edc-adbd-e49532092dda,WH-0180,WH-0180,C[C@H]1CNC(=O)c2cnn3ccc(nc23)N[C@H](C)c2cc(CCNC(=O)CCl)ccc2O1,PYLOPZWLFPVNPI-UONOGXRCSA-N,-7.793,-5.104,2.689,t
20,2b1f761e531c87eba426bd356d6c58b511a84bdef458ba5ca7a841d5f48e35e6,d41d79ea-5542-4ccc-96b3-473979cd109c,WH-0219,WH-0219,C=C(C#N)C(=O)NCCCO[C@@H]1C[C@H]2C(=O)C=C3[C@H](CC[C@]4(C)[C@@H]([C@H](C)[C@H](O)CCC(C)(C)O)CC[C@]34O)[C@@]2(C)C[C@@H]1O,DLRXZGDTAOYTSQ-OXWHEVHQSA-N,-8.305,-5.638,2.667,t
21,c0d247a3e0b2bf9d52018737ebf66cb10f44ded23df4e85c629a987644db149a,a5004857-72d2-4284-b066-3c81e806809e,WH-0409,WH-0409,C=C(C#N)C(=O)NCCCc1cc(-c2c(-c3ccc(F)cc3)nn3c(N4CCC(N)CC4)nccc23)cc2c1NC(=O)C2,RAZQHMPIOABCJG-UHFFFAOYSA-N,-10.134,-7.497,2.6370000000000005,t
22,df151612f0462f2b3951412d0b0434414755d3f6af86d924762dde8708357402,a400c4d8-d8e4-4ad5-ab48-ff186b03c3e1,MCULE-5058868643,MCULE-5058868643,O=C(CN1CC[C@@]2(O)CCCC[C@H]2[C@@H]1c1ccc2c(c1)OCO2)Nc1cccc2ccccc12,DJMFSEKRFSDDHX-FAQZDJIUSA-N,-10.976,-8.374,2.6020000000000003,t
23,253cde72c350373b8b3985af7a9cb510e3e9cfec649927e22b6f86a2cce604ca,a6442e96-600f-4643-8dc8-927af7dcbaac,MCULE-7946764063,MCULE-7946764063,CCOC(=O)C1CCN(C(=O)C2COC3(CCN(C(=O)c4ccc(CC)cc4)CC3)N2C(=O)c2ccc(F)cc2)CC1,DLQRXNGZBXOCNW-UHFFFAOYSA-N,-10.149,-7.562,2.586999999999999,t
24,c6ba0767782fe3151db76ed99733682e121853adeeab896486c441007ac5cdfb,f3c07a37-027f-47da-95b2-2c9105277b5d,WH-0391,WH-0391,C=CC(=O)NCCc1cc2c(-c3ccc4c(c3)CC(=O)N4)c(-c3ccc(F)cc3)nn2c(N2CCC(N)CC2)n1,SSFJOGUOQBCXBT-UHFFFAOYSA-N,-8.838,-6.259,2.578999999999999,t
25,8076221b71050642e8619cef2b92b50afc8875471e1709ced6eba088e01bc441,f079a5cd-45f6-483f-8dfa-83dde6c1882e,WH-0395,WH-0395,NC1CCN(c2nc(CCNC(=O)CCl)cc3c(-c4ccc5c(c4)CC(=O)N5)c(-c4ccc(F)cc4)nn23)CC1,AQGOPQCNDOMULT-UHFFFAOYSA-N,-8.566,-5.997,2.569000000000001,t
26,6d0b193d25c7f162a808e8050f4e121cd67a97744ca55dec273d1ea3e8e90e35,6d24dbfc-1679-455c-8ab5-5515db2fc3ad,MCULE-8397255882,MCULE-8397255882,Cc1cc(F)ccc1-c1ccc2c(c1)OCCOCCOCCOCCOCCO2,LRXBMMIPOJZHEO-UHFFFAOYSA-N,-10.643,-8.098,2.545,t
27,12d85b9d7b2fb57a2a02c01478fa10c2b3c68454c072c81cd9ebc4af138c2da8,624e6d3d-9b65-4a0e-bce3-7bed1fa14589,MCULE-5910680295,MCULE-5910680295,Cc1cccn2c(=O)c(C=C(C#N)S(=O)(=O)c3ccc(Cl)cc3)c(N3CCOCC3)nc12,PAMLIKQZMNQTAM-UHFFFAOYSA-N,-8.95,-6.442,2.507999999999999,t
28,10bff6d89449353ac0d79fb2daf6f7ee0f7f9d56809ae9d344456ab43bb216fc,e2269f73-f3c4-4433-8a20-98d6ecfe4fbc,MCULE-5935081243,MCULE-5935081243,O=C1CSC2(C(=O)Nc3ccccc32)N1c1ccccc1,YOUZPGWSTPAIRL-UHFFFAOYSA-N,-8.333,-5.83,2.503,t
29,c7d5caaa3d705348151c4feae7d79a97b78fbbb8fd21c259c29f6e1236a68771,aa5668fc-dc52-4007-89bf-8e30cfca4ee4,CHEMBL5748724,CHEMBL5748724,Cc1n[nH]c2c1C(c1cc(C#CCCCO)cc(C(F)(F)F)c1)(C(C)C)C(C#N)=C(N)O2,OVLFRYCELXBGIP-UHFFFAOYSA-N,-7.826,-5.46,2.3659999999999997,t
30,9c3ab472a8528f96e83cf6307117bc94b017dcff6b941329cb882fa1512fee3b,92bc45ee-57d5-4d70-888c-125b2cc1d99d,WH-0131,WH-0131,C=CC(=O)NCCc1ccccc1[C@H]1[C@H](NC(=O)c2ccc(F)cc2)[C@](C)(O)CCN1S(C)(=O)=O,KNNHIWXPAICISW-SONWIMMPSA-N,-9.302,-6.968,2.3339999999999996,t
31,4fd943b9e57ce9a4fee22b2a801d69903d68d2545502b7fb3c73d653939588db,ec9c8012-5392-41e1-98ba-71f262f912aa,CHEMBL5945752,CHEMBL5945752,Cc1n[nH]c2c1C(c1cc(C#CCCC(=O)O)cc(C(F)(F)F)c1)(C(C)C)C(C#N)=C(N)O2,RULYJGNVROYLMC-UHFFFAOYSA-N,-8.013,-5.681,2.332,t
32,d7c3214da1f7d788010845c8db302f0a269848d2007f73836616b33ed638271d,56de401b-9af5-43da-8093-c24695e551eb,WH-0291,WH-0291,C=CC(=O)NCCc1cc(F)ccc1-c1nn2c(N3CCOCC3)nccc2c1-c1ccc2c(c1)CC(=O)N2,DWTDXZYPXOYSLK-UHFFFAOYSA-N,-11.318,-8.991,2.327,t
33,f24b5b1c595c863349cecba717ce0f928a035b0303b33257c0c1a022a12938ad,7679713f-f2a2-46b2-99f3-4e4e187bcfe4,WH-0397,WH-0397,C=CC(=O)NCCCc1cnc(N2CCC(N)CC2)n2nc(-c3ccc(F)cc3)c(-c3ccc4c(c3)CC(=O)N4)c12,RVIBHCWSHGLSLS-UHFFFAOYSA-N,-8.671,-6.359,2.3119999999999994,t
34,3816598f02e22d15b10a5fdd4bb3175cff6c0a554adeca9ed7b857f7d03a77f9,21775070-b11e-47ad-9218-201a2aae1dd7,WH-0133,WH-0133,C=C(C#N)C(=O)NCCc1ccccc1[C@H]1[C@H](NC(=O)c2ccc(F)cc2)[C@](C)(O)CCN1S(C)(=O)=O,YSCXJUAMMJBPKO-JCYRPKCISA-N,-9.382,-7.073,2.3089999999999993,t
35,89d6d5639b25fde84fca7d9cbc3b9e77aaf22dfda0cce4375c1ba209decc26be,92691380-b622-4735-884a-b8ed1e40885f,WH-0335,WH-0335,O=C(CCl)NCCOC1CCN(c2nccc3c(-c4ccc5c(c4)CC(=O)N5)c(-c4ccc(C(F)(F)F)cc4)nn23)CC1,GJPGQLZSKGLVEK-UHFFFAOYSA-N,-10.574,-8.266,2.308,t
