immutable_ligand_identity_sha256,historical_rank,target,historical_run_id,historical_pose_id,sam_status,sam_atom_count,audit_reason,audited_artifact_uri,audited_artifact_exists,engine,run_metadata
90c8ed85158ee008612e272ef7ce48aa3f4fa49a819118fc0e0c4d48c8ce5971,1,7B,7c3c66fd-25f5-4074-8555-fa283dd3f5bd,28bf40ab-5c62-4645-9ebb-ec670f2feab4,PROTEIN_ONLY,0,no SAM residue in receptor/target artifact,local://artifact-storage/146396ee-698b-4e85-9582-747a875b7a02/e3f08829-fc57-4e5a-b361-384135d4d573.pdb,True,vina,"{""imported_from"": ""aws_s3_run"", ""aws_run_id"": ""cys203_model_v2_3000_pdbqt_aws_20260612"", ""target_label"": ""TMT1B"", ""selectivity_role"": ""primary"", ""grid_source"": ""fpocket_pocket"", ""grid_name"": ""fpocket_productive_pocket_v1"", ""grid_center"": {""x"": 2.844, ""y"": -2.1, ""z"": -4.211}, ""grid_size"": {""x"": 25.334, ""y"": 19.263, ""z"": 23.923}, ""ligand_count"": 3000, ""job_count"": 3000, ""failed_job_count"": 0, ""failed_jobs"": []}"
90c8ed85158ee008612e272ef7ce48aa3f4fa49a819118fc0e0c4d48c8ce5971,1,7A,13023667-0580-45ea-b719-7ed710c86453,5166c775-0d3c-45bc-ad5d-b16cbdb6f2ba,PROTEIN_ONLY,0,no SAM residue in receptor/target artifact,local://artifact-storage/146396ee-698b-4e85-9582-747a875b7a02/5e4b79a9-f17d-4e61-91d3-f0574416266d.pdb,True,vina,"{""imported_from"": ""aws_s3_run"", ""aws_run_id"": ""cys203_model_v2_3000_pdbqt_aws_20260612"", ""target_label"": ""TMT1A"", ""selectivity_role"": ""counter"", ""grid_source"": ""fpocket_pocket"", ""grid_name"": ""fpocket_productive_pocket_v1"", ""grid_center"": {""x"": 2.844, ""y"": -2.1, ""z"": -4.211}, ""grid_size"": {""x"": 25.334, ""y"": 19.263, ""z"": 23.923}, ""ligand_count"": 3000, ""job_count"": 3000, ""failed_job_count"": 0, ""failed_jobs"": [], ""copied_from_campaign_id"": ""df2da101-7e20-4cf6-b6fc-dc917aa5fe21"", ""copied_from_docking_run_id"": ""737ede2d-95ea-4515-a9a7-8c2535f2a12f"", ""subset_source"": ""whole_db_no_wh_top_7b_delta_plus_controls""}"
c65806daff93288f24cff4a624a61cd33cbc203716333f1546da2c7003b073c5,2,7B,3bfa8941-a632-4961-bc6f-0b08e6290e30,729e58ad-5992-49a3-8c19-ed2a79c583a4,PROTEIN_ONLY,0,no SAM residue in receptor/target artifact,local://artifact-storage/146396ee-698b-4e85-9582-747a875b7a02/e3f08829-fc57-4e5a-b361-384135d4d573.pdb,True,vina,"{""imported_from"": ""aws_s3_run"", ""aws_run_id"": ""cys203_model_v2_3000_pdbqt_aws_20260612"", ""target_label"": ""TMT1B"", ""selectivity_role"": ""primary"", ""grid_source"": ""fpocket_pocket"", ""grid_name"": ""fpocket_productive_pocket_v1"", ""grid_center"": {""x"": 2.844, ""y"": -2.1, ""z"": -4.211}, ""grid_size"": {""x"": 25.334, ""y"": 19.263, ""z"": 23.923}, ""ligand_count"": 3000, ""job_count"": 3000, ""failed_job_count"": 0, ""failed_jobs"": [], ""copied_from_campaign_id"": ""df2da101-7e20-4cf6-b6fc-dc917aa5fe21"", ""copied_from_docking_run_id"": ""7c3c66fd-25f5-4074-8555-fa283dd3f5bd"", ""subset_source"": ""whole_db_no_wh_top_7b_delta_plus_controls""}"
c65806daff93288f24cff4a624a61cd33cbc203716333f1546da2c7003b073c5,2,7A,737ede2d-95ea-4515-a9a7-8c2535f2a12f,5f90cf45-75c2-4913-9ae5-a57a04b9b8ea,PROTEIN_ONLY,0,no SAM residue in receptor/target artifact,local://artifact-storage/146396ee-698b-4e85-9582-747a875b7a02/5e4b79a9-f17d-4e61-91d3-f0574416266d.pdb,True,vina,"{""imported_from"": ""aws_s3_run"", ""aws_run_id"": ""cys203_model_v2_3000_pdbqt_aws_20260612"", ""target_label"": ""TMT1A"", ""selectivity_role"": ""counter"", ""grid_source"": ""fpocket_pocket"", ""grid_name"": ""fpocket_productive_pocket_v1"", ""grid_center"": {""x"": 2.844, ""y"": -2.1, ""z"": -4.211}, ""grid_size"": {""x"": 25.334, ""y"": 19.263, ""z"": 23.923}, ""ligand_count"": 3000, ""job_count"": 3000, ""failed_job_count"": 0, ""failed_jobs"": []}"
7654036819bc4b46300e834bfeff0079ee051bc86ba8f523cc2b456beeb238d3,3,7B,7df63444-f196-4b6a-8b53-ba42cdbcf854,081ac39c-2209-40c6-8c66-156b8ca8552d,PROTEIN_ONLY,0,no SAM residue in receptor/target artifact,local://artifact-storage/eddab259-6f71-4a8a-a70f-3dc4768ff362/2b1dde73-7077-48a1-83fd-a3fa172942ee.pdbqt,True,vina,"{""engine"": ""vina"", ""ligand_count"": 6, ""receptor_artifact_id"": ""2b1dde73-7077-48a1-83fd-a3fa172942ee"", ""target_label"": ""METTL7B"", ""selectivity_role"": ""primary"", ""grid_source"": ""bridge_rim_p2rank_pocket1"", ""box"": {""center_x"": 3.9635, ""center_y"": -2.6632, ""center_z"": -2.8256, ""size_x"": 26.0, ""size_y"": 26.0, ""size_z"": 26.0}, ""exhaustiveness"": 8, ""num_modes"": 9, ""pose_count"": 54, ""failed_ligands"": []}"
7654036819bc4b46300e834bfeff0079ee051bc86ba8f523cc2b456beeb238d3,3,7A,62a81f5b-04b5-4c42-8b88-28e27ebf7864,702578d4-2eda-43e3-93a1-7d88d3ce21f7,PROTEIN_ONLY,0,no SAM residue in receptor/target artifact,local://artifact-storage/eddab259-6f71-4a8a-a70f-3dc4768ff362/004325ae-0a48-460e-b655-706a067eebb9.pdbqt,True,vina,"{""engine"": ""vina"", ""ligand_count"": 6, ""receptor_artifact_id"": ""004325ae-0a48-460e-b655-706a067eebb9"", ""target_label"": ""METTL7A"", ""selectivity_role"": ""counter"", ""grid_source"": ""bridge_rim_p2rank_pocket1"", ""box"": {""center_x"": 3.9635, ""center_y"": -2.6632, ""center_z"": -2.8256, ""size_x"": 26.0, ""size_y"": 26.0, ""size_z"": 26.0}, ""exhaustiveness"": 8, ""num_modes"": 9, ""pose_count"": 50, ""failed_ligands"": [], ""copied_from_campaign_id"": ""eddab259-6f71-4a8a-a70f-3dc4768ff362"", ""copied_from_docking_run_id"": ""bf5b8f27-a0b5-4078-aa50-e08e9dbccc00"", ""subset_source"": ""whole_db_no_wh_top_7b_delta_plus_controls""}"
df151612f0462f2b3951412d0b0434414755d3f6af86d924762dde8708357402,4,7B,3bfa8941-a632-4961-bc6f-0b08e6290e30,07edad65-850c-4fa5-9700-742af495724f,PROTEIN_ONLY,0,no SAM residue in receptor/target artifact,local://artifact-storage/146396ee-698b-4e85-9582-747a875b7a02/e3f08829-fc57-4e5a-b361-384135d4d573.pdb,True,vina,"{""imported_from"": ""aws_s3_run"", ""aws_run_id"": ""cys203_model_v2_3000_pdbqt_aws_20260612"", ""target_label"": ""TMT1B"", ""selectivity_role"": ""primary"", ""grid_source"": ""fpocket_pocket"", ""grid_name"": ""fpocket_productive_pocket_v1"", ""grid_center"": {""x"": 2.844, ""y"": -2.1, ""z"": -4.211}, ""grid_size"": {""x"": 25.334, ""y"": 19.263, ""z"": 23.923}, ""ligand_count"": 3000, ""job_count"": 3000, ""failed_job_count"": 0, ""failed_jobs"": [], ""copied_from_campaign_id"": ""df2da101-7e20-4cf6-b6fc-dc917aa5fe21"", ""copied_from_docking_run_id"": ""7c3c66fd-25f5-4074-8555-fa283dd3f5bd"", ""subset_source"": ""whole_db_no_wh_top_7b_delta_plus_controls""}"
df151612f0462f2b3951412d0b0434414755d3f6af86d924762dde8708357402,4,7A,737ede2d-95ea-4515-a9a7-8c2535f2a12f,53140c89-b8ac-425d-89fe-51aa4440797a,PROTEIN_ONLY,0,no SAM residue in receptor/target artifact,local://artifact-storage/146396ee-698b-4e85-9582-747a875b7a02/5e4b79a9-f17d-4e61-91d3-f0574416266d.pdb,True,vina,"{""imported_from"": ""aws_s3_run"", ""aws_run_id"": ""cys203_model_v2_3000_pdbqt_aws_20260612"", ""target_label"": ""TMT1A"", ""selectivity_role"": ""counter"", ""grid_source"": ""fpocket_pocket"", ""grid_name"": ""fpocket_productive_pocket_v1"", ""grid_center"": {""x"": 2.844, ""y"": -2.1, ""z"": -4.211}, ""grid_size"": {""x"": 25.334, ""y"": 19.263, ""z"": 23.923}, ""ligand_count"": 3000, ""job_count"": 3000, ""failed_job_count"": 0, ""failed_jobs"": []}"
253cde72c350373b8b3985af7a9cb510e3e9cfec649927e22b6f86a2cce604ca,5,7B,7c3c66fd-25f5-4074-8555-fa283dd3f5bd,5ca25f55-b3d1-480f-921e-714791c52d48,PROTEIN_ONLY,0,no SAM residue in receptor/target artifact,local://artifact-storage/146396ee-698b-4e85-9582-747a875b7a02/e3f08829-fc57-4e5a-b361-384135d4d573.pdb,True,vina,"{""imported_from"": ""aws_s3_run"", ""aws_run_id"": ""cys203_model_v2_3000_pdbqt_aws_20260612"", ""target_label"": ""TMT1B"", ""selectivity_role"": ""primary"", ""grid_source"": ""fpocket_pocket"", ""grid_name"": ""fpocket_productive_pocket_v1"", ""grid_center"": {""x"": 2.844, ""y"": -2.1, ""z"": -4.211}, ""grid_size"": {""x"": 25.334, ""y"": 19.263, ""z"": 23.923}, ""ligand_count"": 3000, ""job_count"": 3000, ""failed_job_count"": 0, ""failed_jobs"": []}"
253cde72c350373b8b3985af7a9cb510e3e9cfec649927e22b6f86a2cce604ca,5,7A,13023667-0580-45ea-b719-7ed710c86453,82ca0b96-c6b8-4a39-83bd-741e951d2f64,PROTEIN_ONLY,0,no SAM residue in receptor/target artifact,local://artifact-storage/146396ee-698b-4e85-9582-747a875b7a02/5e4b79a9-f17d-4e61-91d3-f0574416266d.pdb,True,vina,"{""imported_from"": ""aws_s3_run"", ""aws_run_id"": ""cys203_model_v2_3000_pdbqt_aws_20260612"", ""target_label"": ""TMT1A"", ""selectivity_role"": ""counter"", ""grid_source"": ""fpocket_pocket"", ""grid_name"": ""fpocket_productive_pocket_v1"", ""grid_center"": {""x"": 2.844, ""y"": -2.1, ""z"": -4.211}, ""grid_size"": {""x"": 25.334, ""y"": 19.263, ""z"": 23.923}, ""ligand_count"": 3000, ""job_count"": 3000, ""failed_job_count"": 0, ""failed_jobs"": [], ""copied_from_campaign_id"": ""df2da101-7e20-4cf6-b6fc-dc917aa5fe21"", ""copied_from_docking_run_id"": ""737ede2d-95ea-4515-a9a7-8c2535f2a12f"", ""subset_source"": ""whole_db_no_wh_top_7b_delta_plus_controls""}"
