geometry_id,provenance,dataset_role,minimum,perturbation_family,geometry_sha256,result_sha256,energy_hartree,force_rms_ha_per_bohr,force_max_ha_per_bohr,sulfur_local_force_rms_ha_per_bohr,torsional_coverage,numerical_values_exposed
TSLRSH-FC-001,CPU_PYSCF,TRAIN,MIN02,CONTROLLED_LOCAL:BOND_COUPLED,037f66fcd2cdd7a0b415a1cf4bcd473c741440c6a9701e69602b4ec96755b575,5bc91b92b5d8803af61f05bba652214283bb6c99684aa1284252083a423fd127,-1477.9406523935686,0.0011006550284928408,0.010100376634980535,0.0029107831466067343,NOT_EXPLICIT,True
TSLRSH-FC-002,CPU_PYSCF,HOLDOUT,MIN01,NORMAL_MODE:NORMAL_MODE,06d91e63787213ae4615f4477a740163c34749a1e79954b78c3ce06cd62417d9,8306455071bc13f4100e72474816c1f53cf4fbf7b0ca543234330ea8eafcfcf5,REDACTED_SEALED,REDACTED_SEALED,REDACTED_SEALED,REDACTED_SEALED,NOT_EXPLICIT,False
TSLRSH-FC-003,CPU_PYSCF,TRAIN,MIN01,CARTESIAN_THERMAL:CARTESIAN_THERMAL,0c25d4c7ceb4d7f34e6d5b19e0aaaa467615d761c34b8e1479c521775f5e490a,d555e6344abc52bce02c049b3135e4c69b066957fd27fbedd62eada200886b8a,-1477.8406988608526,0.029031360272691563,0.10398341046265003,0.027393218201038332,NOT_EXPLICIT,True
TSLRSH-FC-004,CPU_PYSCF,TRAIN,MIN01,NORMAL_MODE:NORMAL_MODE,0e3524213ffdfaebcec858f6e27ed9abd7c47f0f92b64350f2ae373783b3ffe2,180cbb6acfb985eaf368693f89b22f58dcb8c17ba1357c0b531e4bc22ee43def,-1477.9420965622735,0.0013968710887397034,0.00741537408347448,0.0007510426305798978,NOT_EXPLICIT,True
TSLRSH-FC-005,CPU_PYSCF,TRAIN,MIN02,NORMAL_MODE:NORMAL_MODE,14b68d2f230f353a33560631bf301ad82d04e480084e9174c8af0c73b7d1c3a1,53cef4677ba7b77e81d43233787ffa51735c2f3d2d375bbc6d6f59c3572ccdc7,-1477.9389228126697,0.0017813742008958645,0.010344806436354492,0.0008418319465230887,NOT_EXPLICIT,True
TSLRSH-FC-006,CPU_PYSCF,HOLDOUT,MIN04,CARTESIAN_THERMAL:CARTESIAN_THERMAL,170a620dea011c8cfd76d43c2de23a26d20d9b53f9f6845f7811bd61dee56551,12e81644a4d0cc0690dd9966298a8556c90dcc85c8f2d12b82757a183af3f09b,REDACTED_SEALED,REDACTED_SEALED,REDACTED_SEALED,REDACTED_SEALED,NOT_EXPLICIT,False
TSLRSH-FC-007,CPU_PYSCF,TRAIN,MIN01,CARTESIAN_THERMAL:CARTESIAN_THERMAL,1a945e33e6d900485cad193885e66de8a4ebe61d284154e472835cd230fb965a,c2d5f352540b1948f655b4feae3540c41171db5c7738d85876ea7e6110defca3,-1477.803857334285,0.033901249761840675,0.13822605175391978,0.0391869604679636,NOT_EXPLICIT,True
TSLRSH-FC-008,CPU_PYSCF,TRAIN,MIN04,CONTROLLED_LOCAL:TORSION_COUPLED,20e26e29622bf233fe59d27b9722d7a13e7e8116a99d2f865b4e62c8325815b2,c847269fb0b9d297d3142ec12fad0c630b4622a872086fd2a39e774c9d79c7c9,-1477.9187079498342,0.0027024486531787803,0.021795930857734902,0.006295868138937859,NOT_EXPLICIT,True
TSLRSH-FC-009,CPU_PYSCF,TRAIN,MIN02,CONTROLLED_LOCAL:TORSION_COUPLED,21eacebdefd3164f9ebb2878e851f5fd988afba2763d6d4e5bd89327b2258694,34b1ca08fd7f9cfc76b4b999509ed99d22b764de86930212258c89d961a74248,-1477.9337743567644,0.0029553774119156807,0.01958583386020951,0.007748736503840977,NOT_EXPLICIT,True
TSLRSH-FC-010,CPU_PYSCF,TRAIN,MIN04,CONTROLLED_LOCAL:MULTICOORDINATE,26deb3e9ad080797e8b03be596e8eb97e25424110f8a3f40404bc114bf17a93e,416ca13ed2764f76ff69c43d85d92292aa221243777d85ad71a9f320d35dcb45,-1477.9163228661996,0.0036306116920408276,0.024223454909956033,0.009305852357550963,NOT_EXPLICIT,True
TSLRSH-FC-011,CPU_PYSCF,HOLDOUT,MIN01,NORMAL_MODE:NORMAL_MODE,29e9d46be884fc0aa16f31e3b00352a6620fe5e643cb0ad6bfbb491bcbdf5392,b99a69d6711e7be32b2ad7520f06bf3e478f3338789bb158a07110a75774b037,REDACTED_SEALED,REDACTED_SEALED,REDACTED_SEALED,REDACTED_SEALED,NOT_EXPLICIT,False
TSLRSH-FC-012,CPU_PYSCF,HOLDOUT,MIN02,CONTROLLED_LOCAL:HIGHER_STRAIN,2c164c38f6fb2b2368da73efe76d39740f9beffce7b490459dd6597e561e8eba,08bb86626fa3385afc264fbc10be9c08616be0adaed755cb20c092bb1d8676c8,REDACTED_SEALED,REDACTED_SEALED,REDACTED_SEALED,REDACTED_SEALED,NOT_EXPLICIT,False
TSLRSH-FC-013,CPU_PYSCF,TRAIN,MIN04,CONTROLLED_LOCAL:ANGLE_TORSION,2e2f679144ac06861e8065da92e1c068accea64c6ffe57980d2e1b6581579144,628b81fadd54ace8994b3b9b9211829d6fd09554240d7e0877c99d45f97b914d,-1477.9184699930474,0.0027779670918425484,0.018782785487915454,0.006871616416736159,NOT_EXPLICIT,True
TSLRSH-FC-014,CPU_PYSCF,TRAIN,MIN01,CARTESIAN_THERMAL:CARTESIAN_THERMAL,32ef3d05713d5e8b4e4e35c3d34080deeeed448e1d95069a23c6130a9154cc08,8e7409d04e8afbdbef907e0fcda78a0b625935d4224051d3c63ee05dd7dc2244,-1477.8975385123808,0.01828813916558196,0.055473515496172965,0.02373032950892377,NOT_EXPLICIT,True
TSLRSH-FC-015,CPU_PYSCF,TRAIN,MIN04,CONTROLLED_LOCAL:PHI_PSI_CHI,34f7ebc27b4659ce96c6473fefdf835a41864547d8b14fb76d7cb28384b12ca2,0278f039f5bcb40f4741f3e17f1d5417e28c25dec8460cee868273b35d613f0c,-1477.9178994137678,0.002737854348717439,0.022481794272911415,0.006543370435515123,NOT_EXPLICIT,True
TSLRSH-FC-016,CPU_PYSCF,TRAIN,MIN01,CONTROLLED_LOCAL:ANGLE_TORSION,364521701263a9e465a849971693a7e32df3c78c2ec60734352fe9a7940a32c2,702625fdaa2af2388acea82e53f5535da4edaa94237dbfa006ee5cf166652d0e,-1477.9418090829517,0.0012929882611696093,0.006208090992369186,0.0030416137968203227,NOT_EXPLICIT,True
TSLRSH-FC-017,CPU_PYSCF,TRAIN,MIN02,CARTESIAN_THERMAL:CARTESIAN_THERMAL,3c57cd4701495d41c329999a9cf39ca0835c8cda770e831d0b60dde2df638b03,6844fde02185dfa51da1272742e4947f290e76d9d7d12bc425b9ac7ab580033a,-1477.9146633399791,0.01451427511365197,0.05294351575349765,0.015210658479566692,NOT_EXPLICIT,True
TSLRSH-FC-018,CPU_PYSCF,TRAIN,MIN04,CONTROLLED_LOCAL:MULTICOORDINATE,3fe7a7052d3110ca60339dcd1026c30caaec18c59b537f0148c33831b27fbb7d,5814f00772103a0a06cc07fd3def99918fae622c6c5b545e209d7fd555092192,-1477.9146570153807,0.004494336648248244,0.032348846494888006,0.01164600940633306,NOT_EXPLICIT,True
TSLRSH-FC-019,CPU_PYSCF,TRAIN,MIN01,CONTROLLED_LOCAL:TORSION_COUPLED,419b4410e91750bbd1718fe5fb73c5a54423afe8e58feba5eae71889e2835335,fc77edeec8bdb218db910c76e146b76f2a8e5f34cf5f975d9d8523e694ddfd2b,-1477.9390216665788,0.0021439350242339196,0.012688582342633481,0.005462712220063665,NOT_EXPLICIT,True
TSLRSH-FC-020,CPU_PYSCF,TRAIN,MIN02,CONTROLLED_LOCAL:MULTICOORDINATE,41b4fd61d372af23946b3269f5b7bcd281e509f1451dd581e413024358ccf606,82df39824f9508a24fc2cb7d1895622325ef5b8adb9ff6e4eba2ca34c9d61d72,-1477.929156161938,0.0034135659885746747,0.018255188003692968,0.008561031161579384,NOT_EXPLICIT,True
TSLRSH-FC-021,CPU_PYSCF,HOLDOUT,MIN02,CONTROLLED_LOCAL:ANGLE_COUPLED,42a4be7ef0e084379db9b187c646d5e086d6eb009463af16c3591c6612dab6c7,0af35f60ad3ce1a472288d8fdcb8bb2c40c6cdabef04770172cee78f17529a84,REDACTED_SEALED,REDACTED_SEALED,REDACTED_SEALED,REDACTED_SEALED,NOT_EXPLICIT,False
TSLRSH-FC-022,CPU_PYSCF,HOLDOUT,MIN01,CONTROLLED_LOCAL:PHI_PSI_CHI,4744b14936d600636216bda65dd9a83b4e179045714b75bb804fb523c01f6f23,198859b47a791a4f0c328d8966e9e2bce5368799c7eb771b715375b9c9ffc0d4,REDACTED_SEALED,REDACTED_SEALED,REDACTED_SEALED,REDACTED_SEALED,NOT_EXPLICIT,False
TSLRSH-FC-023,CPU_PYSCF,TRAIN,MIN01,CONTROLLED_LOCAL:HIGHER_STRAIN,4b93366089edaf11e0767dc9ade196fb37a8fdf61e64a42eb157a760dc7596d8,b0d6801f67f9c3feff60f245bcf45412b33f5678cd7c63a34bdfbaabdd3691d8,-1477.9421538641354,0.0012003751897657433,0.009585868255612695,0.003112400328019801,NOT_EXPLICIT,True
TSLRSH-FC-024,CPU_PYSCF,TRAIN,MIN01,NORMAL_MODE:NORMAL_MODE,4eae6be846b7a30249d10322013c2cd623ef7b618325ea282b8745b6fd118229,5209c722a60b27577b5dbb65d2f1d48bfc1ecd3e44bd169707656fa84dff2f3b,-1477.9437470022958,0.0002124493977867232,0.0013041081800331256,0.0002462489595491682,NOT_EXPLICIT,True
TSLRSH-FC-025,CPU_PYSCF,TRAIN,MIN01,CONTROLLED_LOCAL:BOND_ANGLE_TORSION,58cddb0edd21718f3bf39c8276d9cf5a991ec7534224d493ae75762894da272f,8e123ee6ca679dff33eb7e1534b41c74487908add1fda7a4b1dca0824c95d8fc,-1477.9402956129748,0.002597416453549533,0.021958010432360453,0.0068390859170663985,NOT_EXPLICIT,True
TSLRSH-FC-026,CPU_PYSCF,HOLDOUT,MIN02,NORMAL_MODE:NORMAL_MODE,59a3a08f92144c60b185935e81b48bcd4c5b8896ca32ddf228fab43a2e6728d4,4f039b82c83188e9fca43e64280aca95f7fffa9e9327a41afb4dfd2e008c00bb,REDACTED_SEALED,REDACTED_SEALED,REDACTED_SEALED,REDACTED_SEALED,NOT_EXPLICIT,False
TSLRSH-FC-027,CPU_PYSCF,TRAIN,MIN04,NORMAL_MODE:NORMAL_MODE,5a45f758bcc235d2afb37728ce2ad732ecad164cae24387eed822c86e2db79d1,c05454c273b2f97fa85b9c736bf666a371d63cce5985765d44b249be5a5ab494,-1477.9229776791103,0.0014178517735013365,0.007001243794435341,0.0013862446411743764,NOT_EXPLICIT,True
TSLRSH-FC-028,CPU_PYSCF,TRAIN,MIN02,CONTROLLED_LOCAL:BOND_ANGLE_TORSION,5d5547212631adfdedd3df0ba107142fde4bb79b1e6076ca3aaa51126ca78392,3e68938b49121d42cf1acace60def3679eaa6f982f05d84653cb17bd3bac1fee,-1477.9314897728586,0.003476892705732142,0.022048068748598215,0.008432086112260291,NOT_EXPLICIT,True
TSLRSH-FC-029,CPU_PYSCF,TRAIN,MIN04,CARTESIAN_THERMAL:CARTESIAN_THERMAL,5f8e5fd44a193997d826ed712c30184cad60068f24bba318909248e89450d86f,c5ed93ff9aa695f4e67b53432ee4aca7a75f699de8508623224a4d98a48f1b97,-1477.7614184250115,0.03617381967802188,0.1275878007045792,0.026239449240788415,NOT_EXPLICIT,True
TSLRSH-FC-030,CPU_PYSCF,TRAIN,MIN02,CONTROLLED_LOCAL:PHI_PSI_CHI,5fe3a3ed87564ec1145ba88a3934a8bb54e21d9ef2839398c3d171a40f885fa6,69f3a15a61126d6c23c5270e9fda6e9c673d4fce9183c457a53309efcdbdf111,-1477.938782771328,0.0017215515360518813,0.01421474411993806,0.0038164658981944505,NOT_EXPLICIT,True
TSLRSH-FC-031,CPU_PYSCF,HOLDOUT,MIN01,CONTROLLED_LOCAL:MULTICOORDINATE,631e0fbf73c385a1eccb062aba0a25be5b694e6f71cd50310024747f095d8776,7f6a51bf1d54da3794b5df9ab470f41cf4a6a8f88f9895ef3014d28d0c6bd14a,REDACTED_SEALED,REDACTED_SEALED,REDACTED_SEALED,REDACTED_SEALED,NOT_EXPLICIT,False
TSLRSH-FC-032,CPU_PYSCF,TRAIN,MIN01,CONTROLLED_LOCAL:BOND_COUPLED,64264736c42316a2ebb1dff55c01239c029c566edd4533cba496e200d763ea85,f42e5228ada9ff7f9fcd4e0da2f527a6eda0f8e24700c6bd172a60dbb08e1bbe,-1477.9432010805376,0.0017309906345626329,0.01120587340136936,0.0045788528459843126,NOT_EXPLICIT,True
TSLRSH-FC-033,CPU_PYSCF,HOLDOUT,MIN04,CONTROLLED_LOCAL:PHI_PSI_CHI,6b0e17a9613a03c8747a768114e53d113707a778f73fbdab18bda82f5dfdb4e4,da27c37078abb00ac59373b00de3f5b0203807d265a87d298811f6747905a2c8,REDACTED_SEALED,REDACTED_SEALED,REDACTED_SEALED,REDACTED_SEALED,NOT_EXPLICIT,False
TSLRSH-FC-034,CPU_PYSCF,HOLDOUT,MIN04,NORMAL_MODE:NORMAL_MODE,6c06167d9a06ce06f2548550d59bcff01c17784050946ada590aa48e973db06c,4334d168bc1c4d306fe3ac269ee50631d1828cc8c2a2159a473f73ac7aa17a8d,REDACTED_SEALED,REDACTED_SEALED,REDACTED_SEALED,REDACTED_SEALED,NOT_EXPLICIT,False
