campaign_id,partition,source_minimum,perturbation_family,geometry_sha256,result_sha256
TSLRSH-GPU-001,SEALED_VALIDATION,MIN01,TORSIONAL_OR_CONSTRAINED_TRAJECTORY,ae84db0c18745dffff385edfa193d388ea972e2937b84048c485a52e8274ff6a,c8de6e112add32b5448db520dc8f70b3356c67e6ffd394b897310331b461fd16
TSLRSH-GPU-002,SEALED_VALIDATION,MIN01,FORCE_CLOUD_PERTURBATION,74ef58a5d34ad4f11f7a0856ca39a35e3bcca8bf3bd8b80786c95401c0c8d56a,edf953707c5c5f6f0d4221e80f8f080d4950f7c27e015b880dfd4cd1d698454d
TSLRSH-GPU-003,SEALED_VALIDATION,MIN01,FORCE_CLOUD_PERTURBATION,2fa2c4f60bd61c8a827266e14a999bfad450e55a329294a7a7d7f86797fd707a,7cdf2fd1a1d4253f6f3d1a53d5892a825d3bcd0de73f625dab68c8bf14b66cca
TSLRSH-GPU-004,DEVELOPMENT,MIN01,TORSIONAL_OR_CONSTRAINED_TRAJECTORY,ae9b4b8a92d591c00f6e80226c717d7f6d4bf906083ed4ba4a6b5e016702b735,18886c337af5adbd453ca55ebfc2bae307ffcdafea41b89b0b09a525a4e79162
TSLRSH-GPU-005,DEVELOPMENT,MIN01,FORCE_CLOUD_PERTURBATION,8ea6d745cde0c091bc20605bb122de6cce66b3b262c513f1caa9b5a67f73efa9,72f27e5580baa3db26bd116d466d99eb98acfc0ba6a176f387c5b3e70affeed8
TSLRSH-GPU-006,DEVELOPMENT,MIN01,FORCE_CLOUD_PERTURBATION,f385ea2cce36f265e3201df0a0f9daf4827912f2c9672a4455ac7142abbab306,04892f9e5d24a17f37c1668deb3274afed8e9ae74c450e44d97f0ba901d9b892
TSLRSH-GPU-007,DEVELOPMENT,MIN01,OTHER_EXISTING_GEOMETRY,aaf521feae08d5c1e579af84d0a757f9c5a1d590358141dce55c70bd070a10a9,595ce94e919d2199b149412339d41c0a30fdbce7eb1a5c8e885adba6f096c2f8
TSLRSH-GPU-008,DEVELOPMENT,MIN01,TORSIONAL_OR_CONSTRAINED_TRAJECTORY,1b4dc6839b1d71a6ee4baae871b72a6fdacdd0fa611ea42de1a2e87287ef554d,2ee067701e12ceb951a2e0642a268e3abf755d4cdb6eb512e40625a0da7683e9
TSLRSH-GPU-009,DEVELOPMENT,MIN01,FORCE_CLOUD_PERTURBATION,bb5c5513f3e7c8db196c8ab3c7542d5b0bc82d053aa122e4932145f2867d8c23,b33d2fc90d15c370af183556e1052e84546999fbdcc3df3ce511cda2fcdf52ae
TSLRSH-GPU-010,DEVELOPMENT,MIN01,FORCE_CLOUD_PERTURBATION,47bdf017b9b283de3a28322690bed718f4190a433c2e6b36cac798c890e0f646,e5442e5bd178f41ac501532d669eb8712fb9b197eddbd1d781186e3fa7a5d6a2
TSLRSH-GPU-011,DEVELOPMENT,MIN01,FORCE_CLOUD_PERTURBATION,673742209761c952e977a3330ec28485beff068734ac5d8f264edef2fae0937a,28083ee02bb8a721a3a34ca22e6f5e289cc16db953e7e7e5117a33e59d510473
TSLRSH-GPU-012,SEALED_VALIDATION,MIN01,FORCE_CLOUD_PERTURBATION,af902dc5c296178e22f56d8a423b587b5a7fa5fa013874cef457395520f30b0d,c10fdc555f8a1cea441f618e56c1ffcb4c11fb9805a4f78d86859b8a9431ca84
TSLRSH-GPU-013,DEVELOPMENT,MIN01,TORSIONAL_OR_CONSTRAINED_TRAJECTORY,ac9039f9aa88fd879e51d007bcdb4133d49abef114c9f025f37bac78e3c88ef3,0b64a1bf32e1d7c67f1097ac3e4ce6c4463bb0232d6b6d58ba6e886b66a6a186
TSLRSH-GPU-014,DEVELOPMENT,MIN01,TORSIONAL_OR_CONSTRAINED_TRAJECTORY,da9619f1b40d25d6ca8f5d23e29fab6021993965bb5a8a3bcf2576680da1290b,7ad5dd74f87906a9e37481491ba35883c3245163783919799139f85b6a0f8039
TSLRSH-GPU-015,DEVELOPMENT,MIN01,FORCE_CLOUD_PERTURBATION,0cdbbb83fc06366a1d50ddf5fd252a4c1fd78dc2fe273632922ad97aaafdbf6c,dfb25da5d41b59b52cfc88d1be962903afdfb6ac5d69e4d8a04ecbecb4599f5b
TSLRSH-GPU-016,DEVELOPMENT,MIN01,FORCE_CLOUD_PERTURBATION,ac26071d14dca9cc78446febfd0a0824b4b7ca9e505d8d9779ddadb78cbbf570,01786c2f76f0cce1eb2ec5ea9458873d5ab568c42052f30262a32637e6b80feb
TSLRSH-GPU-017,DEVELOPMENT,MIN01,FORCE_CLOUD_PERTURBATION,67e0dd67e6e78d7e872ac75578bdc85d62ad5eb3af74497f61a4e341991e33ab,5240be29e93f608545578e91fc7e4e193f4eb0aa7b63a284f47741fec456f496
TSLRSH-GPU-018,DEVELOPMENT,MIN01,TORSIONAL_OR_CONSTRAINED_TRAJECTORY,d5b07126c35e75da9d7968c55cedf146bce7622cafbef3373757114637770708,e70af1b78dd0b4f37788e0c01ffe7b3640998665e79f76e5cf9e573696359ede
TSLRSH-GPU-019,SEALED_VALIDATION,MIN01,TORSIONAL_OR_CONSTRAINED_TRAJECTORY,8b929560cb0ddca33d5b0fc9f36b0da93c7e3178b19c0a43df5a48dbf4d0c6a5,5c8ed6de551af88ec5d40bd04616eabe8c86db927eda58c42caa75809816a869
TSLRSH-GPU-020,DEVELOPMENT,MIN01,TORSIONAL_OR_CONSTRAINED_TRAJECTORY,b7d1c78f1736ef11f637a0efc42fbedf1f260ce0307a96ff7d5ee3474bf6fc8c,5afaf777f71168d546d02fadf90ced71b6fa70724275df97d0e765f7fec4a615
TSLRSH-GPU-021,SEALED_VALIDATION,MIN02,TORSIONAL_OR_CONSTRAINED_TRAJECTORY,196c5a55e01826bfcfbbfc538770e5d20cd8339fad171a9cb7f10d64bd90a90b,5a81f890cba2d6a9abdcd1398cf7298d62de222d788f8e3afd67a8b5d6c7ee3d
TSLRSH-GPU-022,DEVELOPMENT,MIN02,FORCE_CLOUD_PERTURBATION,e01254cfc024eb4dbf6d3a59a8db63f3cd70f32d73f41e7b483da93a8c5b54f9,69eff168d2f7f34cfcec19d34d3d44b833287422fc6aea4bdd59088066e40b06
TSLRSH-GPU-023,SEALED_VALIDATION,MIN02,FORCE_CLOUD_PERTURBATION,51a20bf271d9cfb9cd62a7e546adafcfb5d3ecec291103f9bc78ce0a070eb9e4,defca7d19faca85d39a85d67d7d75276b1769d36a0bd015b07ecd591e5e8900a
TSLRSH-GPU-024,SEALED_VALIDATION,MIN02,FORCE_CLOUD_PERTURBATION,a4e51527b487687e267ccc670776d3ba14bb66755306322b16ce9209cefd9678,8e9b5eddf8d0bb5b125fe001dd14d92f25d7d6b5df36162a9f035da663a562da
TSLRSH-GPU-025,SEALED_VALIDATION,MIN02,OTHER_EXISTING_GEOMETRY,45a31038c11144b3692aae8fd02cbbc08cb06b0227e70890b9d9813fe4615ea8,c74a06def8986e574903ee1745d9520a0ed125f4a1cbac6d477d4fdeda87a2c6
TSLRSH-GPU-026,DEVELOPMENT,MIN02,FORCE_CLOUD_PERTURBATION,07aecd8219eb9a62c89daf17b69cb1c888d583499dc2720c4c7c206009c3913d,88ed53f15b53991c74bbe5e923e31c07394102d3068434f5af7a4f37fa292c38
