pool_index,geometry_id,source_path,geometry_sha256,nearest_anchor_graph_distance,selected_next_qm
0,POOL-0001:optimized,analysis/mettl7-phase2/execution-unit-05B/qm/TSL_RSH/optimized.xyz,27fab449cb9415769b4596e76da29034d2919daedbde2bb49900fa981440c1b5,0.0,False
1,POOL-0002:state,analysis/mettl7-phase2/execution-unit-05B/qm/TSL_RSH/state.xyz,35691d292fcbff13a10b7cae0a414abe4262de9a0f30a7c75e14f7bbb1276118,0.0,False
2,POOL-0003:xtbopt,analysis/mettl7-phase2/execution-unit-05B/qm/TSL_RSH/xtbopt.xyz,aaf521feae08d5c1e579af84d0a757f9c5a1d590358141dce55c70bd070a10a9,0.0,False
3,POOL-0004:point-000,analysis/mettl7-phase2/execution-unit-05D/full-molecule-dft/TSL_RSH/point-000.xyz,db810234cfe572c68795bb6b5bb9f82aaf23660eae39a94ab47de138e7a1a2c7,0.0,False
4,POOL-0005:point-002,analysis/mettl7-phase2/execution-unit-05D/full-molecule-dft/TSL_RSH/point-002.xyz,7e89dfb2a115af5ed2b9cda28fcfc8c424d36a4652fca57c5b8954a5a35cd0df,0.33344779502679045,False
5,POOL-0006:point-004,analysis/mettl7-phase2/execution-unit-05D/full-molecule-dft/TSL_RSH/point-004.xyz,b7f5b0940002d2515a75ac9979e988e2ed7e643084380b493a4d1b56aaeb5263,1.5880877946859842,False
6,POOL-0007:point-008,analysis/mettl7-phase2/execution-unit-05D/full-molecule-dft/TSL_RSH/point-008.xyz,bfc4af14f22c2295f73dd1dd076e1db6bac8b5f34cdf01598b4af291e2e9c9a0,1.278041171630975,True
7,POOL-0008:point-012,analysis/mettl7-phase2/execution-unit-05D/full-molecule-dft/TSL_RSH/point-012.xyz,45a31038c11144b3692aae8fd02cbbc08cb06b0227e70890b9d9813fe4615ea8,0.0,False
8,POOL-0009:point-016,analysis/mettl7-phase2/execution-unit-05D/full-molecule-dft/TSL_RSH/point-016.xyz,daf3f9a6d4a29ce3aa58bbab65273460fc94d075447f26239699c8557f6ae608,0.0,False
9,POOL-0010:point-020.seed,analysis/mettl7-phase2/execution-unit-05D/full-molecule-dft/TSL_RSH/point-020.seed.xyz,dd6c9f4e60a7e8cefa5dbe9b9f39055d33e9c5aca5630ece472db456a8c9f443,0.35262962750048377,False
10,POOL-0011:point-020,analysis/mettl7-phase2/execution-unit-05D/full-molecule-dft/TSL_RSH/point-020.xyz,d65c2ad9063d2c19de37bf2122f1d497fe38b230800ebeb77817137eee8d6f91,0.6174712117117473,False
11,POOL-0012:phi060_psi+060,analysis/mettl7-phase2/execution-unit-05F/dft-2d/phi060_psi+060.xyz,217b89058443e983e78a4d79261da34ca65aeef28f306c2210821f643f35786c,0.0,False
12,POOL-0013:phi060_psi+180,analysis/mettl7-phase2/execution-unit-05F/dft-2d/phi060_psi+180.xyz,b89953272c173c699c41fb27e2d41b7231060a055992df4a9685019413f651a6,1.6339637379052339,True
13,POOL-0014:phi060_psi-060,analysis/mettl7-phase2/execution-unit-05F/dft-2d/phi060_psi-060.xyz,ae9b4b8a92d591c00f6e80226c717d7f6d4bf906083ed4ba4a6b5e016702b735,0.0,False
14,POOL-0015:phi180_psi+060,analysis/mettl7-phase2/execution-unit-05F/dft-2d/phi180_psi+060.xyz,196c5a55e01826bfcfbbfc538770e5d20cd8339fad171a9cb7f10d64bd90a90b,0.0,False
15,POOL-0016:phi180_psi+180,analysis/mettl7-phase2/execution-unit-05F/dft-2d/phi180_psi+180.xyz,9c512b1e188c844aac7162ffc6e120d77913ae71fe8a620ef111867b621c7a1b,0.0,False
16,POOL-0017:phi180_psi-060,analysis/mettl7-phase2/execution-unit-05F/dft-2d/phi180_psi-060.xyz,e401dbcdc6f36183f99689c835df03cfdbaec5af0a8091ba8401a1f926b3eac8,0.31268572747584045,False
17,POOL-0018:phi300_psi+180,analysis/mettl7-phase2/execution-unit-05F/dft-2d/phi300_psi+180.xyz,6bd0838cb190612238b30dd5878aba4edead5a4b203c812d06e882bad77a07ac,0.9769480566719788,True
18,POOL-0019:phi300_psi-060,analysis/mettl7-phase2/execution-unit-05F/dft-2d/phi300_psi-060.xyz,7b6e5e1c82ebe92523d563b4969c548108930c89d7d2bb76115c7e19dd85daca,0.0,False
19,POOL-0020:final,analysis/mettl7-phase2/execution-unit-05G/attempts/phi180_psi060_neighbor_seed/final.xyz,d99b3c02fef39f0ebe73c8c0b3675be78b0a9de2846cefefde65868e7f5b2084,0.902542938590117,True
20,POOL-0021:final,analysis/mettl7-phase2/execution-unit-05G/attempts/phi180_psi180_direct_restart/final.xyz,30c5c67ad82cc0435687b0a93542201322a9af161659cc32b2e4eb2cbbe01547,0.6405468077853342,False
21,POOL-0022:final,analysis/mettl7-phase2/execution-unit-05G/attempts/phi300_psi060_neighbor_seed/final.xyz,9bec879217a16f5146c7826d36457d054577e7303e341d347e5c51f3fa430c07,0.0,False
