cell_id,phi_degrees,psi_degrees,spatial_partition,stage_a_cell
PHI-180_PSI-180,-180,-180,TEST,True
PHI-180_PSI-165,-180,-165,TEST,False
PHI-180_PSI-150,-180,-150,TEST,True
PHI-180_PSI-135,-180,-135,TEST,False
PHI-180_PSI-120,-180,-120,TRAIN,True
PHI-180_PSI-105,-180,-105,TRAIN,False
PHI-180_PSI-090,-180,-90,TRAIN,True
PHI-180_PSI-075,-180,-75,TRAIN,False
PHI-180_PSI-060,-180,-60,TRAIN,True
PHI-180_PSI-045,-180,-45,TRAIN,False
PHI-180_PSI-030,-180,-30,TRAIN,True
PHI-180_PSI-015,-180,-15,TRAIN,False
PHI-180_PSI+000,-180,0,TEST,True
PHI-180_PSI+015,-180,15,TEST,False
PHI-180_PSI+030,-180,30,TEST,True
PHI-180_PSI+045,-180,45,TEST,False
PHI-180_PSI+060,-180,60,TRAIN,True
PHI-180_PSI+075,-180,75,TRAIN,False
PHI-180_PSI+090,-180,90,TRAIN,True
PHI-180_PSI+105,-180,105,TRAIN,False
PHI-180_PSI+120,-180,120,TRAIN,True
PHI-180_PSI+135,-180,135,TRAIN,False
PHI-180_PSI+150,-180,150,TRAIN,True
PHI-180_PSI+165,-180,165,TRAIN,False
PHI-165_PSI-180,-165,-180,TEST,False
PHI-165_PSI-165,-165,-165,TEST,False
PHI-165_PSI-150,-165,-150,TEST,False
PHI-165_PSI-135,-165,-135,TEST,False
PHI-165_PSI-120,-165,-120,TRAIN,False
PHI-165_PSI-105,-165,-105,TRAIN,False
PHI-165_PSI-090,-165,-90,TRAIN,False
PHI-165_PSI-075,-165,-75,TRAIN,False
PHI-165_PSI-060,-165,-60,TRAIN,False
PHI-165_PSI-045,-165,-45,TRAIN,False
PHI-165_PSI-030,-165,-30,TRAIN,False
PHI-165_PSI-015,-165,-15,TRAIN,False
PHI-165_PSI+000,-165,0,TEST,False
PHI-165_PSI+015,-165,15,TEST,False
PHI-165_PSI+030,-165,30,TEST,False
PHI-165_PSI+045,-165,45,TEST,False
PHI-165_PSI+060,-165,60,TRAIN,False
PHI-165_PSI+075,-165,75,TRAIN,False
PHI-165_PSI+090,-165,90,TRAIN,False
PHI-165_PSI+105,-165,105,TRAIN,False
PHI-165_PSI+120,-165,120,TRAIN,False
PHI-165_PSI+135,-165,135,TRAIN,False
PHI-165_PSI+150,-165,150,TRAIN,False
PHI-165_PSI+165,-165,165,TRAIN,False
PHI-150_PSI-180,-150,-180,TEST,True
PHI-150_PSI-165,-150,-165,TEST,False
PHI-150_PSI-150,-150,-150,TEST,True
PHI-150_PSI-135,-150,-135,TEST,False
PHI-150_PSI-120,-150,-120,TRAIN,True
PHI-150_PSI-105,-150,-105,TRAIN,False
PHI-150_PSI-090,-150,-90,TRAIN,True
PHI-150_PSI-075,-150,-75,TRAIN,False
PHI-150_PSI-060,-150,-60,TRAIN,True
PHI-150_PSI-045,-150,-45,TRAIN,False
