cell_id,phi_degrees,psi_degrees,spatial_partition
PHI-180_PSI-180,-180,-180,TEST
PHI-180_PSI-150,-180,-150,TEST
PHI-180_PSI-120,-180,-120,TRAIN
PHI-180_PSI-090,-180,-90,TRAIN
PHI-180_PSI-060,-180,-60,TRAIN
PHI-180_PSI-030,-180,-30,TRAIN
PHI-180_PSI+000,-180,0,TEST
PHI-180_PSI+030,-180,30,TEST
PHI-180_PSI+060,-180,60,TRAIN
PHI-180_PSI+090,-180,90,TRAIN
PHI-180_PSI+120,-180,120,TRAIN
PHI-180_PSI+150,-180,150,TRAIN
PHI-150_PSI-180,-150,-180,TEST
PHI-150_PSI-150,-150,-150,TEST
PHI-150_PSI-120,-150,-120,TRAIN
PHI-150_PSI-090,-150,-90,TRAIN
PHI-150_PSI-060,-150,-60,TRAIN
PHI-150_PSI-030,-150,-30,TRAIN
PHI-150_PSI+000,-150,0,TEST
PHI-150_PSI+030,-150,30,TEST
PHI-150_PSI+060,-150,60,TRAIN
PHI-150_PSI+090,-150,90,TRAIN
PHI-150_PSI+120,-150,120,TRAIN
PHI-150_PSI+150,-150,150,TRAIN
PHI-120_PSI-180,-120,-180,TRAIN
PHI-120_PSI-150,-120,-150,TRAIN
PHI-120_PSI-120,-120,-120,VALIDATION
PHI-120_PSI-090,-120,-90,VALIDATION
PHI-120_PSI-060,-120,-60,TRAIN
PHI-120_PSI-030,-120,-30,TRAIN
PHI-120_PSI+000,-120,0,TRAIN
PHI-120_PSI+030,-120,30,TRAIN
PHI-120_PSI+060,-120,60,VALIDATION
PHI-120_PSI+090,-120,90,VALIDATION
PHI-120_PSI+120,-120,120,TRAIN
PHI-120_PSI+150,-120,150,TRAIN
PHI-090_PSI-180,-90,-180,TRAIN
PHI-090_PSI-150,-90,-150,TRAIN
PHI-090_PSI-120,-90,-120,VALIDATION
PHI-090_PSI-090,-90,-90,VALIDATION
PHI-090_PSI-060,-90,-60,TRAIN
PHI-090_PSI-030,-90,-30,TRAIN
PHI-090_PSI+000,-90,0,TRAIN
PHI-090_PSI+030,-90,30,TRAIN
PHI-090_PSI+060,-90,60,VALIDATION
PHI-090_PSI+090,-90,90,VALIDATION
PHI-090_PSI+120,-90,120,TRAIN
PHI-090_PSI+150,-90,150,TRAIN
PHI-060_PSI-180,-60,-180,TRAIN
PHI-060_PSI-150,-60,-150,TRAIN
PHI-060_PSI-120,-60,-120,TRAIN
PHI-060_PSI-090,-60,-90,TRAIN
PHI-060_PSI-060,-60,-60,TEST
PHI-060_PSI-030,-60,-30,TEST
PHI-060_PSI+000,-60,0,TRAIN
PHI-060_PSI+030,-60,30,TRAIN
PHI-060_PSI+060,-60,60,TRAIN
PHI-060_PSI+090,-60,90,TRAIN
PHI-060_PSI+120,-60,120,TEST
PHI-060_PSI+150,-60,150,TEST
PHI-030_PSI-180,-30,-180,TRAIN
PHI-030_PSI-150,-30,-150,TRAIN
PHI-030_PSI-120,-30,-120,TRAIN
PHI-030_PSI-090,-30,-90,TRAIN
PHI-030_PSI-060,-30,-60,TEST
PHI-030_PSI-030,-30,-30,TEST
PHI-030_PSI+000,-30,0,TRAIN
PHI-030_PSI+030,-30,30,TRAIN
PHI-030_PSI+060,-30,60,TRAIN
PHI-030_PSI+090,-30,90,TRAIN
PHI-030_PSI+120,-30,120,TEST
PHI-030_PSI+150,-30,150,TEST
PHI+000_PSI-180,0,-180,VALIDATION
PHI+000_PSI-150,0,-150,VALIDATION
PHI+000_PSI-120,0,-120,TRAIN
PHI+000_PSI-090,0,-90,TRAIN
PHI+000_PSI-060,0,-60,TRAIN
PHI+000_PSI-030,0,-30,TRAIN
PHI+000_PSI+000,0,0,VALIDATION
PHI+000_PSI+030,0,30,VALIDATION
PHI+000_PSI+060,0,60,TRAIN
PHI+000_PSI+090,0,90,TRAIN
PHI+000_PSI+120,0,120,TRAIN
PHI+000_PSI+150,0,150,TRAIN
PHI+030_PSI-180,30,-180,VALIDATION
PHI+030_PSI-150,30,-150,VALIDATION
PHI+030_PSI-120,30,-120,TRAIN
PHI+030_PSI-090,30,-90,TRAIN
PHI+030_PSI-060,30,-60,TRAIN
PHI+030_PSI-030,30,-30,TRAIN
PHI+030_PSI+000,30,0,VALIDATION
PHI+030_PSI+030,30,30,VALIDATION
PHI+030_PSI+060,30,60,TRAIN
PHI+030_PSI+090,30,90,TRAIN
PHI+030_PSI+120,30,120,TRAIN
PHI+030_PSI+150,30,150,TRAIN
PHI+060_PSI-180,60,-180,TRAIN
PHI+060_PSI-150,60,-150,TRAIN
PHI+060_PSI-120,60,-120,TEST
PHI+060_PSI-090,60,-90,TEST
PHI+060_PSI-060,60,-60,TRAIN
PHI+060_PSI-030,60,-30,TRAIN
PHI+060_PSI+000,60,0,TRAIN
PHI+060_PSI+030,60,30,TRAIN
PHI+060_PSI+060,60,60,TEST
PHI+060_PSI+090,60,90,TEST
PHI+060_PSI+120,60,120,TRAIN
PHI+060_PSI+150,60,150,TRAIN
PHI+090_PSI-180,90,-180,TRAIN
PHI+090_PSI-150,90,-150,TRAIN
PHI+090_PSI-120,90,-120,TEST
PHI+090_PSI-090,90,-90,TEST
PHI+090_PSI-060,90,-60,TRAIN
PHI+090_PSI-030,90,-30,TRAIN
PHI+090_PSI+000,90,0,TRAIN
PHI+090_PSI+030,90,30,TRAIN
PHI+090_PSI+060,90,60,TEST
PHI+090_PSI+090,90,90,TEST
PHI+090_PSI+120,90,120,TRAIN
PHI+090_PSI+150,90,150,TRAIN
PHI+120_PSI-180,120,-180,TRAIN
PHI+120_PSI-150,120,-150,TRAIN
PHI+120_PSI-120,120,-120,TRAIN
PHI+120_PSI-090,120,-90,TRAIN
PHI+120_PSI-060,120,-60,VALIDATION
PHI+120_PSI-030,120,-30,VALIDATION
PHI+120_PSI+000,120,0,TRAIN
PHI+120_PSI+030,120,30,TRAIN
PHI+120_PSI+060,120,60,TRAIN
PHI+120_PSI+090,120,90,TRAIN
PHI+120_PSI+120,120,120,VALIDATION
PHI+120_PSI+150,120,150,VALIDATION
PHI+150_PSI-180,150,-180,TRAIN
PHI+150_PSI-150,150,-150,TRAIN
PHI+150_PSI-120,150,-120,TRAIN
PHI+150_PSI-090,150,-90,TRAIN
PHI+150_PSI-060,150,-60,VALIDATION
PHI+150_PSI-030,150,-30,VALIDATION
PHI+150_PSI+000,150,0,TRAIN
PHI+150_PSI+030,150,30,TRAIN
PHI+150_PSI+060,150,60,TRAIN
PHI+150_PSI+090,150,90,TRAIN
PHI+150_PSI+120,150,120,VALIDATION
PHI+150_PSI+150,150,150,VALIDATION
