candidate,axis,angle_degrees,qm_relative_kcal_mol,c1_mm_relative_kcal_mol,c3_mm_relative_kcal_mol,direct_new_term_on_c1_geometry,c3_relaxed_geometry_persisted,delta_bond,delta_angle,delta_dihedral,delta_vdw,delta_elec,delta_vdw_14,delta_elec_14,relative_profile_response,direct_fixed_geometry_effect,relaxation_mediated_effect
C3C_CHI_N2_PHI_N3,CHI,-180,1.8361875979134048,0.9600038671345033,0.7192261886102074,11.643332387546527,False,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,-0.24077767852429588,-0.2644095028467728,0.023631824322476902
C3C_CHI_N2_PHI_N3,CHI,-165,1.4130028718141248,1.1985021055187417,0.848289642242591,11.55840864752096,False,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,-0.35021246327615074,-0.3493332428723406,-0.0008792204038101659
C3C_CHI_N2_PHI_N3,CHI,-150,1.3982414847839755,1.9597226764204123,1.5800531866521084,11.550025253053116,False,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,-0.37966948976830395,-0.3577166373401841,-0.02195285242811984
C3C_CHI_N2_PHI_N3,CHI,-135,1.7201805587324959,2.791029821077842,2.5066188025151916,11.65314873359127,False,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,-0.2844110185626505,-0.25459315680203076,-0.029817861760619735
C3C_CHI_N2_PHI_N3,CHI,-120,2.1004462123625456,3.147769976801605,3.065408748378019,11.840420112094968,False,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,-0.0823612284235864,-0.06732177829833219,-0.015039450125254206
C3C_CHI_N2_PHI_N3,CHI,-105,2.282405294363951,2.6993826727300387,2.845345997273327,11.999696971594307,False,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,0.1459633245432883,0.09195508120100726,0.05400824334228105
C3C_CHI_N2_PHI_N3,CHI,-90,2.191846518770847,1.7150916271229733,2.0059769198475124,12.089336945440984,False,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,0.2908852927245391,0.18159505504768347,0.10929023767685564
C3C_CHI_N2_PHI_N3,CHI,-75,1.9493375527533943,0.7280487456448412,1.0649793733195878,12.106977877608545,False,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,0.3369306276747466,0.1992359872152445,0.13769464045950208
C3C_CHI_N2_PHI_N3,CHI,-60,1.7582771045303314,0.22136551506014257,0.5238211996287987,12.075176667373324,False,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,0.3024556845686561,0.16743477698002351,0.1350209075886326
C3C_CHI_N2_PHI_N3,CHI,-45,1.7517423921353694,0.35089777339362627,0.5906085723045322,12.036691507986275,False,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,0.23971079891090596,0.12894961759297452,0.11076118131793145
