scan_axis,energy_band,component,n,pearson_residual_correlation,univariate_r_squared,causality_claimed
CHI,QM_LE_1,BOND,4,-0.8571832542244111,0.7347631313227514,False
CHI,QM_LE_1,ANGLE,4,0.9749202781200942,0.9504695486897617,False
CHI,QM_LE_1,DIHEDRAL,4,-0.929320086883435,0.8636358238850352,False
CHI,QM_LE_1,VDW,4,-0.9403551317274468,0.8842677737661437,False
CHI,QM_LE_1,ELEC,4,-0.5783844360569254,0.3345285558728876,False
CHI,QM_LE_1,VDW_14,4,-0.9975725446123448,0.9951509817643487,False
CHI,QM_LE_1,ELEC_14,4,0.9920412173639165,0.9841457769488814,False
CHI,QM_LE_5,BOND,24,0.17601629788039827,0.030981737119521097,False
CHI,QM_LE_5,ANGLE,24,-0.018411826047242723,0.0003389953383939256,False
CHI,QM_LE_5,DIHEDRAL,24,-0.580683003511817,0.33719275056750486,False
CHI,QM_LE_5,VDW,24,0.09578237556439015,0.009174263468757883,False
CHI,QM_LE_5,ELEC,24,0.1935830604023905,0.03747440127475557,False
CHI,QM_LE_5,VDW_14,24,-0.1576680049376909,0.02485919978103172,False
CHI,QM_LE_5,ELEC_14,24,0.017311370815619603,0.0002996835595158861,False
CHI,QM_LE_10,BOND,24,0.17601629788039827,0.030981737119521097,False
CHI,QM_LE_10,ANGLE,24,-0.018411826047242723,0.0003389953383939256,False
CHI,QM_LE_10,DIHEDRAL,24,-0.580683003511817,0.33719275056750486,False
CHI,QM_LE_10,VDW,24,0.09578237556439015,0.009174263468757883,False
CHI,QM_LE_10,ELEC,24,0.1935830604023905,0.03747440127475557,False
CHI,QM_LE_10,VDW_14,24,-0.1576680049376909,0.02485919978103172,False
CHI,QM_LE_10,ELEC_14,24,0.017311370815619603,0.0002996835595158861,False
CHI,WHOLE,BOND,24,0.17601629788039827,0.030981737119521097,False
CHI,WHOLE,ANGLE,24,-0.018411826047242723,0.0003389953383939256,False
CHI,WHOLE,DIHEDRAL,24,-0.580683003511817,0.33719275056750486,False
CHI,WHOLE,VDW,24,0.09578237556439015,0.009174263468757883,False
CHI,WHOLE,ELEC,24,0.1935830604023905,0.03747440127475557,False
CHI,WHOLE,VDW_14,24,-0.1576680049376909,0.02485919978103172,False
CHI,WHOLE,ELEC_14,24,0.017311370815619603,0.0002996835595158861,False
PHI,QM_LE_1,BOND,1,,,False
PHI,QM_LE_1,ANGLE,1,,,False
PHI,QM_LE_1,DIHEDRAL,1,,,False
PHI,QM_LE_1,VDW,1,,,False
PHI,QM_LE_1,ELEC,1,,,False
PHI,QM_LE_1,VDW_14,1,,,False
PHI,QM_LE_1,ELEC_14,1,,,False
PHI,QM_LE_5,BOND,3,0.982678517755207,0.9656570692575707,False
PHI,QM_LE_5,ANGLE,3,-0.8681637440134096,0.7537082864193809,False
PHI,QM_LE_5,DIHEDRAL,3,-0.8957162280564096,0.802307561203602,False
PHI,QM_LE_5,VDW,3,-0.8311486137469882,0.6908080181335402,False
PHI,QM_LE_5,ELEC,3,-0.9899579608327495,0.9800167642161355,False
PHI,QM_LE_5,VDW_14,3,0.961063904679515,0.9236438288778358,False
PHI,QM_LE_5,ELEC_14,3,0.99668798736282,0.9933869441533489,False
PHI,QM_LE_10,BOND,6,0.8176667016444877,0.6685788349781757,False
PHI,QM_LE_10,ANGLE,6,-0.5703734082589087,0.3253258248488837,False
PHI,QM_LE_10,DIHEDRAL,6,-0.6495145905987512,0.4218692034006633,False
PHI,QM_LE_10,VDW,6,-0.39198584343896237,0.15365290145655472,False
PHI,QM_LE_10,ELEC,6,-0.7990396157263323,0.6384643075000848,False
PHI,QM_LE_10,VDW_14,6,0.7661020099436121,0.5869122896396424,False
PHI,QM_LE_10,ELEC_14,6,0.8852809852801952,0.7837224228986731,False
PHI,WHOLE,BOND,18,-0.6010984941917207,0.36131939971955407,False
PHI,WHOLE,ANGLE,18,-0.8828649978535993,0.7794506044350359,False
PHI,WHOLE,DIHEDRAL,18,-0.4314951024477609,0.18618802343640367,False
PHI,WHOLE,VDW,18,-0.5623791783517226,0.3162703402435586,False
PHI,WHOLE,ELEC,18,0.3351977998531439,0.11235756502638833,False
PHI,WHOLE,VDW_14,18,-0.6178823018093978,0.3817785388892798,False
PHI,WHOLE,ELEC_14,18,-0.5076395816009763,0.25769794480801433,False
PSI,QM_LE_1,BOND,2,,,False
PSI,QM_LE_1,ANGLE,2,,,False
PSI,QM_LE_1,DIHEDRAL,2,,,False
PSI,QM_LE_1,VDW,2,,,False
PSI,QM_LE_1,ELEC,2,,,False
PSI,QM_LE_1,VDW_14,2,,,False
PSI,QM_LE_1,ELEC_14,2,,,False
PSI,QM_LE_5,BOND,4,-0.9805444957531416,0.9614675081517827,False
PSI,QM_LE_5,ANGLE,4,-0.8660450402305299,0.7500340117079001,False
PSI,QM_LE_5,DIHEDRAL,4,0.308716089321528,0.09530562380597765,False
PSI,QM_LE_5,VDW,4,0.6833960134181696,0.467030111155847,False
PSI,QM_LE_5,ELEC,4,0.9303054226510701,0.8654681794139861,False
PSI,QM_LE_5,VDW_14,4,-0.9558160766460859,0.9135843723751164,False
PSI,QM_LE_5,ELEC_14,4,-0.8840686851738864,0.7815774401050842,False
PSI,QM_LE_10,BOND,5,-0.8328876301388762,0.6937018044383535,False
PSI,QM_LE_10,ANGLE,5,-0.28359070402836617,0.08042368741130437,False
PSI,QM_LE_10,DIHEDRAL,5,0.7321913747588608,0.5361042092712704,False
PSI,QM_LE_10,VDW,5,0.8471389225295991,0.7176443540646101,False
PSI,QM_LE_10,ELEC,5,0.3456450164976376,0.11947047742965218,False
PSI,QM_LE_10,VDW_14,5,-0.7076662862103945,0.500791572638812,False
PSI,QM_LE_10,ELEC_14,5,-0.9095444245389583,0.8272710602099049,False
PSI,WHOLE,BOND,14,-0.9797559818487385,0.9599217839683856,False
PSI,WHOLE,ANGLE,14,-0.7445431466485578,0.5543444972213358,False
PSI,WHOLE,DIHEDRAL,14,-0.7795761840806247,0.607739026785708,False
PSI,WHOLE,VDW,14,-0.7147965160088645,0.5109340592984108,False
PSI,WHOLE,ELEC,14,0.8376277256990697,0.701620206859796,False
PSI,WHOLE,VDW_14,14,-0.964564793586148,0.9303852410258883,False
PSI,WHOLE,ELEC_14,14,-0.7609399259313159,0.5790295708763565,False
