authoritative_point,scan_axis,nominal_scan_angle,qm_relative_kcal_mol,mm_relative_kcal_mol,qm_minus_mm_residual_kcal_mol,bond,angle,dihedral,vdw,elec,vdw_14,elec_14,tot,bond_relative_kcal_mol,angle_relative_kcal_mol,dihedral_relative_kcal_mol,vdw_relative_kcal_mol,elec_relative_kcal_mol,vdw_14_relative_kcal_mol,elec_14_relative_kcal_mol,tot_relative_kcal_mol
CHI_-180,CHI,-180,1.8361875979134048,0.9600038671345033,0.8761837307789015,3.7330887645927318,12.52098753269468,72.01401280476726,-5.088363152639664,-48.67671017256328,10.911379107763802,13.935582366566639,59.34997725118217,0.005669420585728169,-0.05169155473606146,-0.2989777690498414,0.06606800763269494,-0.7305808296046266,-0.03672342631022296,1.9326841447701995,0.8864479932878737
CHI_-165,CHI,-165,1.4130028718141248,1.1985021055187417,0.21450076629538306,3.7356361512033067,12.528747635135984,72.28011707084477,-5.0735155657755415,-48.71493632317976,10.895444778760226,13.93698174257742,59.588475489566406,0.008216807196303133,-0.04393145229475692,-0.032873502972336155,0.08091559449681718,-0.7688069802211004,-0.052657755313799015,1.9340835207809803,1.1249462316721122
CHI_-150,CHI,-150,1.3982414847839755,1.9597226764204123,-0.5614811916364368,3.7389889747742124,12.536653097987298,73.07352687605709,-5.049433054308588,-48.737899332709276,10.886980585400435,13.900878913266904,60.34969606046808,0.01156963076720885,-0.03602598944344315,0.7605363022399843,0.10499810596377035,-0.7917699897506196,-0.061121948673589444,1.8979806914704653,1.8861668025737828
CHI_-135,CHI,-135,1.7201805587324959,2.791029821077842,-1.0708492623453463,3.740846911181925,12.517218268258059,73.9670037789962,-5.0193829012063045,-48.73668449626895,10.896460194379863,13.815541449784714,61.181003205125506,0.013427567174921329,-0.05546081917268175,1.6540132051790977,0.13504825906605422,-0.7905551533102937,-0.051642339694161876,1.812643227988275,2.7174739472312126
CHI_-120,CHI,-120,2.1004462123625456,3.147769976801605,-1.0473237644390596,3.741799252184423,12.479117330676296,74.41553910548295,-4.984328320107537,-48.69571939343064,10.925383720262943,13.65595166578084,61.53774336084927,0.01437990817741941,-0.09356175675444511,2.102548531665846,0.17010284016482213,-0.749590050471987,-0.022718813811081873,1.6530534439844011,3.0742141029549757
CHI_-105,CHI,-105,2.282405294363951,2.6993826727300387,-0.41697737836608795,3.7434328614867924,12.458195525599276,74.05907670488787,-4.957025148676716,-48.60558137829093,10.954887078265076,13.43637041350632,61.0893560567777,0.016013517479788852,-0.1144835618314648,1.7460861310707685,0.19740601159564264,-0.6594520353322721,0.006784544191051012,1.4334721917098818,2.625826798883409
CHI_-090,CHI,-90,2.191846518770847,1.7150916271229733,0.4767548916478739,3.7455063830058752,12.450566809099497,73.18718679053984,-4.944166931848675,-48.458711668297724,10.967513944372374,13.157169684299443,60.10506501117064,0.018087038998871652,-0.12211227833124383,0.8741962167227371,0.21026422842368397,-0.5125823253390678,0.019411410298349807,1.1542714625030044,1.6415357532763437
CHI_-075,CHI,-75,1.9493375527533943,0.7280487456448412,1.221288807108553,3.747453522678805,12.44511987889386,72.34325167724019,-4.948823473266614,-48.262374887507235,10.956978555224332,12.836416856429167,59.118022129692505,0.02003417867180124,-0.12755920853687996,0.03026110342308641,0.2056076870057444,-0.316245544548579,0.008876021150307167,0.8335186346327284,0.6544928717982117
CHI_-060,CHI,-60,1.7582771045303314,0.22136551506014257,1.5369115894701888,3.7500827337086604,12.448778619905385,71.99162720476171,-4.967209435799322,-48.041026991943454,10.931623070327106,12.497463698147723,58.61133889910781,0.022663389701656822,-0.1239004675253561,-0.32136336905539054,0.1872217244730363,-0.09489764898479791,-0.016479463746918555,0.49456547635128345,0.14780964121351303
CHI_-045,CHI,-45,1.7517423921353694,0.35089777339362627,1.4008446187417432,3.7535259560066363,12.46550705160611,72.26613943874202,-4.991125482001539,-47.849180541610416,10.908313248022854,12.187691486675629,58.74087115744129,0.02610661199963271,-0.10717203582463064,-0.04685113507508731,0.16330567827081932,0.09694880134824047,-0.03978928605117105,0.18479326487918968,0.27734189954699673
CHI_-030,CHI,-30,1.8731815879809242,0.9701925301257859,0.9029890578551383,3.756643081722851,12.484571227703256,73.06076246184062,-5.019270231570322,-47.71062691051476,10.899018041123817,11.889068243867989,59.36016591417345,0.02922373771584752,-0.0881078597274847,0.7477718880235216,0.135160928702037,0.23550243244389435,-0.04908449295020745,-0.11382997792845018,0.8966366562791563
CHI_-015,CHI,-15,1.8830474967830666,1.6361622554444182,0.24688524133864842,3.756134590683904,12.490314255332201,73.94055145382146,-5.0495738882111505,-47.68364374223128,10.916722809876727,11.655630160220227,60.02613563949208,0.028715246676900286,-0.08236483209853951,1.6275608800043528,0.1048572720612082,0.2624856007273735,-0.031379724197297065,-0.34726806157621226,1.5626063815977886
CHI_+000,CHI,0,1.53761834092137,1.8478576779244804,-0.31023933700311046,3.7503243691276915,12.49793331245375,74.3623685828277,-5.08464492174962,-47.77220759429711,10.958704074742077,11.525353238867666,60.237831061972145,0.022905025120687927,-0.07474577497699109,2.0493780090105957,0.06978623852273902,0.17392174866154875,0.010601540668051967,-0.477544982928773,1.7743018040778509
CHI_+015,CHI,15,0.8500053424677801,1.4154931394706267,-0.5654877970028466,3.7415810295107987,12.523057892108703,73.99780146872973,-5.11343048243724,-47.88644916541169,10.987285322504059,11.555620458513925,59.80546652351829,0.014161685503795152,-0.04962119532203779,1.68481089491263,0.04100067783511907,0.05968017754696575,0.03918278843003442,-0.44727776328251423,1.3419372656239972
CHI_+030,CHI,30,0.1979165005694423,0.6669545439352547,-0.46903804336581234,3.7328391753751977,12.549994715586084,73.14297013201177,-5.135719794093087,-47.94482353294705,10.981323273958699,11.730343958091296,59.05692792798292,0.005419831368194128,-0.022684371844656326,0.8299795581946654,0.018711366179271494,0.0013058100116083438,0.033220739884674444,-0.2725542637051426,0.5933986700886251
CHI_+045,CHI,45,0.0,0.07355587384662954,-0.07355587384662954,3.7274193440070036,12.57267908743074,72.3129905738171,-5.154431160272359,-47.946129342958656,10.948102534074025,12.002898221796439,58.463529257894294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHI_+060,CHI,60,0.32618472333560894,0.0,0.32618472333560894,3.7262695064177107,12.605225792548907,71.96187747545046,-5.166953669696556,-47.942524689573425,10.906500619048952,12.299578349851615,58.389973384047664,-0.0011498375892928792,0.032546705118166486,-0.35111309836663906,-0.012522509424197636,0.0036046533852314155,-0.0416019150250726,0.29668012805517563,-0.07355587384662954
CHI_+075,CHI,75,1.0408015037026501,0.5731401091874204,0.4676613945152297,3.727824025143852,12.664288338966207,72.2234957764525,-5.172261318088347,-47.96979210023343,10.862425884189623,12.627132886804677,58.963113493235085,0.0004046811368483283,0.09160925153546629,-0.0894947973646083,-0.017830157815988734,-0.02366275727477074,-0.08567664988440171,0.6242346650082382,0.4995842353407909
CHI_+090,CHI,90,2.0223598887749024,1.698455552272378,0.32390433650252426,3.7289798383020742,12.712540076726706,73.06615410935754,-5.169688424229705,-48.0404770816064,10.833425188314186,12.957495229455642,60.08842893632004,0.001560494295070658,0.1398609892959648,0.7531635355404376,-0.015257263957346723,-0.09434773864774115,-0.1146773457598389,0.9545970076592027,1.6248996784257486
CHI_+105,CHI,105,3.0480034924252344,2.717053022660977,0.33095046976425735,3.72767400371479,12.681246370151351,73.92847958378788,-5.167896084543708,-48.13309657465315,10.839737651188797,13.23088145706269,61.10702640670864,0.0002546597077865975,0.10856728272061034,1.6154890099707728,-0.013464924271349155,-0.1869672316944957,-0.10836488288522794,1.227983235266251,2.6434971488143475
CHI_+120,CHI,120,3.7373350122694022,3.2875621782041122,0.44977283406529,3.727671374824047,12.614624729972453,74.40025555907035,-5.156823225877123,-48.25997026708414,10.871503207327981,13.48027418401821,61.67753556225178,0.00025203081704328056,0.0419456425417124,2.087264985253242,-0.0023920656047646816,-0.31384092412548625,-0.07659932674604342,1.477375962221771,3.2140063043574827
CHI_+135,CHI,135,3.8030037733710786,3.0811260438902153,0.7218777294808634,3.7359993665283193,12.600990848479409,74.07599391770181,-5.1163031567120125,-48.414367645859656,10.90267173851137,13.686114359288645,61.47109942793788,0.008580022521315733,0.02831176104866806,1.763003343884705,0.03812800356034618,-0.46823830290099977,-0.04543079556265539,1.6832161374922059,3.0075701700435857
CHI_+150,CHI,150,3.292878201783699,2.281691567403115,1.011186634380584,3.741181311676872,12.600684197537879,73.21705068726334,-5.0872931878388306,-48.53704856143451,10.919729487749862,13.817361016496175,60.67166495145078,0.013761967669868369,0.02800511010713791,0.9040601134462349,0.06713797243352815,-0.5909192184758538,-0.028373046324162488,1.814462794699736,2.2081356935564855
CHI_+165,CHI,165,2.5316328285396272,1.3811964576913525,1.1504363708482748,3.7356112201193485,12.550031586428048,72.3731543259221,-5.089242084196346,-48.6192665964561,10.923079935322416,13.897801454599552,59.77116984173902,0.008191876112344953,-0.02264750100269275,0.060163752104998025,0.06518907607601232,-0.673137253497444,-0.02502259875160817,1.894903232803113,1.307640583844723
PHI_-180,PHI,-180,12.297421019351964,14.113844660547272,-1.8164236411953087,4.556478223729849,16.429645727470998,78.1439237063307,-2.117361460890936,-47.543756483523076,11.686843603452713,11.599960228213998,72.75573354478425,0.8995676451838581,3.5169401006741605,5.909362997420544,2.9693806808399277,0.3629501440438716,0.9116350330833676,-0.45599194069847115,14.113844660547272
PHI_-165,PHI,-165,12.017065696114134,13.576862767954907,-1.559797071840773,4.2782515195288084,15.90325332451304,78.85798865614916,-2.463630612884266,-47.65789586756584,11.756003003095932,11.544781629355054,72.21875165219188,0.6213409409828174,2.9905476977162024,6.6234279472390085,2.6231115288465974,0.24881076000110625,0.9807944327265865,-0.5111705395574155,13.576862767954907
PHI_-150,PHI,-150,12.14534987811232,13.21439256251152,-1.0690426843992,4.076660298237757,16.337120955279694,78.82740814509623,-2.783709865165724,-47.66266736837561,11.680743919038738,11.380725362637413,71.8562814467485,0.41974971969176567,3.4244153284828567,6.5928474361860765,2.3030322765651396,0.2440392591913394,0.9055353486693924,-0.6752268062750559,13.21439256251152
PHI_-135,PHI,-135,12.088672339648122,12.210367877382026,-0.1216955377339044,3.9107217810311763,16.94979806560395,78.0414240602709,-3.182623205746291,-47.640245234608855,11.510526687916762,11.262654607151354,70.852256761619,0.2538112024851853,4.037092438807113,5.806863351360747,1.9041189359845725,0.26646139295809235,0.7353181175474166,-0.7932975617611149,12.210367877382026
PHI_-120,PHI,-120,9.406090467076242,9.653342055627007,-0.2472515885507658,3.7701783788132746,16.921604929465087,76.35621466289425,-3.6882839631439617,-47.61463163392019,11.236056055632575,11.314092510122947,68.29523093986398,0.11326780026728356,4.008899302668249,4.121653953984094,1.398458178586902,0.29207499364675726,0.46084748526322983,-0.7418596587895223,9.653342055627007
PHI_-105,PHI,-105,5.389702277432289,5.933403152837386,-0.5437008754050963,3.6677970373432562,15.817102386217103,74.52853367297176,-4.243369323470352,-47.71995391398816,10.950866818068004,11.574315359932754,64.57529203707436,0.010886458797265242,2.9043967594202655,2.2939729640616093,0.8433728182605114,0.18675271357879097,0.17565824769865834,-0.48163680897971517,5.933403152837386
PHI_-090,PHI,-90,1.8840517384563273,2.3271151905087777,-0.44306345205245035,3.6151307812100857,14.236233391446396,73.11927917594164,-4.73518748766677,-47.82949153926419,10.745768132512644,11.81727162056595,60.969004074745754,-0.04177979733590531,1.3235277646495582,0.8847184670314903,0.3515546540640937,0.0772150883027578,-0.02944043785670125,-0.23868054834651886,2.3271151905087777
PHI_-075,PHI,-75,0.0,0.0,0.0,3.656910578545991,12.912705626796837,72.23456070891015,-5.086742141730864,-47.90670662756695,10.775208570369346,12.05595216891247,58.64188888423698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
