ARTIFACT_ID,CARTESIAN_RESIDUAL_NORM,COORDINATE_SPAN_VARIANCE_EXPLAINED,JACOBIAN_RANK,R_SC,R_SC_GENERALIZED_RESIDUAL_FORCE,R_SH,R_SH_GENERALIZED_RESIDUAL_FORCE,THETA_CSH,THETA_CSH_GENERALIZED_RESIDUAL_FORCE,THETA_C9_C10_S,THETA_C9_C10_S_GENERALIZED_RESIDUAL_FORCE,THETA_C11_C10_S,THETA_C11_C10_S_GENERALIZED_RESIDUAL_FORCE,THETA_C8_C9_C10,THETA_C8_C9_C10_GENERALIZED_RESIDUAL_FORCE,CHI,CHI_GENERALIZED_RESIDUAL_FORCE,PHI,PHI_GENERALIZED_RESIDUAL_FORCE,PSI,PSI_GENERALIZED_RESIDUAL_FORCE,ETA1,ETA1_GENERALIZED_RESIDUAL_FORCE,ETA2,ETA2_GENERALIZED_RESIDUAL_FORCE,D_S_O6,D_S_O6_GENERALIZED_RESIDUAL_FORCE,D_S_O23,D_S_O23_GENERALIZED_RESIDUAL_FORCE,D_S_O24,D_S_O24_GENERALIZED_RESIDUAL_FORCE
TSLRSH-GPU-004,136.3837736657613,0.11881382834808729,14,1.9144187695312915,-1.04832684737839,1.3843839741534125,-4.929149869507591,1.6614153932688835,-2.063586511881941,1.9336055040634053,-31.25284654747475,1.96849321229884,-22.036393558611245,1.925924533503562,12.227611532627275,1.0471228718091334,-11.11858871932851,-1.0473323703653954,-18.562287000453907,-1.0173454174504792,-21.634052518932293,-1.9361456227833578,-45.117619026186325,-2.5756534719903845,11.283587579742624,5.835867141096002,-2.8278508464611027,9.176974427964392,-29.60114381571641,7.05878784799156,13.704692916761271
TSLRSH-GPU-006,148.76649679417682,0.09028597213353462,14,1.7992415073134929,13.03759054873509,1.337768539593852,-10.223524934442473,1.6925886335430345,-0.5878554964908566,1.9378921295527078,-21.245395440861373,2.0527089901736213,-22.75718972919352,1.9227259903015033,7.392010168780443,0.7759818994313261,-20.56995173265768,-1.2985386357215578,-8.775273062626873,-0.8780580535413766,-6.050091477187458,-1.9674914311780938,-48.957291691834676,-2.6349256445043756,13.72264812834965,5.923455014390276,17.61272977255032,8.671290535698859,9.401138944795646,6.725103616759315,-3.7260193704085336
TSLRSH-GPU-007,121.89960064239183,0.07379815331831008,14,1.85489452388098,6.19645612347623,1.3260009372781156,-3.299114005567647,1.6921207452151166,-1.9554517304942,1.9337754091805548,-21.967059161128653,1.93935788996057,-19.24486987356761,1.9520699332405715,3.2588868273078457,0.0028912997892291165,-9.691688525350656,-1.1815309808622287,-15.232078924946505,-0.9017146066041739,-16.07450231515753,-1.8231516134558785,-38.262602406095425,-2.482464771646664,14.406787567201274,5.85938969227031,12.764733637797125,8.580857582251342,0.5067563420861122,6.613282223701326,-0.7107825546822714
TSLRSH-GPU-008,138.9759083910897,0.14318549861770624,14,1.8508928995408676,-5.97963174392366,1.3652749823839523,1.688648429452809,1.7227486116023272,-11.18189601580664,2.0679446006882087,-31.538133551349596,1.7084869870005426,3.0703147896971723,1.8477080487289677,-11.708673722756064,-1.0649875557848711,-11.8811706009949,-0.23197537626947873,-16.12437654740659,-1.3449986209721485,-13.687245681298371,-1.5463492150700409,-41.95072981439729,-2.117319555549398,2.200018801544348,5.198334232481549,8.05428058486281,8.68022431903645,-9.617868054099416,6.679803527378318,-2.2352246355850074
TSLRSH-GPU-010,126.87078762094127,0.08507554326410449,14,1.8532997954050756,5.357078216785511,1.3656739439226038,-6.801083999269573,1.6758133807645008,0.8991295066675786,1.9344284020525226,-28.45296873534796,2.0122195312812865,-23.242382068396978,1.9504875685258027,9.728953707270682,0.7803239727400727,-16.928141277590168,-1.2678447604851784,-14.847955262176233,-0.9527827570930305,-17.407699690297527,-1.9360339150630452,-51.32493978133319,-2.588200353022863,21.578206202210236,5.953857243876053,6.7953105222512535,8.706829271638027,-10.216861566377716,6.741008233267988,3.8900636415393994
TSLRSH-GPU-013,133.92545531217127,0.16195612517587654,14,1.8750494790097902,-6.635917753396009,1.3467297705247923,-8.236339666964156,1.7334426914992822,-19.408206561818677,2.0323024764147766,-27.334835675292776,1.8813119570793753,-11.214784090668614,1.8543647273503803,-1.4168138244920394,1.0344303057132354,-10.462250216980474,-0.5022801188798073,-9.027038698452243,-1.3620596006955106,-17.71813136297414,-1.7411632163113389,-51.50350989648729,-2.3176668385412236,6.551637603150356,5.192775456615755,10.500899725990296,8.871185898996538,-5.672437168167123,6.8805989382689265,2.1182457027645922
TSLRSH-GPU-014,123.30179558058849,0.08102478173558081,14,1.869041800378632,0.8018343945838663,1.3600525127292928,-8.22960417338007,1.6715213276343273,-0.900931743528791,1.9530801606663606,-28.401784626035102,1.9538305114345715,-20.45711344617183,1.9284905160777353,7.645205648011172,1.047080661249089,-12.908628764631064,-1.047272630453526,-15.607758917696469,-1.0086246464808486,-16.919007811406868,-1.9087425049089362,-42.562553085444804,-2.5493997713210663,11.763352534519196,5.768836797988828,10.376334047022928,8.872045085950159,-7.233416374168981,6.8333299296538055,7.51259555173784
TSLRSH-GPU-015,123.34050686976107,0.07364499909383904,14,1.8916670603682306,-1.2974745184647498,1.3978740749877803,-5.192042798894519,1.6768370787746603,0.9364494389719671,2.0398482445970467,-32.045513603327365,1.9081287664380526,-17.002729140756983,1.9530893062585026,13.735501789301585,0.682733232517108,-17.333329834474785,-1.2166790364523543,-17.583098629747226,-0.9323733830096522,-19.53449950795252,-1.8736718867605917,-46.51677050329688,-2.525912484646237,18.86676031313102,6.09165446318337,7.000355503993591,8.502877289279043,-6.959938193593977,6.551029441589327,1.1175772163275255
TSLRSH-GPU-016,122.93661127442958,0.06762396078755906,14,1.8641670604389138,1.4318738773832476,1.3245407417213562,-4.781556029524653,1.67683707876143,-0.5298540121394031,1.9767116139640577,-27.137156275447396,1.9509582200376765,-17.56093705327175,1.9530893062909898,10.003116858904118,0.5699320320113533,-15.671090613763731,-1.2252566711337651,-16.796283611758085,-0.932373383014009,-18.492024419481773,-1.8822495214853894,-47.42136198563487,-2.5344901193729057,21.409304745501714,5.987309050860049,7.10954713588947,8.608163560620218,-6.879939639044394,6.6474444875043845,1.430417434149454
TSLRSH-GPU-017,132.96431886708697,0.08400093464937708,14,1.8756204551344131,-0.3523302670314722,1.3642753992652867,-7.060386382126764,1.677925146257674,-0.8887512516484002,1.9618508847392715,-30.7434885538807,1.980973271717793,-20.511652259342128,1.9561958320888522,15.239384500210742,0.7073823706538425,-17.107781722531087,-1.2037489163176218,-19.03206068745058,-0.9958380394327415,-26.014343995024774,-1.917641837072804,-47.774109105693256,-2.5512047888077127,18.46463485443343,5.942668163763363,6.350330109037665,8.698294524058596,-8.312719910318414,6.735974899566167,0.830890375954696
TSLRSH-GPU-018,125.78387662903624,0.10920252920714735,14,1.8509058340801092,0.9585958753350622,1.3608354635449857,-12.699380497517296,1.6890888884252966,-7.2571154650790985,1.973376475077294,-24.913071345677277,1.8691117948585672,-9.403473265061988,1.8926094402488396,4.662557965110514,1.0454323951742999,-13.573592920720378,-0.7277351793961887,-14.507751204238325,-1.1747935185126352,-10.679025149043103,-1.732908245610945,-51.20261942206249,-2.3456439516238894,11.95904864189261,5.354787932895364,9.442570591012737,8.691840749864413,-5.639449850403621,6.717698663904638,2.2585827081573773
TSLRSH-GPU-020,124.35591260512273,0.07541580762608557,14,1.849588141637939,1.8342495910976644,1.362405569011919,-7.586416279719853,1.6854828713613261,-5.134939624177016,1.9716360165917177,-28.749656121447018,1.9704909207265804,-20.243036743480715,1.9220323792307763,8.649523669390883,1.0471165566645528,-12.887133287420886,-1.0472642110724941,-13.590206274557923,-1.0391182464347293,-14.3608254715152,-1.9029299820063834,-49.331319998096355,-2.5337068462889767,17.267652843395688,5.715807361009827,7.277547681825321,8.763433866325688,-7.305054446372781,6.771543954435589,3.1649718927939476
TSLRSH-GPU-026,239.5102545181175,0.037649137824639634,14,1.7660190214296942,37.475087906238016,1.3804675873136207,-2.145454681681043,1.6571531626815044,8.34966932401008,1.9647847919339447,16.785004328409023,1.9995050835103578,4.065201294171603,2.013616844819436,1.5190450644570463,-0.8549193037139752,-13.15998466278559,-1.2300806920916372,-7.076652029573856,-0.7918549501827603,6.8477119786711915,-1.8744919599158998,-37.892120937468995,-2.5136638382691463,29.06006160064474,6.046909015384047,-1.4657378972268615,8.569687195696488,-15.762186721862431,6.58623164142811,-0.03537785050534827
