campaign_id,anchor_id,pair_id,scale,first_sign,second_sign,first_target_delta,second_target_delta,geometry_path,geometry_sha256,anchor_geometry_sha256,atom_order_sha256,charge,multiplicity,target_displacement_error,non_target_coordinate_drift,minimum_interatomic_distance_angstrom,connectivity_preserved,chirality_preserved
CURV-MIN01-S_C-C_S_H-S1P0-PP,MIN01,S_C__C_S_H,1.0,1,1,0.015,0.026179938779914945,geometries/CURV-MIN01-S_C-C_S_H-S1P0-PP.xyz,e4cb7449829229c6630b0edab44e9cfdd3ade3e16b5f72db747de6a635597b99,36331712f69fa6a0f1ded7eb5df44f7dae7bdd0927507dd21eb7218be2320bdd,db1b8768589b9b4ad8b19965105eda8dfd445b94e9ce0e4271e1bf339b4645c8,0,1,2.983724378680108e-16,2.220446049250313e-16,1.0972867925244054,True,True
CURV-MIN01-S_C-C_S_H-S1P0-PM,MIN01,S_C__C_S_H,1.0,1,-1,0.015,-0.026179938779914945,geometries/CURV-MIN01-S_C-C_S_H-S1P0-PM.xyz,e8656be3c40b1ed2f9a0c401d7c6fd4678ac29e21708a26dcf7cd9a5aa193d77,36331712f69fa6a0f1ded7eb5df44f7dae7bdd0927507dd21eb7218be2320bdd,db1b8768589b9b4ad8b19965105eda8dfd445b94e9ce0e4271e1bf339b4645c8,0,1,5.412337245047638e-16,1.1102230246251565e-16,1.102680603840399,True,True
CURV-MIN01-S_C-C_S_H-S1P0-MP,MIN01,S_C__C_S_H,1.0,-1,1,-0.015,0.026179938779914945,geometries/CURV-MIN01-S_C-C_S_H-S1P0-MP.xyz,5e879c0998f6739305423b69e20a1fa2c981d58317037f6aca54940a91a9432d,36331712f69fa6a0f1ded7eb5df44f7dae7bdd0927507dd21eb7218be2320bdd,db1b8768589b9b4ad8b19965105eda8dfd445b94e9ce0e4271e1bf339b4645c8,0,1,9.71445146547012e-17,2.220446049250313e-16,1.102680603840399,True,True
CURV-MIN01-S_C-C_S_H-S1P0-MM,MIN01,S_C__C_S_H,1.0,-1,-1,-0.015,-0.026179938779914945,geometries/CURV-MIN01-S_C-C_S_H-S1P0-MM.xyz,68cd641276c76603f5aaa4b9aeaeb8797a4a0435de85bf64e6949497e95d2603,36331712f69fa6a0f1ded7eb5df44f7dae7bdd0927507dd21eb7218be2320bdd,db1b8768589b9b4ad8b19965105eda8dfd445b94e9ce0e4271e1bf339b4645c8,0,1,2.983724378680108e-16,2.220446049250313e-16,1.102680603840399,True,True
CURV-MIN01-S_H-C_S_H-S1P0-PP,MIN01,S_H__C_S_H,1.0,1,1,0.01,0.026179938779914945,geometries/CURV-MIN01-S_H-C_S_H-S1P0-PP.xyz,dc8070a0018ab54cb87bde327da67ed22ce297b77d75e81fe5cd7eb4f7a63d5b,36331712f69fa6a0f1ded7eb5df44f7dae7bdd0927507dd21eb7218be2320bdd,db1b8768589b9b4ad8b19965105eda8dfd445b94e9ce0e4271e1bf339b4645c8,0,1,2.983724378680108e-16,2.220446049250313e-16,1.0989950796885635,True,True
CURV-MIN01-S_H-C_S_H-S1P0-PM,MIN01,S_H__C_S_H,1.0,1,-1,0.01,-0.026179938779914945,geometries/CURV-MIN01-S_H-C_S_H-S1P0-PM.xyz,a914a614d39fcdf4e37ecb56119e60c437dd338fe93a7e62eb724724f00227a6,36331712f69fa6a0f1ded7eb5df44f7dae7bdd0927507dd21eb7218be2320bdd,db1b8768589b9b4ad8b19965105eda8dfd445b94e9ce0e4271e1bf339b4645c8,0,1,7.632783294297951e-17,2.220446049250313e-16,1.102680603840399,True,True
CURV-MIN01-S_H-C_S_H-S1P0-MP,MIN01,S_H__C_S_H,1.0,-1,1,-0.01,0.026179938779914945,geometries/CURV-MIN01-S_H-C_S_H-S1P0-MP.xyz,d88464d5ab6abdc9ccbf59c1e5950501507ae1e479280efca55e79ba52d182d7,36331712f69fa6a0f1ded7eb5df44f7dae7bdd0927507dd21eb7218be2320bdd,db1b8768589b9b4ad8b19965105eda8dfd445b94e9ce0e4271e1bf339b4645c8,0,1,3.677613769070831e-16,2.220446049250313e-16,1.1021414735665462,True,True
CURV-MIN01-S_H-C_S_H-S1P0-MM,MIN01,S_H__C_S_H,1.0,-1,-1,-0.01,-0.026179938779914945,geometries/CURV-MIN01-S_H-C_S_H-S1P0-MM.xyz,c31ceb3135b4ac852027e939d9c04d94b14b6311966bc48fe8fea3b1966e241d,36331712f69fa6a0f1ded7eb5df44f7dae7bdd0927507dd21eb7218be2320bdd,db1b8768589b9b4ad8b19965105eda8dfd445b94e9ce0e4271e1bf339b4645c8,0,1,7.632783294297951e-17,2.220446049250313e-16,1.102680603840399,True,True
CURV-MIN01-S_C-CHI-S1P0-PP,MIN01,S_C__CHI,1.0,1,1,0.015,0.05235987755982989,geometries/CURV-MIN01-S_C-CHI-S1P0-PP.xyz,8a23f65a6e73728cbdbb2b55fcb7c37d766e13652262b340b94cca25d9dfb9f0,36331712f69fa6a0f1ded7eb5df44f7dae7bdd0927507dd21eb7218be2320bdd,db1b8768589b9b4ad8b19965105eda8dfd445b94e9ce0e4271e1bf339b4645c8,0,1,8.167078124898808e-15,2.19824158875781e-14,1.0991551090361447,True,True
CURV-MIN01-S_C-CHI-S1P0-PM,MIN01,S_C__CHI,1.0,1,-1,0.015,-0.05235987755982989,geometries/CURV-MIN01-S_C-CHI-S1P0-PM.xyz,fd2ab2228daced4b304c0683797410e7491752661b195785fcf7dc23d15b102c,36331712f69fa6a0f1ded7eb5df44f7dae7bdd0927507dd21eb7218be2320bdd,db1b8768589b9b4ad8b19965105eda8dfd445b94e9ce0e4271e1bf339b4645c8,0,1,4.704570066849101e-15,7.549516567451064e-15,1.0996011350402768,True,True
CURV-MIN01-S_C-CHI-S1P0-MP,MIN01,S_C__CHI,1.0,-1,1,-0.015,0.05235987755982989,geometries/CURV-MIN01-S_C-CHI-S1P0-MP.xyz,92f2a65438c1a7910fdb952c05df7cb54efd0aedda418d570751009c4594b9a5,36331712f69fa6a0f1ded7eb5df44f7dae7bdd0927507dd21eb7218be2320bdd,db1b8768589b9b4ad8b19965105eda8dfd445b94e9ce0e4271e1bf339b4645c8,0,1,4.954370247389761e-15,8.43769498715119e-15,1.1017938136876169,True,True
CURV-MIN01-S_C-CHI-S1P0-MM,MIN01,S_C__CHI,1.0,-1,-1,-0.015,-0.05235987755982989,geometries/CURV-MIN01-S_C-CHI-S1P0-MM.xyz,d5b22a9b2f8c95040dc86689207abac40f5cdc41aaf1f4fe1da4a058e39abfc5,36331712f69fa6a0f1ded7eb5df44f7dae7bdd0927507dd21eb7218be2320bdd,db1b8768589b9b4ad8b19965105eda8dfd445b94e9ce0e4271e1bf339b4645c8,0,1,8.146261443187086e-15,1.9095836023552692e-14,1.102680603840399,True,True
CURV-MIN01-S_H-CHI-S1P0-PP,MIN01,S_H__CHI,1.0,1,1,0.01,0.05235987755982989,geometries/CURV-MIN01-S_H-CHI-S1P0-PP.xyz,bb82f377fa6f1e8e7c64f7b0b3d7d0d95e31922d712e548ef37287088d2920b3,36331712f69fa6a0f1ded7eb5df44f7dae7bdd0927507dd21eb7218be2320bdd,db1b8768589b9b4ad8b19965105eda8dfd445b94e9ce0e4271e1bf339b4645c8,0,1,2.132495569018289e-14,1.887379141862766e-14,1.09986268975915,True,True
CURV-MIN01-S_H-CHI-S1P0-PM,MIN01,S_H__CHI,1.0,1,-1,0.01,-0.05235987755982989,geometries/CURV-MIN01-S_H-CHI-S1P0-PM.xyz,b52ad40b30a75d3e2a6694b173d9c08c2cead6bd0a46984975f6d8195ac40504,36331712f69fa6a0f1ded7eb5df44f7dae7bdd0927507dd21eb7218be2320bdd,db1b8768589b9b4ad8b19965105eda8dfd445b94e9ce0e4271e1bf339b4645c8,0,1,1.1999082283331575e-14,1.2878587085651816e-14,1.101427604437111,True,True
CURV-MIN01-S_H-CHI-S1P0-MP,MIN01,S_H__CHI,1.0,-1,1,-0.01,0.05235987755982989,geometries/CURV-MIN01-S_H-CHI-S1P0-MP.xyz,d3be0420d5a3bb9cbaab4f43552d07919c152bfa790cd2cf0ddd3dcfc2eb7900,36331712f69fa6a0f1ded7eb5df44f7dae7bdd0927507dd21eb7218be2320bdd,db1b8768589b9b4ad8b19965105eda8dfd445b94e9ce0e4271e1bf339b4645c8,0,1,1.442422570274715e-14,1.1213252548714081e-14,1.1010823424825147,True,True
CURV-MIN01-S_H-CHI-S1P0-MM,MIN01,S_H__CHI,1.0,-1,-1,-0.01,-0.05235987755982989,geometries/CURV-MIN01-S_H-CHI-S1P0-MM.xyz,7618684b6630e3784f7dd7f11b3fa783c04638edf90a608df3b37756b7b389c6,36331712f69fa6a0f1ded7eb5df44f7dae7bdd0927507dd21eb7218be2320bdd,db1b8768589b9b4ad8b19965105eda8dfd445b94e9ce0e4271e1bf339b4645c8,0,1,1.9753296220947902e-14,1.709743457922741e-14,1.102680603840399,True,True
CURV-MIN01-C_S_H-CHI-S1P0-PP,MIN01,C_S_H__CHI,1.0,1,1,0.026179938779914945,0.05235987755982989,geometries/CURV-MIN01-C_S_H-CHI-S1P0-PP.xyz,53df1abece20137154dabea982c3f654038ff44b4c2e2f470408a624b80710b9,36331712f69fa6a0f1ded7eb5df44f7dae7bdd0927507dd21eb7218be2320bdd,db1b8768589b9b4ad8b19965105eda8dfd445b94e9ce0e4271e1bf339b4645c8,0,1,4.226480276869893e-14,6.727951529228449e-14,1.1002323911295506,True,True
CURV-MIN01-C_S_H-CHI-S1P0-PM,MIN01,C_S_H__CHI,1.0,1,-1,0.026179938779914945,-0.05235987755982989,geometries/CURV-MIN01-C_S_H-CHI-S1P0-PM.xyz,58192a38eaa5d6339dfc14ce63f75c1281f356098aa26d5111c2fd8e35d8d8bf,36331712f69fa6a0f1ded7eb5df44f7dae7bdd0927507dd21eb7218be2320bdd,db1b8768589b9b4ad8b19965105eda8dfd445b94e9ce0e4271e1bf339b4645c8,0,1,5.8494875609937935e-15,5.995204332975845e-15,1.0946935683157337,True,True
CURV-MIN01-C_S_H-CHI-S1P0-MP,MIN01,C_S_H__CHI,1.0,-1,1,-0.026179938779914945,0.05235987755982989,geometries/CURV-MIN01-C_S_H-CHI-S1P0-MP.xyz,49d88c2569d594eeb5ecbffcfd4a80621502765a7914ba13bc538d796d738bd0,36331712f69fa6a0f1ded7eb5df44f7dae7bdd0927507dd21eb7218be2320bdd,db1b8768589b9b4ad8b19965105eda8dfd445b94e9ce0e4271e1bf339b4645c8,0,1,5.0306980803327406e-15,5.551115123125783e-15,1.1008475740295758,True,True
CURV-MIN01-C_S_H-CHI-S1P0-MM,MIN01,C_S_H__CHI,1.0,-1,-1,-0.026179938779914945,-0.05235987755982989,geometries/CURV-MIN01-C_S_H-CHI-S1P0-MM.xyz,881bda4d5c9bf0df3f479033e4e977af154025b616a992f60ef7c60f03cfee24,36331712f69fa6a0f1ded7eb5df44f7dae7bdd0927507dd21eb7218be2320bdd,db1b8768589b9b4ad8b19965105eda8dfd445b94e9ce0e4271e1bf339b4645c8,0,1,3.3230362905811717e-14,6.605826996519681e-14,1.102680603840399,True,True
CURV-MIN01-PHI-PSI-S1P0-PP,MIN01,PHI__PSI,1.0,1,1,0.05235987755982989,0.05235987755982989,geometries/CURV-MIN01-PHI-PSI-S1P0-PP.xyz,4aa677d9f40e0bee75ab5ec06783b30e22cf470306ddaab39e873cc7b3e868f1,36331712f69fa6a0f1ded7eb5df44f7dae7bdd0927507dd21eb7218be2320bdd,db1b8768589b9b4ad8b19965105eda8dfd445b94e9ce0e4271e1bf339b4645c8,0,1,1.1457543247495039e-11,2.5653923430013492e-12,1.08838032721636,True,True
CURV-MIN01-PHI-PSI-S1P0-PM,MIN01,PHI__PSI,1.0,1,-1,0.05235987755982989,-0.05235987755982989,geometries/CURV-MIN01-PHI-PSI-S1P0-PM.xyz,ffeff40020b2b0cf786108e7505822672c836bf27091a0e83e7ce11f46336902,36331712f69fa6a0f1ded7eb5df44f7dae7bdd0927507dd21eb7218be2320bdd,db1b8768589b9b4ad8b19965105eda8dfd445b94e9ce0e4271e1bf339b4645c8,0,1,4.288236432614667e-15,2.220446049250313e-16,1.0899289465358624,True,True
