torsion_instance,chemical_class_id,parent_parameter,one_four_pair,one_four_atom_names,charge_i_e,charge_l_e,scee,scan_axis,angle_degrees,qm_relative_kcal_mol,distance_angstrom,pair_eel14_kcal_mol
8-9-25-55,CHI_C8_SIDE_S_H,LOCAL_TYPE_17,8-55,C8-H30,-0.2874720002414624,0.1722720002414624,1.2,CHI,-180,1.8361875979134048,3.763580506485613,-3.641239210396175
8-9-25-55,CHI_C8_SIDE_S_H,LOCAL_TYPE_17,8-55,C8-H30,-0.2874720002414624,0.1722720002414624,1.2,CHI,-165,1.4130028718141248,3.7481615153659757,-3.656218350120919
8-9-25-55,CHI_C8_SIDE_S_H,LOCAL_TYPE_17,8-55,C8-H30,-0.2874720002414624,0.1722720002414624,1.2,CHI,-150,1.3982414847839755,3.6984964523565695,-3.7053156838818317
8-9-25-55,CHI_C8_SIDE_S_H,LOCAL_TYPE_17,8-55,C8-H30,-0.2874720002414624,0.1722720002414624,1.2,CHI,-135,1.7201805587324959,3.6151044186726966,-3.790788681210386
8-9-25-55,CHI_C8_SIDE_S_H,LOCAL_TYPE_17,8-55,C8-H30,-0.2874720002414624,0.1722720002414624,1.2,CHI,-120,2.1004462123625456,3.492170442636142,-3.9242348381350105
8-9-25-55,CHI_C8_SIDE_S_H,LOCAL_TYPE_17,8-55,C8-H30,-0.2874720002414624,0.1722720002414624,1.2,CHI,-105,2.282405294363951,3.351467830837549,-4.088983574779945
8-9-25-55,CHI_C8_SIDE_S_H,LOCAL_TYPE_17,8-55,C8-H30,-0.2874720002414624,0.1722720002414624,1.2,CHI,-90,2.191846518770847,3.195174464473217,-4.2889980074867315
8-9-25-55,CHI_C8_SIDE_S_H,LOCAL_TYPE_17,8-55,C8-H30,-0.2874720002414624,0.1722720002414624,1.2,CHI,-75,1.9493375527533943,3.033429535810341,-4.517690867685588
8-9-25-55,CHI_C8_SIDE_S_H,LOCAL_TYPE_17,8-55,C8-H30,-0.2874720002414624,0.1722720002414624,1.2,CHI,-60,1.7582771045303314,2.876744688025423,-4.7637515309377365
8-9-25-55,CHI_C8_SIDE_S_H,LOCAL_TYPE_17,8-55,C8-H30,-0.2874720002414624,0.1722720002414624,1.2,CHI,-45,1.7517423921353694,2.744232956576822,-4.993780458344436
8-9-25-55,CHI_C8_SIDE_S_H,LOCAL_TYPE_17,8-55,C8-H30,-0.2874720002414624,0.1722720002414624,1.2,CHI,-30,1.8731815879809242,2.6261799773973538,-5.218262658936042
8-9-25-55,CHI_C8_SIDE_S_H,LOCAL_TYPE_17,8-55,C8-H30,-0.2874720002414624,0.1722720002414624,1.2,CHI,-15,1.8830474967830666,2.5421898698675527,-5.390666163110818
8-9-25-55,CHI_C8_SIDE_S_H,LOCAL_TYPE_17,8-55,C8-H30,-0.2874720002414624,0.1722720002414624,1.2,CHI,0,1.53761834092137,2.5029755758378758,-5.475122108257344
8-9-25-55,CHI_C8_SIDE_S_H,LOCAL_TYPE_17,8-55,C8-H30,-0.2874720002414624,0.1722720002414624,1.2,CHI,15,0.8500053424677801,2.5248872481404647,-5.427607479023445
8-9-25-55,CHI_C8_SIDE_S_H,LOCAL_TYPE_17,8-55,C8-H30,-0.2874720002414624,0.1722720002414624,1.2,CHI,30,0.1979165005694423,2.6034129389937815,-5.2638967512371435
8-9-25-55,CHI_C8_SIDE_S_H,LOCAL_TYPE_17,8-55,C8-H30,-0.2874720002414624,0.1722720002414624,1.2,CHI,45,0.0,2.7258609465019767,-5.027438002398547
8-9-25-55,CHI_C8_SIDE_S_H,LOCAL_TYPE_17,8-55,C8-H30,-0.2874720002414624,0.1722720002414624,1.2,CHI,60,0.32618472333560894,2.8659599102258646,-4.78167781161255
8-9-25-55,CHI_C8_SIDE_S_H,LOCAL_TYPE_17,8-55,C8-H30,-0.2874720002414624,0.1722720002414624,1.2,CHI,75,1.0408015037026501,3.030308392509285,-4.522343978445791
8-9-25-55,CHI_C8_SIDE_S_H,LOCAL_TYPE_17,8-55,C8-H30,-0.2874720002414624,0.1722720002414624,1.2,CHI,90,2.0223598887749024,3.2047148038212714,-4.2762297897327635
8-9-25-55,CHI_C8_SIDE_S_H,LOCAL_TYPE_17,8-55,C8-H30,-0.2874720002414624,0.1722720002414624,1.2,CHI,105,3.0480034924252344,3.3521979728103077,-4.088092953594059
8-9-25-55,CHI_C8_SIDE_S_H,LOCAL_TYPE_17,8-55,C8-H30,-0.2874720002414624,0.1722720002414624,1.2,CHI,120,3.7373350122694022,3.490211379455379,-3.926437519619952
8-9-25-55,CHI_C8_SIDE_S_H,LOCAL_TYPE_17,8-55,C8-H30,-0.2874720002414624,0.1722720002414624,1.2,CHI,135,3.8030037733710786,3.612915329279083,-3.7930855452493017
8-9-25-55,CHI_C8_SIDE_S_H,LOCAL_TYPE_17,8-55,C8-H30,-0.2874720002414624,0.1722720002414624,1.2,CHI,150,3.292878201783699,3.6976016820268263,-3.7062123208972206
8-9-25-55,CHI_C8_SIDE_S_H,LOCAL_TYPE_17,8-55,C8-H30,-0.2874720002414624,0.1722720002414624,1.2,CHI,165,2.5316328285396272,3.747597718404445,-3.65676839976642
8-9-25-55,CHI_C8_SIDE_S_H,LOCAL_TYPE_17,8-55,C8-H30,-0.2874720002414624,0.1722720002414624,1.2,PHI,-180,12.297421019351964,2.8363215417033327,-4.831644335877452
8-9-25-55,CHI_C8_SIDE_S_H,LOCAL_TYPE_17,8-55,C8-H30,-0.2874720002414624,0.1722720002414624,1.2,PHI,-165,12.017065696114134,2.8302281047542595,-4.842046790743743
8-9-25-55,CHI_C8_SIDE_S_H,LOCAL_TYPE_17,8-55,C8-H30,-0.2874720002414624,0.1722720002414624,1.2,PHI,-150,12.14534987811232,2.8579710420848197,-4.795044004960004
8-9-25-55,CHI_C8_SIDE_S_H,LOCAL_TYPE_17,8-55,C8-H30,-0.2874720002414624,0.1722720002414624,1.2,PHI,-135,12.088672339648122,2.893712444202095,-4.735818494735348
8-9-25-55,CHI_C8_SIDE_S_H,LOCAL_TYPE_17,8-55,C8-H30,-0.2874720002414624,0.1722720002414624,1.2,PHI,-120,9.406090467076242,2.9226408673560997,-4.688943162590896
