symmetry_group_id,member_quartet,reason,must_remain_tied
SYM_C8_H9_H10_C10,10-9-8-34,H9/H10 are graph-equivalent geminal hydrogens on C8; connectivity and atom typing are identical,True
SYM_C8_H9_H10_C10,10-9-8-35,H9/H10 are graph-equivalent geminal hydrogens on C8; connectivity and atom typing are identical,True
SYM_C8_H9_H10_S,25-9-8-34,H9/H10 are graph-equivalent geminal hydrogens on C8; connectivity and atom typing are identical,True
SYM_C8_H9_H10_S,25-9-8-35,H9/H10 are graph-equivalent geminal hydrogens on C8; connectivity and atom typing are identical,True
SYM_C8_H9_H10_H11,34-8-9-36,H9/H10 are graph-equivalent geminal hydrogens on C8; connectivity and atom typing are identical,True
SYM_C8_H9_H10_H11,35-8-9-36,H9/H10 are graph-equivalent geminal hydrogens on C8; connectivity and atom typing are identical,True
SYM_PSI_C2_H9_H10,1-7-8-34,H9/H10 are graph-equivalent geminal hydrogens on C8; connectivity and atom typing are identical,True
SYM_PSI_C2_H9_H10,1-7-8-35,H9/H10 are graph-equivalent geminal hydrogens on C8; connectivity and atom typing are identical,True
SYM_PSI_C6_H9_H10,6-7-8-34,H9/H10 are graph-equivalent geminal hydrogens on C8; connectivity and atom typing are identical,True
SYM_PSI_C6_H9_H10,6-7-8-35,H9/H10 are graph-equivalent geminal hydrogens on C8; connectivity and atom typing are identical,True
