parameter,parent,initial,final,delta,bound_status,sensitivity_norm,max_abs_parameter_correlation,status
CHI_C8_SIDE_S_H,LOCAL_TYPE_17,0.4731632226729102,0.4888024975757006,0.01563927490279038,INTERIOR,5.902600855063992,0.9957651046942901,WEAKLY_IDENTIFIABLE
CHI_C10_SIDE_S_H,LOCAL_TYPE_17,0.4731632226729102,0.43765309123730606,-0.035510131435604164,INTERIOR,5.759154031674949,0.9957651046944073,WEAKLY_IDENTIFIABLE
PHI_C7_C10,LOCAL_TYPE_12,0.0,0.0,0.0,LOWER,2.3322220307939485,0.5520034419521058,WEAKLY_IDENTIFIABLE
PHI_C7_S,LOCAL_TYPE_12,0.0,0.0,0.0,LOWER,2.8442530449174956,0.9941741082392975,WEAKLY_IDENTIFIABLE
PHI_C7_H11,LOCAL_TYPE_12,0.0,0.0,0.0,LOWER,2.4657829673357745,0.9760853782321156,WEAKLY_IDENTIFIABLE
PHI_S_HC,LOCAL_TYPE_12,0.0,0.0,0.0,LOWER,5.391862626297862,0.9941741082391329,WEAKLY_IDENTIFIABLE
PHI_HC_H11,LOCAL_TYPE_12,0.0,0.0,0.0,LOWER,4.647323583877587,0.9901315680633387,WEAKLY_IDENTIFIABLE
PSI_C2_C9,LOCAL_TYPE_2,1.5619179357337627,1.5638399072578735,0.001921971524110777,INTERIOR,2.287169416495115,0.8585993053238944,WEAKLY_IDENTIFIABLE
PSI_C6_C9,LOCAL_TYPE_2,1.5619179357337627,1.470023452153089,-0.09189448358067365,INTERIOR,2.1135669263632457,0.8585993053231834,WEAKLY_IDENTIFIABLE
PSI_C6_HC,LOCAL_TYPE_2,1.5619179357337627,1.548409900923877,-0.013508034809885716,INTERIOR,1.582369634612309,0.5610259131115852,WEAKLY_IDENTIFIABLE
