PARAMETER_ID,VALUE,UNIT,SOURCE,PROVENANCE,FROZEN_OR_FITTABLE
ATOM_1_TYPE,c3,Amber atom type,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,baseline.parm7,FROZEN
ATOM_1_CHARGE,-0.3348319998024399,elementary_charge,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/BASELINE_IDENTITY.json,accepted AmberTools26 three-minimum RESP,FROZEN
ATOM_1_LJ_RMIN,1.90690000000765,angstrom,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_1_LJ_EPSILON,0.1078000000751509,kcal/mol,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_2_TYPE,c6,Amber atom type,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,baseline.parm7,FROZEN
ATOM_2_CHARGE,0.144216000175609,elementary_charge,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/BASELINE_IDENTITY.json,accepted AmberTools26 three-minimum RESP,FROZEN
ATOM_2_LJ_RMIN,1.90690000000765,angstrom,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_2_LJ_EPSILON,0.1078000000751509,kcal/mol,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_3_TYPE,c6,Amber atom type,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,baseline.parm7,FROZEN
ATOM_3_CHARGE,-0.05933599984634211,elementary_charge,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/BASELINE_IDENTITY.json,accepted AmberTools26 three-minimum RESP,FROZEN
ATOM_3_LJ_RMIN,1.90690000000765,angstrom,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_3_LJ_EPSILON,0.1078000000751509,kcal/mol,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_4_TYPE,c6,Amber atom type,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,baseline.parm7,FROZEN
ATOM_4_CHARGE,-0.1834120001317067,elementary_charge,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/BASELINE_IDENTITY.json,accepted AmberTools26 three-minimum RESP,FROZEN
ATOM_4_LJ_RMIN,1.90690000000765,angstrom,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_4_LJ_EPSILON,0.1078000000751509,kcal/mol,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_5_TYPE,c,Amber atom type,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,baseline.parm7,FROZEN
