axis,band,n,rmse_kcal_mol,mae_kcal_mol,max_abs_kcal_mol,signed_mean_kcal_mol
CHI,QM_LE_1,4,0.3667096751792738,0.32350685848274485,0.5016398236912863,-0.1604144968149404
CHI,QM_LE_5,24,0.800629948397595,0.6812705274603449,1.5527870079575006,0.33176699226789524
CHI,QM_LE_10,24,0.800629948397595,0.6812705274603449,1.5527870079575006,0.33176699226789524
CHI,QM_GT_10,0,,,,
CHI,WHOLE,24,0.800629948397595,0.6812705274603449,1.5527870079575006,0.33176699226789524
PHI,QM_LE_1,1,0.0,0.0,0.0,0.0
PHI,QM_LE_5,3,0.5741960618107471,0.44283013597787996,0.895178062403065,0.15395523895749666
PHI,QM_LE_10,6,0.6667256141210662,0.5421776795813084,1.158914375385586,0.14251979968157527
PHI,QM_GT_10,12,3.4744183841495144,2.8908228377615104,5.875863383557331,-2.8908228377615104
PHI,WHOLE,18,2.8628476068859223,2.1079411183681094,5.875863383557331,-1.879708625280482
PSI,QM_LE_1,2,0.010363948576920816,0.007328418318609378,0.014656836637218756,-0.007328418318609378
PSI,QM_LE_5,4,0.27259475590901794,0.1621232672500609,0.5361697937213901,-0.11329004792924349
PSI,QM_LE_10,5,0.31591815892992575,0.21954065560943342,0.5361697937213901,-0.0007899965340100624
PSI,QM_GT_10,9,4.310989753079182,3.462222168208206,8.338236917929535,-3.367366440067536
PSI,WHOLE,14,3.4616337521474674,2.3041216279943586,8.338236917929535,-2.165017710234134
