axis,angle_degrees,qm_relative_kcal_mol,mm_relative_kcal_mol,residual_kcal_mol,target_angle_degrees,converged,target_pass
CHI,-180,1.8361875979134048,0.8628481908555727,0.9733394070578321,-179.48314495983,True,True
CHI,-165,1.4130028718141248,1.1033032074764009,0.3096996643377239,-165.62500329380387,True,True
CHI,-150,1.3982414847839755,1.8898970354043314,-0.49165555062035593,-150.70299416257103,True,True
CHI,-135,1.7201805587324959,2.762258370860792,-1.042077812128296,-135.65566653088948,True,True
CHI,-120,2.1004462123625456,3.1490638253066905,-1.048617612944145,-119.48901412724419,True,True
CHI,-105,2.282405294363951,2.7029689775036587,-0.42056368313970793,-104.32709370946948,True,True
CHI,-90,2.191846518770847,1.7130148532488008,0.47883166552204637,-89.26233919646376,True,True
CHI,-75,1.9493375527533943,0.722556424502713,1.2267811282506813,-74.32084191378813,True,True
CHI,-60,1.7582771045303314,0.2054900965728308,1.5527870079575006,-59.45767242713134,True,True
CHI,-45,1.7517423921353694,0.310507430838058,1.4412349612973114,-45.586183101532406,True,True
CHI,-30,1.8731815879809242,0.8943886544132482,0.9787929335676759,-30.653502402711556,True,True
CHI,-15,1.8830474967830666,1.538892723605251,0.3441547731778156,-15.609266752180064,True,True
CHI,0,1.53761834092137,1.7609033938028915,-0.22328505288152156,0.5264399248757492,True,True
CHI,15,0.8500053424677801,1.3516451661590665,-0.5016398236912863,15.640438092218114,True,True
CHI,30,0.1979165005694423,0.619687484688427,-0.4217709841189847,30.660955248018222,True,True
CHI,45,0.0,0.04443190278509945,-0.04443190278509945,45.5766732091583,True,True
CHI,60,0.32618472333560894,0.0,0.32618472333560894,59.439236491338434,True,True
CHI,75,1.0408015037026501,0.612619328468611,0.4281821752340391,74.29768850179362,True,True
CHI,90,2.0223598887749024,1.7626582374685,0.2597016513064023,90.00080103900846,True,True
CHI,105,3.0480034924252344,2.763448309920193,0.2845551825050414,104.31420511139126,True,True
CHI,120,3.7373350122694022,3.2840950463387912,0.453239965930611,119.46716908848613,True,True
CHI,135,3.8030037733710786,3.0285795827985424,0.7744241905725362,135.62961292855437,True,True
CHI,150,3.292878201783699,2.205759224346828,1.0871189774368712,150.71154381961293,True,True
CHI,165,2.5316328285396272,1.294210999290442,1.2374218292491852,165.66491626345595,True,True
PHI,-180,12.297421019351964,14.17872173550154,-1.8813007161495765,-179.36148486431838,True,True
PHI,-165,12.017065696114134,13.626505794724267,-1.6094400986101327,-164.4120821069758,True,True
PHI,-150,12.14534987811232,13.243923952060925,-1.0985740739486047,-149.379425482231,True,True
PHI,-135,12.088672339648122,12.2205685364342,-0.13189619678607833,-135.02235638617978,True,True
PHI,-120,9.406090467076242,9.64429439328157,-0.23820392620532793,-120.02168732859627,True,True
PHI,-105,5.389702277432289,5.917159645395586,-0.5274573679632963,-104.99596809757894,True,True
PHI,-90,1.8840517384563273,2.3173640839869023,-0.43331234553057496,-89.97813050265736,True,True
PHI,-75,0.0,0.0,0.0,-74.97254997284541,True,True
PHI,-60,1.1679589391511374,0.2727808767480724,0.895178062403065,-60.05210680495123,True,True
PHI,-45,5.348395421266241,4.189481045880655,1.158914375385586,-45.12042045151843,True,True
PHI,-30,12.61886348886727,13.004762271322136,-0.3858987824548663,-30.19686472903141,True,True
PHI,-15,24.120153734931876,26.90398737887324,-2.783833643941364,-15.250053963616677,True,True
PHI,0,39.62646469177788,45.502328075335214,-5.875863383557331,-0.26484887430811715,True,True
PHI,105,36.46525443667219,40.36430595165923,-3.8990515149870433,105.01275710964308,True,True
PHI,120,25.91194918747669,31.71427426953339,-5.802325082056701,120.00837350949972,True,True
PHI,135,18.085910819557824,23.357243381101682,-5.271332561543858,135.06785559479002,True,True
PHI,150,13.569233322541978,17.14475453363778,-3.5755212110958023,150.07686580126926,True,True
PHI,165,12.21349737743903,14.5883341654458,-2.374836788006771,165.66556228403778,True,True
PSI,-105,32.011747071349355,38.42175791204407,-6.410010840694717,-104.26641561080196,True,True
PSI,-90,14.696882575166297,17.145833122243133,-2.4489505470768353,-89.55211931974404,True,True
PSI,-75,4.330868332829533,4.8670381265509235,-0.5361697937213901,-74.78816854701613,True,True
PSI,-60,0.0,0.0,0.0,-59.94032485595353,True,True
PSI,-45,0.19638589416353,0.21104273080074876,-0.014656836637218756,-45.0314898831935,True,True
PSI,-30,3.0779934750218234,2.9803270363801886,0.09766643864163482,-30.012994070188387,True,True
PSI,-15,6.97513939178259,6.525929182735666,0.44921020904692366,-14.998663369450489,True,True
PSI,0,10.412722960962697,9.98587218432968,0.4268507766330174,0.012118762447261974,True,True
PSI,15,11.945479233545104,12.609143463534878,-0.6636642299897737,15.029828126449466,True,True
PSI,30,11.696853683615846,13.432457913393606,-1.7356042297777599,29.392594916689955,True,True
PSI,45,12.409782605194598,14.6347841353995,-2.225001530204901,44.95583619694363,True,True
PSI,60,15.683428081132595,19.054079054092355,-3.3706509729597602,59.86465175810552,True,True
PSI,75,23.207234060776265,28.74826352938382,-5.5410294686075545,74.72599325537385,True,True
PSI,90,36.77978373595889,45.11802065388842,-8.338236917929535,89.52867947309306,True,True
