axis,band,n,rmse_kcal_mol,mae_kcal_mol,max_abs_kcal_mol,signed_mean_kcal_mol
CHI,QM_LE_1,4,0.7287293793482288,0.6433311233237549,1.0738801563841505,-0.4802387616559504
CHI,QM_LE_5,24,0.8095910764947787,0.739141603029645,1.3948127381084443,0.2608507800298949
CHI,QM_LE_10,24,0.8095910764947787,0.739141603029645,1.3948127381084443,0.2608507800298949
CHI,QM_GT_10,0,,,,
CHI,WHOLE,24,0.8095910764947787,0.739141603029645,1.3948127381084443,0.2608507800298949
PHI,QM_LE_1,1,1.1930724531142403,1.1930724531142403,1.1930724531142403,-1.1930724531142403
PHI,QM_LE_5,3,2.8218193515859604,2.4754176335214795,4.34912870899387,-1.2193831412172609
PHI,QM_LE_10,6,4.1663857654386875,3.6450720613163425,7.482566142824374,-0.6965170403278189
PHI,QM_GT_10,12,8.070209151326203,7.20620033998842,12.429249639774142,-7.20620033998842
PHI,WHOLE,18,7.014635220706978,6.0191575804310595,12.429249639774142,-5.036305906768218
PSI,QM_LE_1,2,1.871187701076086,1.417673849358339,2.6389618045531478,-1.2212879551948088
PSI,QM_LE_5,4,3.274762354494424,2.7203204099480476,5.350570186160402,-1.2744455854087273
PSI,QM_LE_10,5,3.572375743444387,3.0908724954974494,5.350570186160402,-0.1049403007879702
PSI,QM_GT_10,9,7.45755496119843,6.62809888056937,12.241597952150293,-5.106920626249121
PSI,WHOLE,14,6.349046476527046,5.364803743043685,12.241597952150293,-3.3204990814415667
