axis,angle_degrees,qm_relative_kcal_mol,mm_relative_kcal_mol,residual_kcal_mol,target_angle_degrees,converged,target_pass
CHI,-180,1.8361875979134048,0.8669791607445632,0.9692084371688416,-179.46402803803306,True,True
CHI,-165,1.4130028718141248,1.0272194021373906,0.38578346967673416,-165.60644658790272,True,True
CHI,-150,1.3982414847839755,1.7410393811616274,-0.3427978963776519,-150.69144177256433,True,True
CHI,-135,1.7201805587324959,2.597156330090286,-0.8769757713577899,-135.66209016305274,True,True
CHI,-120,2.1004462123625456,3.062034938905967,-0.9615887265434213,-120.52663332133959,True,True
CHI,-105,2.282405294363951,2.755725902180174,-0.4733206078162233,-104.35479010620843,True,True
CHI,-90,2.191846518770847,1.860946084805562,0.33090043396528523,-89.27497682986339,True,True
CHI,-75,1.9493375527533943,0.8925231437568044,1.0568144089965898,-74.31985584703281,True,True
CHI,-60,1.7582771045303314,0.36346436642188706,1.3948127381084443,-59.45599270746856,True,True
CHI,-45,1.7517423921353694,0.48446943056538316,1.2672729615699863,-45.59711886257302,True,True
CHI,-30,1.8731815879809242,1.1571202910664056,0.7160612969145186,-30.68157043105102,True,True
CHI,-15,1.8830474967830666,1.9498309959777913,-0.0667834991947247,-15.643054212571952,True,True
CHI,0,1.53761834092137,2.30850194566915,-0.7708836047477798,0.5078561243888233,True,True
CHI,15,0.8500053424677801,1.9238854988519307,-1.0738801563841505,15.64944355592864,True,True
CHI,30,0.1979165005694423,1.0814485714646906,-0.8835320708952483,30.698583116157057,True,True
CHI,45,0.0,0.2897275426800121,-0.2897275426800121,45.63183971158006,True,True
CHI,60,0.32618472333560894,0.0,0.32618472333560894,59.498215854523586,True,True
CHI,75,1.0408015037026501,0.3612939417901089,0.6795075619125412,74.34684893044297,True,True
CHI,90,2.0223598887749024,1.2889723717968735,0.7333875169780288,89.26125848391703,True,True
CHI,105,3.0480034924252344,2.3613350819321255,0.6866684104931089,104.29015327268763,True,True
CHI,120,3.7373350122694022,3.067319859016834,0.6700151532525682,119.41349482346224,True,True
CHI,135,3.8030037733710786,3.0867505845151726,0.716253188855906,135.58205482497038,True,True
CHI,150,3.292878201783699,2.369310463496433,0.9235677382872662,150.71307831128698,True,True
CHI,165,2.5316328285396272,1.3881622713405761,1.143470557199051,165.68570845681452,True,True
PHI,-180,12.297421019351964,21.90767581465623,-9.610254795304266,-179.94956188190355,True,True
PHI,-165,12.017065696114134,23.31188632449482,-11.294820628380688,-165.15387082063123,True,True
PHI,-150,12.14534987811232,18.615052263811094,-6.469702385698774,-150.03348087750655,True,True
PHI,-135,12.088672339648122,12.104441428086886,-0.015769088438764456,-134.98367121202884,True,True
PHI,-120,9.406090467076242,6.073274679560171,3.33281578751607,-119.95850227741208,True,True
PHI,-105,5.389702277432289,1.7609047404391163,3.628797536993173,-104.95789094169758,True,True
PHI,-90,1.8840517384563273,0.0,1.8840517384563273,-89.45371909306152,True,True
PHI,-75,0.0,1.1930724531142403,-1.1930724531142403,-75.04595089438283,True,True
PHI,-60,1.1679589391511374,5.517087648145008,-4.34912870899387,-60.07994927225817,True,True
PHI,-45,5.348395421266241,12.830961564090615,-7.482566142824374,-45.08994265454403,True,True
PHI,-30,12.61886348886727,22.80652554130201,-10.187662052434739,-30.109165818257637,True,True
PHI,-15,24.120153734931876,35.58482630842599,-11.464672573494113,-15.176945122836937,True,True
PHI,0,39.62646469177788,52.055714331552025,-12.429249639774142,-0.2637982562026187,True,True
PHI,105,36.46525443667219,42.5776287516444,-6.112374314972207,104.99578756466478,True,True
PHI,120,25.91194918747669,31.508212438101367,-5.596263250624677,120.06981292953614,True,True
PHI,135,18.085910819557824,22.144081500011623,-4.058170680453799,135.12737325621455,True,True
PHI,150,13.569233322541978,17.12779524978737,-3.5585619272453908,150.074092636025,True,True
PHI,165,12.21349737743903,17.89040012047849,-5.676902743039459,164.93527487436555,True,True
PSI,-105,32.011747071349355,44.25334502349965,-12.241597952150293,-104.27552227677582,True,True
PSI,-90,14.696882575166297,22.883873812553915,-8.186991237387618,-89.58031837838939,True,True
PSI,-75,4.330868332829533,9.681438518989935,-5.350570186160402,-74.79624757294614,True,True
PSI,-60,0.0,2.6389618045531478,-2.6389618045531478,-59.91396417287689,True,True
PSI,-45,0.19638589416353,0.0,0.19638589416353,-44.3300256078684,True,True
PSI,-30,3.0779934750218234,0.3826297201067135,2.69536375491511,-30.018217871687433,True,True
PSI,-15,6.97513939178259,2.4020585540875317,4.573080837695058,-15.015712492103908,True,True
PSI,0,10.412722960962697,5.539292535105162,4.873430425857535,-0.023743109818736802,True,True
PSI,15,11.945479233545104,9.973607514961515,1.9718717185835892,14.96397828584544,True,True
PSI,30,11.696853683615846,15.9819139672597,-4.285060283643855,29.951158340414647,True,True
PSI,45,12.409782605194598,16.658470701544744,-4.248688096350145,44.47861392205374,True,True
PSI,60,15.683428081132595,20.0333188455228,-4.349890764390205,59.82001306363033,True,True
PSI,75,23.207234060776265,30.647878452349218,-7.4406443915729525,74.6581290790592,True,True
PSI,90,36.77978373595889,48.83449879114703,-12.05471505518814,89.53844127934101,True,True
