axis,band,n,rmse_kcal_mol,mae_kcal_mol,max_abs_kcal_mol,signed_mean_kcal_mol
CHI,QM_LE_1,4,0.6219653686303619,0.5495283439481827,0.9154009695272564,-0.3864359822803783
CHI,QM_LE_5,24,0.7465002018408592,0.6662372963825095,1.2344559049015327,0.25033048373991934
CHI,QM_LE_10,24,0.7465002018408592,0.6662372963825095,1.2344559049015327,0.25033048373991934
CHI,QM_GT_10,0,,,,
CHI,WHOLE,24,0.7465002018408592,0.6662372963825095,1.2344559049015327,0.25033048373991934
PHI,QM_LE_1,1,1.181121117820922,1.181121117820922,1.181121117820922,-1.181121117820922
PHI,QM_LE_5,3,2.807236088818971,2.4630595200436773,4.324005703853782,-1.2070250277394587
PHI,QM_LE_10,6,4.12784145260514,3.6165611493340024,7.388490274642954,-0.6813112161052165
PHI,QM_GT_10,12,7.938807904850948,7.080629399483406,12.048148805978272,-7.080629399483406
PHI,WHOLE,18,6.906239134726732,5.925939982766938,12.048148805978272,-4.9475233383573425
PSI,QM_LE_1,2,1.8645828475928294,1.4129905523853683,2.6295952106072065,-1.2166046582218382
PSI,QM_LE_5,4,3.2643670949578008,2.71123779517106,5.335963683148611,-1.271541651706849
PSI,QM_LE_10,5,3.5578009293855355,3.078173763112782,5.335963683148611,-0.10804979438954501
PSI,QM_GT_10,9,7.447743195126358,6.622941204536095,12.157662544123347,-5.124255867334936
PSI,WHOLE,14,6.338711256864677,5.356952832599197,12.157662544123347,-3.3327536984258677
