atom_index_zero_based,atom_index_one_based,atom_name,atom_type,atomic_number,charge_e,mass_amu,bonded_neighbors_zero_based
0,1,C1,c3,6,-0.3348319998024399,12.01,1;26;27;28
1,2,C2,c6,6,0.14421600017560898,12.01,0;2;7;11
2,3,C3,c6,6,-0.059335999846342115,12.01,1;3;29;30
3,4,C4,c6,6,-0.18341200013170675,12.01,2;4;31;32
4,5,C5,c,6,0.6347030012676775,12.01,3;5;6
5,6,O1,o,8,-0.5663450003567058,16.0,4
6,7,C6,ce,6,-0.402716000175609,12.01,4;7;33
7,8,C7,c2,6,0.10068600012073119,12.01,1;6;8
8,9,C8,c6,6,-0.2874720002414624,12.01,7;9;34;35
9,10,C9,c6,6,-0.04779499997256109,12.01,8;10;25;36
10,11,C10,c6,6,0.0991709998189032,12.01,9;11;15;37
11,12,C11,c6,6,-0.020453999989024436,12.01,1;10;12;38
12,13,C12,c6,6,-0.0627300000548778,12.01,11;13;39;40
13,14,C13,c6,6,-0.0622629997310987,12.01,12;14;41;42
14,15,C14,c5,6,0.18623599984634212,12.01,13;15;18;24
15,16,C15,c5,6,0.017813999989024436,12.01,10;14;16;43
16,17,C16,c5,6,-0.1590139998792688,12.01,15;17;44;45
17,18,C17,c5,6,-0.1118269998847566,12.01,16;18;46;47
18,19,C18,c5,6,0.37939100003841447,12.01,14;17;19;23
19,20,C19,c5,6,-0.002852,12.01,18;20;48;49
20,21,C20,c5,6,-0.31773300022499906,12.01,19;21;50;51
21,22,C21,c,6,0.696805002661574,12.01,20;22;23
22,23,O2,o,8,-0.5444619998573176,16.0,21
23,24,O3,os,8,-0.47386699977500096,16.0,18;21
24,25,C22,c3,6,-0.42220999983536656,12.01,14;52;53;54
25,26,S1,sh,16,-0.2900640001536579,32.06,9;55
26,27,H1,hc,1,0.09341200013170675,1.008,0
27,28,H2,hc,1,0.09341200013170675,1.008,0
28,29,H3,hc,1,0.09341200013170675,1.008,0
29,30,H4,hc,1,0.03051300000548778,1.008,2
30,31,H5,hc,1,0.052270000000000004,1.008,2
31,32,H6,hc,1,0.06840099987378102,1.008,3
32,33,H7,hc,1,0.07038899974207427,1.008,3
33,34,H8,ha,1,0.17234799997804887,1.008,6
34,35,H9,hc,1,0.11249000016463342,1.008,8
35,36,H10,hc,1,0.1128650000274389,1.008,8
36,37,H11,h1,1,0.12464899985182991,1.008,9
37,38,H12,hc,1,0.020687999978048873,1.008,10
38,39,H13,hc,1,0.024262000021951124,1.008,11
39,40,H14,hc,1,0.02253600001097556,1.008,12
40,41,H15,hc,1,0.02098799997804887,1.008,12
41,42,H16,hc,1,0.000166,1.008,13
42,43,H17,hc,1,0.040673000005487785,1.008,13
43,44,H18,hc,1,-0.024415000027438908,1.008,15
44,45,H19,hc,1,0.04576399998902444,1.008,16
45,46,H20,hc,1,0.04557799997804887,1.008,16
46,47,H21,hc,1,0.042297999978048874,1.008,17
47,48,H22,hc,1,0.0571370002689013,1.008,17
48,49,H23,hc,1,0.029015000027438904,1.008,19
49,50,H24,hc,1,0.027370999983536655,1.008,19
50,51,H25,hc,1,0.11719800025243794,1.008,20
51,52,H26,hc,1,0.10988799986829324,1.008,20
52,53,H27,hc,1,0.1049269998847566,1.008,24
53,54,H28,hc,1,0.1049269998847566,1.008,24
54,55,H29,hc,1,0.1049269998847566,1.008,24
55,56,H30,hs,1,0.1722720002414624,1.008,25
