axis,angle_degrees,qm_energy_hartree,candidate_id,archive_member,qm_energy_kcal_mol_absolute,mm_bond_kcal_mol_absolute,mm_angle_kcal_mol_absolute,mm_dihedral_kcal_mol_absolute,mm_imp_kcal_mol_absolute,mm_elec_kcal_mol_absolute,mm_vdw_kcal_mol_absolute,mm_elec_14_kcal_mol_absolute,mm_vdw_14_kcal_mol_absolute,mm_tot_kcal_mol_absolute,qm_relative_kcal_mol,mm_relative_kcal_mol,qm_minus_mm_relative_kcal_mol,mm_bond_relative_to_component_min_kcal_mol,mm_angle_relative_to_component_min_kcal_mol,mm_dihedral_relative_to_component_min_kcal_mol,mm_imp_relative_to_component_min_kcal_mol,mm_elec_relative_to_component_min_kcal_mol,mm_vdw_relative_to_component_min_kcal_mol,mm_elec_14_relative_to_component_min_kcal_mol,mm_vdw_14_relative_to_component_min_kcal_mol
CHI,-180,-1477.9408591079934,ba08a7a7f9a13513d1f2,TSL_RSH_TORSIONDRIVE_BACKUP/results/CHI/candidates/ba08a7a7f9a13513d1f2/final.xyz,-927421.891101965,2.7223422111944067,13.484075707193321,73.52001217225109,0.0,-49.57599092518766,-0.7380359059435114,16.152406825798586,13.708909241822461,69.27371932712869,1.8361875979462638,0.6270040681196463,1.2091835298266176,0.0016724850138367664,0.8366836383539571,0.05214550258645545,0.0,0.0077761559063205254,0.21725804998259413,2.045504490474052,0.3210832430601869
CHI,-165,-1477.9415334957814,1bd7080eebaf0d339e66,TSL_RSH_TORSIONDRIVE_BACKUP/results/CHI/candidates/1bd7080eebaf0d339e66/final.xyz,-927422.3142866911,2.72066972618057,13.216358468938754,73.62025792352394,0.0,-49.58376708109398,-0.6666787177567546,16.182007832987395,13.737977108263717,69.22682526104364,1.4130028717918321,0.5801100020346013,0.8328928697572309,0.0,0.5689664000993897,0.15239125385930663,0.0,0.0,0.288615238169351,2.075105497662861,0.3501511095014429
CHI,-150,-1477.941557019549,dfa537b18dce072c8daf,TSL_RSH_TORSIONDRIVE_BACKUP/results/CHI/candidates/dfa537b18dce072c8daf/final.xyz,-927422.3290480782,2.72661943993356,12.976527997089308,74.02788873670161,0.0,-49.574922394761145,-0.556395340954299,16.17891415288671,13.756118498223529,69.53475108911927,1.3982414847705513,0.8880358301102262,0.5102056546603251,0.005949713752990249,0.32913592824994353,0.5600220670369822,0.0,0.00884468633283575,0.39889861497180656,2.0720118175621742,0.36829249946125486
CHI,-135,-1477.9410439769779,d24d9aa996702014c248,TSL_RSH_TORSIONDRIVE_BACKUP/results/CHI/candidates/d24d9aa996702014c248/final.xyz,-927422.0071090042,2.7361681472703845,12.808451169653255,74.4968776673902,0.0,-49.56047798154643,-0.41130813072586925,16.122043498184983,13.758668314377895,69.9504226846044,1.72018055873923,1.3037074255953627,0.41647313314386736,0.015498421089814585,0.1610591008138904,1.029010997725564,0.0,0.023289099547554315,0.5439858252002363,2.0151411628604485,0.3708423156156204
CHI,-120,-1477.9404379850855,86010686d1c3498cb40c,TSL_RSH_TORSIONDRIVE_BACKUP/results/CHI/candidates/86010686d1c3498cb40c/final.xyz,-927421.6268433506,2.7442691442677876,12.696049779083545,74.73335608501644,0.0,-49.536964437895875,-0.2519206773584889,16.00366100168403,13.752663149356009,70.14111404415345,2.1004462123382837,1.494398785144412,0.6060474271938716,0.02359941808721766,0.04865771024418031,1.2654894153518086,0.0,0.0468026431981059,0.7033732785676167,1.8967586663594957,0.36483715059373445
CHI,-105,-1477.9401480148308,3ed6d67ea18b0cf3896d,TSL_RSH_TORSIONDRIVE_BACKUP/results/CHI/candidates/3ed6d67ea18b0cf3896d/final.xyz,-927421.4448842686,2.748954064437708,12.647392068839364,74.57186187097952,0.0,-49.492350028669264,-0.09883909060618988,15.824354263665118,13.76758141899987,69.96895456764612,2.2824052943615243,1.32223930863708,0.9601659857244442,0.028284338257138053,0.0,1.1039952013148877,0.0,0.09141705242471687,0.8564548653199157,1.7174519283405836,0.37975542023759523
CHI,-90,-1477.9402923294258,7057d321a221db4e0535,TSL_RSH_TORSIONDRIVE_BACKUP/results/CHI/candidates/7057d321a221db4e0535/final.xyz,-927421.5354430442,2.747084416147727,12.667036562263803,74.12851923617492,0.0,-49.40756503103936,0.028610242230248245,15.578361102761335,13.803344364083294,69.54539089262198,2.191846518777311,0.8986756336129389,1.293170885164372,0.026414689967157123,0.019644493424438636,0.6606525665102936,0.0,0.17620205005461997,0.9839041981563538,1.4714587674368005,0.41551836532102016
CHI,-75,-1477.9406787920627,56ffb37aca93d433d400,TSL_RSH_TORSIONDRIVE_BACKUP/results/CHI/candidates/56ffb37aca93d433d400/final.xyz,-927421.7779520102,2.7466267138185376,12.736434857754634,73.66331120050154,0.0,-49.282727646626,0.10674936755382834,15.292704888196543,13.85541975466723,69.11851913586632,1.949337552767247,0.47180387685727965,1.4775336759099673,0.02595698763796772,0.08904278891527007,0.19544453083690883,0.0,0.301039434467981,1.0620433234799338,1.1858025528720084,0.46759375590495544
CHI,-60,-1477.9409832662677,080db778a13d322b3cde,TSL_RSH_TORSIONDRIVE_BACKUP/results/CHI/candidates/080db778a13d322b3cde/final.xyz,-927421.9690124583,2.746990509662667,12.81083953608962,73.46786666966463,0.0,-49.12124012203203,0.1307822272771653,14.985035772282576,13.913988494635255,68.9342630875799,1.7582771045854315,0.28754782857085104,1.4707292760145805,0.0263207834820971,0.16344746725025594,0.0,0.0,0.46252695906195385,1.0860761832032708,0.8781334369580414,0.5261624958729811
CHI,-45,-1477.9409936799948,187d13f913eac35533db,TSL_RSH_TORSIONDRIVE_BACKUP/results/CHI/candidates/187d13f913eac35533db/final.xyz,-927421.9755471707,2.7407905733075415,12.85082172424304,73.63307028771115,0.0,-48.96430555468981,0.16512499688127308,14.68308805042081,13.954187639613178,69.06277771748718,1.75174239219632,0.4160624584781374,1.3356799337181826,0.020120847126971597,0.20342965540367608,0.16520361804651884,0.0,0.619461526404173,1.1204189528073787,0.5761857150962761,0.5663616408509036
