axis,angle_degrees,candidate_id,source_archive_member,qm_energy_hartree,target_angle_after_minimization_degrees,final_restraint_center_degrees,restraint_center_correction_history,target_angle_error_degrees,target_angle_pass,minimization_converged,minimization_steps,final_rms_kcal_mol_angstrom,final_gmax_kcal_mol_angstrom,restart_readback_pass,aligned_cartesian_rmsd_angstrom,aligned_max_atom_displacement_angstrom,mm_bond_kcal_mol_absolute,mm_angle_kcal_mol_absolute,mm_dihedral_kcal_mol_absolute,mm_imp_kcal_mol_absolute,mm_elec_kcal_mol_absolute,mm_vdw_kcal_mol_absolute,mm_elec_14_kcal_mol_absolute,mm_vdw_14_kcal_mol_absolute,mm_tot_kcal_mol_absolute,mm_other_kcal_mol_absolute,input_rst7_sha256,final_rst7_sha256,mdout_sha256,restraint_sha256,run_directory,qm_relative_kcal_mol,mm_relative_kcal_mol,relaxed_profile_residual_kcal_mol
CHI,-180,ba08a7a7f9a13513d1f2,TSL_RSH_TORSIONDRIVE_BACKUP/results/CHI/candidates/ba08a7a7f9a13513d1f2/final.xyz,-1477.9408591079934,-179.4868166017833,-180.0,"[{'attempt': 1, 'restraint_center_degrees': -180.0, 'actual_degrees': -179.4868166017833, 'target_error_degrees': 0.5131833982167109, 'steps': 4705, 'rms': 0.00099683}]",0.5131833982167109,True,True,4705,0.00099683,0.0056346,True,0.1765767101863198,0.7672061623194633,3.7262654709423213,12.459097962662316,66.40764128606503,0.0,-48.739502679649064,-4.967329862980238,13.95001245613851,10.832353593889277,53.668538227068154,0.0,100a8aa253ce2044859e3e24286236dbf1edc8039c76fd1848333a7b677ade97,27a215d161d6cb26399903d39fc8a547a7e40236b6300377efda8dcb1052dff3,f7ac80b3d717a4a45d98039b8019749c91b18e07bb6b95052db46c7913b5b736,df2eddd1e61e9f8f5d8008f4707fdad228fe8bf6c21824a5807a0eaf70c4c442,03_PREFIT_BASELINE/relaxed-runs/CHI/-180,1.8361875979134048,1.0373859581861424,0.7988016397272624
CHI,-165,1bd7080eebaf0d339e66,TSL_RSH_TORSIONDRIVE_BACKUP/results/CHI/candidates/1bd7080eebaf0d339e66/final.xyz,-1477.9415334957814,-165.5617979229482,-165.0,"[{'attempt': 1, 'restraint_center_degrees': -165.0, 'actual_degrees': -165.5617979229482, 'target_error_degrees': 0.5617979229481875, 'steps': 4335, 'rms': 0.00099236}]",0.5617979229481875,True,True,4335,0.00099236,0.0054504,True,0.16606524251663665,0.7394403292210279,3.7290505349829033,12.458010485797619,66.54113877883074,0.0,-48.78322067336285,-4.947435341465738,13.95402166792022,10.828607563721906,53.7801730164248,-7.105427357601002e-15,4433fd4395787ceea3d8f882e477570016459af247b1997e08c2c4f4385a5612,2e59a433544c63420fc63f7a3d39ef5265e7c94b86978e9dea93a7ba927e042d,e0c868e3104f2a5c76610964afa3d3b1912744f459cf4e429a931c01d3ad536d,6dea1a6b3a591e0b8447e50ef604fa5117e879e99e543cf3c05a0d28b6bf41d7,03_PREFIT_BASELINE/relaxed-runs/CHI/-165,1.4130028718141248,1.1490207475427852,0.2639821242713396
CHI,-150,dfa537b18dce072c8daf,TSL_RSH_TORSIONDRIVE_BACKUP/results/CHI/candidates/dfa537b18dce072c8daf/final.xyz,-1477.941557019549,-150.59831719423232,-150.0,"[{'attempt': 1, 'restraint_center_degrees': -150.0, 'actual_degrees': -150.59831719423232, 'target_error_degrees': 0.5983171942323224, 'steps': 4076, 'rms': 0.0009955}]",0.5983171942323224,True,True,4076,0.0009955,0.0052636,True,0.15899401305464403,0.7212999030040709,3.732300420228886,12.457827389098766,66.96246459822322,0.0,-48.8105647736917,-4.920102790422895,13.918126718190859,10.827636101088665,54.16768766271581,7.105427357601002e-15,4f75d8c09724d5daf85541c2a67b2f2d03a796ed24979d70d142b48798bf176c,219dc5e6492600d884a16390c92b91568d5ae99e790f79b6e145314bf2532dfe,6f943630506523eb8cd66f37afd1835e75218ab570e79d48f286dc508786f408,41e7a4c4071950b046bacb120f1a438b7407965d725f2ae9d6a4b32364b2616a,03_PREFIT_BASELINE/relaxed-runs/CHI/-150,1.3982414847839755,1.5365353938337947,-0.1382939090498192
CHI,-135,d24d9aa996702014c248,TSL_RSH_TORSIONDRIVE_BACKUP/results/CHI/candidates/d24d9aa996702014c248/final.xyz,-1477.9410439769779,-135.5695800928673,-135.0,"[{'attempt': 1, 'restraint_center_degrees': -135.0, 'actual_degrees': -135.5695800928673, 'target_error_degrees': 0.5695800928673123, 'steps': 4018, 'rms': 0.00099561}]",0.5695800928673123,True,True,4018,0.00099561,0.0053281,True,0.15701384908024868,0.7188537728198069,3.7340347101730313,12.444876028864014,67.43365800684253,0.0,-48.810235819332036,-4.890960294526953,13.831206447188173,10.834510663926428,54.5770897431352,7.105427357601002e-15,8da92d27b30582dea9ab0e4dc92bb7be77fc019f090bc77347c46503e663ac9a,7ae11036a57e80791bd0b50cc3a57fe00a2b9c9e114335836314adfb83817047,b89e50ff450534b1ebcecc53d2abe88bad7f5cbb4bdc4e65bee2556c9a477f02,1c4b48b3bd821594f9e2f3d0edbb1233082256cfcc28a8414f6f22658ddee9e4,03_PREFIT_BASELINE/relaxed-runs/CHI/-135,1.7201805587324959,1.945937474253185,-0.2257569155206891
CHI,-120,86010686d1c3498cb40c,TSL_RSH_TORSIONDRIVE_BACKUP/results/CHI/candidates/86010686d1c3498cb40c/final.xyz,-1477.9404379850855,-119.48245265031018,-120.0,"[{'attempt': 1, 'restraint_center_degrees': -120.0, 'actual_degrees': -119.48245265031018, 'target_error_degrees': 0.5175473496898348, 'steps': 4244, 'rms': 0.00099893}]",0.5175473496898348,True,True,4244,0.00099893,0.0051548,True,0.15966606075703602,0.7301157746899779,3.734597054679572,12.421780764853603,67.67133042625716,0.0,-48.76652996710718,-4.861470376616522,13.66976929768828,10.849750925283999,54.71922812503891,0.0,db489b7f328c57dc042684001a7fed47501e1a6af44e2bcd9f101f254c51293b,c18a589402a8cdec5810ce8c3cb0bbb108bb0b5dfdebabccb61995ed5fe11713,f3494782dfbf5657d2d75884e6a4ef8e3b5753e3cbdf615734c9b8d59f7f21bd,9b42fa64b0381f322f82ab6a4b62bbdfcb945efcdc238ad0aa62b2044f7b8479,03_PREFIT_BASELINE/relaxed-runs/CHI/-120,2.1004462123625456,2.088075856156898,0.012370356205647415
CHI,-105,3ed6d67ea18b0cf3896d,TSL_RSH_TORSIONDRIVE_BACKUP/results/CHI/candidates/3ed6d67ea18b0cf3896d/final.xyz,-1477.9401480148308,-104.39721018580454,-105.0,"[{'attempt': 1, 'restraint_center_degrees': -105.0, 'actual_degrees': -104.39721018580454, 'target_error_degrees': 0.6027898141954608, 'steps': 5213, 'rms': 0.00099028}]",0.6027898141954608,True,True,5213,0.00099028,0.0051142,True,0.16464016670154497,0.7458874525750063,3.7349673026461683,12.404534854005398,67.49362034550487,0.0,-48.67343315702828,-4.8402958067162665,13.44910581527881,10.86459248022065,54.43309183391135,0.0,bc90e1764824bc6d99fb7232e840d85935c083bc16525fa6fa698a9b4d726483,a044b3b56cebcc3060ebc4c3f5fa530141428c9dfc904e7357f76bf7513595ec,8892afb3888420903c9c32495f66071f7441f1d8ff12c23f0e75d91e81fb95c9,78024df871e35bd8baa4a606133fc503a716a2dded62c8401645770fdfbddfed,03_PREFIT_BASELINE/relaxed-runs/CHI/-105,2.282405294363951,1.8019395650293362,0.4804657293346146
CHI,-90,7057d321a221db4e0535,TSL_RSH_TORSIONDRIVE_BACKUP/results/CHI/candidates/7057d321a221db4e0535/final.xyz,-1477.9402923294258,-89.35989708327574,-90.0,"[{'attempt': 1, 'restraint_center_degrees': -90.0, 'actual_degrees': -89.35989708327574, 'target_error_degrees': 0.6401029167242598, 'steps': 5434, 'rms': 0.0009998}]",0.6401029167242598,True,True,5434,0.0009998,0.0051753,True,0.16830899796073212,0.7537542162398901,3.7359991437556306,12.39655308289971,67.03583235502374,0.0,-48.52614112566681,-4.829748373130587,13.168401242918879,10.871382286258173,53.85227861205874,0.0,91b0544bd00d118902151e80f479557ed131b4dbfdebd6c2f139d8b37b2b2b2a,5cf9d7c8540531747c9cadd7e4df4068538b7195e59d700349aa94e46b89ef60,ad6eee66fec2902cf5f7de74b0beaa436f72fdab03e43fc962a65b164cc37993,38214b60884c6502ca80de62e03cdd7afc0c5b01d898de5614665ea6a02b9f7c,03_PREFIT_BASELINE/relaxed-runs/CHI/-090,2.191846518770847,1.2211263431767279,0.9707201755941193
CHI,-75,56ffb37aca93d433d400,TSL_RSH_TORSIONDRIVE_BACKUP/results/CHI/candidates/56ffb37aca93d433d400/final.xyz,-1477.9406787920627,-74.38873361237674,-75.0,"[{'attempt': 1, 'restraint_center_degrees': -75.0, 'actual_degrees': -74.38873361237674, 'target_error_degrees': 0.6112663876232602, 'steps': 5448, 'rms': 0.00099859}]",0.6112663876232602,True,True,5448,0.00099859,0.0052285,True,0.16935574659846464,0.7540240115422459,3.7379728340445646,12.396744033891991,66.57300228891448,0.0,-48.33224012829405,-4.831692601718477,12.844555372695197,10.86681199308557,53.25515379261927,-7.105427357601002e-15,ebcf4eb2e259d3f90eb3b7eb2f82a532e4c6b0eee6ac7b96e49adf142fceb0cf,e0a48c0c1b68accde1c5e87275e32dd5d32af6d9c4138d3ed9d7b56531490a75,53efee1fe588e2c1f270381b49ddba9929facdbc702c7deec14b66d44ccd8957,bc6563b4919a93c986c08fd54047287a9a20d0e908e9f0beced0011a0abcef6b,03_PREFIT_BASELINE/relaxed-runs/CHI/-075,1.9493375527533943,0.624001523737256,1.3253360290161382
CHI,-60,080db778a13d322b3cde,TSL_RSH_TORSIONDRIVE_BACKUP/results/CHI/candidates/080db778a13d322b3cde/final.xyz,-1477.9409832662677,-59.46273296196497,-60.0,"[{'attempt': 1, 'restraint_center_degrees': -60.0, 'actual_degrees': -59.46273296196497, 'target_error_degrees': 0.5372670380350257, 'steps': 5251, 'rms': 0.00099414}]",0.5372670380350257,True,True,5251,0.00099414,0.0053876,True,0.16767897459916734,0.7467680898281178,3.7410084303493765,12.405254922685073,66.36560099965988,0.0,-48.114469679819706,-4.844596944673819,12.500500669207476,10.854582452488042,52.90788084989632,7.105427357601002e-15,1040a10c0fe7369ee7bd50f928a8b704a9aeb02bf17bdb0749cfe92452a20ea3,2ef241fab1eb269d6f440da757df30c466021897c25e8532266e525993aae56b,578404ea5669026a85c346dfb39a059d6160f9ea5a871aad322db11fbc0e1e15,74fc6448c02388efe7ccf24129482cf0c5ec63e76796d9c59d7f489afb6f7c57,03_PREFIT_BASELINE/relaxed-runs/CHI/-060,1.7582771045303314,0.27672858101431075,1.4815485235160206
CHI,-45,187d13f913eac35533db,TSL_RSH_TORSIONDRIVE_BACKUP/results/CHI/candidates/187d13f913eac35533db/final.xyz,-1477.9409936799948,-45.53218089838048,-45.0,"[{'attempt': 1, 'restraint_center_degrees': -45.0, 'actual_degrees': -45.53218089838048, 'target_error_degrees': 0.5321808983804885, 'steps': 5126, 'rms': 0.00099603}]",0.5321808983804885,True,True,5126,0.00099603,0.0050148,True,0.16542056415404163,0.7356984712953876,3.7442831096938067,12.41901356555255,66.50148777776434,0.0,-47.92497931160826,-4.8636065771374835,12.184795782885235,10.843675799764487,52.90467014691467,-7.105427357601002e-15,a3ad63b16358102cee5df700e238a09b9b7c9c394c2975d9b326442f4d00af45,8762a94f129edddb9a12295957028f2e5d29926a2e7fafc6282c19f61989821e,1b54e08763ea55440b55b683377fb56baa4aebe2369ee64d4a08448aed069277,e492c561d5708bc3ce8ef48a6ace2cfecd96d74a8c4c49de16b395a20faefcc1,03_PREFIT_BASELINE/relaxed-runs/CHI/-045,1.7517423921353694,0.27351787803265637,1.478224514102713
