axis,angle_degrees,mm_bond_kcal_mol_absolute,mm_angle_kcal_mol_absolute,mm_dihedral_kcal_mol_absolute,mm_imp_kcal_mol_absolute,mm_elec_kcal_mol_absolute,mm_vdw_kcal_mol_absolute,mm_elec_14_kcal_mol_absolute,mm_vdw_14_kcal_mol_absolute,mm_tot_kcal_mol_absolute,mm_other_kcal_mol_absolute
CHI,-180,3.7262654709423213,12.459097962662316,66.40764128606503,0.0,-48.739502679649064,-4.967329862980238,13.95001245613851,10.832353593889277,53.668538227068154,0.0
CHI,-165,3.7290505349829033,12.458010485797619,66.54113877883074,0.0,-48.78322067336285,-4.947435341465738,13.95402166792022,10.828607563721906,53.7801730164248,-7.105427357601002e-15
CHI,-150,3.732300420228886,12.457827389098766,66.96246459822322,0.0,-48.8105647736917,-4.920102790422895,13.918126718190859,10.827636101088665,54.16768766271581,7.105427357601002e-15
CHI,-135,3.7340347101730313,12.444876028864014,67.43365800684253,0.0,-48.810235819332036,-4.890960294526953,13.831206447188173,10.834510663926428,54.5770897431352,7.105427357601002e-15
CHI,-120,3.734597054679572,12.421780764853603,67.67133042625716,0.0,-48.76652996710718,-4.861470376616522,13.66976929768828,10.849750925283999,54.71922812503891,0.0
CHI,-105,3.7349673026461683,12.404534854005398,67.49362034550487,0.0,-48.67343315702828,-4.8402958067162665,13.44910581527881,10.86459248022065,54.43309183391135,0.0
CHI,-90,3.7359991437556306,12.39655308289971,67.03583235502374,0.0,-48.52614112566681,-4.829748373130587,13.168401242918879,10.871382286258173,53.85227861205874,0.0
CHI,-75,3.7379728340445646,12.396744033891991,66.57300228891448,0.0,-48.33224012829405,-4.831692601718477,12.844555372695197,10.86681199308557,53.25515379261927,-7.105427357601002e-15
CHI,-60,3.7410084303493765,12.405254922685073,66.36560099965988,0.0,-48.114469679819706,-4.844596944673819,12.500500669207476,10.854582452488042,52.90788084989632,7.105427357601002e-15
CHI,-45,3.7442831096938067,12.41901356555255,66.50148777776434,0.0,-47.92497931160826,-4.8636065771374835,12.184795782885235,10.843675799764487,52.90467014691467,-7.105427357601002e-15
CHI,-30,3.7465028828573534,12.432824573743584,66.92139361540826,0.0,-47.78468176652008,-4.8889027398181275,11.88044117697337,10.841228015155467,53.14880575779983,0.0
CHI,-15,3.7449944307557614,12.440537688446051,67.38704283438929,0.0,-47.746627150940874,-4.920108419422752,11.644213362309788,10.85374531237371,53.403798057910976,0.0
CHI,0,3.738615198212004,12.449093613913597,67.61800292811391,0.0,-47.811823343231076,-4.959500984780775,11.513360281497736,10.877755764865121,53.42550345859051,-7.105427357601002e-15
CHI,15,3.7302641946143793,12.464671550431405,67.44458092039567,0.0,-47.906993692458094,-4.993363657020706,11.543074272870498,10.890508233255463,53.17274182208861,0.0
CHI,30,3.7230701003613125,12.484040670528156,67.00374186583612,0.0,-47.96214957305487,-5.0175832365347315,11.719043789841592,10.880704375784417,52.830867992761995,0.0
CHI,45,3.7196241792975484,12.505739929673481,66.55759588840263,0.0,-47.969318640315784,-5.034750785226408,11.997386039481022,10.854875657569522,52.63115226888201,0.0
CHI,60,3.7199475084372824,12.534328934263506,66.36152683478207,0.0,-47.9699891371181,-5.045587528535549,12.30258028968176,10.825405536882856,52.728212438393825,0.0
CHI,75,3.72231420397681,12.580938901236948,66.50287856479966,0.0,-48.000759035426384,-5.0490077607177035,12.640191563185038,10.79269158933812,53.18924802639249,7.105427357601002e-15
CHI,90,3.723549514380955,12.617850980818096,66.9372970156051,0.0,-48.07309515853169,-5.0442427597348365,12.96248433211214,10.76936597126221,53.89320989591197,7.105427357601002e-15
CHI,105,3.721990922256456,12.591526416253519,67.42160435223764,0.0,-48.176715327796536,-5.042149601439778,13.251618008869258,10.773990465242125,54.541865235622666,-1.4210854715202004e-14
CHI,120,3.7217231417388352,12.5423649748497,67.67043870483278,0.0,-48.30891542767949,-5.03534004746737,13.49563078069546,10.796429615982982,54.882331742952886,-1.4210854715202004e-14
CHI,135,3.729127307121229,12.538350555638942,67.5165856221992,0.0,-48.46590353430475,-5.001302714240331,13.695260176685252,10.812682842574961,54.8248002556745,0.0
CHI,150,3.7337611484934503,12.539831161836526,67.07779627345532,0.0,-48.59104361383742,-4.9737713875652165,13.82452284006818,10.822270975967722,54.43336739841857,7.105427357601002e-15
CHI,165,3.7282803616899507,12.490812803633471,66.61924418672201,0.0,-48.67693232493455,-4.972830470144386,13.907714373402019,10.830879436242114,53.92716836661063,-7.105427357601002e-15
PHI,-180,4.528437577979664,16.759543764976662,71.37930443859346,0.0,-47.349945011568614,-2.101024472586373,11.415515639124038,11.543592851633623,66.17542478815247,0.0
PHI,-165,4.256327919104121,16.20058708421037,72.16548574919031,0.0,-47.51039209175051,-2.486839845994029,11.41231230412631,11.676441977318873,65.71392309620545,0.0
PHI,-150,4.06600467921808,16.554692207341233,72.46240616975143,0.0,-47.53872233726762,-2.812900440741114,11.266590796069458,11.632278538238726,65.63034961261019,0.0
PHI,-135,3.9069671771572176,17.011297052714237,72.15730256587142,0.0,-47.574286434686755,-3.1948268110463562,11.183305951726634,11.470793718120028,64.96055321985642,0.0
PHI,-120,3.7587710747502965,16.986405884591964,70.70655599868914,0.0,-47.645976375088544,-3.674594474395261,11.290893694270416,11.14048398627683,62.56253978909485,7.105427357601002e-15
PHI,-105,3.661190419529828,15.940430559210032,68.82325178958132,0.0,-47.766703488150796,-4.181684734411752,11.539037141219396,10.806113834337555,58.821635521315585,0.0
PHI,-90,3.620586656523011,14.288938982420348,67.33736611395545,0.0,-47.86005400858818,-4.636917833406676,11.757964012507873,10.622159674703479,55.13004359811531,0.0
PHI,-75,3.6716883632410307,12.786519693887067,66.54833136199377,0.0,-47.93767518212038,-4.983248829447033,11.975668079921785,10.725710374689626,52.78699386216587,0.0
PHI,-60,3.890559643677572,12.383205296996628,66.66270422088579,0.0,-48.0618483926103,-5.019600235538963,12.266692870492971,11.269806301315608,53.39151970521931,7.105427357601002e-15
PHI,-45,4.459469279926599,13.937883662593896,67.32313499052076,0.0,-48.8286978462111,-4.360878749632275,13.145275712356582,12.391416369836959,58.06760341939142,0.0
PHI,-30,5.533564945800737,18.72434287608469,68.71871700859155,0.0,-49.50436109805497,-3.435924070236417,13.766664122889775,13.937852017371704,67.74085580244707,0.0
PHI,-15,7.2328563195550695,27.142993749157522,70.39807872309268,0.0,-50.15512073717677,-2.211243544289366,14.37604959734793,15.681403556513,82.46501766420006,0.0
PHI,0,9.536621031896555,39.008993362364194,72.01337951580771,0.0,-50.720179236445325,-0.8474637031819442,14.986714974623812,17.67209815234382,101.65016409740882,0.0
PHI,105,4.778030840420091,42.14665001670963,72.95596050403557,0.0,-48.10235446967131,-3.557734849384477,13.132715442029575,13.075223718382015,94.42849120252112,2.842170943040401e-14
PHI,120,4.742103660042265,34.42072240789713,72.44297783450125,0.0,-48.208469701743915,-3.647140538213695,13.127443823393946,12.691278769091426,85.5689162549684,0.0
PHI,135,4.6411764377274976,27.015246238919552,71.66674454044028,0.0,-47.91279152465337,-3.5046752425958876,12.65502206799004,12.38159677821379,76.94231929604189,-1.4210854715202004e-14
PHI,150,4.471972930038134,21.248892482672222,70.92840711742663,0.0,-47.52632491402774,-2.9940557807278267,12.05101079589743,11.958781679893054,70.1386843111719,0.0
PHI,165,4.517986362934393,18.257925284574824,70.58675430377596,0.0,-47.18375980986787,-2.2401490441075516,11.465872696596332,11.48811841074142,66.8927482046475,0.0
PSI,-105,8.886595317532917,34.21876165579031,72.81925308721723,0.0,-49.141615983263726,-3.0279943111552745,13.801768652299735,15.390484229732582,92.94725264815378,0.0
PSI,-90,5.73126202408794,22.704414428000014,70.06515982777674,0.0,-48.60380968181434,-4.606460725059458,13.07016144917046,13.251763240844692,71.61249056300605,0.0
PSI,-75,4.300111264150426,15.643778669150485,68.06518969756323,0.0,-48.23237056743721,-5.38653361141812,12.553718297395381,11.965125526382133,58.90901927578632,-7.105427357601002e-15
PSI,-60,3.805839986875293,12.748712483331163,66.79875218033354,0.0,-48.02270181680574,-5.320295235895025,12.217339269173237,11.13917969086725,53.36682655787971,0.0
PSI,-45,3.7025963191715863,12.700017095000723,66.5088480806139,0.0,-47.95848376494174,-4.841549955067537,11.97060248286627,10.75172979134691,52.833760048990115,0.0
PSI,-30,3.704682692909871,13.909527111214997,67.4031298174475,0.0,-48.02358646310962,-4.2959410850861675,11.794128450286461,10.740279365995699,55.23221988965874,-7.105427357601002e-15
