axis,angle_degrees,source_candidate_state_identity,source_archive_member,qm_absolute_energy_hartree,qm_relative_energy_kcal_mol,mm_frozen_absolute_energy_kcal_mol,mm_frozen_relative_energy_kcal_mol,frozen_geometry_residual_kcal_mol,mm_relaxed_absolute_energy_kcal_mol,mm_relaxed_relative_energy_kcal_mol,relaxed_profile_residual_kcal_mol,target_angle_after_minimization_degrees,minimization_convergence_status,run_directory
CHI,-180,ba08a7a7f9a13513d1f2,TSL_RSH_TORSIONDRIVE_BACKUP/results/CHI/candidates/ba08a7a7f9a13513d1f2/final.xyz,-1477.9408591079934,1.8361875979134048,69.27371932712869,0.6270040681196463,1.2091835298266176,53.668538227068154,1.0373859581861424,0.7988016397272624,-179.4868166017833,CONVERGED,03_PREFIT_BASELINE/relaxed-runs/CHI/-180
CHI,-165,1bd7080eebaf0d339e66,TSL_RSH_TORSIONDRIVE_BACKUP/results/CHI/candidates/1bd7080eebaf0d339e66/final.xyz,-1477.9415334957814,1.4130028718141248,69.22682526104364,0.5801100020346013,0.8328928697572309,53.7801730164248,1.1490207475427852,0.2639821242713396,-165.5617979229482,CONVERGED,03_PREFIT_BASELINE/relaxed-runs/CHI/-165
CHI,-150,dfa537b18dce072c8daf,TSL_RSH_TORSIONDRIVE_BACKUP/results/CHI/candidates/dfa537b18dce072c8daf/final.xyz,-1477.941557019549,1.3982414847839755,69.53475108911927,0.8880358301102262,0.5102056546603251,54.16768766271581,1.5365353938337947,-0.1382939090498192,-150.59831719423232,CONVERGED,03_PREFIT_BASELINE/relaxed-runs/CHI/-150
CHI,-135,d24d9aa996702014c248,TSL_RSH_TORSIONDRIVE_BACKUP/results/CHI/candidates/d24d9aa996702014c248/final.xyz,-1477.9410439769779,1.7201805587324959,69.9504226846044,1.3037074255953627,0.41647313314386736,54.5770897431352,1.945937474253185,-0.2257569155206891,-135.5695800928673,CONVERGED,03_PREFIT_BASELINE/relaxed-runs/CHI/-135
CHI,-120,86010686d1c3498cb40c,TSL_RSH_TORSIONDRIVE_BACKUP/results/CHI/candidates/86010686d1c3498cb40c/final.xyz,-1477.9404379850855,2.1004462123625456,70.14111404415345,1.494398785144412,0.6060474271938716,54.71922812503891,2.088075856156898,0.012370356205647415,-119.48245265031018,CONVERGED,03_PREFIT_BASELINE/relaxed-runs/CHI/-120
CHI,-105,3ed6d67ea18b0cf3896d,TSL_RSH_TORSIONDRIVE_BACKUP/results/CHI/candidates/3ed6d67ea18b0cf3896d/final.xyz,-1477.9401480148308,2.282405294363951,69.96895456764612,1.32223930863708,0.9601659857244442,54.43309183391135,1.8019395650293362,0.4804657293346146,-104.39721018580454,CONVERGED,03_PREFIT_BASELINE/relaxed-runs/CHI/-105
CHI,-90,7057d321a221db4e0535,TSL_RSH_TORSIONDRIVE_BACKUP/results/CHI/candidates/7057d321a221db4e0535/final.xyz,-1477.9402923294258,2.191846518770847,69.54539089262198,0.8986756336129389,1.293170885164372,53.85227861205874,1.2211263431767279,0.9707201755941193,-89.35989708327574,CONVERGED,03_PREFIT_BASELINE/relaxed-runs/CHI/-090
CHI,-75,56ffb37aca93d433d400,TSL_RSH_TORSIONDRIVE_BACKUP/results/CHI/candidates/56ffb37aca93d433d400/final.xyz,-1477.9406787920627,1.9493375527533943,69.11851913586632,0.47180387685727965,1.4775336759099673,53.25515379261927,0.624001523737256,1.3253360290161382,-74.38873361237674,CONVERGED,03_PREFIT_BASELINE/relaxed-runs/CHI/-075
CHI,-60,080db778a13d322b3cde,TSL_RSH_TORSIONDRIVE_BACKUP/results/CHI/candidates/080db778a13d322b3cde/final.xyz,-1477.9409832662677,1.7582771045303314,68.9342630875799,0.28754782857085104,1.4707292760145805,52.90788084989632,0.27672858101431075,1.4815485235160206,-59.46273296196497,CONVERGED,03_PREFIT_BASELINE/relaxed-runs/CHI/-060
CHI,-45,187d13f913eac35533db,TSL_RSH_TORSIONDRIVE_BACKUP/results/CHI/candidates/187d13f913eac35533db/final.xyz,-1477.9409936799948,1.7517423921353694,69.06277771748718,0.4160624584781374,1.3356799337181826,52.90467014691467,0.27351787803265637,1.478224514102713,-45.53218089838048,CONVERGED,03_PREFIT_BASELINE/relaxed-runs/CHI/-045
CHI,-30,d91d2228afc45675bb8f,TSL_RSH_TORSIONDRIVE_BACKUP/results/CHI/candidates/d91d2228afc45675bb8f/final.xyz,-1477.9408001543177,1.8731815879809242,69.27345157007463,0.626736311065585,1.2464452769508654,53.14880575779983,0.5176534889178157,1.3555280990631084,-30.564860334127346,CONVERGED,03_PREFIT_BASELINE/relaxed-runs/CHI/-030
CHI,-15,78ce1b628974546ce51d,TSL_RSH_TORSIONDRIVE_BACKUP/results/CHI/candidates/78ce1b628974546ce51d/final.xyz,-1477.9407844319912,1.8830474967830666,69.36775353099016,0.721038271981115,1.162009224802432,53.403798057910976,0.7726457890289637,1.1104017077541029,-15.53709437700943,CONVERGED,03_PREFIT_BASELINE/relaxed-runs/CHI/-015
CHI,0,6d139c9f39a07b6a37ba,TSL_RSH_TORSIONDRIVE_BACKUP/results/CHI/candidates/6d139c9f39a07b6a37ba/final.xyz,-1477.9413349083907,1.53761834092137,69.2281954047637,0.5814801457546537,0.9561381951697285,53.42550345859051,0.7943511897085003,0.7432671512128697,0.5296736144224939,CONVERGED,03_PREFIT_BASELINE/relaxed-runs/CHI/+000
CHI,15,a931964e5b4679e1db1a,TSL_RSH_TORSIONDRIVE_BACKUP/results/CHI/candidates/a931964e5b4679e1db1a/final.xyz,-1477.9424306894537,0.8500053424677801,68.92211121152853,0.2753959525194887,0.5746093899891775,53.17274182208861,0.5415895532065989,0.3084157892611813,15.573367509154606,CONVERGED,03_PREFIT_BASELINE/relaxed-runs/CHI/+015
CHI,30,d6d25499326fe479409f,TSL_RSH_TORSIONDRIVE_BACKUP/results/CHI/candidates/d6d25499326fe479409f/final.xyz,-1477.9434698591697,0.1979165005694423,68.64671525900904,0.0,0.19791650061961263,52.830867992761995,0.19971572387998293,-0.0017992233105406374,30.567219603854454,CONVERGED,03_PREFIT_BASELINE/relaxed-runs/CHI/+030
CHI,45,3b720e68df21b2650818,TSL_RSH_TORSIONDRIVE_BACKUP/results/CHI/candidates/3b720e68df21b2650818/final.xyz,-1477.9437852591896,0.0,68.66518048724106,0.01846522823201724,-0.01846522823201724,52.63115226888201,0.0,0.0,45.51360918622238,CONVERGED,03_PREFIT_BASELINE/relaxed-runs/CHI/+045
CHI,60,3f92bc1cc9bd4228f7e4,TSL_RSH_TORSIONDRIVE_BACKUP/results/CHI/candidates/3f92bc1cc9bd4228f7e4/final.xyz,-1477.9432654507455,0.32618472333560894,69.02043713142096,0.37372187241192023,-0.04753714911851148,52.728212438393825,0.0970601695118134,0.22912455382379554,59.438505479678824,CONVERGED,03_PREFIT_BASELINE/relaxed-runs/CHI/+060
