evaluation_id,purpose,LOCAL_TYPE_1,LOCAL_TYPE_12,LOCAL_TYPE_17,LOCAL_TYPE_2,LOCAL_TYPE_30,LOCAL_TYPE_7,PHI_N1_PHASE0,PHI_N2_PHASE180,equal_surface_profile_mse,regularization,objective
EVAL_00001,optimization,0.20460606269354412,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.0,0.0,7.1933842452377945,0.0,7.1933842452377945
EVAL_00002,optimization,0.20660606269354412,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.0,0.0,7.194597173955543,1.600000000000003e-07,7.194597333955543
EVAL_00003,optimization,0.20460606269354412,0.002,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.0,0.0,7.208533614616496,1.6e-07,7.208533774616496
EVAL_00004,optimization,0.20460606269354412,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.002,0.0,7.193294493810821,4e-08,7.193294533810821
EVAL_00005,optimization,0.20460606269354412,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.0,0.002,7.193301576504996,4e-08,7.193301616504995
EVAL_00006,optimization,0.0,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.0448557134866689,0.04131436639953629,7.186009215589735,0.001711734754672113,7.187720950344407
EVAL_00007,optimization,0.002,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.0448557134866689,0.04131436639953629,7.186317361611373,0.0016791577846411458,7.187996519396014
EVAL_00008,optimization,0.0,0.002,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.0448557134866689,0.04131436639953629,7.19794628056719,0.0017118947546721128,7.199658175321862
EVAL_00009,optimization,0.0,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.0468557134866689,0.04131436639953629,7.1859148050989745,0.0017135689832115798,7.187628374082186
EVAL_00010,optimization,0.0,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.0448557134866689,0.04331436639953629,7.186032907440933,0.0017134273293280943,7.187746334770261
EVAL_00011,optimization,0.0,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.04653391609295875,0.040924234273324145,7.185938948543668,0.001712947618616225,7.187651896162284
EVAL_00012,optimization,0.002,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.04653391609295875,0.040924234273324145,7.186235463692904,0.0016803706485852576,7.187915834341489
EVAL_00013,optimization,0.0,0.002,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.04653391609295875,0.040924234273324145,7.197872864610115,0.0017131076186162248,7.199585972228731
EVAL_00014,optimization,0.0,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.048533916092958755,0.040924234273324145,7.1857369565954485,0.001714848975259943,7.187451805570708
EVAL_00015,optimization,0.0,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.04653391609295875,0.04292423427332415,7.1859447444645035,0.0017146245879871578,7.187659369052491
EVAL_00016,optimization,0.0,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.053246726518118175,0.03936370576847556,7.185487805402778,0.001718392787805404,7.187206198190584
EVAL_00017,optimization,0.002,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.053246726518118175,0.03936370576847556,7.185923633338412,0.001685815817774437,7.187609449156186
EVAL_00018,optimization,0.0,0.002,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.053246726518118175,0.03936370576847556,7.197533370785345,0.0017185527878054042,7.19925192357315
EVAL_00019,optimization,0.0,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.055246726518118176,0.03936370576847556,7.185500580436887,0.0017205626568661287,7.187221143093753
EVAL_00020,optimization,0.0,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.053246726518118175,0.04136370576847556,7.1856089163923,0.001720007336036143,7.187328923728336
EVAL_00021,optimization,0.0,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.0571589524678007,0.036213401752772434,7.185485612507283,0.0017203311987754202,7.187205943706059
EVAL_00022,optimization,0.002,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.0571589524678007,0.036213401752772434,7.185695726048334,0.0016877542287444531,7.187383480277079
EVAL_00023,optimization,0.0,0.002,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.0571589524678007,0.036213401752772434,7.197348626689872,0.0017204911987754202,7.199069117888648
EVAL_00024,optimization,0.0,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.0591589524678007,0.036213401752772434,7.185369055549842,0.0017226575568741324,7.187091713106716
EVAL_00025,optimization,0.0,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.0571589524678007,0.038213401752772436,7.185474137973969,0.001721819734845531,7.1871959577088145
EVAL_00026,optimization,0.0,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.0728078562665308,0.02361218568995993,7.184552091104824,0.00173313082811003,7.186285221932934
EVAL_00027,optimization,0.002,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.0728078562665308,0.02361218568995993,7.184705133484421,0.0017005538580790627,7.1864056873425
EVAL_00028,optimization,0.0,0.002,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.0728078562665308,0.02361218568995993,7.196417907594847,0.00173329082811003,7.1981511984229565
EVAL_00029,optimization,0.0,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.0748078562665308,0.02361218568995993,7.1844553082193405,0.0017360831423606912,7.186191391361701
EVAL_00030,optimization,0.0,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.0728078562665308,0.025612185689959932,7.184499435195028,0.0017341153155376282,7.186233550510566
EVAL_00031,optimization,0.0,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.16668765246883627,0.0,7.179840798462517,0.0019523933704938957,7.181793191833011
EVAL_00032,optimization,0.002,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.16668765246883627,0.0,7.180028638285182,0.0019198164004629284,7.181948454685645
