ARTIFACT_ID,MOLECULE_STATE,GEOMETRY_ID,GEOMETRY_SHA256,ATOM_COUNT,ATOM_ORDER_ID,FORMAL_CHARGE,MULTIPLICITY,QM_METHOD,BASIS,DISPERSION,ENERGY_PRESENT,ELECTRONIC_GRADIENT_PRESENT,D3_GRADIENT_PRESENT,TOTAL_GRADIENT_PRESENT,FORCE_PRESENT,SOURCE_PATH,SOURCE_COMMIT,SOURCE_CHECKSUM,SOFTWARE_PROVENANCE,HARDWARE_PROVENANCE,AUDIT_DEPENDENCIES,COMPLETENESS_CLASS,TRUST_CLASS,REASON,PHYSICAL_ROLE,DOMAIN_CLASS,RELATIVE_ENERGY_KCAL_MOL,REFERENCE_PARTITION
TSLRSH-GPU-001,TSL_RSH_NEUTRAL_SINGLET,TSLRSH-GPU-001,ae84db0c18745dffff385edfa193d388ea972e2937b84048c485a52e8274ff6a,56,TSL_RSH_56_V1:db1b8768589b9b4ad8b19965105eda8dfd445b94e9ce0e4271e1bf339b4645c8,0,1,PBE,def2-SVP;AUX=def2-SVP-JKFIT,D3(BJ);s6=1.0;s8=0.7875;a1=0.4289;a2=4.4407;alp=14;s9=0,True,True,True,True,True,analysis/mettl7-phase2/execution-unit-05O/gpu-qm-campaign/completed-batch-60/gpu_qm_results/TSLRSH-GPU-001,e4679165ac6b9f077548c0d4ae0860ded4c7c726,c8de6e112add32b5448db520dc8f70b3356c67e6ffd394b897310331b461fd16,PySCF 2.14.0; GPU4PySCF 1.8.0; simple-dftd3 1.5.0; Python 3.13.15; CuPy 13.4.1,b'NVIDIA A100-SXM4-80GB',checksum deletion bypass: reverified present+hash; malformed energy coercion: typed finite JSON checked; noncanonical identity: geometry/result hashes used; atlas leakage: no atlas artifact consumed; Amber/ZVZB/electronic-state/mutable-state defects: no dependency,REPRODUCIBLE_COMPLETE,TRUSTED,"All nested checksums, geometry/order, component decomposition, exact force=-gradient identity, SCF convergence, and frozen software/GPU protocol reverified without QM recomputation.",TORSIONAL_TRANSITION,EXTENDED_BOUND_DOMAIN,51.153165190860,within-MIN01; zero=MIN01 lowest verified GPU60 total energy -1477.9418040284438121 Ha
TSLRSH-GPU-002,TSL_RSH_NEUTRAL_SINGLET,TSLRSH-GPU-002,74ef58a5d34ad4f11f7a0856ca39a35e3bcca8bf3bd8b80786c95401c0c8d56a,56,TSL_RSH_56_V1:db1b8768589b9b4ad8b19965105eda8dfd445b94e9ce0e4271e1bf339b4645c8,0,1,PBE,def2-SVP;AUX=def2-SVP-JKFIT,D3(BJ);s6=1.0;s8=0.7875;a1=0.4289;a2=4.4407;alp=14;s9=0,True,True,True,True,True,analysis/mettl7-phase2/execution-unit-05O/gpu-qm-campaign/completed-batch-60/gpu_qm_results/TSLRSH-GPU-002,e4679165ac6b9f077548c0d4ae0860ded4c7c726,edf953707c5c5f6f0d4221e80f8f080d4950f7c27e015b880dfd4cd1d698454d,PySCF 2.14.0; GPU4PySCF 1.8.0; simple-dftd3 1.5.0; Python 3.13.15; CuPy 13.4.1,b'NVIDIA A100-SXM4-80GB',checksum deletion bypass: reverified present+hash; malformed energy coercion: typed finite JSON checked; noncanonical identity: geometry/result hashes used; atlas leakage: no atlas artifact consumed; Amber/ZVZB/electronic-state/mutable-state defects: no dependency,REPRODUCIBLE_COMPLETE,TRUSTED,"All nested checksums, geometry/order, component decomposition, exact force=-gradient identity, SCF convergence, and frozen software/GPU protocol reverified without QM recomputation.",HIGH_STRAIN_STRESS_TEST,STRESS_TEST_ONLY,173.048981240333,within-MIN01; zero=MIN01 lowest verified GPU60 total energy -1477.9418040284438121 Ha
TSLRSH-GPU-003,TSL_RSH_NEUTRAL_SINGLET,TSLRSH-GPU-003,2fa2c4f60bd61c8a827266e14a999bfad450e55a329294a7a7d7f86797fd707a,56,TSL_RSH_56_V1:db1b8768589b9b4ad8b19965105eda8dfd445b94e9ce0e4271e1bf339b4645c8,0,1,PBE,def2-SVP;AUX=def2-SVP-JKFIT,D3(BJ);s6=1.0;s8=0.7875;a1=0.4289;a2=4.4407;alp=14;s9=0,True,True,True,True,True,analysis/mettl7-phase2/execution-unit-05O/gpu-qm-campaign/completed-batch-60/gpu_qm_results/TSLRSH-GPU-003,e4679165ac6b9f077548c0d4ae0860ded4c7c726,7cdf2fd1a1d4253f6f3d1a53d5892a825d3bcd0de73f625dab68c8bf14b66cca,PySCF 2.14.0; GPU4PySCF 1.8.0; simple-dftd3 1.5.0; Python 3.13.15; CuPy 13.4.1,b'NVIDIA A100-SXM4-80GB',checksum deletion bypass: reverified present+hash; malformed energy coercion: typed finite JSON checked; noncanonical identity: geometry/result hashes used; atlas leakage: no atlas artifact consumed; Amber/ZVZB/electronic-state/mutable-state defects: no dependency,REPRODUCIBLE_COMPLETE,TRUSTED,"All nested checksums, geometry/order, component decomposition, exact force=-gradient identity, SCF convergence, and frozen software/GPU protocol reverified without QM recomputation.",HIGH_STRAIN_STRESS_TEST,STRESS_TEST_ONLY,141.217908960213,within-MIN01; zero=MIN01 lowest verified GPU60 total energy -1477.9418040284438121 Ha
TSLRSH-GPU-004,TSL_RSH_NEUTRAL_SINGLET,TSLRSH-GPU-004,ae9b4b8a92d591c00f6e80226c717d7f6d4bf906083ed4ba4a6b5e016702b735,56,TSL_RSH_56_V1:db1b8768589b9b4ad8b19965105eda8dfd445b94e9ce0e4271e1bf339b4645c8,0,1,PBE,def2-SVP;AUX=def2-SVP-JKFIT,D3(BJ);s6=1.0;s8=0.7875;a1=0.4289;a2=4.4407;alp=14;s9=0,True,True,True,True,True,analysis/mettl7-phase2/execution-unit-05O/gpu-qm-campaign/completed-batch-60/gpu_qm_results/TSLRSH-GPU-004,e4679165ac6b9f077548c0d4ae0860ded4c7c726,18886c337af5adbd453ca55ebfc2bae307ffcdafea41b89b0b09a525a4e79162,PySCF 2.14.0; GPU4PySCF 1.8.0; simple-dftd3 1.5.0; Python 3.13.15; CuPy 13.4.1,b'NVIDIA A100-SXM4-80GB',checksum deletion bypass: reverified present+hash; malformed energy coercion: typed finite JSON checked; noncanonical identity: geometry/result hashes used; atlas leakage: no atlas artifact consumed; Amber/ZVZB/electronic-state/mutable-state defects: no dependency,REPRODUCIBLE_COMPLETE,TRUSTED,"All nested checksums, geometry/order, component decomposition, exact force=-gradient identity, SCF convergence, and frozen software/GPU protocol reverified without QM recomputation.",TORSIONAL_TRANSITION,EXTENDED_BOUND_DOMAIN,10.135929755768,within-MIN01; zero=MIN01 lowest verified GPU60 total energy -1477.9418040284438121 Ha
TSLRSH-GPU-005,TSL_RSH_NEUTRAL_SINGLET,TSLRSH-GPU-005,8ea6d745cde0c091bc20605bb122de6cce66b3b262c513f1caa9b5a67f73efa9,56,TSL_RSH_56_V1:db1b8768589b9b4ad8b19965105eda8dfd445b94e9ce0e4271e1bf339b4645c8,0,1,PBE,def2-SVP;AUX=def2-SVP-JKFIT,D3(BJ);s6=1.0;s8=0.7875;a1=0.4289;a2=4.4407;alp=14;s9=0,True,True,True,True,True,analysis/mettl7-phase2/execution-unit-05O/gpu-qm-campaign/completed-batch-60/gpu_qm_results/TSLRSH-GPU-005,e4679165ac6b9f077548c0d4ae0860ded4c7c726,72f27e5580baa3db26bd116d466d99eb98acfc0ba6a176f387c5b3e70affeed8,PySCF 2.14.0; GPU4PySCF 1.8.0; simple-dftd3 1.5.0; Python 3.13.15; CuPy 13.4.1,b'NVIDIA A100-SXM4-80GB',checksum deletion bypass: reverified present+hash; malformed energy coercion: typed finite JSON checked; noncanonical identity: geometry/result hashes used; atlas leakage: no atlas artifact consumed; Amber/ZVZB/electronic-state/mutable-state defects: no dependency,REPRODUCIBLE_COMPLETE,TRUSTED,"All nested checksums, geometry/order, component decomposition, exact force=-gradient identity, SCF convergence, and frozen software/GPU protocol reverified without QM recomputation.",HIGH_STRAIN_STRESS_TEST,STRESS_TEST_ONLY,147.541613240564,within-MIN01; zero=MIN01 lowest verified GPU60 total energy -1477.9418040284438121 Ha
TSLRSH-GPU-006,TSL_RSH_NEUTRAL_SINGLET,TSLRSH-GPU-006,f385ea2cce36f265e3201df0a0f9daf4827912f2c9672a4455ac7142abbab306,56,TSL_RSH_56_V1:db1b8768589b9b4ad8b19965105eda8dfd445b94e9ce0e4271e1bf339b4645c8,0,1,PBE,def2-SVP;AUX=def2-SVP-JKFIT,D3(BJ);s6=1.0;s8=0.7875;a1=0.4289;a2=4.4407;alp=14;s9=0,True,True,True,True,True,analysis/mettl7-phase2/execution-unit-05O/gpu-qm-campaign/completed-batch-60/gpu_qm_results/TSLRSH-GPU-006,e4679165ac6b9f077548c0d4ae0860ded4c7c726,04892f9e5d24a17f37c1668deb3274afed8e9ae74c450e44d97f0ba901d9b892,PySCF 2.14.0; GPU4PySCF 1.8.0; simple-dftd3 1.5.0; Python 3.13.15; CuPy 13.4.1,b'NVIDIA A100-SXM4-80GB',checksum deletion bypass: reverified present+hash; malformed energy coercion: typed finite JSON checked; noncanonical identity: geometry/result hashes used; atlas leakage: no atlas artifact consumed; Amber/ZVZB/electronic-state/mutable-state defects: no dependency,REPRODUCIBLE_COMPLETE,TRUSTED,"All nested checksums, geometry/order, component decomposition, exact force=-gradient identity, SCF convergence, and frozen software/GPU protocol reverified without QM recomputation.",REPULSIVE_STABILITY,STABILITY_GUARD,27.777030384210,within-MIN01; zero=MIN01 lowest verified GPU60 total energy -1477.9418040284438121 Ha
TSLRSH-GPU-007,TSL_RSH_NEUTRAL_SINGLET,TSLRSH-GPU-007,aaf521feae08d5c1e579af84d0a757f9c5a1d590358141dce55c70bd070a10a9,56,TSL_RSH_56_V1:db1b8768589b9b4ad8b19965105eda8dfd445b94e9ce0e4271e1bf339b4645c8,0,1,PBE,def2-SVP;AUX=def2-SVP-JKFIT,D3(BJ);s6=1.0;s8=0.7875;a1=0.4289;a2=4.4407;alp=14;s9=0,True,True,True,True,True,analysis/mettl7-phase2/execution-unit-05O/gpu-qm-campaign/completed-batch-60/gpu_qm_results/TSLRSH-GPU-007,e4679165ac6b9f077548c0d4ae0860ded4c7c726,595ce94e919d2199b149412339d41c0a30fdbce7eb1a5c8e885adba6f096c2f8,PySCF 2.14.0; GPU4PySCF 1.8.0; simple-dftd3 1.5.0; Python 3.13.15; CuPy 13.4.1,b'NVIDIA A100-SXM4-80GB',checksum deletion bypass: reverified present+hash; malformed energy coercion: typed finite JSON checked; noncanonical identity: geometry/result hashes used; atlas leakage: no atlas artifact consumed; Amber/ZVZB/electronic-state/mutable-state defects: no dependency,REPRODUCIBLE_COMPLETE,TRUSTED,"All nested checksums, geometry/order, component decomposition, exact force=-gradient identity, SCF convergence, and frozen software/GPU protocol reverified without QM recomputation.",LOW_ENERGY_CONFORMER,CORE_EQUILIBRIUM,9.064768372132,within-MIN01; zero=MIN01 lowest verified GPU60 total energy -1477.9418040284438121 Ha
TSLRSH-GPU-008,TSL_RSH_NEUTRAL_SINGLET,TSLRSH-GPU-008,1b4dc6839b1d71a6ee4baae871b72a6fdacdd0fa611ea42de1a2e87287ef554d,56,TSL_RSH_56_V1:db1b8768589b9b4ad8b19965105eda8dfd445b94e9ce0e4271e1bf339b4645c8,0,1,PBE,def2-SVP;AUX=def2-SVP-JKFIT,D3(BJ);s6=1.0;s8=0.7875;a1=0.4289;a2=4.4407;alp=14;s9=0,True,True,True,True,True,analysis/mettl7-phase2/execution-unit-05O/gpu-qm-campaign/completed-batch-60/gpu_qm_results/TSLRSH-GPU-008,e4679165ac6b9f077548c0d4ae0860ded4c7c726,2ee067701e12ceb951a2e0642a268e3abf755d4cdb6eb512e40625a0da7683e9,PySCF 2.14.0; GPU4PySCF 1.8.0; simple-dftd3 1.5.0; Python 3.13.15; CuPy 13.4.1,b'NVIDIA A100-SXM4-80GB',checksum deletion bypass: reverified present+hash; malformed energy coercion: typed finite JSON checked; noncanonical identity: geometry/result hashes used; atlas leakage: no atlas artifact consumed; Amber/ZVZB/electronic-state/mutable-state defects: no dependency,REPRODUCIBLE_COMPLETE,TRUSTED,"All nested checksums, geometry/order, component decomposition, exact force=-gradient identity, SCF convergence, and frozen software/GPU protocol reverified without QM recomputation.",TORSIONAL_TRANSITION,EXTENDED_BOUND_DOMAIN,25.743720195322,within-MIN01; zero=MIN01 lowest verified GPU60 total energy -1477.9418040284438121 Ha
TSLRSH-GPU-009,TSL_RSH_NEUTRAL_SINGLET,TSLRSH-GPU-009,bb5c5513f3e7c8db196c8ab3c7542d5b0bc82d053aa122e4932145f2867d8c23,56,TSL_RSH_56_V1:db1b8768589b9b4ad8b19965105eda8dfd445b94e9ce0e4271e1bf339b4645c8,0,1,PBE,def2-SVP;AUX=def2-SVP-JKFIT,D3(BJ);s6=1.0;s8=0.7875;a1=0.4289;a2=4.4407;alp=14;s9=0,True,True,True,True,True,analysis/mettl7-phase2/execution-unit-05O/gpu-qm-campaign/completed-batch-60/gpu_qm_results/TSLRSH-GPU-009,e4679165ac6b9f077548c0d4ae0860ded4c7c726,b33d2fc90d15c370af183556e1052e84546999fbdcc3df3ce511cda2fcdf52ae,PySCF 2.14.0; GPU4PySCF 1.8.0; simple-dftd3 1.5.0; Python 3.13.15; CuPy 13.4.1,b'NVIDIA A100-SXM4-80GB',checksum deletion bypass: reverified present+hash; malformed energy coercion: typed finite JSON checked; noncanonical identity: geometry/result hashes used; atlas leakage: no atlas artifact consumed; Amber/ZVZB/electronic-state/mutable-state defects: no dependency,REPRODUCIBLE_COMPLETE,TRUSTED,"All nested checksums, geometry/order, component decomposition, exact force=-gradient identity, SCF convergence, and frozen software/GPU protocol reverified without QM recomputation.",HIGH_STRAIN_STRESS_TEST,STRESS_TEST_ONLY,63.444448449101,within-MIN01; zero=MIN01 lowest verified GPU60 total energy -1477.9418040284438121 Ha
TSLRSH-GPU-010,TSL_RSH_NEUTRAL_SINGLET,TSLRSH-GPU-010,47bdf017b9b283de3a28322690bed718f4190a433c2e6b36cac798c890e0f646,56,TSL_RSH_56_V1:db1b8768589b9b4ad8b19965105eda8dfd445b94e9ce0e4271e1bf339b4645c8,0,1,PBE,def2-SVP;AUX=def2-SVP-JKFIT,D3(BJ);s6=1.0;s8=0.7875;a1=0.4289;a2=4.4407;alp=14;s9=0,True,True,True,True,True,analysis/mettl7-phase2/execution-unit-05O/gpu-qm-campaign/completed-batch-60/gpu_qm_results/TSLRSH-GPU-010,e4679165ac6b9f077548c0d4ae0860ded4c7c726,e5442e5bd178f41ac501532d669eb8712fb9b197eddbd1d781186e3fa7a5d6a2,PySCF 2.14.0; GPU4PySCF 1.8.0; simple-dftd3 1.5.0; Python 3.13.15; CuPy 13.4.1,b'NVIDIA A100-SXM4-80GB',checksum deletion bypass: reverified present+hash; malformed energy coercion: typed finite JSON checked; noncanonical identity: geometry/result hashes used; atlas leakage: no atlas artifact consumed; Amber/ZVZB/electronic-state/mutable-state defects: no dependency,REPRODUCIBLE_COMPLETE,TRUSTED,"All nested checksums, geometry/order, component decomposition, exact force=-gradient identity, SCF convergence, and frozen software/GPU protocol reverified without QM recomputation.",SULFUR_ORIENTATION,EXTENDED_BOUND_DOMAIN,0.390147165006,within-MIN01; zero=MIN01 lowest verified GPU60 total energy -1477.9418040284438121 Ha
