table,run_id,receipt_expected,pdbqt_models,emitted_rows,status,affected_artifact,retrospective_impact,impact_reason
analysis/mettl7/mechanistic_matrix_v2/interaction_validation_v2/athena_targeted_pose_profiles.csv,B0__TSL_RSH__s1,9,8,8,MISMATCH,analysis/mettl7/mechanistic_matrix_v2/interaction_validation_v2/athena_targeted_pose_profiles.csv,REQUIRES_RECOMPUTATION,pose evidence rows UNAFFECTED; receipt/completeness assertion defective
analysis/mettl7/mechanistic_matrix_v2/postprocessing_stage_a/METTL7_V2_POSE_LEVEL_INTERACTIONS.csv,A1__PRASUGREL_RR_RS_MINUS__s42,9,8,8,MISMATCH,analysis/mettl7/mechanistic_matrix_v2/postprocessing_stage_a/METTL7_V2_POSE_LEVEL_INTERACTIONS.csv,REQUIRES_RECOMPUTATION,pose evidence rows UNAFFECTED; receipt/completeness assertion defective
analysis/mettl7/mechanistic_matrix_v2/postprocessing_stage_a/METTL7_V2_POSE_LEVEL_INTERACTIONS.csv,A1__PRASUGREL_RS_RSH__s1,9,8,8,MISMATCH,analysis/mettl7/mechanistic_matrix_v2/postprocessing_stage_a/METTL7_V2_POSE_LEVEL_INTERACTIONS.csv,REQUIRES_RECOMPUTATION,pose evidence rows UNAFFECTED; receipt/completeness assertion defective
analysis/mettl7/mechanistic_matrix_v2/postprocessing_stage_a/METTL7_V2_POSE_LEVEL_INTERACTIONS.csv,A1__PRASUGREL_SR_RSH__s42,9,8,8,MISMATCH,analysis/mettl7/mechanistic_matrix_v2/postprocessing_stage_a/METTL7_V2_POSE_LEVEL_INTERACTIONS.csv,REQUIRES_RECOMPUTATION,pose evidence rows UNAFFECTED; receipt/completeness assertion defective
analysis/mettl7/mechanistic_matrix_v2/postprocessing_stage_a/METTL7_V2_POSE_LEVEL_INTERACTIONS.csv,A2__L_CYSTEINE_RS_MINUS__s42,9,8,8,MISMATCH,analysis/mettl7/mechanistic_matrix_v2/postprocessing_stage_a/METTL7_V2_POSE_LEVEL_INTERACTIONS.csv,REQUIRES_RECOMPUTATION,pose evidence rows UNAFFECTED; receipt/completeness assertion defective
analysis/mettl7/mechanistic_matrix_v2/postprocessing_stage_a/METTL7_V2_POSE_LEVEL_INTERACTIONS.csv,A3__BI187004_TAUTOMER_1_N3__s42,9,8,8,MISMATCH,analysis/mettl7/mechanistic_matrix_v2/postprocessing_stage_a/METTL7_V2_POSE_LEVEL_INTERACTIONS.csv,REQUIRES_RECOMPUTATION,pose evidence rows UNAFFECTED; receipt/completeness assertion defective
analysis/mettl7/mechanistic_matrix_v2/postprocessing_stage_a/METTL7_V2_POSE_LEVEL_INTERACTIONS.csv,A3__NETARSUDIL_NEUTRAL__s7,9,8,8,MISMATCH,analysis/mettl7/mechanistic_matrix_v2/postprocessing_stage_a/METTL7_V2_POSE_LEVEL_INTERACTIONS.csv,REQUIRES_RECOMPUTATION,pose evidence rows UNAFFECTED; receipt/completeness assertion defective
analysis/mettl7/mechanistic_matrix_v2/postprocessing_stage_a/METTL7_V2_POSE_LEVEL_INTERACTIONS.csv,A4__BETA_D_THIOGLUCOSE_RSH__s7,9,8,8,MISMATCH,analysis/mettl7/mechanistic_matrix_v2/postprocessing_stage_a/METTL7_V2_POSE_LEVEL_INTERACTIONS.csv,REQUIRES_RECOMPUTATION,pose evidence rows UNAFFECTED; receipt/completeness assertion defective
analysis/mettl7/mechanistic_matrix_v2/postprocessing_stage_a/METTL7_V2_POSE_LEVEL_INTERACTIONS.csv,A4__DTT_MONOTHIOLATE__s7,9,8,8,MISMATCH,analysis/mettl7/mechanistic_matrix_v2/postprocessing_stage_a/METTL7_V2_POSE_LEVEL_INTERACTIONS.csv,REQUIRES_RECOMPUTATION,pose evidence rows UNAFFECTED; receipt/completeness assertion defective
analysis/mettl7/mechanistic_matrix_v2/postprocessing_stage_a/METTL7_V2_POSE_LEVEL_INTERACTIONS.csv,A4__DTT_RSH2__s7,9,8,8,MISMATCH,analysis/mettl7/mechanistic_matrix_v2/postprocessing_stage_a/METTL7_V2_POSE_LEVEL_INTERACTIONS.csv,REQUIRES_RECOMPUTATION,pose evidence rows UNAFFECTED; receipt/completeness assertion defective
analysis/mettl7/mechanistic_matrix_v2/postprocessing_stage_a/METTL7_V2_POSE_LEVEL_INTERACTIONS.csv,A4__PRASUGREL_RR_RS_MINUS__s42,9,8,8,MISMATCH,analysis/mettl7/mechanistic_matrix_v2/postprocessing_stage_a/METTL7_V2_POSE_LEVEL_INTERACTIONS.csv,REQUIRES_RECOMPUTATION,pose evidence rows UNAFFECTED; receipt/completeness assertion defective
