run_id,classification,old_receipt_path,old_receipt_sha256,new_receipt_path,new_receipt_sha256,old_recorded_count,coordinate_model_count,profiled_count,emitted_count,poses_sha256,redocking_performed,source_table
A0_SAH__TSL_RS_MINUS__s42,METADATA_CORRECTED,analysis/mettl7/mettl7_sam_sah_routing_v1/production/runs/A0_SAH__TSL_RS_MINUS__s42/receipt.json,2cb9b4d9f28946252a8cbbf76ba713cef8717ba830e9654bc4f753eb6c85c7b3,analysis/mettl7/athena_pose_completeness_closure/historical_receipt_recomputation_v2/A0_SAH__TSL_RS_MINUS__s42/receipt.coordinate-authoritative.v2.json,4d9a3184ff5a134b2e128e21da464ce827c512af506c9204cab8b4ee974d87e9,9,8,8,8,57c8b5cf0ed48a11ec54c001ed77bda13a959a35205448b8a5d89f2d1c009ae2,false,analysis/mettl7/mettl7_sam_sah_routing_v1/SAH_POSE_LEVEL_ATHENA.csv
A0__MCV1_BRIDGE_O_TO_S__s42,METADATA_CORRECTED,analysis/mettl7/mettl7b_matched_contrast_v1/production/runs/A0__MCV1_BRIDGE_O_TO_S__s42/receipt.json,c09628a30285929170bdb6c7e92ef1c0b0af997459e0d3627d22440018f0f4f6,analysis/mettl7/athena_pose_completeness_closure/historical_receipt_recomputation_v2/A0__MCV1_BRIDGE_O_TO_S__s42/receipt.coordinate-authoritative.v2.json,93c314e35e74596a8ccb9498724ccb998ca41b19cfca61fc075305907742ac9a,9,8,8,8,a15e1d91e13940b7115ccc38c0f3911336f51d2954a7d56356a942a2e6c81647,false,analysis/mettl7/mettl7b_matched_contrast_v1/POSE_LEVEL_ATHENA.csv
A0__MCV1_CORE_N_DEMETHYL_1__s42,METADATA_CORRECTED,analysis/mettl7/mettl7b_matched_contrast_v1/production/runs/A0__MCV1_CORE_N_DEMETHYL_1__s42/receipt.json,f073cee02f2be42023855bbc5d1e4ec2b23b2db1bf6a3361ecc7e02557e3ce61,analysis/mettl7/athena_pose_completeness_closure/historical_receipt_recomputation_v2/A0__MCV1_CORE_N_DEMETHYL_1__s42/receipt.coordinate-authoritative.v2.json,828784a1f9077dd92772ccf9404990e8e4d461373e719d8c8abdb989d5bc12c1,9,8,8,8,c0bb4346dfc42a339e4e83d8959d482f02bc7a90aed9659bde5b7e806afd35a3,false,analysis/mettl7/mettl7b_matched_contrast_v1/POSE_LEVEL_ATHENA.csv
A0__TWOEDIT_S06_C22_HYDROXYMETHYL__s7,METADATA_CORRECTED,analysis/mettl7/mettl7b_two_edit_matched_contrast_v1/production/runs/A0__TWOEDIT_S06_C22_HYDROXYMETHYL__s7/receipt.json,e056bf55f0945ff2a4081625cfd19b688b8d6f7d87c950b25f7212a83be5b1e3,analysis/mettl7/athena_pose_completeness_closure/historical_receipt_recomputation_v2/A0__TWOEDIT_S06_C22_HYDROXYMETHYL__s7/receipt.coordinate-authoritative.v2.json,008fc576f3f10ac81511b7a015b2d36bc55ba949d7f7f0798414d813da4c198f,9,8,8,8,a4f2e90f882f23b4aeb815409abe242b0df3372dec463dad76fa1dcfcdc53619,false,analysis/mettl7/mettl7b_two_edit_matched_contrast_v1/POSE_LEVEL_ATHENA.csv
A1__PRASUGREL_RR_RS_MINUS__s42,METADATA_CORRECTED,analysis/mettl7/mechanistic_matrix_v2/production/runs/A1__PRASUGREL_RR_RS_MINUS__s42/receipt.json,1f6ea1313de21cc385fc76bd1029947476d17dafee528750ea2debda0e36d15b,analysis/mettl7/athena_pose_completeness_closure/historical_receipt_recomputation_v2/A1__PRASUGREL_RR_RS_MINUS__s42/receipt.coordinate-authoritative.v2.json,146ca500184965b5d698aaf157e8e4bd749d4a56f63e7c5307659992b3a5c6c0,9,8,8,8,937c57cf3b19757978b5a352873fc61e35aab5c07ae28770c2dba60148449b78,false,analysis/mettl7/mechanistic_matrix_v2/postprocessing_stage_a/METTL7_V2_POSE_LEVEL_INTERACTIONS.csv
A1__PRASUGREL_RS_RSH__s1,METADATA_CORRECTED,analysis/mettl7/mechanistic_matrix_v2/production/runs/A1__PRASUGREL_RS_RSH__s1/receipt.json,39cf065791f8a6f4fadca24156bafe025eaf7ab974993ef910c2841953eaed98,analysis/mettl7/athena_pose_completeness_closure/historical_receipt_recomputation_v2/A1__PRASUGREL_RS_RSH__s1/receipt.coordinate-authoritative.v2.json,3d8cbf00a9a5fb34b5d5d893fa216824f74fe6c859c769bb564b045f4f52b213,9,8,8,8,fbecfbf983d157a9583a0d4064d251416259092804438282a1808d485ebea085,false,analysis/mettl7/mechanistic_matrix_v2/postprocessing_stage_a/METTL7_V2_POSE_LEVEL_INTERACTIONS.csv
A1__PRASUGREL_SR_RSH__s42,METADATA_CORRECTED,analysis/mettl7/mechanistic_matrix_v2/production/runs/A1__PRASUGREL_SR_RSH__s42/receipt.json,8126ab409b3b7a1c9935e54961d8daaa5cba4bb984947c576e3cf3599078d1ef,analysis/mettl7/athena_pose_completeness_closure/historical_receipt_recomputation_v2/A1__PRASUGREL_SR_RSH__s42/receipt.coordinate-authoritative.v2.json,4674fa1d8a5bdf73012e3cf94d718bbffe9eebc0b5b446e20d2e24a84c31b769,9,8,8,8,847251c8ae2ed4e06066f6719cf88ab59b4c9b8391318f0348414a8559bc6d6a,false,analysis/mettl7/mechanistic_matrix_v2/postprocessing_stage_a/METTL7_V2_POSE_LEVEL_INTERACTIONS.csv
A2__L_CYSTEINE_RS_MINUS__s42,METADATA_CORRECTED,analysis/mettl7/mechanistic_matrix_v2/production/runs/A2__L_CYSTEINE_RS_MINUS__s42/receipt.json,953dbe44ee11fda3b031a062bccee0297722b4153cdd88a3ce7f0519ca2fe988,analysis/mettl7/athena_pose_completeness_closure/historical_receipt_recomputation_v2/A2__L_CYSTEINE_RS_MINUS__s42/receipt.coordinate-authoritative.v2.json,1dd314f8b0c9f4674adacd3105ffb1d8d576a17cb70e488f533332ec2b01e58a,9,8,8,8,bad5cbe0d91fb392f71111eec3cc0dfb877e71b1f3b4e659ad77186dd4fec087,false,analysis/mettl7/mechanistic_matrix_v2/postprocessing_stage_a/METTL7_V2_POSE_LEVEL_INTERACTIONS.csv
A3__BI187004_TAUTOMER_1_N3__s42,METADATA_CORRECTED,analysis/mettl7/mechanistic_matrix_v2/production/runs/A3__BI187004_TAUTOMER_1_N3__s42/receipt.json,39a659ff50d2f1e1514887744e4b6d27495c9bf78fdefb683040964702d0a96b,analysis/mettl7/athena_pose_completeness_closure/historical_receipt_recomputation_v2/A3__BI187004_TAUTOMER_1_N3__s42/receipt.coordinate-authoritative.v2.json,29cabe0c0b00d0b6772e86f92df207286f932a35ebce06a392dbdf138ed28575,9,8,8,8,97b83f315fbd25879e01d4122a6e8605643ef7b406bb34494dfd70843b3b5c43,false,analysis/mettl7/mechanistic_matrix_v2/postprocessing_stage_a/METTL7_V2_POSE_LEVEL_INTERACTIONS.csv
A3__NETARSUDIL_NEUTRAL__s7,METADATA_CORRECTED,analysis/mettl7/mechanistic_matrix_v2/production/runs/A3__NETARSUDIL_NEUTRAL__s7/receipt.json,5a29b215cd06514c40e28e0688d2dfe521fea8121cb7d5c969d6222bf1b39ced,analysis/mettl7/athena_pose_completeness_closure/historical_receipt_recomputation_v2/A3__NETARSUDIL_NEUTRAL__s7/receipt.coordinate-authoritative.v2.json,93a0ae0a878d2927686ca3a1bbc3e56b2385116f9e8b3b33e1aadd6b19a53219,9,8,8,8,cfbcd5a677b359336489ed7ad4c64338768218448991cf99ac9990b4899f85f1,false,analysis/mettl7/mechanistic_matrix_v2/postprocessing_stage_a/METTL7_V2_POSE_LEVEL_INTERACTIONS.csv
A4__BETA_D_THIOGLUCOSE_RSH__s7,METADATA_CORRECTED,analysis/mettl7/mechanistic_matrix_v2/production/runs/A4__BETA_D_THIOGLUCOSE_RSH__s7/receipt.json,579b22e0f51550c032eb20a74c5f28a680ea7766fdea17c509fdcc34907c9b72,analysis/mettl7/athena_pose_completeness_closure/historical_receipt_recomputation_v2/A4__BETA_D_THIOGLUCOSE_RSH__s7/receipt.coordinate-authoritative.v2.json,b4078980010ed89c548c141747a26c32b74ea76da8b7c64de51f6140b3a44e82,9,8,8,8,3467feccf103f050445c8796b5af98350b6487a8243dcd4629394d126b5a89e8,false,analysis/mettl7/mechanistic_matrix_v2/postprocessing_stage_a/METTL7_V2_POSE_LEVEL_INTERACTIONS.csv
A4__DTT_MONOTHIOLATE__s7,METADATA_CORRECTED,analysis/mettl7/mechanistic_matrix_v2/production/runs/A4__DTT_MONOTHIOLATE__s7/receipt.json,5c7de70ee35b5495c324a1fcc7a24df2625f56fcf69286d4d3901bce6fac9265,analysis/mettl7/athena_pose_completeness_closure/historical_receipt_recomputation_v2/A4__DTT_MONOTHIOLATE__s7/receipt.coordinate-authoritative.v2.json,d468f246eff607095754871b9e40cef12881be92998e17257a31528a90311c64,9,8,8,8,1b21b2c56ce0b977c173cc58f482e4a43364222b3a1b33d64d159a7244575b2b,false,analysis/mettl7/mechanistic_matrix_v2/postprocessing_stage_a/METTL7_V2_POSE_LEVEL_INTERACTIONS.csv
A4__DTT_RSH2__s7,METADATA_CORRECTED,analysis/mettl7/mechanistic_matrix_v2/production/runs/A4__DTT_RSH2__s7/receipt.json,221fa7e54f49e143d46f2e1958db7948f30c93cb98207d6b3c7df65d7c0b10a6,analysis/mettl7/athena_pose_completeness_closure/historical_receipt_recomputation_v2/A4__DTT_RSH2__s7/receipt.coordinate-authoritative.v2.json,16cb7cebd29d40bd0604098f4b5ad53bf07aa51c9ccf41151efc176cad14c61d,9,8,8,8,f3b1dc58c581ca38b3792a8906682effdf56550ab1e712047f7687f62e0a95ef,false,analysis/mettl7/mechanistic_matrix_v2/postprocessing_stage_a/METTL7_V2_POSE_LEVEL_INTERACTIONS.csv
A4__PRASUGREL_RR_RS_MINUS__s42,METADATA_CORRECTED,analysis/mettl7/mechanistic_matrix_v2/production/runs/A4__PRASUGREL_RR_RS_MINUS__s42/receipt.json,f2eacbf4358d09283221455f82aa6f9db65a9127e7033a3c77ceccc3186684ba,analysis/mettl7/athena_pose_completeness_closure/historical_receipt_recomputation_v2/A4__PRASUGREL_RR_RS_MINUS__s42/receipt.coordinate-authoritative.v2.json,d4335d21c8dbd6610d00458cebe9564f3125046e1ad9877cc5322938eaa3bb69,9,8,8,8,7a5138f371a24574b80c32e13ae3765658b9ba17050c545e6d2695deeb11fdca,false,analysis/mettl7/mechanistic_matrix_v2/postprocessing_stage_a/METTL7_V2_POSE_LEVEL_INTERACTIONS.csv
