record_id,field,recovered_value,historical_value,absolute_difference,matches_tolerance,historical_source,historical_checksum,historical_locator
"MIN01","energy_hartree",-1477.9438395697157,-1477.94383957,2.842170943040401E-10,true,"analysis/mettl7-phase2/execution-unit-05O/QM_NATIVE_ENDPOINT_SUMMARY.csv","3e4ac03299487d7d4138bf1963bf34b25993cd01f9c9109f470be337378990bd","line 2, column energy_hartree"
"MIN02","energy_hartree",-1477.9410218953776,-1477.941021895,3.7766767491120845E-10,true,"analysis/mettl7-phase2/execution-unit-05O/QM_NATIVE_ENDPOINT_SUMMARY.csv","3e4ac03299487d7d4138bf1963bf34b25993cd01f9c9109f470be337378990bd","line 3, column energy_hartree"
"MIN04","energy_hartree",-1477.9243060704052,-1477.92430607,4.0517988963983953E-10,true,"analysis/mettl7-phase2/execution-unit-05O/QM_NATIVE_ENDPOINT_SUMMARY.csv","3e4ac03299487d7d4138bf1963bf34b25993cd01f9c9109f470be337378990bd","line 5, column energy_hartree"
"phi060_psi+060","energy_hartree",-1477.8073709140235,-1477.807370914024,4.547473508864641E-13,true,"analysis/mettl7-phase2/execution-unit-05H/HIGHER_LEVEL_CONFIRMATION_RESULTS.csv","969531adabf5bb9fd44a6f72e28fbc7f020b2ffdb75e8ad4b2d22a0fd6ef57db","line 4, column energy_hartree"
"phi060_psi+180","energy_hartree",-1477.9241474598139,-1477.924147459814,2.2737367544323206E-13,true,"analysis/mettl7-phase2/execution-unit-05H/HIGHER_LEVEL_CONFIRMATION_RESULTS.csv","969531adabf5bb9fd44a6f72e28fbc7f020b2ffdb75e8ad4b2d22a0fd6ef57db","line 6, column energy_hartree"
"phi060_psi-060","energy_hartree",-1477.9406288811,-1477.9406288811,0.0,true,"analysis/mettl7-phase2/execution-unit-05H/HIGHER_LEVEL_CONFIRMATION_RESULTS.csv","969531adabf5bb9fd44a6f72e28fbc7f020b2ffdb75e8ad4b2d22a0fd6ef57db","line 2, column energy_hartree"
"phi300_psi+060","energy_hartree",-1477.807786610314,-1477.807786610314,0.0,true,"analysis/mettl7-phase2/execution-unit-05H/HIGHER_LEVEL_CONFIRMATION_RESULTS.csv","969531adabf5bb9fd44a6f72e28fbc7f020b2ffdb75e8ad4b2d22a0fd6ef57db","line 5, column energy_hartree"
"phi300_psi-060","energy_hartree",-1477.9405289815663,-1477.940528981566,2.2737367544323206E-13,true,"analysis/mettl7-phase2/execution-unit-05H/HIGHER_LEVEL_CONFIRMATION_RESULTS.csv","969531adabf5bb9fd44a6f72e28fbc7f020b2ffdb75e8ad4b2d22a0fd6ef57db","line 3, column energy_hartree"
"phi060_psi060_A_m10","deltaE_vs_parent_kcal_mol",0.04168259910529912,0.041683,4.0089470088044976E-7,true,"analysis/mettl7-phase2/execution-unit-05L/SPARSE_TWO_ANGLE_QM_RESULTS.csv","e2564ca03a5541e3958e05b69978b697eaf75dd2610143ffcb957a79e28dbbf3","line 2, column deltaE_vs_parent_kcal_mol"
"phi060_psi060_A_p10","deltaE_vs_parent_kcal_mol",-0.8607783473721247,-0.860778,3.4737212462054856E-7,true,"analysis/mettl7-phase2/execution-unit-05L/SPARSE_TWO_ANGLE_QM_RESULTS.csv","e2564ca03a5541e3958e05b69978b697eaf75dd2610143ffcb957a79e28dbbf3","line 3, column deltaE_vs_parent_kcal_mol"
