component,status,source_path,current_runtime_role,scientific_validation_evidence,benchmark_or_reference,known_limitations,production_selectable,should_remain_selectable,latest_relevant_commit
"Neural network core","PRODUCTION_CANDIDATE","software/modules/prometheus/src/main/java/totah/lab/prometheus/neural/FeedForwardNetwork.java;DenseLayer.java;Activation.java;ParameterTensor.java","Used directly by benchmark-specific neural states and validation runners","Infinite well, H, He derivative and replay gates","Exact one-electron solutions; trusted He reference","Small dense real-valued network; no production backend; no fermionic determinant layer","no","yes, after runtime integration","759fef9e4"
"Benchmark-specific wavefunction representations","REFERENCE_ORACLE","software/modules/prometheus/src/main/java/totah/lab/prometheus/neural/DirichletUnitIntervalNeuralState.java;CoulombRadialNeuralState.java;HeliumCorrelatedNeuralState.java","Permanent regression states for infinite well, H, and He","JAVA_NEURAL_QUANTUM_END_TO_END_VALIDATED; HYDROGEN_COULOMB_GATE_PASSED; HELIUM_INTERACTING_ELECTRON_GATE_PASSED","Analytic infinite well/H and trusted nonrelativistic He","Problem-specific ansatzes; not general molecular states; He error about 0.00685 Eh","no","yes, reference only","759fef9e4"
"H2 wavefunction representations","FROZEN_NEGATIVE","software/modules/prometheus/src/main/java/totah/lab/prometheus/neural/HydrogenMoleculeCorrelatedState.java;HydrogenMoleculeUncorrelatedState.java","Used by frozen H2 validation/diagnostic runners","H2_MULTI_GEOMETRY_GATE_FAILED; H2_GENERATION2_MULTI_GEOMETRY_GATE_FAILED","H2 Born-Oppenheimer reference curve","Smooth and deterministic but misses locked multi-geometry accuracy; not chemically accurate across curve","no","no, except frozen diagnostics","c36328734"
"First spatial/parameter derivatives","PRODUCTION_CANDIDATE","software/modules/prometheus/src/main/java/totah/lab/prometheus/numerics/SecondOrderJet.java;variational/DifferentiableStateEvaluation.java","Forward derivative propagation inside state evaluation","Finite-difference audits in infinite well, H, He, H2, and exact-objective preflight","Independent central finite differences","Validated only for existing ansatzes; not exposed through a production molecular backend","no","yes","759fef9e4"
"Second spatial derivatives/Laplacian","PRODUCTION_CANDIDATE","software/modules/prometheus/src/main/java/totah/lab/prometheus/numerics/SecondOrderJet.java;variational/StateLaplacian.java","Supplies VMC kinetic energy","Derivative/Laplacian gates for infinite well, H, He, H2","Analytic derivatives and finite differences","No arbitrary-electron/nucleus state validation","no","yes","759fef9e4"
"Higher/mixed directional AD","PRODUCTION_CANDIDATE","software/modules/prometheus/src/main/java/totah/lab/prometheus/numerics/DirectionalSecondOrderJet.java;neural/GeometryConditionedHydrogenMoleculeDirectionalEvaluator.java;validation/MixedParameterSpatialJet.java","Fused H2 geometry/spatial directional derivatives; exact-objective diagnostics","Analytic differential SWCT oracle; exact finite-objective preflight derivative gate","Numerical five-traversal SWCT and independent finite differences","H2-specific evaluator; exact-objective scientific model later failed","no","yes after generalization","fb9408404"
"Deterministic sampling","PRODUCTION_CANDIDATE","software/modules/prometheus/src/main/java/totah/lab/prometheus/variational/HydrogenMoleculeImportanceBatches.java;HeliumImportancePointSet.java;TransformedRadialPointSet.java","Deterministic benchmark sampling","Bitwise replay in H2/He/SWCT/SR studies","Repeated deterministic runs","Problem-specific samplers; not a general molecular importance sampler","no","yes","c36328734"
"Bounded streaming/batching","PRODUCTION_CANDIDATE","software/modules/prometheus/src/main/java/totah/lab/prometheus/variational/HydrogenMoleculeImportanceBatches.java;HydrogenMoleculeStreamingRayleighEvaluator.java","Bounds H2 sample retention and streams state evaluations","Streaming tests; analytic SWCT memory audit; matrix-free SR scaling","Dense/reference implementations","Still allocates per-sample arrays in several paths; no general sample stream SPI","no","yes","fb9408404"
"Reusable numerical computation DAG","PRODUCTION_CANDIDATE","software/modules/prometheus/src/main/java/totah/lab/prometheus/numerics/NumericalComputationGraph.java;NumericalNode.java;IntermediateRetentionPolicy.java","Standalone tested architecture; not used by VMC/SR/force kernels","NumericalComputationGraphTest verifies mandatory reuse, state isolation, and retention policies","Deterministic node-count oracle","Disconnected from real state evaluation; no measured production memory/cost policy","no","yes after kernel integration","759fef9e4"
"VMC local energy","PRODUCTION_CANDIDATE","software/modules/prometheus/src/main/java/totah/lab/prometheus/variational/HydrogenMoleculeStreamingRayleighEvaluator.java;HydrogenMoleculeRayleighFunctional.java;HeliumRayleighFunctional.java","Benchmark energy/variance evaluation","H, He and H2 scientific gates","Analytic/reference energies","Hamiltonian/state implementations are system-specific; no general molecular Hamiltonian","no","yes","759fef9e4"
