radius,implementation,replay,wall_ns,cpu_ns,allocated_bytes,peak_observed_heap_bytes,state_traversals,local_energy_evaluations,directional_ad_passes
1.0,NUMERICAL,0,2184938416,2933965000,17145485712,215982152,360000,360000,0
1.0,ANALYTIC,0,1168307250,1325231000,10153033640,307280328,72000,72000,72000
1.0,NUMERICAL,1,2314142875,2131680000,16969990088,307280328,360000,360000,0
1.0,ANALYTIC,1,1403657583,1328542000,10150576624,242297512,72000,72000,72000
1.0,NUMERICAL,2,1993678834,2040494000,16969989960,242297512,360000,360000,0
1.0,ANALYTIC,2,1139963958,1166100000,10150576624,201405112,72000,72000,72000
1.4,NUMERICAL,0,2493329833,2203674000,16974589872,145658880,360000,360000,0
1.4,ANALYTIC,0,1229185000,1288330000,10150576624,109167848,72000,72000,72000
1.4,NUMERICAL,1,2039914750,2071065000,16974589872,52553000,360000,360000,0
1.4,ANALYTIC,1,1137632292,1168824000,10150576624,445783448,72000,72000,72000
1.4,NUMERICAL,2,2495593083,2217627000,16974589872,445783448,360000,360000,0
1.4,ANALYTIC,2,1174521292,1199801000,10150576624,408036776,72000,72000,72000
3.0,NUMERICAL,0,1997741875,2046454000,16965920144,351419864,360000,360000,0
3.0,ANALYTIC,0,1243518875,1233000000,10150576624,306345544,72000,72000,72000
3.0,NUMERICAL,1,2594733542,2240882000,16965920144,249732760,360000,360000,0
3.0,ANALYTIC,1,1174552000,1205923000,10150576624,204643992,72000,72000,72000
3.0,NUMERICAL,2,1989261208,2036197000,16965920144,148029144,360000,360000,0
3.0,ANALYTIC,2,1151394375,1188260000,10150576624,101904184,72000,72000,72000
