parameter_index,analytic_gradient,finite_difference_gradient,absolute_error,max_tolerance,passes
0,1.5018890699959009,1.5018890583418099,1.1654091025548041e-08,3.0000000000000000e-05,true
1,-2.0739546188143887,-2.0739546362225080,1.7408119390438515e-08,3.0000000000000000e-05,true
2,1.6252714065845282,1.6252714282183334,2.1633805191711986e-08,3.0000000000000000e-05,true
3,-0.53842921261578620,-0.53842921074465090,1.8711353577671730e-09,3.0000000000000000e-05,true
4,-4.5101159079219490,-4.5101158870353150,2.0886633755878847e-08,3.0000000000000000e-05,true
5,-1.5337966950924051,-1.5337966750017529,2.0090652252946484e-08,3.0000000000000000e-05,true
6,1.7110721839725850,1.7110721724777900,1.1494795115751799e-08,3.0000000000000000e-05,true
7,-1.8561607605347712,-1.8561607221800890,3.8354682097008210e-08,3.0000000000000000e-05,true
8,-0.83520809208393490,-0.83520803087488990,6.1209044943666410e-08,3.0000000000000000e-05,true
9,-5.1129125073258840,-5.1129124575555185,4.9770365606605080e-08,3.0000000000000000e-05,true
10,5.0278500743013240,5.0278500763334400,2.0321158089586790e-09,3.0000000000000000e-05,true
11,-4.8000259745497660,-4.8000259576519430,1.6897822696648745e-08,3.0000000000000000e-05,true
12,-6.1862037731412770,-6.1862037330773220,4.0063954820368510e-08,3.0000000000000000e-05,true
13,0.12732951847648913,0.12732956597427680,4.7497787675210290e-08,3.0000000000000000e-05,true
14,0.11090435152247757,0.11090435758642770,6.0639501198167520e-09,3.0000000000000000e-05,true
15,-0.33336017190182854,-0.33336014243490200,2.9466926565469010e-08,3.0000000000000000e-05,true
16,-4.1934196086652430,-4.1934195607606920,4.7904551436772635e-08,3.0000000000000000e-05,true
17,-1.8476913836278430,-1.8476913797305095,3.8973335669822970e-09,3.0000000000000000e-05,true
18,2.0157922668756820,2.0157922717145560,4.8388741902272160e-09,3.0000000000000000e-05,true
19,-2.1434824591952046,-2.1434824167831934,4.2412011236336866e-08,3.0000000000000000e-05,true
