arm,R_bohr,energy_set1_Ha,energy_set2_Ha,mean_energy_Ha,energy_spread_Ha,variance_set1_Ha2,variance_set2_Ha2,mean_variance_Ha2,iterations,wall_time_ns,converged,physics_passed,parameters
BASELINE_A,0.8,-1.012486967741852,-1.013262256058203,-1.012874611900028,0.0007752883163500979,0.05088826842160438,0.05042296525785613,0.05065561683973026,0,0,false,true,"[0.6007157410929896, -0.11507949386433493, 0.022451782637531614, 0.14965004149577582, -0.08907698704519226]"
SAMPLING_A,0.8,-1.011814784282255,-1.011814784282255,-1.011814784282255,0.000000000000000,0.05100072048896994,0.05100072048896994,0.05100072048896994,0,0,true,true,"[0.6007157410929896, -0.11507949386433493, 0.022451782637531614, 0.14965004149577582, -0.08907698704519226]"
SAMPLING_B_SIZE,0.8,-1.013262256058203,-1.013262256058203,-1.013262256058203,0.000000000000000,0.05042296525785613,0.05042296525785613,0.05042296525785613,0,0,true,true,"[0.6007157410929896, -0.11507949386433493, 0.022451782637531614, 0.14965004149577582, -0.08907698704519226]"
SAMPLING_B_COMPRESSED,0.8,-1.012980964320641,-1.012980964320641,-1.012980964320641,0.000000000000000,0.05034600416064212,0.05034600416064212,0.05034600416064212,0,0,true,true,"[0.6007157410929896, -0.11507949386433493, 0.022451782637531614, 0.14965004149577582, -0.08907698704519226]"
OPTIMIZATION_B_SR,0.8,-1.014990840137229,-1.015835195885771,-1.015413018011500,0.0008443557485422470,0.03432496461693935,0.03418273801519893,0.03425385131606914,18,475122167,true,true,"[0.6188415773083635, -0.2550007446709939, 0.09122582478656967, 0.0046357152665910065, 0.11244129487768167]"
TRAINING_SAMPLE_B,0.8,-1.014699219906252,-1.015616803914989,-1.015158011910621,0.0009175840087367604,0.03434642250768270,0.03439712705624875,0.03437177478196572,121,157334053583,false,true,"[0.6432861270544089, -0.096562783690075, 0.12241579542864718, -0.04678937438356556, -0.038295686898041144]"
ANSATZ_B_FEATURES,0.8,-0.9764810630159311,-0.9765928757437631,-0.9765369693798471,0.0001118127278320058,0.4622913874703478,0.4570423606258001,0.4596668740480739,121,428013187917,false,true,"[0.37627164065208346, -0.6259072567034598, 0.4906378767696131, 0.17302961404934256, -0.39865084260306693, 0.2766503481651107, 0.06311592517136984, 0.1362735968884463]"
ANSATZ_B_BACKFLOW_FEATURE,0.8,-0.9492920218809290,-0.9493705415968398,-0.9493312817388844,7.851971591077422e-05,0.9266104719507896,0.9218545650461744,0.9242325184984820,121,19863650791,false,true,"[0.2644201785971565, -1.2630021878009121, 1.3186609495647452, 0.31681357236166097, -0.36455123232587866, -0.046192798976823775]"
BASELINE_A,1.0,-1.108009670976619,-1.108513110545527,-1.108261390761073,0.0005034395689078597,0.1256752459798506,0.1230548864050137,0.1243650661924322,0,0,false,true,"[0.5388085488603971, -0.448413623889689, 0.43954536417419937, 0.32462695192872004, -0.3122468238222831]"
SAMPLING_A,1.0,-1.106532268020690,-1.106532268020690,-1.106532268020690,0.000000000000000,0.1262303253824847,0.1262303253824847,0.1262303253824847,0,0,true,true,"[0.5388085488603971, -0.448413623889689, 0.43954536417419937, 0.32462695192872004, -0.3122468238222831]"
