gate,value,threshold,pass
curve_rmse,0.004521178200900143,<=0.015,true
maximum_absolute_error,0.005846817502864976,<=0.025,true
equilibrium_absolute_error,0.02225554330508195,<=0.08,true
well_depth_error,0.004789861293028386,<=0.015,true
dissociation_error,0.0003027452095900607,<=0.010,true
maximum_variance,0.03388445293478248,<=0.10,true
maximum_integration_spread,0.0007116402589528725,<=0.005,true
converged_geometries,1.000000000000000,9,false
seed_spread,0.0006834267824866735,<=0.01,true
virial_error_R1.4,0.01004384277956794,<=0.08,true
smooth_curve,1.000000000000000,1,true
force_signs,1.000000000000000,1,true
deterministic_replay,1.000000000000000,1,true
redundant_state_evaluations,0.000000000000000,0,true
