iteration,recursive_residual,true_residual,true_relative_residual,residual_gap
1,8.6691699243088950e-05,8.6691699243085760e-05,0.075104467396903090,7.5653895079433740e-18
2,0.00037397354900216340,0.00037397354900216400,0.32398816107618630,6.6317013169598145e-18
3,0.00010586852507659625,0.00010586852507659703,0.091718114414600770,5.5385763514471240e-18
4,0.0016689496474695303,0.0016689496474695292,1.4458774655457607,7.0559615830260490e-18
5,0.00022286765534103672,0.00022286765534103570,0.19307911484639687,8.6308067099196430e-18
6,0.0033688180157999286,0.0033688180157999325,2.9185410488297160,2.6243658370179650e-17
7,0.00047966335337550027,0.00047966335337550320,0.41555144263656720,4.8514410164262115e-17
8,0.00012672928502911182,0.00012672928502913412,0.10979062054159196,4.6752376929295100e-17
9,4.3935631368739550e-05,4.3935631368728110e-05,0.038063185085833600,4.3364738119669420e-17
10,4.1598988587558756e-05,4.1598988587554170e-05,0.036038858499676800,6.2038210482432250e-17
11,2.8814410093569338e-05,2.8814410093560126e-05,0.024963069617133876,8.0040380447077950e-17
12,4.1974754531863560e-05,4.1974754531887060e-05,0.036364399484124246,9.2946902468063860e-17
13,0.0013212465449731158,0.0013212465449731216,1.1446484372391519,7.8719822487505700e-17
14,1.9366681772451950e-05,1.9366681772367447e-05,0.016778126769443572,1.0282077745339005e-16
15,1.2907900120053793e-05,1.2907900120106523e-05,0.011182627312618298,1.0760804798201579e-16
16,0.00047077908050436863,0.00047077908050431950,0.40785464365783200,1.1295131415605220e-16
17,4.6073518964203050e-06,4.6073518964259870e-06,0.0039915322148767730,1.0546268124453823e-16
18,7.4364762350003410e-06,7.4364762349858950e-06,0.0064425151636751200,1.3988175878854712e-16
19,2.4803863793266674e-06,2.4803863793213100e-06,0.0021488573829323980,1.0065468321179993e-16
20,4.9928570653590470e-06,4.9928570654024180e-06,0.0043255106770308330,1.0314790255572873e-16
21,8.2760680399157560e-06,8.2760680399315600e-06,0.0071698869408095710,1.1082041825939199e-16
22,0.00010419110631520224,0.00010419110631520368,0.090264899818786190,1.1403687382679992e-16
23,9.7776451854759590e-06,9.7776451855643130e-06,0.0084707629504248120,1.1860416413397790e-16
24,9.4177368889183100e-07,9.4177368887813570e-07,0.00081589600768207800,1.5882418260816165e-16
25,8.6545879648350310e-06,8.6545879648701240e-06,0.0074978138082010180,1.5399702075229617e-16
26,1.6295864081865872e-05,1.6295864081731062e-05,0.014117755255885682,1.6562575232068820e-16
27,4.6841767632179170e-07,4.6841767620621424e-07,0.00040580886518461673,2.0108655917571000e-16
28,1.9073672771377038e-07,1.9073672774731301e-07,0.00016524281419749170,1.9237586478752140e-16
29,4.3369954701577530e-08,4.3369954684884526e-08,3.7573116873653436e-05,1.9505046128741994e-16
30,1.3096713581051950e-07,1.3096713586268840e-07,0.00011346203928802979,2.3266449288303690e-16
31,1.2691236687166000e-06,1.2691236686165990e-06,0.0010994923161556965,2.5277535587439770e-16
32,1.8624215026366926e-08,1.8624215242569425e-08,1.6134898481529320e-05,2.7294740355034217e-16
33,7.4513139210907270e-09,7.4513138525506580e-09,6.4553695819685675e-06,2.3878142880217935e-16
34,1.7679387479913810e-07,1.7679387490169870e-07,0.00015316356617136910,2.6897353188378447e-16
35,5.8881481502508504e-08,5.8881481485178880e-08,5.1011369543984053e-05,2.1825216646976588e-16
36,5.3735572434852740e-08,5.3735572544360733e-08,4.6553263939323950e-05,2.3969662734993987e-16
37,1.2345077908468424e-08,1.2345077952474435e-08,1.0695032081376480e-05,2.1130619982924510e-16
38,3.2189005528183470e-09,3.2189005469362100e-09,2.7886615822739870e-06,2.4093379627073930e-16
39,6.2764731650831400e-10,6.2764731401506190e-10,5.4375583410839280e-07,2.3610566362361550e-16
40,2.7662762625424040e-10,2.7662786324323950e-10,2.3965372137614290e-07,2.5860027845124010e-16
41,7.6668667122275520e-12,7.6667302590982020e-12,6.6419933835962460e-09,2.2992144789369270e-16
42,2.8016077801132080e-12,2.8016841694592420e-12,2.4272104388166493e-09,2.3432022250015170e-16
43,7.0305699612661180e-12,7.0305589610740120e-12,6.0908528830815560e-09,2.3423813514120465e-16
44,3.4996327052451826e-12,3.4995975399940484e-12,3.0318405526666172e-09,2.6674339106916833e-16
45,1.0648748728313617e-12,1.0649703168990800e-12,9.2262614693869630e-10,2.7796422744233750e-16
46,7.0625101782178030e-13,7.0624195203674940e-13,6.1184549529175010e-10,2.5756019155442335e-16
47,4.9449422907133240e-16,4.8215304753349450e-16,4.1770836371839770e-13,2.3333010221607920e-16
