iteration,recursive_residual,true_residual,true_relative_residual,residual_gap
1,8.6691699243088950e-05,8.6691699243085760e-05,0.075104467396903090,7.5653895079433740e-18
2,0.00037397354900215960,0.00037397354900216190,0.32398816107618450,7.9337531703189410e-18
3,0.00010586852507659579,0.00010586852507659692,0.091718114414600680,6.0875644474237644e-18
4,0.0016689496474692857,0.0016689496474692825,1.4458774655455469,7.5463096535508430e-18
5,0.00022286765534108367,0.00022286765534108467,0.19307911484643930,8.4165155914212070e-18
6,0.0033688180158059610,0.0033688180158059633,2.9185410488349410,2.1662154599678184e-17
7,0.00047966335337542300,0.00047966335337541450,0.41555144263649035,2.6709858990837408e-17
8,0.00012672928504622261,0.00012672928504622760,0.10979062055640072,4.1034457059116040e-17
9,4.3935631888125310e-05,4.3935631888124890e-05,0.038063185535807680,3.6905446202465854e-17
10,4.1599152679775650e-05,4.1599152679774940e-05,0.036039000659294760,1.3010936499183049e-17
11,2.4231084108001206e-05,2.4231084108007003e-05,0.020992352004526833,3.8407801455813126e-17
12,7.6248711617368760e-05,7.6248711617390800e-05,0.066057291825213940,3.6080239772146863e-17
13,0.00078987804031375690,0.00078987804031375240,0.68430276536545520,3.4136129942727015e-17
14,1.4905945715679127e-05,1.4905945715687745e-05,0.012913613688488930,2.5072927713191647e-17
15,1.9515790259105234e-05,1.9515790259119382e-05,0.016907305382616915,2.7468719373948260e-17
16,0.00027338318235203970,0.00027338318235204700,0.23684272525617286,1.9224337995127758e-17
17,4.5506659283093150e-06,4.5506659283082190e-06,0.0039424229058940870,5.1154533816518050e-17
18,9.4250668803512040e-06,9.4250668803493650e-06,0.0081653103400818030,1.7899982906892177e-17
19,1.2710125584627320e-05,1.2710125584641438e-05,0.011011287365651464,2.6272570576913017e-17
20,2.4432219963504680e-06,2.4432219963522843e-06,0.0021166603996757133,3.9717043689503910e-17
21,2.2121392519249834e-05,2.2121392519249045e-05,0.019164642263815642,1.8900233331445473e-17
22,1.0926892281230985e-05,1.0926892281226621e-05,0.0094664014230902250,1.9845097800904644e-17
23,4.0765008055808540e-05,4.0765008055792206e-05,0.035316347991701450,4.8822214565532050e-17
24,9.9251949787260350e-07,9.9251949787074800e-07,0.00085985912053245980,2.1556679142843200e-17
25,2.4044207657840620e-06,2.4044207657658490e-06,0.0020830453502190486,2.5038340081985897e-17
26,1.1048203968232324e-05,1.1048203968227548e-05,0.0095714985629637530,1.3495037130818940e-17
27,1.4196223758407466e-06,1.4196223758210215e-06,0.0012298753326059379,4.5858128816836023e-17
28,1.8331835771749599e-07,1.8331835772520406e-07,0.00015881598516624416,6.7961268752497170e-17
29,4.3513545231685370e-08,4.3513545230248950e-08,3.7697515074715190e-05,3.8113482848641705e-17
30,4.2872347156407464e-07,4.2872347154369430e-07,0.00037142019676593880,2.5303831208439467e-17
31,1.0362737210174941e-07,1.0362737209225902e-07,8.9776514437748200e-05,1.7711459315467763e-17
32,1.1710730128058483e-06,1.1710730128201592e-06,0.0010145471328705043,3.5396010752893180e-17
33,2.1935892188078870e-07,2.1935892186194793e-07,0.00019003935946629237,3.6478224620818366e-17
34,6.9587285608610850e-07,6.9587285610301680e-07,0.00060286233503200370,3.7477200150994886e-17
35,7.5325446049832500e-09,7.5325446040639870e-09,6.5257430131266300e-06,3.7227114178914700e-17
36,1.1644435603944192e-08,1.1644435599278540e-08,1.0088037741296251e-05,2.3072862419938325e-17
37,3.0204431131459036e-08,3.0204431130240530e-08,2.6167300132187477e-05,1.9760960273454078e-17
38,2.2780308992896600e-09,2.2780308987044587e-09,1.9735487809639680e-06,1.9622401581639532e-17
39,3.1165937187557174e-08,3.1165937255657900e-08,2.7000291134542190e-05,7.1424622257549220e-17
40,6.6892029759349070e-10,6.6892028682771600e-10,5.7951225217431820e-07,6.0848051764421830e-17
41,7.9082733734941720e-10,7.9082733132840080e-10,6.8512517393146940e-07,2.8915717674993056e-17
42,2.8920601518890190e-08,2.8920601549353776e-08,2.5055067499273900e-05,3.4188974728199150e-17
43,2.4102803942850230e-09,2.4102804093668735e-09,2.0881217925501257e-06,2.1809995435766960e-17
44,8.7784475957586860e-09,8.7784476108642080e-09,7.6051183463006860e-06,3.8742411480247670e-17
45,5.2214766024988570e-10,5.2214765445111080e-10,4.5235728255978994e-07,3.1914317473240290e-17
46,5.8195608559682750e-11,5.8195615326157290e-11,5.0417176408670875e-08,5.0889448457510740e-17
47,3.4890059120976893e-12,3.4889947527883320e-12,3.0226549363623950e-09,4.6175710905653560e-17
48,4.6613601634822550e-12,4.6613599087289660e-12,4.0383215042158460e-09,3.4826138186280650e-17
49,4.8238366475032600e-11,4.8238368480714400e-11,4.1790817396263740e-08,2.4729057696601718e-17
50,5.8946523249105840e-13,5.8945337127899740e-13,5.1066690227264120e-10,2.9396354429547250e-17
51,2.2372038726816524e-13,2.2371527938350308e-13,1.9381344527039533e-10,2.2823051860526694e-17
52,1.0334918443950648e-15,1.0227762308624842e-15,8.8607173184767620e-13,1.6310612765361600e-17
