iteration,recursive_residual,true_residual,true_relative_residual,residual_gap
1,8.6691699243088950e-05,8.6691699243085760e-05,0.075104467396903090,7.5653895079433740e-18
2,0.00037397354900215964,0.00037397354900216180,0.32398816107618444,7.9337531703189410e-18
3,0.00010586852507659585,0.00010586852507659703,0.091718114414600770,5.9317223201687680e-18
4,0.0016689496474692513,0.0016689496474692506,1.4458774655455193,7.3397828634363280e-18
5,0.00022286765534109684,0.00022286765534110196,0.19307911484645426,1.0020326303720018e-17
6,0.0033688180158076343,0.0033688180158076278,2.9185410488363828,2.4715444942446290e-17
7,0.00047966335337548340,0.00047966335337548357,0.41555144263655020,1.7431647970048163e-17
8,0.00012672928505342792,0.00012672928505338241,0.10979062056259922,6.6797318881048540e-17
9,4.3935632109616850e-05,4.3935632109609970e-05,0.038063185727689020,5.5557032167321720e-17
10,4.1599215710364846e-05,4.1599215710364304e-05,0.036039055265201500,2.6544326580173374e-17
11,2.6079289457924557e-05,2.6079289457927920e-05,0.022593525815374566,2.2241354517048333e-17
12,6.1466008416239330e-05,6.1466008416280570e-05,0.053250448029330810,4.7997232133196975e-17
13,0.0010109591202024477,0.0010109591202024796,0.87583409883276330,4.5781109490068224e-17
14,1.6094663548502594e-05,1.6094663548529666e-05,0.013943447230803695,4.2626388273004080e-17
15,1.6145885990880612e-05,1.6145885990884830e-05,0.013987823270095139,1.1099380726263694e-17
16,0.00046324551245743514,0.00046324551245743710,0.40132801399548220,3.8094799342367320e-17
17,4.5899341254248150e-06,4.5899341254291600e-06,0.0039764425070341600,4.3809929667215900e-17
18,8.1610405789626690e-06,8.1610405789537210e-06,0.0070702340759080020,3.0400315994951120e-17
19,2.8882405541121310e-06,2.8882405541222130e-06,0.0025021976778103800,3.2049544584176940e-17
20,2.6155813871072877e-06,2.6155813871036306e-06,0.0022659821958368030,3.0616003504822060e-17
21,0.00012479858789646330,0.00012479858789644728,0.10811798081805189,2.5101050104156432e-17
22,1.1853677870698628e-05,1.1853677870687664e-05,0.010269312644064454,1.8252923823507310e-17
23,8.2381381704932710e-05,8.2381381704945950e-05,0.071370267861768950,3.1762841318648855e-17
24,1.1043959037533052e-06,1.1043959037517440e-06,0.00095678210106386420,1.5718577480035638e-17
25,1.4371521689064507e-06,1.4371521689089150e-06,0.0012450620896419541,6.7510882053333020e-17
26,3.7691818546790760e-05,3.7691818546769864e-05,0.032653921677531800,2.8204811934859350e-17
27,3.0760640952087800e-07,3.0760640954360220e-07,0.00026649166827224790,3.7002252639575747e-17
28,2.0705985288537074e-07,2.0705985287755546e-07,0.00017938418678406770,2.4692983391652726e-17
29,4.5797457923061730e-08,4.5797457892356880e-08,3.9676159461274950e-05,9.1186294433000160e-17
30,1.1462305710272038e-07,1.1462305712085340e-07,9.9302513754257700e-05,2.1637813925945803e-17
31,2.3524217127488294e-07,2.3524217128305498e-07,0.00020379965022907330,1.7215476701244055e-17
32,1.1686163667981037e-06,1.1686163668035992e-06,0.0010124188427081543,1.7045035649379420e-17
33,9.3423666841805690e-08,9.3423666835523380e-08,8.0936638700242320e-05,3.7309533033618735e-17
34,2.5678744667683413e-07,2.5678744666459750e-07,0.00022246517930023658,5.2259502104744340e-17
35,8.1527474569202130e-09,8.1527474741458320e-09,7.0630494293374390e-06,6.0548919923665380e-17
36,1.1694676054736992e-08,1.1694676018080008e-08,1.0131563014521100e-05,5.7272097621145660e-17
37,1.3589309313066437e-08,1.3589309315624452e-08,1.1772959203163263e-05,1.3082816592871072e-17
38,1.9977353384470046e-08,1.9977353380189710e-08,1.7307175874033130e-05,3.7681560545770820e-17
39,3.1945751052915556e-07,3.1945751053451390e-07,0.00027675874846286167,1.5613185086891470e-17
40,6.7343532804920010e-10,6.7343532573316890e-10,5.8342380997317380e-07,1.1865532112218917e-17
41,7.3917756767330890e-10,7.3917756804936410e-10,6.4037892952609680e-07,1.1841133015974526e-17
42,4.4661188219996920e-08,4.4661188214754600e-08,3.8691763842078730e-05,1.3639654963819279e-17
43,1.3605266430621515e-09,1.3605266713015794e-09,1.1786783731262048e-06,4.2284045613154720e-17
44,5.2453766750587634e-09,5.2453766741091810e-09,4.5442784585460660e-06,3.3616569648105980e-17
45,1.0069409085844340e-09,1.0069408999746092e-09,8.7235295481629350e-07,3.4902929901196160e-17
46,2.5087157801908643e-11,2.5087140032279780e-11,2.1733987303128950e-08,3.7898524515825555e-17
47,3.2745242083181117e-12,3.2745226153085570e-12,2.8368491925883897e-09,7.2608572997227650e-18
48,4.4900463404706400e-11,4.4900475173594066e-11,3.8899067652657760e-08,3.3639826130590360e-17
49,1.1338270001978750e-11,1.1338269261544125e-11,9.8227936645141540e-09,2.6507253935360634e-17
50,3.9919176800313385e-14,3.9917735080465480e-14,3.4582321711131354e-11,2.9287002136869410e-17
51,2.9944836375717177e-13,2.9945721794744046e-13,2.5943169944145050e-10,1.6098180666060484e-17
52,9.1792174140314060e-15,9.1833186726312100e-15,7.9558742516978740e-12,2.1364446019622640e-17
