iteration,recursive_residual,true_residual,true_relative_residual,residual_gap
1,0.00035754632937678920,0.00035754632937679015,0.30975660728790300,6.0968412459365180e-18
2,0.00023596325149563937,0.00023596325149563830,0.20442435069969922,4.6007548728607590e-18
3,9.5336300703762500e-05,9.5336300703761610e-05,0.082593629499286640,5.5889095298638430e-18
4,0.00022377569676747920,0.00022377569676747765,0.19386578725335960,5.7208116775557390e-18
5,0.00010826382083830990,0.00010826382083830857,0.093793254410841560,5.3507167821218920e-18
6,0.00016232205274758520,0.00016232205274758536,0.14062605099243952,4.1408245020025580e-18
7,0.00025337811308209535,0.00025337811308208933,0.21951153800437660,1.0518245595507932e-17
8,0.00026329532477594880,0.00026329532477592930,0.22810321297246866,3.7280575413378547e-17
9,3.2431387954883050e-05,3.2431387954883295e-05,0.028096601411214290,2.4908628520292944e-17
10,0.00077858145990880210,0.00077858145990888060,0.67451608841573730,8.5877033608602780e-17
11,5.9660081946734480e-05,5.9660081946757487e-05,0.051685902094302110,6.8142935585171840e-17
12,2.2875902841741886e-05,2.2875902841734896e-05,0.019818304568402260,6.0998648103512750e-17
13,0.00049200072465686950,0.00049200072465685920,0.42623979812220490,2.4383779538585120e-17
14,3.0067524161122975e-05,3.0067524161127803e-05,0.026048692179085717,6.9350749165851550e-17
15,2.4648214930908844e-05,2.4648214930897727e-05,0.021353729028642996,9.1546207208166510e-17
16,3.0683419564892323e-06,3.0683419564879710e-06,0.0026582266865876470,7.4532174363736450e-17
17,0.00026430879218171984,0.00026430879218173890,0.22898122009889520,5.4327335246766830e-17
18,1.5689147249216866e-06,1.5689147248858872e-06,0.0013592132330144772,7.1898780645681360e-17
19,3.6301621648201150e-06,3.6301621647517747e-06,0.0031449538805737020,1.1242140075504124e-16
20,7.0248457623994360e-07,7.0248457626431220e-07,0.00060859033120265280,1.2840003012749022e-16
21,2.4281866311092790e-05,2.4281866311117095e-05,0.021036346647048840,1.0371754545799996e-16
22,2.7314510423073720e-06,2.7314510422729030e-06,0.0023663646870664360,1.1196603403464722e-16
23,1.2786142941775229e-07,1.2786142942335798e-07,0.00011077144226370572,8.7452926457445680e-17
24,2.6562287618621736e-07,2.6562287619313195e-07,0.00023011966334838925,9.1721787305251440e-17
25,6.5127671545699670e-06,6.5127671544659350e-06,0.0056422692447710920,1.0748232111639850e-16
26,5.5813824532841950e-07,5.5813824538604750e-07,0.00048353736308732460,1.3903975751299314e-16
27,9.5926165247637880e-08,9.5926165170847300e-08,8.3104652550208810e-05,1.9313546322095368e-16
28,5.4982520410781300e-07,5.4982520416543530e-07,0.00047633544480940630,1.9267391899664073e-16
29,1.7069328962477720e-08,1.7069328961202340e-08,1.4787838647145696e-05,2.0508795917850734e-16
30,2.2868500317995418e-07,2.2868500317408695e-07,0.00019811891467127674,2.1686187312170390e-16
31,3.7568308698736840e-09,3.7568308904376340e-09,3.2546920361473412e-06,2.2369106817734836e-16
32,3.0750751831716630e-08,3.0750751655757310e-08,2.6640599334477670e-05,1.8671631523632488e-16
33,7.5442011419010270e-09,7.5442011899804980e-09,6.5358415771710490e-06,1.5725788886360894e-16
34,7.4943918635994640e-09,7.4943918730538340e-09,6.4926897846483170e-06,1.2765765497046482e-16
35,4.9557313815773270e-10,4.9557313257887400e-10,4.2933471720500045e-07,1.0701133333717181e-16
36,1.5530128119759470e-08,1.5530128035265047e-08,1.3454367660088531e-05,1.1363282333614320e-16
37,2.8211755971950990e-09,2.8211755743370232e-09,2.4440966181734336e-06,1.2472627312221272e-16
38,1.2600452520318017e-08,1.2600452550119253e-08,1.0916273253371875e-05,1.3362633205162580e-16
39,3.6107249869111080e-11,3.6107159605767666e-11,3.1281068603836820e-08,1.1116809448595724e-16
40,1.1912418122083830e-11,1.1912443902589140e-11,1.0320223995041827e-08,1.0611156784912906e-16
41,4.9006481679998250e-11,4.9006533242132220e-11,4.2456309084430830e-08,1.1724396795927786e-16
42,1.4347639508458473e-11,1.4347636699891324e-11,1.2429928380202350e-08,1.2084813071794226e-16
43,8.2942136457625180e-11,8.2942110799271360e-11,7.1856049780348830e-08,1.3347512425888526e-16
44,3.7853277652679956e-11,3.7853257243423696e-11,3.2793782442002890e-08,1.4170513679737643e-16
45,1.6915265611921442e-12,1.6915107454759240e-12,1.4654230421632907e-09,1.3320251178513251e-16
46,1.0164726292512521e-11,1.0164713177271454e-11,8.8060953480750080e-09,1.6200949737090228e-16
47,2.6731893484219493e-12,2.6733391254965750e-12,2.3160200220407660e-09,1.5992732160833682e-16
48,3.1185209326666447e-13,3.1183674274350027e-13,2.7015657419361985e-10,1.6615240552774665e-16
49,1.5956104824210480e-12,1.5956484466847317e-12,1.3823737195981950e-09,1.8358573230871313e-16
50,3.3732450346984610e-14,3.3723550767977320e-14,2.9216053454660664e-11,1.6878098373607633e-16
51,8.8695204540230470e-14,8.8768617618748110e-14,7.6903784399486860e-11,2.0249057023458873e-16
52,9.5990592841166800e-13,9.5987493228806530e-13,8.3157783486269930e-10,1.8094282774939827e-16
53,8.4865078590669900e-15,8.3414557106684390e-15,7.2265348808995100e-12,1.5826646854207293e-16
