iteration,recursive_residual,true_residual,true_relative_residual,residual_gap
1,0.00035754632937678920,0.00035754632937679015,0.30975660728790300,6.0968412459365180e-18
2,0.00023596325149563980,0.00023596325149563945,0.20442435069970022,5.7823261106276380e-18
3,9.5336300703760810e-05,9.5336300703762000e-05,0.082593629499286990,5.1472591361353680e-18
4,0.00022377569676747300,0.00022377569676747177,0.19386578725335450,4.4826292833308600e-18
5,0.00010826382083822873,0.00010826382083822854,0.093793254410772230,6.0272207669945710e-18
6,0.00016232205270949086,0.00016232205270949180,0.14062605095943756,7.2084773147087350e-18
7,0.00025337810735271880,0.00025337810735271900,0.21951153304079518,8.3596906475772460e-18
8,0.00026330281256996070,0.00026330281256995363,0.22810969994627456,3.1535506893279354e-17
9,3.3080446417612100e-05,3.3080446417605790e-05,0.028658906575120900,6.1721455223296120e-17
10,0.00013086311556795820,0.00013086311556796906,0.11337192236909090,2.1788517024305510e-17
11,0.00027290715349909860,0.00027290715349907567,0.23643032252580623,4.6155678134688000e-17
12,2.1486122822704627e-05,2.1486122822705298e-05,0.018614282856526533,2.7646591171105202e-17
13,0.00026344524799650924,0.00026344524799648890,0.22823309742194736,8.1565040410172250e-17
14,0.00020974976762535340,0.00020974976762535170,0.18171456692703650,2.8508601181127230e-17
15,1.9583445384082950e-05,1.9583445384081350e-05,0.016965917708494756,2.3733627888931112e-17
16,3.2966622858999056e-06,3.2966622858990107e-06,0.0028560296698723385,9.2000506701415120e-18
17,7.1952719141809510e-06,7.1952719141789030e-06,0.0062335502661565630,1.9493555882809923e-17
18,2.6209305475398880e-05,2.6209305475385880e-05,0.022706163862955870,1.8497055276472213e-17
19,1.0564831019651421e-05,1.0564831019659896e-05,0.0091527333504553660,1.6853549310454560e-17
20,6.7961586337674830e-07,6.7961586337446410e-07,0.00058877825557556540,6.9196585103908470e-17
21,2.2198232755218974e-06,2.2198232755186444e-06,0.0019231212016688390,1.7190471290098003e-17
22,2.4121269946743674e-06,2.4121269946732587e-06,0.0020897215628528180,1.6042576071263380e-17
23,5.7571857062230764e-06,5.7571857062048820e-06,0.0049876789813191610,6.3959669832211980e-17
24,1.2555871153123313e-07,1.2555871154013772e-07,0.00010877650616607957,4.5390345858796630e-17
25,9.2101171949531910e-07,9.2101171946104430e-07,0.00079790908772554250,4.3825097168948176e-17
26,1.5515809097799197e-07,1.5515809098276556e-07,0.00013441962595409906,2.0093867040679850e-17
27,7.1614151508430260e-06,7.1614151508407240e-06,0.0062042188053535300,1.8771537230905900e-17
28,1.5487268635018650e-07,1.5487268635193288e-07,0.00013417236856984600,2.5252963684415007e-17
29,3.5680095187637790e-07,3.5680095185893920e-07,0.00030911085709524790,5.7127680197259440e-17
30,1.7059962245373702e-08,1.7059962247945264e-08,1.4779723890870593e-05,2.5579580120621504e-17
31,6.2749944680675320e-07,6.2749944686022300e-07,0.00054362773091043220,5.7599466123037830e-17
32,7.3247357307220640e-08,7.3247357317319210e-08,6.3457099209953130e-05,2.3983663226035373e-17
33,1.6256116028520790e-08,1.6256116029229328e-08,1.4083319936941983e-05,2.0827559099963080e-17
34,3.8207160524789820e-09,3.8207160482918070e-09,3.3100382895614180e-06,1.9995368479634650e-17
35,1.5709007651969555e-08,1.5709007669937453e-08,1.3609338202914697e-05,2.1155834102606890e-17
36,3.1709877818956090e-09,3.1709877755964333e-09,2.7471528426322210e-06,1.7673229808301480e-17
37,1.5282193606568132e-09,1.5282193269276995e-09,1.3239571910192170e-06,4.1203366080829864e-17
38,5.2623227490911390e-10,5.2623227681520170e-10,4.5589595338815066e-07,1.4131546533733256e-17
39,1.2481559395946520e-09,1.2481559470781023e-09,1.0813271449521691e-06,4.5308867590425250e-17
40,1.0472981141766693e-08,1.0472981164103408e-08,9.0731601670677680e-06,4.1424778609651290e-17
41,5.2635444022941650e-09,5.2635443916473010e-09,4.5600178749080860e-06,1.3501734270763112e-17
42,1.8992476677358327e-09,1.8992476739891784e-09,1.6453938065026560e-06,3.3745641551793150e-17
43,7.3128566263384720e-10,7.3128564653310610e-10,6.3354184399897230e-07,2.1108007538274456e-17
44,3.5859051242518333e-10,3.5859049576401880e-10,3.1066121016304860e-07,4.8253329310050154e-17
45,3.9696713322118974e-09,3.9696713280052770e-09,3.4390841733832090e-06,3.5482914992258925e-17
46,1.1104548814409080e-11,1.1104549547034554e-11,9.6203129791468350e-09,6.7489685084009120e-17
47,2.4900899299148645e-11,2.4900908957542578e-11,2.1572647915355833e-08,4.2869469898565380e-17
48,3.1748739121306410e-11,3.1748737011040976e-11,2.7505193744702784e-08,1.6542914132674464e-17
49,1.2514078640057715e-10,1.2514081547164978e-10,1.0841446617926330e-07,3.8409142326691580e-17
50,6.5388441075967540e-11,6.5388438469531340e-11,5.6648605207274246e-08,3.6191823692601963e-17
51,1.6964933535742750e-11,1.6964929726021323e-11,1.4697393437011697e-08,1.8110189210433606e-17
52,1.1117237994308636e-10,1.1117238283810483e-10,9.6313057365367140e-08,1.6931474636033104e-17
53,4.6720308713204970e-12,4.6720764752265860e-12,4.0476056920464526e-09,4.7256336346870250e-17
54,4.6283338439114550e-13,4.6284545046516450e-13,4.0098142437827870e-10,2.7189989213838478e-17
55,1.9898231679929146e-12,1.9898555912758146e-12,1.7238910493664035e-09,3.3967522636896720e-17
56,3.2953909911400210e-13,3.2953611409175640e-13,2.8549024362191640e-10,3.2366166060011460e-17
57,1.6350317714763736e-11,1.6350327305759730e-11,1.4164938913249711e-08,1.5748148451096130e-17
58,8.1711527422121390e-12,8.1711388614238530e-12,7.0789826196920630e-09,4.1637343518018097e-17
59,1.9779920548797550e-12,1.9780041131179586e-12,1.7136236424210632e-09,3.1085849591754600e-17
60,3.3101443411383975e-12,3.3101678384834464e-12,2.8677300672876750e-09,3.8670702359102200e-17
61,7.5298290391809460e-12,7.5298188614087300e-12,6.5233815938422980e-09,1.2957959737806542e-17
62,3.1104900510563160e-13,3.1103950454412414e-13,2.6946589502969300e-10,5.0359334811815594e-17
63,9.0443761784978480e-13,9.0447193547442670e-13,7.8358001495363210e-10,3.8355288350711674e-17
64,1.9726897526167982e-13,1.9725307045769240e-13,1.7088818108857579e-10,6.4451911537790130e-17
65,3.7884320892814130e-12,3.7884395926426770e-12,3.2820759121694326e-09,2.4956202588482520e-17
66,8.9740040432710690e-13,8.9740153385748470e-13,7.7745464479294760e-10,3.4726522686564584e-17
67,5.8609485075185880e-13,5.8605885691310210e-13,5.0772609945359800e-10,4.9112708100872403e-17
68,2.2870709500662834e-13,2.2869501238433055e-13,1.9812758604824793e-10,3.5911039395573890e-17
69,2.4751278905968970e-13,2.4749779845256903e-13,2.1441718753908028e-10,1.8893328445183757e-17
70,1.3512692012627387e-14,1.3488313459334904e-14,1.1685462475539416e-11,3.5759177220821227e-17
71,4.0301290016627430e-15,4.0464937435856260e-15,3.5056384877718020e-12,2.9000565448197120e-17
