iteration,recursive_residual,true_residual,true_relative_residual,residual_gap
1,0.00035754632937678920,0.00035754632937679015,0.30975660728790300,6.2157724759326770e-18
2,0.00023596325149563975,0.00023596325149563934,0.20442435069970010,5.8081713153569900e-18
3,9.5336300703760810e-05,9.5336300703761920e-05,0.082593629499286920,5.1880438194019660e-18
4,0.00022377569676747264,0.00022377569676747177,0.19386578725335450,4.3514584613635370e-18
5,0.00010826382083822479,0.00010826382083822469,0.093793254410768900,5.7779323575270270e-18
6,0.00016232205270761770,0.00016232205270761810,0.14062605095781430,5.4586944145393480e-18
7,0.00025337810711914600,0.00025337810711914137,0.21951153283843758,1.0224040375443981e-17
8,0.00026330321114613000,0.00026330321114611350,0.22811004524865605,2.8446553334596426e-17
9,3.3138570452456070e-05,3.3138570452462200e-05,0.028709261738521362,3.6982496087627046e-17
10,0.00012545146293277244,0.00012545146293281218,0.10868359243151707,4.7838607661656190e-17
11,0.00028234940197159110,0.00028234940197161900,0.24461051796263922,3.9086947836701974e-17
12,2.1475532156906680e-05,2.1475532156908465e-05,0.018605107741480980,3.6308010601076326e-17
13,0.00037726808877498700,0.00037726808877498090,0.32684235192854827,3.8277160497390030e-17
14,0.00023356082660209000,0.00023356082660210779,0.20234303445298760,5.8770937750580900e-17
15,1.9566984767578476e-05,1.9566984767580800e-05,0.016951657221665077,1.8084236659056536e-17
16,4.6934965968751190e-06,4.6934965968909355e-06,0.0040661627954741620,2.9549557127966375e-17
17,3.7791446236493047e-06,3.7791446236424420e-06,0.0032740233107978072,3.2508629467918670e-17
18,2.5857978243809457e-05,2.5857978243815424e-05,0.022401795107475142,1.9824344192674470e-17
19,8.6852526961175440e-06,8.6852526961218490e-06,0.0075243798846378425,2.2767575477868490e-17
20,6.6523231789937030e-07,6.6523231789999300e-07,0.00057631721799559830,2.9128181879612105e-17
21,1.0444824161076503e-05,1.0444824161088048e-05,0.0090487666353522120,5.4708036429085630e-17
22,3.3740065198586180e-06,3.3740065198526730e-06,0.0029230360562741437,3.4077459277887585e-17
23,2.0578544861509916e-05,2.0578544861521236e-05,0.017828011967952010,4.2724026180504830e-17
24,5.5344912415362840e-06,5.5344912415316410e-06,0.0047947499084372940,1.3590599201418086e-17
25,1.2255393321672312e-07,1.2255393321757555e-07,0.00010617334718393757,4.3916647061439510e-17
26,1.6609726935949963e-07,1.6609726934400544e-07,0.00014389667129700916,5.1280568379553300e-17
27,7.9978141467298840e-06,7.9978141467466590e-06,0.0069288245250162440,2.9763642991108665e-17
28,9.0998671911579050e-08,9.0998671918189910e-08,7.8835769144140580e-05,1.9348188445700990e-17
29,3.9506833465128755e-08,3.9506833486145720e-08,3.4226341315506740e-05,3.1544069901958140e-17
30,2.7044908411798013e-08,2.7044908437299627e-08,2.3430079946707245e-05,4.0252579979950790e-17
31,2.0836939473117658e-08,2.0836939469170720e-08,1.8051869494741625e-05,1.6736741229416490e-17
32,1.7036138090390507e-07,1.7036138091773614e-07,0.00014759084076723737,4.3452301543204220e-17
33,3.7366950585770575e-09,3.7366950572238454e-09,3.2372475628895964e-06,7.5933974689411480e-17
34,1.1161679144867190e-07,1.1161679140299131e-07,9.6698066182403130e-05,4.8800076614005080e-17
35,3.5384170194485890e-08,3.5384170204375010e-08,3.0654714127003424e-05,4.2802972717546510e-17
36,2.8728080883819700e-07,2.8728080882193407e-07,0.00024888279187402980,2.3947817863177926e-17
37,4.8175236734302330e-09,4.8175236674548030e-09,4.1736123801382940e-06,2.1810032205294376e-17
38,4.4801134509217696e-09,4.4801134360596560e-09,3.8813004754870600e-06,3.3388340376690735e-17
39,5.0378883914086020e-10,5.0378883717992930e-10,4.3645230889763020e-07,4.7255102200022424e-17
40,5.9327126669258080e-09,5.9327126482578890e-09,5.1397449531688205e-06,4.0576587549664190e-17
41,3.4845564682514700e-09,3.4845565043728630e-09,3.0188099052195137e-06,4.2635423822280150e-17
42,1.5429480027345591e-09,1.5429480100927337e-09,1.3367172351090880e-06,2.4508721614477304e-17
43,4.7661868487080600e-09,4.7661868603142090e-09,4.1291372620841350e-06,2.7129605588966753e-17
44,5.0888908865424880e-10,5.0888908874039540e-10,4.4087085969757410e-07,5.3033297635657340e-17
45,4.9524889650017190e-09,4.9524889603529130e-09,4.2905381819011196e-06,1.2017229750619242e-17
46,1.4640329580505906e-11,1.4640328011541647e-11,1.2683498505890615e-08,4.3212231778946800e-17
47,1.0877225159164238e-10,1.0877225582822638e-10,9.4233731866666420e-08,2.5706102940385848e-17
48,2.6260670138514280e-11,2.6260686123564276e-11,2.2750676962244945e-08,2.2118330757071460e-17
49,7.2251230524839900e-11,7.2251219347887200e-11,6.2594105263574930e-08,1.5953292034903100e-17
50,2.1273424575846650e-11,2.1273409471311472e-11,1.8430000819098160e-08,4.4622657719553350e-17
51,1.5826574372975045e-11,1.5826566604208650e-11,1.3711184183824917e-08,2.9951099040347670e-17
52,5.8648079026099480e-11,5.8648093519923980e-11,5.0809176266192070e-08,6.0508967043415220e-17
53,2.0418366943751708e-10,2.0418366808331325e-10,1.7689243349058428e-07,2.8255964174005404e-17
54,1.9083479844206896e-10,1.9083480796061010e-10,1.6532778498761542e-07,3.6470232623106790e-17
55,3.2430096363003260e-12,3.2429665695366060e-12,2.8095109349288057e-09,4.7696958847006740e-17
56,3.1156236175634390e-13,3.1156537147563717e-13,2.6992147446991350e-10,4.3004817134265180e-17
57,7.1568769794544270e-12,7.1568573710703610e-12,6.2002702194432960e-09,4.3200343141601500e-17
58,2.3750577191654640e-12,2.3749993604203386e-12,2.0575564164706514e-09,6.8469578454728630e-17
59,3.3357673880528090e-12,3.3357478504941263e-12,2.8898910491906995e-09,3.7783141831295826e-17
60,1.0828301406580740e-11,1.0828304347104793e-11,9.3809907742203870e-09,1.0627557358919535e-17
61,1.2821982917985749e-12,1.2822050182277774e-12,1.1108252096617447e-09,4.4333338647914534e-17
62,3.5910260448127010e-13,3.5909248432340573e-13,3.1109610281968437e-10,5.5428859120921865e-17
63,1.2553074913132094e-13,1.2553551635903350e-13,1.0875641125805243e-10,3.5499773780567860e-17
64,7.1946648599008650e-13,7.1946072451507890e-13,6.2329744369389140e-10,2.6687064058911294e-17
65,2.4182564951970657e-12,2.4182751459265803e-12,2.0950479508390716e-09,2.6728564024155393e-17
66,2.3202298660684063e-12,2.3202523121435062e-12,2.0101268708707365e-09,2.5321002296406817e-17
67,1.2529877362796225e-13,1.2529667487773346e-13,1.0854949338238559e-10,2.3618488387700666e-17
68,6.1218715912097040e-13,6.1216115766280790e-13,5.3033956086636170e-10,3.5322945482630710e-17
69,1.5589098523303716e-13,1.5589445652663166e-13,1.3505756871522109e-10,2.9613307596247685e-17
70,8.2722486214809380e-14,8.2710512744848620e-14,7.1655407173508180e-11,3.8583231721302976e-17
71,2.0850014275878072e-15,2.0984869842669600e-15,1.8180027461541945e-12,2.4621976342376507e-17
