iteration,recursive_residual,true_residual,true_relative_residual,residual_gap
1,0.00033791159533106557,0.00033791159533106470,0.29274625617171274,5.7839270034777410e-18
2,0.00021974611291091488,0.00021974611291091350,0.19037479847334040,6.1571194907235440e-18
3,9.4029390440602150e-05,9.4029390440603460e-05,0.081461401153239230,6.7748787494188830e-18
4,0.00040973890888400780,0.00040973890888400950,0.35497311498339457,8.9677704295976980e-18
5,0.00018869115788544150,0.00018869115788544048,0.16347065565935640,6.6387658529012430e-18
6,0.00031263376165739000,0.00031263376165738930,0.27084706338180664,1.1261164525964666e-17
7,0.00019731054380083254,0.00019731054380083170,0.17093797253185910,1.7433394927326020e-17
8,6.1397509776894210e-05,6.1397509776892660e-05,0.053191104933353240,1.3563187584580048e-17
9,0.00013884138875059352,0.00013884138875061818,0.12028381777962696,4.2974554489254415e-17
10,1.9359003462608880e-05,1.9359003462560478e-05,0.016771474744237055,6.2537368184774220e-17
11,1.4804564870327052e-05,1.4804564870376171e-05,0.012825783429561564,9.6390910133365080e-17
12,0.00016065313160257776,0.00016065313160258584,0.13918019821971728,1.0531300259533552e-16
13,8.3897968059700330e-06,8.3897968059776070e-06,0.0072684146946334370,8.7343407744929290e-17
14,4.2560886858469255e-06,4.2560886858451595e-06,0.0036872189233259290,7.2324346105184890e-17
15,1.7741394005061944e-06,1.7741394005041933e-06,0.0015370075327408653,8.8449677774352110e-17
16,4.4128876375144010e-07,4.4128876367775470e-07,0.00038230600915230024,1.0413191018383134e-16
17,2.3552106509013387e-07,2.3552106514117912e-07,0.00020404126707194943,1.2774580892866038e-16
18,1.1354730051217213e-05,1.1354730051264379e-05,0.0098370543014109530,1.0043266291754222e-16
19,2.2421694169354466e-08,2.2421694169607597e-08,1.9424805528643895e-05,6.8506426789722260e-17
20,2.6379467954138300e-08,2.6379467956683100e-08,2.2853582389070207e-05,1.0130802738401313e-16
21,7.1608173621892765e-09,7.1608173637102200e-09,6.2037009185841475e-06,1.0586519573192023e-16
22,2.7930011143704234e-08,2.7930011137388495e-08,2.4196879622594750e-05,1.0577890707845281e-16
23,4.6332533607777410e-10,4.6332540330094570e-10,4.0139722661103806e-07,1.0830349285986463e-16
24,4.9270713116690160e-10,4.9270704349124490e-10,4.2685171022373374e-07,1.2545801629006524e-16
25,1.7011737413404858e-08,1.7011737427310070e-08,1.4737944810511797e-05,1.4634939796342980e-16
26,1.6890168740310002e-09,1.6890168731012324e-09,1.4632625013261355e-06,1.4430031383048032e-16
27,1.1602015758463274e-11,1.1602011731666822e-11,1.0051284257286663e-08,1.1697610063409510e-16
28,4.7185390848341540e-11,4.7185430079766890e-11,4.0878614976708365e-08,1.4194105026387126e-16
29,6.2673078881055790e-13,6.2673246789910170e-13,5.4296326652822960e-10,1.4603627683562530e-16
30,8.0586729567327820e-12,8.0586062468227160e-12,6.9814911394443340e-09,1.2789464738095500e-16
31,1.5501717548719462e-11,1.5501846377184347e-11,1.3429866134731457e-08,1.7069910404192417e-16
32,1.8450746053021960e-11,1.8450697129408060e-11,1.5984572838053840e-08,2.0635048557655632e-16
33,1.9855238610430494e-13,1.9855394472281703e-13,1.7201518020943240e-10,2.3623948479265310e-16
34,3.0228233890988140e-14,3.0229684992267795e-14,2.6189178557386572e-11,2.0296093931130974e-16
35,1.7132215074707747e-14,1.7133860425808280e-14,1.4843744821807025e-11,1.8800084894408603e-16
36,4.9254221686668170e-14,4.9276582355769320e-14,4.2690263373339730e-11,1.2003573201154596e-16
37,3.6057594596800550e-15,3.4672013421298875e-15,3.0037744378307547e-12,1.4404926207433537e-16
