iteration,recursive_residual,true_residual,true_relative_residual,residual_gap
1,0.00033791159533106557,0.00033791159533106470,0.29274625617171274,5.7839270034777410e-18
2,0.00021974611291091480,0.00021974611291091415,0.19037479847334100,3.7634568911193766e-18
3,9.4029390440604380e-05,9.4029390440603610e-05,0.081461401153239350,6.0395114670532140e-18
4,0.00040973890888400510,0.00040973890888400580,0.35497311498339135,1.0416945492017335e-17
5,0.00018869115788545119,0.00018869115788544942,0.16347065565936414,1.0760633619759862e-17
6,0.00031263376165738550,0.00031263376165738667,0.27084706338180436,2.2539654905112740e-17
7,0.00019731054425581342,0.00019731054425581318,0.17093797292602766,3.2239820079403860e-17
8,6.2444186264735040e-05,6.2444186264731000e-05,0.054097882408501520,2.5910880335179095e-17
9,0.00033018588097947560,0.00033018588097947035,0.28605316252257220,2.0745107077507877e-17
10,0.00015016926643958702,0.00015016926643956845,0.13009760881145666,2.6927204197703695e-17
11,1.1745923093046075e-05,1.1745923093043510e-05,0.010175960394020960,1.4509609832819200e-17
12,0.00011147744001723637,0.00011147744001724476,0.096577340533939740,3.1937456205982914e-17
13,2.2561795707521804e-05,2.2561795707516576e-05,0.019546181063764462,2.4580377740310140e-17
14,3.8519836525171210e-06,3.8519836525180450e-06,0.0033371266588365883,1.5083174225205204e-17
15,1.7741908167911877e-06,1.7741908167909543e-06,0.0015370520767152762,1.2394711517316995e-17
16,0.00013899891712635667,0.00013899891712635358,0.12042029087754526,2.9376250714269724e-17
17,9.0745765419470900e-07,9.0745765421366900e-07,0.00078616666186060960,6.1058409103986100e-17
18,2.1341605429198358e-07,2.1341605429063142e-07,0.00018489081689934470,3.7748383833726244e-17
19,8.8269264989173070e-08,8.8269265006623630e-08,7.6471175368814840e-05,2.3118387262955710e-17
20,1.4533462569770500e-08,1.4533462568394635e-08,1.2590916721697123e-05,3.3253591173690530e-17
21,3.0561663845909720e-08,3.0561663848156835e-08,2.6476785045392614e-05,3.1424999104080210e-17
22,8.0297438189075230e-09,8.0297438281007080e-09,6.9564864780427325e-06,2.6733714414510400e-17
23,1.9005799277710228e-08,1.9005799221354930e-08,1.6465479860647487e-05,6.4339342502285140e-17
24,3.8834353754815700e-07,3.8834353756219840e-07,0.00033643745376192233,3.1934840025232970e-17
25,3.5942252129310353e-10,3.5942251861532084e-10,3.1138202465457070e-07,4.6255387544696970e-17
26,9.6338874025925070e-10,9.6338874781447920e-10,8.3462199302255140e-07,2.5440578292929278e-17
27,2.4331486329384176e-09,2.4331486327071000e-09,2.1079334440609030e-06,2.0301945978291787e-17
28,3.4060608904662410e-09,3.4060608783824400e-09,2.9508060220972500e-06,2.3184012330858250e-17
29,6.6658039668853310e-09,6.6658039607502270e-09,5.7748511174123940e-06,1.0765225668041460e-17
30,2.0378527247215057e-10,2.0378531173702197e-10,1.7654732154234005e-07,4.1844421752935914e-17
31,2.7362150599614150e-11,2.7362147861384490e-11,2.3704917078649775e-08,3.1520263098067544e-17
32,3.8896411172271560e-12,3.8896205474456010e-12,3.3697329979980945e-09,2.5038100842806646e-17
33,8.3742128064947100e-13,8.3741844947945450e-13,7.2548891284434060e-10,1.9652408269566718e-17
34,4.4971796225230500e-12,4.4971706307475730e-12,3.8960778017305920e-09,3.4909844894326180e-17
35,1.4962694459103879e-12,1.4962604853208795e-12,1.2962699753058435e-09,1.9809693076686986e-17
36,1.3077379517377577e-12,1.3077504306116750e-12,1.1329562165318158e-09,3.6985097367753310e-17
37,3.4670234106807150e-11,3.4670239076103270e-11,3.0036207192486326e-08,1.6830120360047670e-17
38,2.9747981603838795e-11,2.9747990244176243e-11,2.5771867236704543e-08,3.1914505711107483e-17
39,9.4274839365300430e-13,9.4274577696535750e-13,8.1673816625886350e-10,4.1998981465624630e-17
40,1.6480222637709765e-11,1.6480265525595280e-11,1.4277509561656158e-08,4.4373786898693110e-17
41,5.1650054372153230e-12,5.1650138131472626e-12,4.4746569154948425e-09,5.5970685794965270e-17
42,2.0022213489691293e-12,2.0021722676365733e-12,1.7345614760191441e-09,4.9899093116943466e-17
43,2.3306373005150360e-13,2.3306096902177420e-13,2.0190998794826988e-10,4.1547707413712704e-17
44,5.6251257231162350e-13,5.6252350942442250e-13,4.8733649175676540e-10,2.3196803740396335e-17
45,3.0512517326384460e-13,3.0510924410515105e-13,2.6432827452296930e-10,2.7791291746747940e-17
46,1.0063991844873608e-13,1.0060250110467176e-13,8.7155948380667430e-11,5.3368247799510746e-17
47,8.8730867081675410e-14,8.8731974976550140e-14,7.6872039421013460e-11,1.2218189754088075e-17
48,1.1637961318360571e-13,1.1638229655815246e-13,1.0082661285619693e-10,3.1346142243955174e-17
49,8.5434950546352310e-15,8.5434247767971670e-15,7.4015087166264400e-12,3.3383728848649293e-17
