iteration,recursive_residual,true_residual,true_relative_residual,residual_gap
1,0.00033791159533106546,0.00033791159533106460,0.29274625617171270,5.8099735388089130e-18
2,0.00021974611291091470,0.00021974611291091396,0.19037479847334082,3.8642188923814760e-18
3,9.4029390440604320e-05,9.4029390440603600e-05,0.081461401153239340,6.1237656820828290e-18
4,0.00040973890888400277,0.00040973890888400347,0.35497311498338935,8.9770489083195130e-18
5,0.00018869115788545220,0.00018869115788544975,0.16347065565936442,1.0236732640969381e-17
6,0.00031263376165738610,0.00031263376165738980,0.27084706338180710,2.5614314881186126e-17
7,0.00019731054421372115,0.00019731054421371820,0.17093797288955910,2.7726744059532355e-17
8,6.2348425830045820e-05,6.2348425830038760e-05,0.054014921334857200,4.3602367331216230e-17
9,0.00034534640859971070,0.00034534640859963374,0.29918733064143300,8.1015170993812490e-17
10,0.00013017543958900290,0.00013017543958900020,0.11277616131476803,2.0907814547781500e-17
11,1.1759183303901865e-05,1.1759183303896112e-05,0.010187448242135030,5.9585587052417430e-17
12,0.00013644134569654220,0.00013644134569654157,0.11820456501517689,1.6699007145767297e-17
13,2.6082889170105955e-05,2.6082889170114580e-05,0.022596644389227910,4.9615534031328390e-17
14,3.8371234951643540e-06,3.8371234951644090e-06,0.0033242527134274730,1.7800381205527080e-17
15,1.7994400219636534e-06,1.7994400219636223e-06,0.0015589264674960013,5.2024603788584175e-17
16,1.0602261308582194e-05,1.0602261308543149e-05,0.0091851606985825060,4.8484712089829180e-17
17,5.3650823581002270e-06,5.3650823580877960e-06,0.0046479842541192560,4.9280494068590070e-17
18,2.0790401801481158e-07,2.0790401801534620e-07,0.00018011552062135964,4.3508888568775853e-17
19,5.5670771696810010e-07,5.5670771696340890e-07,0.00048229803941254987,1.5940287341351703e-17
20,9.4669429093360330e-09,9.4669429069306780e-09,8.2015892076152370e-06,3.8748675403850140e-17
21,7.5327918420844500e-08,7.5327918470969920e-08,6.5259572096007280e-05,5.2311705080412660e-17
22,2.2641798054087000e-08,2.2641798053841780e-08,1.9615490278645682e-05,3.0297563811070685e-17
23,9.5676847987884400e-09,9.5676848039928740e-09,8.2888659202586720e-06,3.6179701642772910e-17
24,2.0474373015067234e-07,2.0474373011682167e-07,0.00017737763750784468,5.3174867907511630e-17
25,4.2219258709558890e-10,4.2219258895980236e-10,3.6576223340407710e-07,4.0162069855571240e-17
26,2.5892398304487925e-09,2.5892398048472924e-09,2.2431614353369242e-06,2.9332061915329570e-17
27,5.5063672735201020e-10,5.5063672906197990e-10,4.7703850110737320e-07,1.2099227872327421e-17
28,9.8397266792228990e-09,9.8397266702415040e-09,8.5245466100208160e-06,2.2571290608925010e-17
29,3.0631667053169557e-09,3.0631667161882490e-09,2.6537431700600523e-06,1.7149228733165338e-17
30,2.1192147049223130e-10,2.1192147370623806e-10,1.8359600228903393e-07,6.9949524349963360e-17
31,1.2959249023564131e-09,1.2959249277257482e-09,1.1227113129977684e-06,5.3486422346516590e-17
32,2.7437016040274900e-10,2.7437018121243665e-10,2.3769780162886060e-07,2.6891189236713465e-17
33,1.2623315317210151e-12,1.2623318429778879e-12,1.0936082874458922e-09,2.8370270047744087e-17
34,2.2685059619829940e-12,2.2685074304951572e-12,1.9652982216384977e-09,3.1286307579638656e-17
35,7.9000285644424800e-13,7.9000673445555880e-13,6.8441425821957920e-10,1.2655329315399416e-17
36,4.6692102397119595e-12,4.6691958816767440e-12,4.0451101192726250e-09,2.1762977259729107e-17
37,9.7482029388334000e-12,9.7482028059956850e-12,8.4452558458726340e-09,3.8238115135873880e-17
38,2.4341191179042520e-12,2.4341159230531725e-12,2.1087714461636906e-09,1.4171339294606883e-17
39,2.4149286342144613e-12,2.4149254715526710e-12,2.0921459946886900e-09,2.9323838730467540e-17
40,8.4782968092433330e-13,8.4782892023402520e-13,7.3450791775714870e-10,2.8431523867890625e-17
41,3.6433115411654300e-13,3.6431332340095080e-13,3.1561912338229303e-10,2.6116439702286375e-17
42,2.8766633543625074e-13,2.8767633772769095e-13,2.4922545429807174e-10,3.1132471158336260e-17
43,5.6691731575256580e-13,5.6688350591928890e-13,4.9111373014819570e-10,4.9593512943136210e-17
44,6.0125481865302430e-14,6.0126400452654440e-14,5.2089892364748950e-11,1.4474660760346825e-17
45,9.7846646191109280e-14,9.7833989036411430e-14,8.4757476252608700e-11,3.1027935547284280e-17
46,1.5484875500598272e-13,1.5484423021427833e-13,1.3414771588589382e-10,2.2539984003687876e-17
47,9.6255116792189340e-14,9.6247433039966450e-14,8.3382979684324320e-11,2.4051992881672676e-17
48,3.5222638990840377e-14,3.5209980509130470e-14,3.0503806665255710e-11,1.6561003766279056e-17
49,6.4727117790037490e-16,6.4404604186851300e-16,5.5796270434133990e-13,2.6362328158923143e-17
