estimator,R_bohr,wall_ns,state_evaluations,local_energy_evaluations,autodiff_evaluations,sampler_steps,passes,peak_batch
DIRECT_HF_PULAY_BASELINE,1.0,7198678333,144000,144000,0,72000,2,512
BARE_HELLMANN_FEYNMAN,1.0,0,0,0,0,0,0,512
CORRELATED_SAMPLING_FINITE_DIFFERENCE,1.0,1584312292,144000,144000,0,72000,1,512
SPACE_WARP_COORDINATE_TRANSFORMATION,1.0,3715250708,360000,360000,360000,72000,1,512
ASSARAF_CAFFAREL_ZV,1.0,456459584,72000,0,0,72000,1,512
ASSARAF_CAFFAREL_ZVZB,1.0,507639750,72000,72000,0,72000,1,512
DIRECT_HF_PULAY_BASELINE,1.4,940581416,144000,144000,0,72000,2,512
BARE_HELLMANN_FEYNMAN,1.4,0,0,0,0,0,0,512
CORRELATED_SAMPLING_FINITE_DIFFERENCE,1.4,829943209,144000,144000,0,72000,1,512
SPACE_WARP_COORDINATE_TRANSFORMATION,1.4,2814089625,360000,360000,360000,72000,1,512
ASSARAF_CAFFAREL_ZV,1.4,439053667,72000,0,0,72000,1,512
ASSARAF_CAFFAREL_ZVZB,1.4,459737583,72000,72000,0,72000,1,512
DIRECT_HF_PULAY_BASELINE,3.0,2190028667,144000,144000,0,72000,2,512
BARE_HELLMANN_FEYNMAN,3.0,0,0,0,0,0,0,512
CORRELATED_SAMPLING_FINITE_DIFFERENCE,3.0,1111195459,144000,144000,0,72000,1,512
SPACE_WARP_COORDINATE_TRANSFORMATION,3.0,2391817959,360000,360000,360000,72000,1,512
ASSARAF_CAFFAREL_ZV,3.0,481827375,72000,0,0,72000,1,512
ASSARAF_CAFFAREL_ZVZB,3.0,482516042,72000,72000,0,72000,1,512
