estimator,R_bohr,raw_force,reference_force,signed_error,absolute_error,relative_error,raw_variance,raw_sd,raw_se,effective_sample_size,clipped_force,clipped_variance,clipped_samples,lower_fence,upper_fence,wall_ns,state_evaluations,local_energy_evaluations,autodiff_evaluations,sampler_steps,estimator_passes,peak_batch,variance_times_cost,error2_times_cost,note
DIRECT_HF_PULAY_BASELINE,1.0,0.3119796341184747,0.3621964426997232,-0.05021680858124844,0.05021680858124844,-0.1386452285586924,46.36499182834358,6.809184373208261,0.02719428389574655,62695.29257909994,0.3715585841821797,2.638627528803874,3510,-3.967091227394785,4.788145123061921,7198678333,144000,144000,0,72000,2,512,333766662084.4190,18153107.73691644,RAW_ACCEPTANCE
BARE_HELLMANN_FEYNMAN,1.0,0.2663998407571442,0.3621964426997232,-0.09579660194257900,0.09579660194257900,-0.2644879701979807,46.58865729934321,6.825588421472776,0.02725979781358103,62695.29257909994,0.3389938715997455,2.878483344633604,3469,-4.135686630496898,4.971706961906276,0,0,0,0,0,0,512,0.000000000000000,0.000000000000000,REUSED_DIRECT_TRACE
CORRELATED_SAMPLING_FINITE_DIFFERENCE,1.0,0.3229217237662452,0.3621964426997232,-0.03927471893347800,0.03927471893347800,-0.1084348555185521,1.211561096343714,1.100709360523346,0.004102101589334210,72000.00000000000,0.3264957502172835,1.170473759181574,224,-3.950645627166252,4.818380184827176,1584312292,144000,144000,0,72000,1,512,1919491137.446343,2443807.330446848,INDEPENDENT_CONTROL
SPACE_WARP_COORDINATE_TRANSFORMATION,1.0,0.3203310613454383,0.3621964426997232,-0.04186538135428491,0.04186538135428491,-0.1155875000931281,0.08099996878986401,0.2846049345845290,0.001136645296267111,62695.29257909994,0.3251588089052212,0.05027609476285153,2260,-0.3631449375603961,1.030182203793863,3715250708,360000,360000,360000,72000,1,512,300935191.3945202,6511757.647773786,QIAN_EQ_14_NUMERICAL_DERIVATIVE
ASSARAF_CAFFAREL_ZV,1.0,1.722715446499602,0.3621964426997232,1.360519003799879,1.360519003799879,3.756301397271892,0.4664184579840880,0.6829483567474834,0.002727535411230781,62695.29257909994,1.699742420249289,0.2882019757855252,1240,-0.4074527751409227,3.635353791247327,456459584,72000,0,0,72000,1,512,212901175.3013383,844912149.1039677,QIAN_PRINTED_EQ_11
ASSARAF_CAFFAREL_ZVZB,1.0,0.3263265186825435,0.3621964426997232,-0.03586992401717964,0.03586992401717964,-0.09903444592060058,0.5853533838437659,0.7650839064075037,0.003055565514832913,62695.29257909994,0.3443793948193423,0.3952180702203360,1335,-1.749354169882139,2.538899296945270,507639750,72000,72000,0,72000,1,512,297148645.4361033,653155.4199066049,QIAN_PRINTED_EQ_6
DIRECT_HF_PULAY_BASELINE,1.4,-0.01693434536884336,0.009120324827245340,-0.02605467019608870,0.02605467019608870,-2.856769982386485,40.67378902644700,6.377600569685044,0.02556848634649144,62216.35936900706,0.02852350143583228,1.524952626066044,4283,-3.471780543084031,3.516713049851007,940581416,144000,144000,0,72000,2,512,38257010076.58078,638509.7805176792,RAW_ACCEPTANCE
BARE_HELLMANN_FEYNMAN,1.4,-0.05875913846019278,0.009120324827245340,-0.06787946328743813,0.06787946328743813,-7.442658520742635,40.63235278401302,6.374351165727616,0.02555545913667912,62216.35936900706,-0.01021422986602552,1.690497847335146,3897,-3.721099297819206,3.746758433495187,0,0,0,0,0,0,512,0.000000000000000,0.000000000000000,REUSED_DIRECT_TRACE
CORRELATED_SAMPLING_FINITE_DIFFERENCE,1.4,0.0005596238220606509,0.009120324827245340,-0.008560701005184690,0.008560701005184690,-0.9386399242723379,1.261483994892466,1.123158045375835,0.004185762898226933,72000.00000000000,0.0007708359514305230,1.259179622545522,21,-4.893058203082729,4.969725739482994,829943209,144000,144000,0,72000,1,512,1046960074.823193,60822.88744853508,INDEPENDENT_CONTROL
SPACE_WARP_COORDINATE_TRANSFORMATION,1.4,-0.0004270960045466010,0.009120324827245340,-0.009547420831791942,0.009547420831791942,-1.046829034342146,0.04110844359785850,0.2027521728560720,0.0008128552590820343,62216.35936900706,0.0008287543954494794,0.02462524839056227,3596,-0.4804952027708028,0.4851343533430397,2814089625,360000,360000,360000,72000,1,512,115682844.6286313,256513.3997432298,QIAN_EQ_14_NUMERICAL_DERIVATIVE
ASSARAF_CAFFAREL_ZV,1.4,1.061642450647211,0.009120324827245340,1.052522125819966,1.052522125819966,115.4040174836475,0.2436935351927494,0.4936532540080632,0.001979108968504986,62216.35936900706,1.044964455029355,0.1481253540510663,1863,-0.4597545575870794,2.430903295263176,439053667,72000,0,0,72000,1,512,106994540.2505702,486384892.7787419,QIAN_PRINTED_EQ_11
ASSARAF_CAFFAREL_ZVZB,1.4,0.002402101102335822,0.009120324827245340,-0.006718223724909519,0.006718223724909519,-0.7366211020072472,0.3693500780551586,0.6077417856747704,0.002436502157736347,62216.35936900706,0.01417386278189099,0.2404096332874187,2491,-1.553942619112773,1.649270912966776,459737583,72000,72000,0,72000,1,512,169804112.1659400,20750.03974028737,QIAN_PRINTED_EQ_6
DIRECT_HF_PULAY_BASELINE,3.0,-0.07331633902930705,-0.06087135209218764,-0.01244498693711941,0.01244498693711941,0.2044473551083914,27.92566425288374,5.284473886101032,0.02556602712191022,42724.50321699780,-0.05205235176956315,0.5228996221443506,8385,-1.905808443849004,1.813441905649645,2190028667,144000,144000,0,72000,2,512,61158005258.83254,339186.6025835312,RAW_ACCEPTANCE
BARE_HELLMANN_FEYNMAN,3.0,-0.07466241678101702,-0.06087135209218764,-0.01379106468882938,0.01379106468882938,0.2265608404417117,27.85935706696443,5.278196383895206,0.02553565687217287,42724.50321699780,-0.05593281032989948,0.5701879816414487,7398,-2.070260226529990,1.949468539814032,0,0,0,0,0,0,512,0.000000000000000,0.000000000000000,REUSED_DIRECT_TRACE
CORRELATED_SAMPLING_FINITE_DIFFERENCE,3.0,-0.05986629506904428,-0.06087135209218764,0.001005057023143359,0.001005057023143359,-0.01651116639599583,1.512557401846804,1.229860724572829,0.004583420305003320,72000.00000000000,-0.05846229386557084,1.284633782015303,3302,-2.892693679822322,2.676161124030512,1111195459,144000,144000,0,72000,1,512,1680746916.409007,1122.462558444178,INDEPENDENT_CONTROL
SPACE_WARP_COORDINATE_TRANSFORMATION,3.0,-0.05992734299091196,-0.06087135209218764,0.0009440091012756849,0.0009440091012756849,-0.01550826569197961,0.01064747103121201,0.1031865835814521,0.0004992116625647750,42724.50321699780,-0.05239938124528437,0.002730997338588184,21803,-0.2133544667669726,0.1167173683644246,2391817959,360000,360000,360000,72000,1,512,25466812.43038513,2131.476188016213,QIAN_EQ_14_NUMERICAL_DERIVATIVE
ASSARAF_CAFFAREL_ZV,3.0,0.2833808194705944,-0.06087135209218764,0.3442521715627820,0.3442521715627820,-5.655405371009723,0.02712897250842966,0.1647087505520871,0.0007968529080834434,42724.50321699780,0.2771348607873216,0.01545170122555044,9926,-0.1986725502207971,0.7121090992875194,481827375,72000,0,0,72000,1,512,13071481.61018383,57101149.06319797,QIAN_PRINTED_EQ_11
ASSARAF_CAFFAREL_ZVZB,3.0,-0.05185460065425046,-0.06087135209218764,0.009016751437937183,0.009016751437937183,-0.1481279966359481,0.06481290217339226,0.2545837822277615,0.001231663931268689,42724.50321699780,-0.04302327937169394,0.03971821182741866,14688,-0.6938749581494636,0.6459793396142730,482516042,72000,72000,0,72000,1,512,31273265.02723843,39229.42587671390,QIAN_PRINTED_EQ_6
