dimension,evidence_hash,molecule_id,calculation_type,protocol_key,acceptance,source_path,source_sha256
"QUANTUM","007a9a9a0e38cb54bb62dd9d82a498a909e084549f431a11d6f9cdb2f4ea52ee","TSL-RSH","COUNTERPOISE_INTERACTION","PBE0|def2-TZVP|D3(BJ)|none|true|PySCF|2.14.0","ACCEPTED","execution-unit-05O/vdw-probe-validation-aws/point-19/19_MIN04_SH_DONOR_2.1/result.json","9dee34ccc5480dee91da10a09c9b65b84a66a0d0d5774015f87303017a24eecc"
"QUANTUM","01ae273cfc41f4e0728a7f258f3d65a6489e9a0ac907f72e206101c12e98c8f3","TSL-RSH","COUNTERPOISE_INTERACTION","PBE0|def2-TZVP|D3(BJ)|none|true|PySCF|2.14.0","ACCEPTED","execution-unit-05O/vdw-probe-validation-aws/point-1/01_MIN01_S_ACCEPTOR_2.2/result.json","fc455f91c9328a9a15222d0a286c5886d358a069552b8144d55ff28e19797e79"
"QUANTUM","03affe4f312d389974b86ae3ec62122bce659768367c1518b49dd6d6223fac36","TSL-RSH","COUNTERPOISE_INTERACTION","PBE0|def2-TZVP|D3(BJ)|none|true|PySCF|2.14.0","ACCEPTED","execution-unit-05O/vdw-probe-validation-aws/point-1/01_MIN01_S_ACCEPTOR_2.2/geometry.xyz","7482b18629b07cfeb827fd8b1e4bad3fe09f070a79e32dbfe8365b07bd540fa6"
"QUANTUM","060009ccdd3eb569c82df5a2e76cbcc557c908e201efce36b14c8342b71f2a1b","TSL-RSH","COUNTERPOISE_INTERACTION","PBE0|def2-TZVP|D3(BJ)|none|true|PySCF|2.14.0","ACCEPTED","execution-unit-05O/vdw-probe-validation-aws/point-11/11_MIN01_O2_ACCEPTOR_2.1/result.json","b9d2b5adea52de985f548af88d14a861eb9b8233a25606e9328952d2a6995975"
"QUANTUM","073b3709af5062679da6193967f0d518a33162cd85a0479b91916d6d2312e2ea","TSL-RSH","COUNTERPOISE_INTERACTION","PBE0|def2-TZVP|D3(BJ)|none|true|PySCF|2.14.0","ACCEPTED","execution-unit-05O/vdw-probe-validation-aws/point-19/19_MIN04_SH_DONOR_2.1/geometry.xyz","84018d05eb71e5fc5aaeb23480c9bff03e14374229b335455e000b1f6ef81805"
"QUANTUM","07a74edf32dd6801e9946669f1c2773eb3c0c6d1425496a3f217e2b91acaa304","TSL-RSH","SINGLE_POINT","PBE|def2-SVP|D3(BJ)|none|false|PySCF|2.14.0","ACCEPTED","execution-unit-05O/qm-native-minima/MIN04/final.xyz","b54a3b68c7508151b8ba17b568d50d201a542e3291dccd57e35a9888470aaf27"
"QUANTUM","080e915242aa3b0841dfdc2f35abafdc3c41c7923a3bf5625751459efe0afd42","TSL-RSH","CONSTRAINED_SCAN","PBE|3-21G|none|none|false|unknown|unknown","ACCEPTED","execution-unit-05D/full-molecule-dft/TSL_RSH/point-020.xyz","d65c2ad9063d2c19de37bf2122f1d497fe38b230800ebeb77817137eee8d6f91"
"QUANTUM","0b54f1ba2c3dc82a6f7ec6aad53959a184442385af5fd771c42ab797dfb0505f","TSL-RSH","COUNTERPOISE_INTERACTION","PBE0|def2-TZVP|D3(BJ)|none|true|PySCF|2.14.0","ACCEPTED","execution-unit-05O/vdw-probe-validation-aws/point-7/07_MIN01_O1_ACCEPTOR_1.7/result.json","0682a38d8bee7a206692483085f8815800d740a7d23682a3e7ce210c500431d5"
"QUANTUM","0bc31d59e21a032cb0ea318f6f10dcc134908ebfec68e6b0221c40c98079a12d","TSL-RSH","COUNTERPOISE_INTERACTION","PBE0|def2-TZVP|D3(BJ)|none|true|PySCF|2.14.0","ACCEPTED","execution-unit-05O/vdw-probe-validation-aws/point-10/10_MIN01_O2_ACCEPTOR_1.7/geometry.xyz","3e4d75b575f037ebfd0e002af9f5219efa3a671b0c6735eca7201ab3c6738acc"
"QUANTUM","0e87c947b75ccd981da8773be740ea64ea08c77e195367568097b950a854c2bc","TSL-RSH","COUNTERPOISE_INTERACTION","PBE0|def2-TZVP|D3(BJ)|none|true|PySCF|2.14.0","ACCEPTED","execution-unit-05O/vdw-probe-validation-aws/point-12/12_MIN01_O2_ACCEPTOR_2.8/result.json","13b38e9659a1f3ea1d8d6d672e69c41ea196439196b802da6d1525c8e4135ee5"
"QUANTUM","14dd0d120cec90d3762e80d68330bcc4690564a811101ef95ce6e74fad8b7c34","TSL-RSH","SINGLE_POINT","PBE|def2-SVP|D3(BJ)|none|false|PySCF|2.14.0","ACCEPTED","execution-unit-05O/qm-native-minima/MIN02/final.xyz","38336cb66b98c55b5d1d15edd9fbcbdc55e6f7840894af6b43f02372cfd9f3f8"
"QUANTUM","19a66164dd670260946e42b0b504afd9d78838b5c2e2ef291c2f6c17d1bedb70","TSL-RSH","SINGLE_POINT","PBE|def2-SVP|D3(BJ)|none|false|PySCF|2.14.0","ACCEPTED","execution-unit-05L/points/phi300_psi060_A_p10/final.xyz","4c497f2ff90096ce0a7fe72e8da72441fbc7d7fe3f4e9a4d91a1289a643d22ae"
"QUANTUM","1b3128a3bd6fb32773747168387231e254f3f41603c6b92e3e1c54916cc121eb","TSL-RSH","CONSTRAINED_SCAN","PBE|3-21G|none|none|false|unknown|unknown","ACCEPTED","execution-unit-05D/full-molecule-dft/TSL_RSH/point-012.xyz","45a31038c11144b3692aae8fd02cbbc08cb06b0227e70890b9d9813fe4615ea8"
"QUANTUM","1b63f9fbf15ce92193d0304144d00e63d9a6bd72ebda10920fae0c279e21eafd","TSL-RSH","SINGLE_POINT","PBE|def2-SVP|D3(BJ)|none|false|PySCF|2.14.0","ACCEPTED","execution-unit-05M/points/M-D01/final.xyz","21ac1c506179f210be494d63e2210b037c5a8ca39707445fd572fbd485717c73"
"QUANTUM","1d7038cd117b7a4a0de57a2ac703480568af61aeb4bf4e56dec6ac6488ec742d","TSL-RSH","SINGLE_POINT","GFN2-xTB|ALPB(water)|none|none|false|unknown|unknown","EXCLUDED_BY_PROTOCOL","execution-unit-05B/qm/TSL_RSH/xtbopt.xyz","aaf521feae08d5c1e579af84d0a757f9c5a1d590358141dce55c70bd070a10a9"
"QUANTUM","1e8ba0f80629e1a05c16fa7cad214ac9488ab1537e692fecb52777feb0182952","TSL-RSH","OPTIMIZATION","PBE|def2-SVP|D3(BJ)|gas|false|PySCF|2.14.0","ACCEPTED","execution-unit-05O/qm-native-minima/MIN03/result.json","0636fff3809f396bb08851c4dee9791891cc7ab5123e74cc98b59d3055ad722b"
"QUANTUM","1ff8148cf6a8eb1798eb4108883a9cb3d1ffe2cd0c80087c1a3fc6672e20cb61","TSL-RSH","COUNTERPOISE_INTERACTION","PBE0|def2-TZVP|D3(BJ)|none|true|PySCF|2.14.0","ACCEPTED","execution-unit-05O/replacement-sh-donor-qm-local/MIN02_SH_DONOR_2.8A/result.json","a9e8f7742cf0e59700c7e9bfc3e6d90f600c0873abf6d83621445a28d5595929"
