dimension,evidence_hash,molecule_id,calculation_type,protocol_key,acceptance,source_path,source_sha256
"QUANTUM","001db5c802265a474735a952dd067ad94b32f8766089786acbda372d3b079242","TSL-RSH","COUNTERPOISE_INTERACTION","PBE0|def2-TZVP|D3(BJ)|none|true|unknown|unknown","EXCLUDED_BY_PROTOCOL","execution-unit-05O/vdw-probe-validation-aws/point-13/13_MIN01_O3_ACCEPTOR_1.7/geometry.xyz","b31fa3341188ba4de64314c12201cbd70574379c780dae20f445880ffee3e1a0"
"QUANTUM","080e915242aa3b0841dfdc2f35abafdc3c41c7923a3bf5625751459efe0afd42","TSL-RSH","CONSTRAINED_SCAN","PBE|3-21G|none|none|false|unknown|unknown","ACCEPTED","execution-unit-05D/full-molecule-dft/TSL_RSH/point-020.xyz","d65c2ad9063d2c19de37bf2122f1d497fe38b230800ebeb77817137eee8d6f91"
"QUANTUM","087ecccbbb0849a11068508cf83d079c68c0218565fae4ac38a43749022e1eb8","TSL-RSH","SINGLE_POINT","PBE|def2-SVP|D3(BJ)|none|false|unknown|unknown","ACCEPTED","execution-unit-05M/points/M-D03/final.xyz","caf00eb3161828dc2255ac19d07231c89a5269aad489a3f233801ab85ea26ba0"
"QUANTUM","0c40031a8d34a9b7d5e0f5074e77b79ab6c92b37b24967e2a9f8e25e325f25bc","TSL-RSH","COUNTERPOISE_INTERACTION","PBE0|def2-TZVP|D3(BJ)|none|true|PySCF|unknown","ACCEPTED","execution-unit-05O/replacement-sh-donor-qm-local/MIN04_SH_DONOR_2.8A/result.json","9995a5f397ff46bc483001bb1c461d334a5abb601ca8c27bda2842c3242c236f"
"QUANTUM","0db72c6b2a00a8568a5f3ee7cd928d7c474967c7306124fb053c21818fd1c3d5","TSL-RSH","COUNTERPOISE_INTERACTION","PBE0|def2-TZVP|D3(BJ)|none|true|unknown|unknown","ACCEPTED","execution-unit-05O/vdw-probe-validation-aws/point-17/17_MIN02_SH_DONOR_2.1/result.json","1d2f3ae349cfedbb45ae09a29419e8abdb9daf9f867ce167f6bf0be7f77cc9af"
"QUANTUM","0efd71c47f7b1a31c63275d296abf9eab6d2930eb4afc178d995a6d7c2d4f870","TSL-RSH","COUNTERPOISE_INTERACTION","PBE0|def2-TZVP|D3(BJ)|none|true|PySCF|unknown","ACCEPTED","execution-unit-05O/replacement-sh-donor-qm-local/MIN02_SH_DONOR_2.8A/result.json","a9e8f7742cf0e59700c7e9bfc3e6d90f600c0873abf6d83621445a28d5595929"
"QUANTUM","107bde46ba95f32e270520855287e59cb755f141879208890c4346d23994400c","TSL-RSH","SINGLE_POINT","PBE|def2-SVP|D3(BJ)|none|false|unknown|unknown","ACCEPTED","execution-unit-05L/points/phi300_psi060_A_m10/final.xyz","f15f1b07092d2cb85a3d2524838fc1486fa641d2c1e192842bffe00a3cc52ce3"
"QUANTUM","13d535a5335748eb9f138783fe67cf85cb60a865a6b5a82198626ddd86f76af2","TSL-RSH","SINGLE_POINT","PBE|def2-SVP|D3(BJ)|none|false|unknown|unknown","ACCEPTED","execution-unit-05L/points/phi060_psi060_A_m10/final.xyz","6cc005ff4a462ee049f950889316690ef8b1f87831916497d3cae37b91d239b8"
"QUANTUM","15b87ed4a4fef7dded9a82da3278a10e0e7cb94561ee53035c7607a86ad89da7","TSL-RSH","COUNTERPOISE_INTERACTION","PBE0|def2-TZVP|D3(BJ)|none|true|unknown|unknown","ACCEPTED","execution-unit-05O/vdw-probe-validation-aws/point-12/12_MIN01_O2_ACCEPTOR_2.8/result.json","13b38e9659a1f3ea1d8d6d672e69c41ea196439196b802da6d1525c8e4135ee5"
"QUANTUM","1950a3a989c1ef2a1286310942937591455819f4a4de88ff6b737f88b1b1ce76","TSL-RSH","COUNTERPOISE_INTERACTION","PBE0|def2-TZVP|D3(BJ)|none|true|unknown|unknown","ACCEPTED","execution-unit-05O/vdw-probe-validation-aws/point-8/08_MIN01_O1_ACCEPTOR_2.1/geometry.xyz","93898719c2cc39969e3a97353a53bf650f7e350eb0ebea8e2c8abd77420358b6"
